RNA processing	1.54556789195742e-13	384	906	1.43702859651782	2.06750182230739e-23	309	823	1.75587185235333	2.54284753115369e-30	467	595	1.41842985842986	5.3773836070816e-19	523	979	1.39413140451352	
Ribonucleoprotein complex biogenesis	2.02849950818071e-11	203	432	1.59321605790874	5.76316209830521e-14	159	401	1.85432957237488	3.32307400197324e-13	242	316	1.38400045615235	6.59746980735976e-11	281	516	1.42115462096382	
NcRNA metabolic process	3.23946961832761e-10	220	491	1.51916019527501	8.66819659841115e-20	184	435	1.97816602570821	3.7091668805845e-18	262	329	1.43917412853583	1.83060008215068e-09	281	531	1.38100901020213	
Cell cycle	5.28087742897662e-08	605	1659	1.23643523427974	7.6174510730923e-09	432	1522	1.32740444334931	1.30823209593228e-15	547	782	1.26412064238151	6.73622901132818e-07	332	674	1.2854728261009	
MRNA metabolic process	1.49180080442578e-05	301	787	1.29674370116605	7.47745648809855e-07	193	613	1.47241762437347	3.92211328292612e-20	316	402	1.42059073999372	2.25904324583008e-09	308	592	1.35773096566641	
RNA modification	2.0085129695529e-05	77	154	1.69524467245462	4.41992526171065e-10	71	148	2.24352444565211	2.08723306398214e-07	91	111	1.48158428698969	5.0396786367317e-08	174	311	1.46006964662969	
DNA metabolic process	3.23946961832761e-10	353	865	1.38363322399186	7.05625383869627e-17	283	806	1.64204693463972	4.78493861353838e-05	236	348	1.22557730143937	9.29097848467781e-06	321	665	1.25970281646088	
Cellular amide metabolic process	9.01134970049771e-05	386	1061	1.23348622727141	5.51385581781058e-05	283	1015	1.30393086632475	2.83412639152573e-06	446	684	1.1783836468047	3.56536181553392e-07	485	1026	1.23361343656534	
Protein-containing complex subunit organization	3.64810031031697e-08	650	1793	1.22912329848913	2.33262969593734e-08	444	1585	1.31005001441944	2.66814598065224e-19	549	764	1.29863449837272	0.000329921786286607	344	742	1.20987151125439	
Chromosome organization	3.50335136666934e-09	362	907	1.35320522916995	2.08798425870572e-08	267	871	1.4335976454842	5.63543929106067e-15	426	593	1.29826352490771	0.000409952649446674	264	555	1.24135402575214	
Organonitrogen compound biosynthetic process	0.00241713247402921	549	1613	1.15398552408876	6.73985724554557e-08	418	1490	1.31197085079707	9.70715511647193e-14	678	1007	1.21676910276712	5.62841345551715e-08	787	1731	1.18648534333401	
Organelle fission	0.00241713247402921	185	484	1.29595150580208	0.000258841660956516	141	460	1.43349259436216	7.095122921596e-09	229	314	1.31799506512882	0.000138061760767426	134	253	1.38219395878529	
Methylation	0.00242370947462509	136	340	1.35619573796369	0.00323749327437709	104	339	1.4347221848634	0.000336943341454851	119	166	1.29552805817866	0.0049545973975786	220	469	1.22414975887072	
Mitochondrial gene expression	3.96459356371997e-07	77	142	1.8385047856198	4.97640123281555e-07	50	104	2.24838582039891	1.30146419160738e-08	101	122	1.49613055678629	-	-	-	-	
Nucleic acid phosphodiester bond hydrolysis	6.05216588307928e-10	134	266	1.70799087299939	6.83889014767618e-08	96	245	1.83248032905002	3.09220525644118e-06	124	164	1.36642496154691	-	-	-	-	
Cellular macromolecule localization	-	-	-	-	9.64523511381599e-07	453	1669	1.26933436513641	2.38202204299129e-12	424	604	1.26863552294016	2.09728893362902e-05	340	714	1.24269748248997	
Organelle assembly	1.49180080442578e-05	317	835	1.28716781118111	4.45695829808944e-06	238	806	1.38094406517404	3.5336885883612e-06	273	400	1.23341891891892	-	-	-	-	
Cellular response to stress	0.000356988879169599	647	1895	1.15759715364447	8.15406365759396e-05	452	1730	1.22187422711344	2.9632143462376e-08	417	619	1.21745622844169	-	-	-	-	
Chromosome segregation	0.00176856629126073	125	306	1.38500381736488	1.66742585791471e-06	113	320	1.651439385083	7.06297227864189e-05	138	192	1.29893018018018	-	-	-	-	
Mitochondrion organization	1.46195816874345e-05	201	493	1.3823293272348	6.46919355953052e-05	150	484	1.44937267761252	0.00243480674992841	154	228	1.22065749960487	-	-	-	-	
Microtubule-based process	0.00347399185218245	299	835	1.2140794181172	5.51385581781058e-05	246	864	1.33154404696958	6.75908903929352e-05	315	479	1.18845567906111	-	-	-	-	
Macromolecule catabolic process	0.00571498855812578	460	1346	1.15871106883971	1.64106979191103e-05	340	1235	1.2874967224179	1.07562030965847e-06	363	543	1.20813299487333	-	-	-	-	
Establishment of localization in cell	-	-	-	-	0.00947359297784933	486	1975	1.15080924462018	1.11711003288099e-15	581	836	1.25596577438683	2.74501373517492e-08	384	776	1.29138047664937	
Catalytic complex	7.98612653751079e-11	486	1256	1.31192501721806	4.5580169674357e-16	408	1296	1.47227634461677	3.38456788050648e-15	661	972	1.22897527156786	6.65455465713361e-11	549	1134	1.26340910719814	
Nuclear protein-containing complex	7.98612653751079e-11	432	1095	1.33761771415597	4.33327854333629e-22	378	1098	1.60999168254139	3.30618719825723e-38	656	855	1.38658237184553	7.78533044830881e-10	433	880	1.28407366003197	
Ribonucleoprotein complex	1.9431711760999e-09	262	623	1.42585587217692	4.68345334133771e-13	228	662	1.61068654299997	1.80799837035496e-25	431	560	1.39090411840412	4.07361321692957e-08	359	730	1.28338305760163	
Mitochondrion	8.82473970745923e-15	581	1472	1.33822982975018	2.36668954906078e-29	578	1752	1.54286493648196	8.87034844783509e-08	548	842	1.17618711347927	2.48898879947982e-11	858	1855	1.20705785657705	
Intracellular protein-containing complex	2.45892020730697e-12	294	678	1.4702121938102	3.97100835620628e-14	240	692	1.62195693864615	1.00413051903337e-05	339	514	1.19191292459775	1.99013631494044e-05	322	680	1.23575299655841	
