RNA processing	8.82782178905213e-17	260	906	1.72055260040453	1.84534194242821e-29	223	823	2.25072258127021	6.58957689749944e-47	385	595	1.82856523623754	6.05760906916555e-18	319	979	1.63306107218376	
NcRNA metabolic process	4.09245541312164e-15	160	491	1.95371537642676	1.47392239008826e-22	134	435	2.55877725589033	4.6954661625873e-22	206	329	1.76944886910855	7.09768793959982e-10	173	531	1.63284897255752	
Ribonucleoprotein complex biogenesis	1.5309725291916e-09	130	432	1.80419057403531	6.95702004774704e-14	109	401	2.25787068872669	2.88396170778557e-21	198	316	1.77069924774901	1.28963683220905e-14	186	516	1.80658199605252	
RNA modification	5.92439599798948e-09	61	154	2.37482667367524	2.44423118213424e-12	55	148	3.08686697494837	2.62397848392177e-07	69	111	1.75668060778594	2.4306109981652e-09	113	311	1.82101066669831	
DNA metabolic process	4.09245541312164e-15	244	865	1.69120604738029	1.49655801795477e-17	190	806	1.9581028498883	6.01828848912895e-12	190	348	1.54291162827776	2.05544527994885e-05	187	665	1.40933551591155	
MRNA metabolic process	4.53631229797431e-05	185	787	1.40935305128435	1.01338760977093e-09	134	613	1.81577178843767	1.27171443964011e-29	257	402	1.80664891839028	6.0100996547437e-08	181	592	1.53232646853496	
Intracellular transport	0.000504972892666749	325	1565	1.24506442169849	0.000196886549798337	221	1367	1.34289080290765	1.78205969013183e-26	379	679	1.57737927662049	6.99860997302256e-12	231	727	1.59247273077958	
Protein-containing complex subunit organization	1.62451195658059e-06	388	1793	1.29740103504012	2.95777352067464e-07	269	1585	1.4097430227318	3.06531154422734e-35	440	764	1.62751879665121	0.000914851699451071	195	742	1.31711938413185	
Cellular amide metabolic process	0.000363754408326298	232	1061	1.31097800400286	0.000744532666348858	168	1015	1.37486539122465	1.4271664907922e-14	344	684	1.42124528196666	2.85567154616782e-11	302	1026	1.47521057666717	
Organelle fission	6.32297494457441e-06	128	484	1.58557727243891	3.12855637620802e-08	104	460	1.87798642207136	3.8940784242202e-13	178	314	1.60197985085547	0.0015239641623802	78	253	1.54514242375625	
Cell cycle	7.92705019546395e-10	383	1659	1.38412461453881	5.48668496260608e-09	269	1522	1.46809638044014	1.25610911484398e-27	428	782	1.54669154369499	0.00200363088887356	177	674	1.316157324778	
Organonitrogen compound biosynthetic process	0.00291809739512918	327	1613	1.21544745696277	1.34436181040945e-05	246	1490	1.37140515953533	2.95849773790602e-18	493	1007	1.38351586574946	1.50266551893979e-13	483	1731	1.39844212653565	
Organelle assembly	0.000165306000666183	191	835	1.37141752781945	3.08199921200985e-05	146	806	1.50464745307206	8.26993477227111e-10	206	400	1.45537169484179	0.00636006232482369	61	196	1.55979742450486	
Nucleic acid phosphodiester bond hydrolysis	2.59520494640586e-10	93	266	2.0961584876357	5.87417237400657e-09	68	245	2.30547155739372	1.26030826061658e-06	92	164	1.5852971338556	-	-	-	-	
Chromosome segregation	1.273406428155e-06	92	306	1.80255782238459	3.62979026741111e-10	85	320	2.20640832641196	5.90005886510821e-11	116	192	1.70735352550209	-	-	-	-	
Mitochondrial gene expression	2.99998188880254e-05	49	142	2.06885731696529	4.15217398122156e-07	36	104	2.87531944799387	1.81534987654718e-13	86	122	1.99207330505162	-	-	-	-	
Mitochondrion organization	1.55682986132677e-05	128	493	1.55663164271893	6.40210074181615e-06	100	484	1.71621454655281	0.000117963202268929	113	228	1.40058764705435	-	-	-	-	
Cellular response to stress	4.53631229797431e-05	395	1895	1.24971414472655	9.87822483590402e-05	273	1730	1.31079110095443	3.41033453977767e-14	315	619	1.4380917667869	-	-	-	-	
Microtubule-based process	0.000327057493726814	189	835	1.35705713485799	0.000658760988247592	147	864	1.41325500645995	3.7643843559049e-08	233	479	1.37463406732528	-	-	-	-	
Cellular macromolecule localization	-	-	-	-	0.00444796764564275	251	1669	1.2492067583788	2.80899892573973e-19	325	604	1.52059345728663	1.13340286904719e-05	200	714	1.40386782019081	
