ENSG00000186092	ENSRNOG00000070568	ENSMUSG00000051951	ENSSSCG00000037372	ENSDARG00000099104	FBgn0002121	AT1G01010	
ENSG00000284733	ENSRNOG00000065706	ENSMUSG00000025900	ENSSSCG00000027257	ENSDARG00000102407	FBgn0031209	AT1G01020	
ENSG00000284662	ENSRNOG00000069644	ENSMUSG00000025902	ENSSSCG00000029697	ENSDARG00000102097	FBgn0051973	AT1G01030	
ENSG00000187634	ENSRNOG00000070257	ENSMUSG00000033845	ENSSSCG00000027726	ENSDARG00000099319	FBgn0067779	AT1G01040	
ENSG00000188976	ENSRNOG00000065285	ENSMUSG00000033813	ENSSSCG00000047845	ENSDARG00000099640	FBgn0031213	AT1G01050	
ENSG00000187961	ENSRNOG00000066299	ENSMUSG00000002459	ENSSSCG00000004010	ENSDARG00000104071	FBgn0031214	AT1G01060	
ENSG00000187583	ENSRNOG00000069636	ENSMUSG00000033793	ENSSSCG00000004009	ENSDARG00000102746	FBgn0002931	AT1G01070	
ENSG00000187642	ENSRNOG00000070917	ENSMUSG00000025905	ENSSSCG00000030155	ENSDARG00000103929	FBgn0031216	AT1G01080	
ENSG00000188290	ENSRNOG00000067992	ENSMUSG00000033774	ENSSSCG00000038931	ENSDARG00000101073	FBgn0031217	AT1G01090	
ENSG00000187608	ENSRNOG00000063169	ENSMUSG00000025907	ENSSSCG00000004008	ENSDARG00000100223	FBgn0026787	AT1G01100	
ENSG00000188157	ENSRNOG00000062307	ENSMUSG00000087247	ENSSSCG00000004012	ENSDARG00000100782	FBgn0005278	AT1G01110	
ENSG00000237330	ENSRNOG00000069767	ENSMUSG00000033740	ENSSSCG00000004013	ENSDARG00000034862	FBgn0031228	AT1G01120	
ENSG00000131591	ENSRNOG00000067737	ENSMUSG00000051285	ENSSSCG00000031703	ENSDARG00000075827	FBgn0031219	AT1G01130	
ENSG00000162571	ENSRNOG00000050129	ENSMUSG00000025909	ENSSSCG00000004017	ENSDARG00000088581	FBgn0031220	AT1G01140	
ENSG00000186891	ENSRNOG00000069337	ENSMUSG00000061024	ENSSSCG00000004016	ENSDARG00000076900	FBgn0025683	AT1G01150	
ENSG00000186827	ENSRNOG00000069837	ENSMUSG00000025911	ENSSSCG00000004018	ENSDARG00000013802	FBgn0051974	AT1G01160	
ENSG00000078808	ENSRNOG00000063217	ENSMUSG00000067879	ENSSSCG00000027404	ENSDARG00000096578	FBgn0259818	AT1G01170	
