0-6	306	46	28	10	79
6-11	229	16	29	5	73
11-34	492	67	67	15	124
34-37	304	34	51	7	83
37-50	428	58	54	6	109
50-132	1603	230	199	49	421
132-272	1357	231	171	36	364
272-310	438	82	44	23	114
310-325	231	44	20	5	74
325-358	233	55	20	7	82
358-480	633	125	54	41	173
480-583	295	58	29	15	88
583-743	240	48	4	19	72
743-753	157	25	8	14	44
753-797	247	55	9	20	83
797-824	310	67	14	24	112
824-948	551	121	17	45	184
948-952	805	200	30	56	332
952-1023	1335	309	49	101	576
1023-1105	337	90	18	15	155
1105-1480	301	86	10	12	154
1480-1496	964	262	26	43	486
1660-2101	344	113	10	20	191
>4290	836	241	17	38	456
