0-7	173	9	8	3	0	9
7-16	257	7	11	6	1	6
16-20	250	10	20	5	3	13
20-43	341	18	15	7	5	11
43-67	296	9	17	6	2	9
67-82	335	17	21	12	6	14
82-105	222	11	21	11	9	9
105-159	299	23	20	6	9	16
159-177	435	51	24	24	10	23
177-312	347	30	16	16	5	18
312-352	250	27	19	10	4	14
352-413	763	64	36	36	15	39
413-435	230	24	7	13	6	9
435-473	1058	137	62	71	42	78
473-615	1667	196	98	90	38	101
615-676	3297	425	135	173	99	249
676-684	1419	190	69	81	31	101
797-824	227	29	11	10	7	13
824-948	543	73	30	34	18	31
948-952	862	94	29	45	24	61
952-1023	1620	212	64	100	58	127
1023-1105	352	52	19	21	17	32
1105-1480	335	45	14	24	18	46
1480-1496	1162	188	68	80	56	134
1660-2101	455	63	28	37	22	50
>4290	978	161	47	75	55	121
