0-3	513	15	16	5	3	19
3-7	652	10	12	3	4	19
7-21	216	6	4	3	5	4
21-33	358	8	7	6	0	11
33-45	532	11	19	9	5	12
45-55	214	6	8	1	4	7
55-73	239	11	7	6	7	2
73-82	163	6	7	5	2	6
82-105	291	14	12	13	7	5
105-159	271	9	14	6	4	6
159-177	461	32	16	8	12	16
177-312	381	18	16	8	3	16
312-352	288	24	8	12	8	7
352-413	1035	39	25	18	9	24
413-435	208	19	4	8	4	16
435-473	1020	101	36	30	41	57
473-615	1716	135	78	33	46	92
615-676	3328	340	93	83	89	232
676-684	1360	151	46	41	46	79
797-824	231	24	6	8	5	12
824-948	556	52	22	14	7	38
948-952	884	75	25	25	29	53
952-1023	1600	160	48	46	39	135
1023-1105	152	13	4	4	3	16
1105-1480	192	11	1	5	7	21
1480-1496	173	15	10	10	6	13
1496-1660	519	66	14	20	18	52
1660-1768	700	92	25	19	36	82
1768-2101	425	55	10	18	22	51
>4290	1342	164	39	45	66	146
