1	0-6	306	89	43	3	36	4
2	6-11	229	54	16	4	33	0
3	11-34	492	165	64	7	78	11
4	34-37	304	99	34	3	53	4
5	37-50	428	130	54	4	56	11
6	50-132	1603	530	208	23	237	38
7	132-272	1357	468	213	18	195	18
8	272-310	438	157	78	4	64	6
9	310-325	231	77	40	4	24	4
10	325-358	233	88	48	3	25	5
11	358-480	633	228	116	6	81	6
12	480-530	98	41	17	1	19	0
13	530-583	197	68	35	9	20	1
14	583-601	78	19	12	1	2	1
15	601-743	162	53	29	1	15	1
16	743-753	157	47	21	1	18	2
17	753-797	247	89	51	2	26	4
18	797-824	310	113	59	8	32	3
19	824-948	551	196	109	13	51	9
20	948-952	805	304	178	15	70	13
21	952-1023	1335	510	282	35	133	28
22	1023-1105	337	139	85	11	30	5
23	1105-1480	301	117	77	5	20	5
24	1480-1496	964	369	234	31	53	22
25	1660-1768	328	136	98	2	20	6
26	1768-2101	16	9	4	0	2	0
27	>4290	836	321	223	20	46	12
