1	0-7	171	28	7	3	7	9
2	7-9	128	18	4	5	5	3
3	9-16	136	13	3	2	6	2
4	16-20	251	44	8	7	18	7
5	20-29	118	11	4	2	4	1
6	29-43	222	35	11	8	10	4
7	43-67	297	37	6	5	16	6
8	67-74	141	23	4	6	9	3
9	74-82	193	31	7	8	10	1
10	82-90	75	16	2	1	10	1
11	90-96	44	6	2	3	1	0
12	96-105	103	31	5	14	8	3
13	105-159	288	55	17	11	17	3
14	159-177	433	109	41	27	21	9
15	177-312	347	66	27	18	13	2
16	312-352	252	63	23	11	19	6
17	352-413	761	153	48	37	32	17
18	413-435	231	50	20	15	7	3
19	435-473	1059	291	101	80	50	17
20	473-615	1669	402	154	95	77	27
21	615-676	3298	783	353	197	105	42
22	676-684	1420	365	161	88	56	29
23	797-824	227	55	28	12	6	4
24	824-948	543	148	63	40	24	7
25	948-952	862	194	82	60	26	14
26	952-1023	1618	408	172	110	48	23
27	1023-1105	353	109	43	27	15	12
28	1105-1480	335	100	39	36	9	7
29	1480-1496	1160	369	150	93	52	25
30	1660-1768	447	132	42	40	18	8
31	1768-2101	10	3	2	1	0	0
32	>4290	977	306	124	89	34	12
