1	0-21	583	113	15	20	64	9
2	21-29	178	18	2	4	6	5
3	29-33	130	21	3	2	13	2
4	33-45	406	47	10	6	22	6
5	45-55	142	18	4	5	6	0
6	55-70	40	7	3	0	4	0
7	70-71	58	9	2	2	4	1
8	71-73	113	14	2	4	7	0
9	73-82	104	11	3	3	2	2
10	82-90	102	9	0	2	2	3
11	90-96	58	10	0	2	8	0
12	96-105	108	19	3	6	9	1
13	105-159	373	45	7	5	22	5
14	159-177	422	55	19	12	18	3
15	177-312	347	51	16	12	17	3
16	312-352	355	58	22	10	18	6
17	352-413	324	48	10	13	18	5
18	413-435	216	42	15	11	8	3
19	435-473	958	184	80	44	43	8
20	473-615	1598	269	94	43	104	10
21	615-676	3151	512	225	98	136	18
22	676-684	7790	1478	603	327	376	52
