1	0-19	3836	707	297	38	195	145
2	19-60	659	118	70	3	20	19
3	60-181	4547	992	581	36	169	161
4	181-241	943	234	150	7	35	27
5	241-743	1037	291	199	6	49	25
6	743-753	154	49	34	2	8	1
7	753-797	211	62	43	0	8	10
8	797-824	545	139	83	5	22	17
9	824-948	753	231	151	8	38	21
10	948-952	1211	372	242	7	56	40
11	952-1023	2289	716	463	12	125	76
12	1023-1105	391	123	72	6	16	18
13	1105-1480	378	94	62	7	11	10
14	1480-1496	1153	348	226	16	51	35
15	1660-1768	419	136	91	3	16	14
16	1768-2101	11	3	1	1	1	0
17	>4290	1184	343	218	15	46	34
