1	0-3	511	86	4	7	70	5
2	3-7	397	93	9	8	70	3
3	7-9	170	22	1	4	14	3
4	9-16	255	44	11	1	31	1
5	16-20	518	70	8	3	52	5
6	20-29	332	66	2	9	47	5
7	29-43	322	50	7	1	38	2
8	43-67	453	69	7	6	43	8
9	67-74	157	27	2	2	20	2
10	74-82	304	41	6	4	27	4
11	82-90	97	11	2	2	6	0
12	90-96	55	6	0	2	4	0
13	96-105	120	18	6	3	6	1
14	105-159	332	39	14	6	18	1
15	159-177	493	67	25	5	26	2
16	177-312	375	47	19	4	18	3
17	312-352	284	46	15	5	19	7
18	352-413	867	91	24	13	42	8
19	413-435	226	21	8	4	6	1
20	435-473	1061	151	53	29	48	13
21	473-615	1782	252	77	27	120	17
22	615-676	3419	511	160	92	190	39
23	676-684	1419	198	55	39	85	9
24	797-824	239	35	13	5	15	1
25	824-948	585	110	41	19	41	5
26	948-952	883	125	34	26	55	7
27	952-1023	1656	279	107	48	93	16
28	1023-1105	190	32	11	5	11	1
29	1105-1480	208	36	8	11	12	3
30	1480-1496	189	34	9	4	15	1
31	1496-1660	591	100	37	25	32	2
32	1660-1768	794	149	46	37	42	5
33	1768-2101	484	92	26	24	28	4
34	>4290	1579	301	94	61	100	26
