1	0-352	992	284	46	79	103	19
2	352-413	280	74	17	13	30	3
3	413-435	165	40	6	12	13	2
4	435-473	650	166	40	28	59	9
5	473-615	835	233	51	57	75	16
6	615-676	1476	402	75	111	125	28
7	676-684	618	156	28	43	47	12
8	797-824	98	30	7	5	10	2
9	824-948	228	63	8	13	27	3
10	948-952	382	95	16	19	38	11
11	952-1023	649	166	37	43	52	8
12	1023-1105	67	21	7	5	9	0
13	1105-1480	59	14	3	2	6	1
14	1480-1496	74	13	1	7	2	0
15	1496-1660	192	58	11	15	19	3
16	1660-1768	296	83	10	26	32	7
17	1768-2101	177	47	8	14	13	4
18	>4290	568	167	30	46	57	13
