1	0-7	173	29	7	3	7	10
2	7-9	122	17	4	5	4	3
3	9-16	135	13	3	2	6	2
4	16-20	250	42	8	6	18	6
5	20-29	119	12	4	2	5	1
6	29-43	222	34	11	7	10	3
7	43-67	296	36	6	5	15	6
8	67-74	140	23	4	6	9	3
9	74-82	195	32	7	8	11	1
10	82-90	76	17	2	2	10	1
11	90-96	43	6	2	3	1	0
12	96-105	103	32	5	14	9	3
13	105-159	299	55	17	11	17	3
14	159-177	435	109	41	27	21	9
15	177-312	347	66	27	19	14	1
16	312-352	250	62	24	11	18	5
17	352-413	763	153	48	37	32	17
18	413-435	230	50	20	15	7	3
19	435-473	1058	290	102	79	49	17
20	473-615	1667	406	154	94	79	28
21	615-676	3297	793	356	200	106	42
22	676-684	1419	368	163	88	56	29
23	797-824	227	56	28	12	7	4
24	824-948	543	149	63	39	25	7
25	948-952	862	196	83	61	26	15
26	952-1023	1620	411	172	111	48	24
27	1023-1105	352	110	43	29	13	12
28	1105-1480	335	100	39	36	9	7
29	1480-1496	1162	373	152	96	52	25
30	1660-1768	445	134	43	39	20	8
31	1768-2101	10	3	2	1	0	0
32	>4290	978	306	126	89	33	11
