1	0-3	513	47	13	6	15	10
2	3-7	652	29	9	7	10	1
3	7-8	55	3	0	1	2	0
4	8-21	161	17	6	7	2	2
5	21-29	251	17	6	5	4	2
6	29-33	107	7	2	1	3	1
7	33-45	532	41	8	10	15	2
8	45-55	214	21	6	5	8	2
9	55-70	42	6	3	2	1	0
10	70-71	59	10	2	5	1	1
11	71-73	138	15	4	5	4	1
12	73-82	163	20	3	6	6	2
13	82-90	138	19	4	8	4	2
14	90-96	49	7	1	3	2	1
15	96-105	104	21	6	7	6	0
16	105-159	271	31	8	7	12	1
17	159-177	461	70	31	18	14	4
18	177-312	381	42	15	8	12	2
19	312-352	288	48	18	15	7	2
20	352-413	1035	95	33	21	23	11
21	413-435	208	37	19	12	4	2
22	435-473	1020	209	92	62	33	11
23	473-615	1716	298	121	68	71	21
24	615-676	3328	589	307	141	79	22
25	676-684	1360	267	129	62	41	7
26	797-824	231	43	22	10	5	3
27	824-948	556	96	50	20	22	2
28	948-952	884	152	66	44	23	7
29	952-1023	1600	294	145	73	39	18
30	1023-1105	152	22	11	6	3	0
31	1105-1480	192	24	10	11	1	1
32	1480-1496	173	39	13	14	9	0
33	1496-1660	519	110	54	27	13	3
34	1660-1768	700	165	80	43	21	6
35	1768-2101	425	98	47	30	8	3
36	>4290	1342	301	144	90	32	9
