1	0-153	2733	650	70	57	275	87
2	153-222	336	47	7	12	18	7
3	222-230	378	60	9	9	23	12
4	230-267	719	98	26	17	34	17
5	267-315	483	73	15	14	30	7
6	315-386	641	89	23	13	30	16
7	386-435	372	58	14	6	24	12
8	435-473	1791	261	54	41	102	40
9	473-615	2159	309	77	46	110	52
10	615-676	4250	584	155	100	178	105
11	676-684	1743	246	70	52	58	48
12	797-824	315	46	10	7	17	9
13	824-948	664	96	20	15	33	22
14	948-952	1040	156	44	27	50	31
15	952-1023	1859	292	72	56	84	59
16	1023-1105	214	38	11	11	8	6
17	1105-1480	218	27	10	5	4	5
18	1480-1496	216	47	17	6	15	7
19	1496-1660	585	97	34	24	17	13
20	1660-1768	822	134	40	33	32	20
21	1768-2101	473	80	26	21	16	12
22	>4290	1444	251	86	64	44	42
