1	1114	169	44	23	60	27	0
10	881	125	39	18	25	31	0
11	782	154	48	22	33	33	0
12	826	151	34	20	43	39	0
13	853	141	38	21	55	17	0
14	776	128	27	37	32	21	0
15	877	128	30	25	36	21	0
16	992	118	25	27	36	19	0
17	867	189	45	46	50	29	0
18	760	100	31	6	27	30	0
19	894	118	19	25	45	13	0
2	1140	153	23	39	48	24	0
20	953	169	37	30	71	14	0
21	922	135	39	35	38	15	0
22	874	156	31	20	60	30	0
23	836	129	22	18	49	22	0
24	657	131	34	13	61	14	0
25	748	117	42	20	29	14	0
3	1190	178	42	27	64	32	0
4	1224	255	41	14	123	47	0
5	1267	164	42	29	42	32	0
6	986	107	27	21	27	16	0
7	1187	222	64	46	65	24	0
8	994	162	31	29	45	39	0
9	842	133	33	25	38	21	0
MT	13	7	2	0	0	5	0
