"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.4143660041982e-14,336,1099,1.49305088384742,"Membrane-enclosed lumen "," http://amigo.geneontology.org/amigo/term/GO:0031974"," aop  arm  ash2  c(3)G  Dhod  e(y)1  e(y)2  E(z)  Gdh  Glt  Got2  gro  Jra  kz  Mybbp1A  CIAPIN1  mRpL4  msl-3  Pc  per  pn  skd  spn-A  Su(var)205  Tbp  tra  trx  vls  piwi  yem  gcl  Taf1  TfIIFbeta  mtSSB  Prosbeta1  Ref1  l(3)07882  poe  Dif  lark  Mlh1  tsr  Arp6  Fdx1  Taf2  mRpL47  Rnp4F  Orc2  Rpt2  peng  Nelf-E  Max  lok  RpI1  SA  Nup154  Nle  CG1910  Sin3A  qkr58E-3  bon  Prosbeta2  Orc6  Parg  mip130  CG14803  CG14805  trr  mRpL16  CG3071  MED6  Taf7  Mtpbeta  Bub3  Torsin  Rtca  CycK  cry  Sbf  Rad9  Fen1  Tip60  CG14817  PH4alphaMP  eIF1A  bonsai  Mad1  RpII33  Prosbeta3  NiPp1  Dek  mRpL18  l(1)G0020  l(1)G0004  MRG15  CG11970  Prp18  Nup107  Pol31  MTA1-like  Taf10  Nxt1  Mtpalpha  c(2)M  mRpL50  Adat1  Rpt5  Rpt4  Rpn7  Rpn9  Spt6  Prosbeta5  CG2875  mRpL30  Sas10  mldr  CG1575  CG2260  CG1785  Psf3  mRpS25  ND-B18  SWIP  Sap30  Rrp45  Spt7  Arp8  CG14220  CG14618  mRpL10  Saf6  Tfb4  CG4896  mRpL48  CG17652  CG15432  mRpS2  mRpL24  jet  CG3756  mRpL28  WDR79  Daxx  Hmgcl  MICU1  cdc14  Sirup  CCDC53  CG12375  CG8419  Wdr82  mRpL51  mtDNA-helicase  Bug22  CG6094  Dpy-30L1  CG6712  Ski6  Prosbeta4  Rpb11  CG10336  Taf13  Pld3  Mcm10  Clamp  CG10395  CG8712  Nup50  coil  CG14757  MrgBP  tsu  Mys45A  Lsm11  mRpL42  RpLP0-like  CG7637  Lsm10  CG12325  ERp60  CG4744  Echs1  mRpS16  mRpL41  Rrp42  CG8414  CG8060  RpS15  CG4866  mRpS28  CG11788  CG9143  FAM21  CG9344  CG9346  Mes4  mRpS29  Ice1  mRpL43  Upf3  thoc5  CG4622  Samtor  TyrRS-m  Ctr9  CG7879  CG7974  SCOT  mRpL23  CG9004  CG14965  CG11583  CG15019  Eaf6  mad2  Pop4  CG7504  CG6638  Jarid2  CG3335  mRpL2  CG14130  CG5645  CG10984  mRpL39  mRpS31  Strump  nxf2  Pop5  Lon  Mtr3  mRpL15  Tsr1  Rpb8  Nopp140  P5CDh1  Suv3  POLDIP2  mRpL44  CRAT  mRpS9  CG10903  Ada2b  mRpL1  CG7483  RnpS1  CG8199  bocks  mtTFB2  Rrp46  RpL24-like  GCC185  CG5641  mRpL11  CG8461  Hexim  Rrp6  CG14860  Mau2  mRpL9  CG10185  mRpS33  Sdhaf3  CG10324  cal1  Arp5  CG8064  cona  Gdn1  CG4538  RpI12  mRpL35  CG6937  EloA  wda  CG18428  mRpS24  CG5728  Rpb10  PQBP1  mRpS22  NSD  Slu7  Brd8  dgt1  mRpS18C  PH4alphaSG2  PH4alphaNE2  CG1542  mRpL32  Mccc1  Set1  MED22  CG12848  e(y)2b  CG17059  mRpS21  btz  CG30183  CG30382  tbrd-3  Rpb7  Unc-115a  Ada1-1  Ada1-2  CG32409  mRpL34  CG34231  CG34345  Prosalpha2  l(2)37Cg  e(y)3  UQCR-C2  DNApol-alpha180  mRpS23  Larp7  BHD  Mat89Ba  l(2)34Fd  east  Myc  Sap130  Fs(2)Ket  Prosalpha1  DNApol-delta  ebi  rdx  RPA3  Sem1  Cep89  rump  l(2)10685  Mcm3  mRpS34  Orc1  dind"
3.4143660041982e-14,336,1099,1.49305088384742,"Organelle lumen "," http://amigo.geneontology.org/amigo/term/GO:0043233"," aop  arm  ash2  c(3)G  Dhod  e(y)1  e(y)2  E(z)  Gdh  Glt  Got2  gro  Jra  kz  Mybbp1A  CIAPIN1  mRpL4  msl-3  Pc  per  pn  skd  spn-A  Su(var)205  Tbp  tra  trx  vls  piwi  yem  gcl  Taf1  TfIIFbeta  mtSSB  Prosbeta1  Ref1  l(3)07882  poe  Dif  lark  Mlh1  tsr  Arp6  Fdx1  Taf2  mRpL47  Rnp4F  Orc2  Rpt2  peng  Nelf-E  Max  lok  RpI1  SA  Nup154  Nle  CG1910  Sin3A  qkr58E-3  bon  Prosbeta2  Orc6  Parg  mip130  CG14803  CG14805  trr  mRpL16  CG3071  MED6  Taf7  Mtpbeta  Bub3  Torsin  Rtca  CycK  cry  Sbf  Rad9  Fen1  Tip60  CG14817  PH4alphaMP  eIF1A  bonsai  Mad1  RpII33  Prosbeta3  NiPp1  Dek  mRpL18  l(1)G0020  l(1)G0004  MRG15  CG11970  Prp18  Nup107  Pol31  MTA1-like  Taf10  Nxt1  Mtpalpha  c(2)M  mRpL50  Adat1  Rpt5  Rpt4  Rpn7  Rpn9  Spt6  Prosbeta5  CG2875  mRpL30  Sas10  mldr  CG1575  CG2260  CG1785  Psf3  mRpS25  ND-B18  SWIP  Sap30  Rrp45  Spt7  Arp8  CG14220  CG14618  mRpL10  Saf6  Tfb4  CG4896  mRpL48  CG17652  CG15432  mRpS2  mRpL24  jet  CG3756  mRpL28  WDR79  Daxx  Hmgcl  MICU1  cdc14  Sirup  CCDC53  CG12375  CG8419  Wdr82  mRpL51  mtDNA-helicase  Bug22  CG6094  Dpy-30L1  CG6712  Ski6  Prosbeta4  Rpb11  CG10336  Taf13  Pld3  Mcm10  Clamp  CG10395  CG8712  Nup50  coil  CG14757  MrgBP  tsu  Mys45A  Lsm11  mRpL42  RpLP0-like  CG7637  Lsm10  CG12325  ERp60  CG4744  Echs1  mRpS16  mRpL41  Rrp42  CG8414  CG8060  RpS15  CG4866  mRpS28  CG11788  CG9143  FAM21  CG9344  CG9346  Mes4  mRpS29  Ice1  mRpL43  Upf3  thoc5  CG4622  Samtor  TyrRS-m  Ctr9  CG7879  CG7974  SCOT  mRpL23  CG9004  CG14965  CG11583  CG15019  Eaf6  mad2  Pop4  CG7504  CG6638  Jarid2  CG3335  mRpL2  CG14130  CG5645  CG10984  mRpL39  mRpS31  Strump  nxf2  Pop5  Lon  Mtr3  mRpL15  Tsr1  Rpb8  Nopp140  P5CDh1  Suv3  POLDIP2  mRpL44  CRAT  mRpS9  CG10903  Ada2b  mRpL1  CG7483  RnpS1  CG8199  bocks  mtTFB2  Rrp46  RpL24-like  GCC185  CG5641  mRpL11  CG8461  Hexim  Rrp6  CG14860  Mau2  mRpL9  CG10185  mRpS33  Sdhaf3  CG10324  cal1  Arp5  CG8064  cona  Gdn1  CG4538  RpI12  mRpL35  CG6937  EloA  wda  CG18428  mRpS24  CG5728  Rpb10  PQBP1  mRpS22  NSD  Slu7  Brd8  dgt1  mRpS18C  PH4alphaSG2  PH4alphaNE2  CG1542  mRpL32  Mccc1  Set1  MED22  CG12848  e(y)2b  CG17059  mRpS21  btz  CG30183  CG30382  tbrd-3  Rpb7  Unc-115a  Ada1-1  Ada1-2  CG32409  mRpL34  CG34231  CG34345  Prosalpha2  l(2)37Cg  e(y)3  UQCR-C2  DNApol-alpha180  mRpS23  Larp7  BHD  Mat89Ba  l(2)34Fd  east  Myc  Sap130  Fs(2)Ket  Prosalpha1  DNApol-delta  ebi  rdx  RPA3  Sem1  Cep89  rump  l(2)10685  Mcm3  mRpS34  Orc1  dind"
3.57335655618411e-14,335,1098,1.48996302436162,"Intracellular organelle lumen "," http://amigo.geneontology.org/amigo/term/GO:0070013"," aop  arm  ash2  c(3)G  Dhod  e(y)1  e(y)2  E(z)  Gdh  Got2  gro  Jra  kz  Mybbp1A  CIAPIN1  mRpL4  msl-3  Pc  per  pn  skd  spn-A  Su(var)205  Tbp  tra  trx  vls  piwi  yem  gcl  Taf1  TfIIFbeta  mtSSB  Prosbeta1  Ref1  l(3)07882  poe  Dif  lark  Mlh1  tsr  Arp6  Fdx1  Taf2  mRpL47  Rnp4F  Orc2  Rpt2  peng  Nelf-E  Max  lok  RpI1  SA  Nup154  Nle  CG1910  Sin3A  qkr58E-3  bon  Prosbeta2  Orc6  Parg  mip130  CG14803  CG14805  trr  mRpL16  CG3071  MED6  Taf7  Mtpbeta  Bub3  Torsin  Rtca  CycK  cry  Sbf  Rad9  Fen1  Tip60  CG14817  PH4alphaMP  eIF1A  bonsai  Mad1  RpII33  Prosbeta3  NiPp1  Dek  mRpL18  l(1)G0020  l(1)G0004  MRG15  CG11970  Prp18  Nup107  Pol31  MTA1-like  Taf10  Nxt1  Mtpalpha  c(2)M  mRpL50  Adat1  Rpt5  Rpt4  Rpn7  Rpn9  Spt6  Prosbeta5  CG2875  mRpL30  Sas10  mldr  CG1575  CG2260  CG1785  Psf3  mRpS25  ND-B18  SWIP  Sap30  Rrp45  Spt7  Arp8  CG14220  CG14618  mRpL10  Saf6  Tfb4  CG4896  mRpL48  CG17652  CG15432  mRpS2  mRpL24  jet  CG3756  mRpL28  WDR79  Daxx  Hmgcl  MICU1  cdc14  Sirup  CCDC53  CG12375  CG8419  Wdr82  mRpL51  mtDNA-helicase  Bug22  CG6094  Dpy-30L1  CG6712  Ski6  Prosbeta4  Rpb11  CG10336  Taf13  Pld3  Mcm10  Clamp  CG10395  CG8712  Nup50  coil  CG14757  MrgBP  tsu  Mys45A  Lsm11  mRpL42  RpLP0-like  CG7637  Lsm10  CG12325  ERp60  CG4744  Echs1  mRpS16  mRpL41  Rrp42  CG8414  CG8060  RpS15  CG4866  mRpS28  CG11788  CG9143  FAM21  CG9344  CG9346  Mes4  mRpS29  Ice1  mRpL43  Upf3  thoc5  CG4622  Samtor  TyrRS-m  Ctr9  CG7879  CG7974  SCOT  mRpL23  CG9004  CG14965  CG11583  CG15019  Eaf6  mad2  Pop4  CG7504  CG6638  Jarid2  CG3335  mRpL2  CG14130  CG5645  CG10984  mRpL39  mRpS31  Strump  nxf2  Pop5  Lon  Mtr3  mRpL15  Tsr1  Rpb8  Nopp140  P5CDh1  Suv3  POLDIP2  mRpL44  CRAT  mRpS9  CG10903  Ada2b  mRpL1  CG7483  RnpS1  CG8199  bocks  mtTFB2  Rrp46  RpL24-like  GCC185  CG5641  mRpL11  CG8461  Hexim  Rrp6  CG14860  Mau2  mRpL9  CG10185  mRpS33  Sdhaf3  CG10324  cal1  Arp5  CG8064  cona  Gdn1  CG4538  RpI12  mRpL35  CG6937  EloA  wda  CG18428  mRpS24  CG5728  Rpb10  PQBP1  mRpS22  NSD  Slu7  Brd8  dgt1  mRpS18C  PH4alphaSG2  PH4alphaNE2  CG1542  mRpL32  Mccc1  Set1  MED22  CG12848  e(y)2b  CG17059  mRpS21  btz  CG30183  CG30382  tbrd-3  Rpb7  Unc-115a  Ada1-1  Ada1-2  CG32409  mRpL34  CG34231  CG34345  Prosalpha2  l(2)37Cg  e(y)3  UQCR-C2  DNApol-alpha180  mRpS23  Larp7  BHD  Mat89Ba  l(2)34Fd  east  Myc  Sap130  Fs(2)Ket  Prosalpha1  DNApol-delta  ebi  rdx  RPA3  Sem1  Cep89  rump  l(2)10685  Mcm3  mRpS34  Orc1  dind"
2.05600779633877e-11,188,560,1.63946762974853,"Ribonucleoprotein complex "," http://amigo.geneontology.org/amigo/term/GO:1990904"," aub  mRpL4  mago  msl-3  tra2  eIF2beta  Pabp2  RpL23  Rbp9  ppan  Ref1  l(3)07882  lark  msi  Cdc2rk  Rlb1  mRpL47  noi  eIF3i  RpL29  U2af38  RpS20  Rack1  Cbp80  qkr58E-1  RpL39  Es2  mRpL16  Bin1  Neos  eIF3e  eIF1A  bonsai  RpL23A  l(1)G0007  mRpL18  nito  CG7028  CG5808  Prp18  mRpL50  CG2875  mRpL30  CG17764  Sas10  mldr  CG2260  RpS28b  CG2972  betaNACtes1  mRpS25  CG6769  mRpL10  mRpL48  CG17652  Cwc25  CG3542  Sf3b2  CG3225  mRpS2  mRpL24  mRpL28  Phf5a  r2d2  RpL36A  mRpL51  Bug22  CG6094  CG6686  CG6712  RpL24  CG10341  CG10466  Nbr  CG17266  Dhx15  U2A  tsu  Lsm11  mRpL42  RpLP0-like  CG11777  CG7637  Lsm10  CG12325  CG7741  Prp8  mRpS16  CG11808  mRpL41  CG8204  RpS15  CG4866  Dcr-2  mRpS28  CG15084  CG9344  eIF3k  mRpS29  mRpL43  RpL12  CG4622  Tudor-SN  Cypl  CG7879  CG7974  CG2021  Mfap1  mRpL23  RpL28  CG11586  RpL18  Pop4  Srp68  mRpL2  RpL10Ab  CG5645  Sf3a2  mRpL39  Prp31  mRpS31  Pop5  CG6841  Prp3  mRpL15  Tsr1  barc  CG7414  mRpL44  CG1965  mRpS9  mRpL1  CG7483  CG9684  CG11964  beag  RpL24-like  CG5641  mRpL11  CG8461  Hexim  CG3817  mRpL9  mRpS33  CG10324  CG8064  Srp14  Srp72  mRpL35  mRpS24  CG5515  CG5728  PQBP1  RpL27  mRpS22  CG1646  Slu7  RpS8  CG15525  mRpS18C  CG1542  mRpL32  eIF2D  mRpS21  btz  CG31368  CG31922  CG32409  CG33158  pps  mRpL34  RpL30  pea  AGO2  mRpS23  Larp7  LSm7  Mat89Ba  ymp  l(2)34Fd  eIF2alpha  SmD2  Sf3a1  rump  l(2)10685  RpS10b  RpL31  mRpS34"
1.12810846070719e-10,257,842,1.4905757648545,"Mitochondrion "," http://amigo.geneontology.org/amigo/term/GO:0005739"," Dhod  dib  Gdh  Got2  Hsp68  Ide  CIAPIN1  mRpL4  l(2)37Bb  pn  pr  sad  Dhfr  140up  mtSSB  Phb2  ox  ND-SGDH  Fdx1  bcn92  mRpL47  SdhB  CG4278  Nap1  ATPsynO  colt  Ppox  RFeSP  Pgam5  mRpL16  arg  Ts  CG3719  Ant2  CG4882  Mtpbeta  Gk1  Fen1  ND-B14.5A  CG14817  bonsai  Drp1  CG1307  MagR  mRpL18  ProRS-m  mino  pdgy  heix  Mtpalpha  mRpL50  AlaRS-m  nmdyn-D7  Surf1  Coq7  Coa8  CG16781  mRpL30  Shmt  CG3566  mldr  ND-B16.6  Pink1  CG10761  CG12118  Naxe  CG2124  CG1628  Nrd1  mRpS25  ND-B18  CG12379  Ucp4A  ND-18  CG14231  CG9577  CG9581  CG14613  CG14618  mRpL10  CG11562  mRpL48  Prx6005  mRpS2  mRpL24  mRpL28  CG4230  ND-13A  CG7382  ND-51  Hmgcl  MICU1  Sirup  CG12375  CG13390  mRpL51  mtDNA-helicase  CG4592  CG5676  CG6094  Nfs1  Tom70  mRF1  ND-B22  L2HGDH  Ttc19  Coq3  CG7791  CG3270  CG3420  mEFTu2  Gpo2  puml  CG14757  CG8080  Marc  mRpL42  ND-B14  rho-7  OSCP1  EndoG  mIF3  Cyp301a1  CG4627  Echs1  CG16935  CG8067  CysRS-m  mRpS16  ND-B15  CG7639  mRpL41  clu  AsnRS-m  UQCR-6.4  mRpS28  Cyp12b2  CG15653  ND-B12  mRpS29  levy  mRpL43  CG5532  CG5569  ATPsynF  ND-19  TyrRS-m  CG3776  ABCB7  SCOT  CG8993  mRpL23  Mul1  Gdap1  CG4611  CG13295  CG10075  GstO2  CG6638  mRpL2  CG14130  mRpL39  mRpS31  IleRS-m  GluRS-m  CG4098  beg  CG3902  CG14077  CG6839  CG14100  Lon  Ccdc58  mRpL15  P5CDh1  CG14450  Suv3  POLDIP2  mRpL44  CG2100  ArgRS-m  mRpS9  CG11035  mRpL1  Coq2  ScsbetaA  CAHbeta  CG8199  CG11722  mtTFB2  CG6345  CG17726  Exd2  mRpL11  mRpL9  CG5044  CG5903  mRpS33  Sdhaf3  MICU3  CG11447  CG4538  CG5793  CG3337  mRpL35  CG17141  PTPMT1  SdhD  CG10214  CG13601  GatB  mRpS24  CG13623  CG5805  CG4553  CG4743  CG5028  mRpS22  CG11498  mRpS18C  mRpL32  CG1750  PNPase  Mccc1  Dhap-at  CG12848  ND-B8  CG13018  MCU  mRpS21  Blos1  CG31126  Slimp  CG31278  AspRS-m  Kaz1-ORFB  Cby  Neb-cGP  mRpL34  Mthfs  Dbp21E2  UQCR-C2  mRpS23  GC1  Tango9  Mulk  GatA  zuc  Opa1  SdhA  whd  DNAlig1  CG44296  Cep89  l(2)10685  Psn  mRpS34"
2.04520903968916e-10,44,77,2.79058319957196,"Organellar ribosome "," http://amigo.geneontology.org/amigo/term/GO:0000313"," mRpL4  mRpL47  mRpL16  CG14817  bonsai  mRpL18  mRpL50  mRpL30  mRpS25  mRpL10  mRpL48  mRpS2  mRpL24  mRpL28  mRpL51  CG6094  mRpL42  mRpS16  mRpL41  mRpS28  mRpS29  mRpL43  mRpL23  mRpL2  mRpL39  mRpS31  mRpL15  mRpL44  mRpS9  mRpL1  mRpL11  mRpL9  mRpS33  mRpL35  mRpS24  mRpS22  mRpS18C  mRpL32  CG12848  mRpS21  mRpL34  mRpS23  l(2)10685  mRpS34"
2.04520903968916e-10,44,77,2.79058319957196,"Mitochondrial ribosome "," http://amigo.geneontology.org/amigo/term/GO:0005761"," mRpL4  mRpL47  mRpL16  CG14817  bonsai  mRpL18  mRpL50  mRpL30  mRpS25  mRpL10  mRpL48  mRpS2  mRpL24  mRpL28  mRpL51  CG6094  mRpL42  mRpS16  mRpL41  mRpS28  mRpS29  mRpL43  mRpL23  mRpL2  mRpL39  mRpS31  mRpL15  mRpL44  mRpS9  mRpL1  mRpL11  mRpL9  mRpS33  mRpL35  mRpS24  mRpS22  mRpS18C  mRpL32  CG12848  mRpS21  mRpL34  mRpS23  l(2)10685  mRpS34"
2.54509617557703e-10,258,855,1.47362375977397,"Nuclear protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140513"," arm  ash2  aub  e(y)1  e(y)2  E(z)  fzy  Jra  l(3)73Ah  l(3)mbt  mago  msl-3  mor  Pc  Scm  skd  spn-B  Tbp  tra2  trx  shtd  CycC  Xpc  Xpac  Pabp2  gcl  Taf1  TfIIFbeta  Ref1  l(3)07882  lark  Med  Mlh1  Pms2  Arp6  Taf2  Cdc2rk  noi  Orc2  Nelf-E  U2af38  Max  RpI1  mre11  SA  Rack1  Nup154  Sin3A  Cbp80  qkr58E-1  Orc6  Es2  mip130  CG14805  trr  CG3071  MED6  Bin1  Neos  Taf7  Bub3  CycK  Smox  Sbf  Rad9  IntS8  Tip60  RpII33  l(1)G0007  MED18  MRG15  CG11970  nito  CG7028  CG5808  Acf  Prp18  CstF64  Nup107  Cpsf100  Pol31  MTA1-like  Taf10  Sin  Nxt1  Ercc1  CSN6  NC2beta  Spt6  Aos1  CG2875  CG17764  lin-52  CG1575  Aladin  Psf3  tth  Sap30  Rrp45  Spt7  Arp8  Nup35  CG14220  Saf6  Tfb4  Cwc25  CG3542  Sf3b2  CG3225  CG3756  Phf5a  CG5181  Wdr82  Bug22  Dpy-30L1  CG6686  Ski6  Rpb11  CG10336  CG10466  Taf13  Cdc23  Mcm10  CG10395  CG17266  CG15237  Dhx15  U2A  Nup50  MrgBP  tsu  Lsm11  CG11777  CG7637  CG12325  CG7741  Prp8  CG4744  CG11808  Rrp42  APC10  CG4866  Nup75  CG15084  MED8  CG9344  Rae1  Mes4  Ice1  thoc5  IntS1  CG4622  Cypl  MED14  Ctr9  CG7974  CG2021  Mfap1  CG13807  CG11586  Eaf6  Pop4  MED24  Cpsf5  CG3448  Jarid2  thoc6  Sf3a2  Msh6  Prp31  IntS9  Pop5  MED11  CG6841  Prp3  Mtr3  barc  MED1  Rpb8  MED27  Hpr1  CG1965  Ada2b  CG7483  CG9684  ranshi  CG11964  Kdm2  beag  CG16908  Fancl  Rrp46  CG5641  Hexim  Rrp6  Nup93-2  Mau2  Rbf2  CG10185  CG10324  Arp5  MED17  CG8064  Gdn1  RpI12  EloA  wda  RanBP3  Ndc1  CG13609  Rpb10  PQBP1  CG1646  Slu7  Brd8  dgt1  CG15525  MED21  Set1  MED22  e(y)2b  CG17059  Chrac-16  btz  Wdr33  Rpb7  CG31368  CG31687  Tsen2  Ada1-1  Ada1-2  CG31922  Ranbp16  pps  CG34205  l(2)37Cg  pea  e(y)3  DNApol-alpha180  Uxt  Larp7  Cpsf73  LSm7  Mat89Ba  ymp  nbs  SmD2  calypso  Nup160  Sap130  DNApol-delta  ebi  tgo  RPA3  Sf3a1  rump  Mcm3  Orc1"
1.23819195136187e-08,279,972,1.40175128311832,"Catalytic complex "," http://amigo.geneontology.org/amigo/term/GO:1902494"," ash2  aub  e(y)1  e(y)2  E(z)  fzy  l(2)37Bb  l(3)73Ah  mago  msl-3  mor  DNApol-zeta  Pc  Scm  Tbp  trx  vir  vls  Cdk2  shtd  Pabp2  gcl  CycJ  Taf1  TfIIFbeta  Prosbeta1  Ref1  ox  Stt3B  ND-SGDH  lark  Arp6  PhKgamma  Taf2  Cdc2rk  Dhc62B  SdhB  noi  betaggt-I  Rpt2  Cul1  Max  RpI1  Rack1  RFeSP  Sin3A  Cbp80  qkr58E-1  AMPKalpha  Prosbeta2  Es2  trr  PIG-K  wit  Bin1  Taf7  CG4045  Roc1a  CycK  Sbf  ND-B14.5A  Tip60  SkpB  Ubc10  RpII33  Rep  Prosbeta3  MRG15  CG11970  nito  Tps1  CG7028  morgue  CG5808  Acf  Pol31  MTA1-like  Taf10  Sin  Hrd3  Rpt5  Rpt4  Rpn7  Rpn9  RfC38  betaggt-II  icln  Prosbeta5  Aos1  CG17764  wuho  mldr  ND-B16.6  CG1575  Spase25  tth  ND-B18  Sap30  Rrp45  Ubr1  CG8142  Spt7  Arp8  ND-18  CG14220  Saf6  Tfb4  Sf3b2  FIG4  CG3225  jet  CG3756  ND-13A  ND-51  Fbw5  Phf5a  CG13766  r2d2  Sirup  Ostgamma  Mettl14  Wdr82  PIG-U  Bug22  Dpy-30L1  Ski6  ND-B22  Prosbeta4  Rpb11  CG10166  CG10466  Taf13  Cdc23  Pomp  CG10395  CG3270  CG15237  Dhx15  Gpo2  U2A  Cul4  MrgBP  tsu  Marc  CG11777  CG7637  mms4  ND-B14  CG13202  PI31  CG8407  Prp8  CG8858  CG4744  ND-B15  CG11808  Rrp42  APC10  UQCR-6.4  Dcr-2  CG10927  CG9945  CG9313  ND-B12  CG6758  Mes4  Naa35  CG4622  ND-19  Cypl  Ctr9  Vta1  CG8001  Mfap1  CG13807  CG10862  Eaf6  Pop4  Jarid2  pall  Ufd1-like  Atg12  Sf3a2  CG13074  elg1  kud  Pop5  qjt  Wdr92  CG6841  Mtr3  Rpb8  Suv3  Rev7  PSMG1  CG1965  PIG-H  Ada2b  CG7483  CG9684  ScsbetaA  Kdm2  beag  CG8199  CG5359  ohgt  Rrp46  Dnali1  DCAF12  CG5641  CG5961  Rrp6  Fbxl7  CG5292  Arp5  Gdn1  CG4733  RpI12  wda  SdhD  Spase22-23  Rpb10  PQBP1  CG14544  CG5003  CG1523  Atg14  Brd8  dgt1  sip3  Mccc1  Set1  mus81  e(y)2b  ND-B8  Vhl  wrd  Chrac-16  Fsn  CG30382  CG30466  Rpb7  CG31368  CG31687  Tsen2  CG31855  Ada1-1  Ada1-2  CG32850  CG33774  CG33969  CG34293  Prosalpha2  tw  l(2)37Cg  pea  e(y)3  AGO2  CG42233  UQCR-C2  DNApol-alpha180  CG42554  Ubr3  alc  LSm7  ymp  SdhA  SmD2  Sap130  twr  Gpdh3  Prosalpha1  DNApol-delta  Dad1  ebi  rdx  vih  Sem1  Sf3a1"
1.47657541660334e-08,362,1326,1.33320848938826,"Endomembrane system "," http://amigo.geneontology.org/amigo/term/GO:0012505"," AnxB9  Arl1  Axs  e(y)2  Hsp83  Cyp303a1  Catsup  pcx  pip  spo  tkv  Klp61F  Zw10  por  gcl  Cds  Ref1  Stt3B  Cyp6a9  Vps26  Cyp4e1  Cyp9b1  CG5861  oxt  Hmu  Rab19  Rab4  CLIP-190  Osbp  Nup154  AMPKalpha  Cyp4d14  PIG-K  wit  rasp  AP-1mu  CG4293  Cyp6g1  eIF3e  Torsin  cry  Sbf  Rad9  PH4alphaMP  Mad1  Rep  Drp1  alpha-Man-IIb  Cog2  Nhe1  Ugt36E1  Ugt49B1  Manf  Gmap  Dnz1  epsilonCOP  CG8042  CG3149  mino  CG6230  Nup107  heix  Nxt1  Hrd3  CG17841  Vha100-1  Patsas  sotv  CG16781  CG3309  CG10761  CG12121  Aladin  Gga  Rph  GCS1  Spase25  ATP7  Agpat1  BthD  Rab3-GEF  Cyp4s3  Alg14  CG8134  SWIP  CG9981  CG9132  CG4789  RhoGAP15B  CG15814  Nup35  Syx16  CG14621  PGAP2  CG3662  TBC1D23  Vps29  VGlut  Hrs  Snx21  CG15399  GABPI  Cog3  FIG4  CG4230  Cyp28d1  Vps52  Hmgcl  CCDC53  CG8673  CG7840  Ostgamma  PIG-U  FucTB  CG4972  TBC1D16  Cog4  Hacd1  PLCXD  Edem2  CG5110  GCS2beta  CG10383  Tango6  EMC5  CG10470  CG10166  Pld3  PGAP3  CG3420  PIG-G  CG1598  Vps13  CG2064  CG2915  Nup50  Sec31  Cog6  CG12926  Sting  Sec24AB  CG1418  CG1407  PIG-N  CG1371  ERp60  OSCP1  Cyp6g2  Cyp6t3  CG8841  ClC-b  Sans  ReepB  Cyp6a19  Cyp317a1  Cyp4aa1  CG8320  CG8370  EMC7  clu  CG17287  CG6550  HPS4  Snx16  Nup75  PIG-O  Vps51  CG15099  CG11257  Mgat1  FAM21  CG15651  Rbpn-5  Rae1  Vps35  CG10344  Vps20  EMC8-9  asrij  CG3500  Golgin245  sona  thoc5  IntS1  CG13585  RabX6  sturkopf  Vta1  hob  nSMase  CG14971  CG14977  Ccz1  CG1309  Syx17  Fitm  CHMP2B  mad2  Ist1  CG8111  Arl5  Use1  CG3529  Ufd1-like  wls  Pldn  CG5946  viaf  CG10616  CG10973  CG9384  FucTA  CG7011  CG7272  Pgant8  ClC-c  Strump  CG5027  Golgin104  Syx8  TSG101  kud  Papst2  PIG-F  Hpd  CG5199  ICA69  Alg11  EMC4  aux  CG14646  Vps37B  Pi4KIIalpha  PSMG1  Sec20  Ufl1  Dpck  PIG-H  CG10435  CG11753  RagA-B  CG9356  P58IPK  bocks  CG12945  GCC88  Arfip  CG6790  CG14715  Ho  CG6962  GCC185  TBC1D5  CG3061  Afti  CG3631  Nup93-2  SIDL  CG5038  EMC2B  CG7523  alt  CG7655  Lrrk  CG10300  CG10365  RanBP3  Ndc1  CG5510  Spase22-23  Golgin84  CG6607  Syx18  atl  Nct  beta4GalT7  EMC6  PQBP1  Vps33B  Gp93  CG11828  Atg14  CG14512  CG14511  Vps16B  Cad99C  Zip99C  PH4alphaSG2  PH4alphaNE2  sip3  PIP4K  Cals  c11.1  Jafrac2  Seipin  e(y)2b  fdl  bwa  yuri  btz  bai  CG30036  PIG-X  IFT20  Efa6  alpha-Man-Ic  CG31251  CG31678  CG31935  CG32069  Alg10  CG32087  Csas  Ranbp16  pen-2  CG33514  CG33774  CG34041  CG16984  Patj  Frq2  CG34293  CG34345  ALiX  tw  l(3)76BDm  CG42542  Tango9  Membrin  Bet1  Bet3  Vti1a  lsn  Rbsn-5  SREBP  ReepA  brun  whd  Ire1  CG42853  Nup160  Fs(2)Ket  twr  CG43313  CG43322  sel  Hmgcr  Dad1  opm  Fatp2  nac  Vamp7  CG45062  Sec5  Sec15  Trs31  btsz  Ubc7  vib  Impbeta11  Psn  gry"
