"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.61712044643262e-16,215,595,1.76463349384698,"RNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006396"," aub  ecd  kz  mago  mus301  tra  tra2  vir  CycC  Pabp2  Dbp45A  ppan  Ref1  l(3)07882  lark  Cdc2rk  Rlb1  Rnp4F  noi  Psi  CG2034  U2af38  Rack1  Cbp80  qkr58E-3  qkr58E-2  qkr58E-1  Parg  Es2  CG14805  CG3071  Bin1  Neos  CG4045  Rtca  IntS8  aft  l(1)G0007  l(1)G0020  nito  CG7028  CG5808  Prp18  CstF64  Cpsf100  Adat1  AlaRS-m  Spt6  icln  CG17764  Sas10  wuho  mldr  CG2260  CG1785  RpS28b  CG2972  Rrp45  CG14231  CG14618  CG4896  CG17652  Cwc25  Tnpo-SR  CG3542  Sf3b2  Elp3  CG3225  Phf5a  Rat1  r2d2  Mettl14  Bug22  CG6686  Nfs1  CG6712  CG6388  Ski6  CG10341  CG10189  CG10466  CG9253  Mpp6  Nbr  CG17266  Dhx15  U2A  tsu  Lsm11  RpLP0-like  CG7637  Lsm10  CG12325  CG7741  Prp8  CG11808  CG8204  Rrp42  CG8414  CG6550  CG4866  Dcr-2  CG10927  CG15084  CG9344  CG9346  CG9752  CG3045  CG10384  CG17807  IntS1  CG4622  Samtor  Cypl  CG7879  CG7974  CG2021  Mfap1  CG13807  CG11586  CG11583  CG15014  CG11342  Prpk  CG4611  Pop4  ldbr  Cpsf5  CG3434  CG3335  RpL10Ab  CG5645  Sf3a2  CG6833  Prp31  IntS9  Pop5  CG6841  CG14100  Prp3  Mtr3  CG12975  Tsr1  barc  Nopp140  Suv3  mRpL44  CG2100  CG1965  Tailor  CG10050  CG10903  mRpL1  CG7483  CG9684  beag  RnpS1  CG9386  CG16790  mtTFB2  Rrp46  CG6345  CG14701  CG5641  CG8461  Rrp6  CG3817  CG4338  CG10185  CG10324  CG5292  CG8064  CG11447  Pus1  CG6937  tst  CG5728  PQBP1  CG11858  CG14544  CG3368  CG1646  Slu7  RpS8  CG1542  CG1750  PNPase  CG18853  btz  Wdr33  Tsen15  CG31368  Tsen2  CG31922  CG32409  pps  CG34195  pea  AGO2  Larp7  cuff  Cpsf73  LSm1  LSm7  Mat89Ba  ymp  l(2)34Fd  SmD2  scaf6  Ire1  Snp  Sf3a1  l(2)10685  THG  Tcs3"
1.80259417224638e-15,137,329,2.03356328904978,"NcRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0034660"," kz  mus301  shu  CycC  piwi  Dbp45A  ppan  l(3)07882  Rlb1  CG2034  mael  Cbp80  CG14805  CG3071  CG4045  IntS8  ProRS-m  GlnRS  CysRS  l(1)G0020  tapas  mino  Adat1  AlaRS-m  Sas10  wuho  mldr  CG2260  CG1785  RpS28b  CG2972  Rrp45  CG14231  CG14618  CG17652  Elp3  CG6686  Nfs1  CG6712  CG6388  Ski6  CG10341  CG10189  CG9253  Mpp6  Nbr  RpLP0-like  CG7637  CG12325  CysRS-m  CG8204  Rrp42  CG8414  AsnRS-m  CG6550  CG4866  CG10927  CG9344  CG9752  Panx  CG3045  CG17807  IntS1  CG4622  Samtor  TyrRS-m  CG11583  CG15014  CG11342  Prpk  CG4611  Pop4  CG3434  RpL10Ab  CG5645  CG6833  IleRS-m  IntS9  GluRS-m  Pop5  CG14100  Mtr3  CG12975  Tsr1  Nopp140  Suv3  mRpL44  CG1239  CG2100  Tailor  CG10050  ArgRS-m  CG10903  mRpL1  CG9386  CG16790  mtTFB2  Rrp46  CG6345  CG14701  Dtd  CG8461  Rrp6  CG3817  CG4338  CG10185  CG5292  CG8064  CG11447  Pus1  CG6937  GatB  CG5728  CG11858  CG14544  CG3368  RpS8  CG1542  CG1750  CG18853  Tsen15  Slimp  AspRS-m  Tsen2  CG32409  CG34195  del  GatA  cuff  zuc  Mat89Ba  l(2)34Fd  vret  Snp  l(2)10685  THG  Tcs3"
7.56918001786521e-13,112,266,2.0562191996846,"NcRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0034470"," kz  mus301  CycC  Dbp45A  ppan  l(3)07882  Rlb1  CG2034  Cbp80  CG14805  CG3071  CG4045  IntS8  l(1)G0020  Adat1  AlaRS-m  Sas10  wuho  mldr  CG2260  CG1785  RpS28b  CG2972  Rrp45  CG14231  CG14618  CG17652  Elp3  CG6686  Nfs1  CG6712  CG6388  Ski6  CG10341  CG10189  CG9253  Mpp6  Nbr  RpLP0-like  CG7637  CG12325  CG8204  Rrp42  CG8414  CG6550  CG4866  CG10927  CG9344  CG9752  CG3045  CG17807  IntS1  CG4622  Samtor  CG11583  CG15014  CG11342  Prpk  CG4611  Pop4  CG3434  RpL10Ab  CG5645  CG6833  IntS9  Pop5  CG14100  Mtr3  CG12975  Tsr1  Nopp140  Suv3  mRpL44  CG2100  Tailor  CG10050  CG10903  mRpL1  CG9386  CG16790  mtTFB2  Rrp46  CG6345  CG14701  CG8461  Rrp6  CG3817  CG4338  CG10185  CG5292  CG8064  CG11447  Pus1  CG6937  CG5728  CG11858  CG14544  CG3368  RpS8  CG1542  CG1750  CG18853  Tsen15  Tsen2  CG32409  CG34195  Mat89Ba  l(2)34Fd  Snp  l(2)10685  THG  Tcs3"
8.69004871186667e-11,62,122,2.48178915699638,"Mitochondrial gene expression "," http://amigo.geneontology.org/amigo/term/GO:0140053"," mRpL4  mRpL47  mRpL16  bonsai  mRpL18  mRpL50  mRpL30  mldr  mRpS25  CG14231  CG14618  mRpL10  mRpL48  mRpS2  mRpL24  mRpL28  mRpL51  CG6094  Nfs1  mRF1  mEFTu2  mRpL42  mIF3  mRpS16  mRpL41  mRpS28  mRpS29  mRpL43  TyrRS-m  mRpL23  CG10075  mRpL2  mRpL39  mRpS31  IleRS-m  mRpL15  CG14450  Suv3  mRpL44  CG2100  ArgRS-m  mRpS9  mRpL1  mtTFB2  Exd2  mRpL11  mRpL9  mRpS33  CG4538  mRpL35  GatB  mRpS24  mRpS22  mRpS18C  mRpL32  PNPase  CG12848  mRpS21  mRpL34  mRpS23  GatA  mRpS34"
3.43477862428051e-10,510,1903,1.30877325571097,"RNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0016070"," aop  arm  ash2  aub  cact  Cp190  crm  dsx  ecd  e(y)1  e(y)2  E(z)  fu  gro  Jra  kz  Mybbp1A  wek  l(3)73Ah  l(3)mbt  lds  lin  mago  msl-3  mor  mu2  mus301  nau  Pc  per  Poxm  ro  Scm  shu  skd  su(Hw)  Su(var)205  Tbp  tra  tra2  trx  vir  vls  Ets97D  CycC  zfh2  piwi  TfIIB  sv  Sox14  Pabp2  gcl  Dbp45A  brat  Taf1  RNaseX25  TfIIFbeta  TfIIS  ppan  Ref1  l(3)07882  Dif  lark  Med  repo  BRWD3  Taf2  Cdc2rk  Rlb1  Rnp4F  noi  Hr38  Psi  btn  Nap1  CG2034  mael  Nelf-E  U2af38  Max  lok  RpI1  Rack1  Sin3A  D19A  Cbp80  qkr58E-3  qkr58E-2  qkr58E-1  melt  bon  Parg  Es2  mip130  CG14805  trr  CG3071  NK7.1  MED6  Bin1  Neos  Taf7  CG2701  CG2712  CG4045  Rtca  CycK  cry  Smox  Sbf  IntS8  Fen1  Tip60  tna  aft  RpII33  l(1)G0007  MED18  ProRS-m  GlnRS  CysRS  l(1)G0020  jim  MRG15  tapas  nito  mino  CG7028  CG5808  Acf  Prp18  CstF64  Nup107  Cpsf100  MTA1-like  Taf10  Sin  EndoGI  Adat1  Rpt5  Rpt4  CG17328  NC2beta  AlaRS-m  Spt6  icln  Aos1  CG17764  Sas10  lin-52  CG12236  wuho  mldr  CG3847  CG2260  CG2120  CG1785  RpS28b  CG2972  CG11696  CG4318  Sap30  Rrp45  Rai1  CG4872  Spt7  Arp8  Hesr  Nup35  CG14220  CG14231  CG14618  CG11617  CG13690  Saf6  Tfb4  Charon  CG4896  CG17652  Cwc25  Tnpo-SR  CG3542  Sf3b2  Elp3  CG3225  CG3756  tomb  Daxx  Phf5a  Rat1  CG4496  r2d2  CG12375  CG8419  Mettl14  brwl  CG4709  CG5846  Bug22  CG6686  Nfs1  CG6712  CG6388  Ski6  CG7099  Rpb11  CG10341  CG10431  CG17568  CG10189  CG10466  Taf13  CG9253  Mpp6  Nbr  Clamp  Not3  CG17266  Dhx15  U2A  Nup50  MrgBP  tsu  CG1663  Lsm11  RpLP0-like  CG18011  CG7637  Lsm10  CG12325  CG12942  CG7741  S2P  exp  Prp8  EndoG  CG4744  CysRS-m  CG11808  CG8204  Mlf  Rrp42  CG8414  AsnRS-m  CG6550  CG4866  Dcr-2  Nup75  CG10927  CG15073  CG15084  MED8  lms  CG9344  CG9346  hng1  CG9752  Panx  CG3045  CG10384  CG17807  Ice1  pita  DCP1  Upf3  thoc5  IntS1  CG4622  uri  Fcp1  Samtor  CG4707  TyrRS-m  Tudor-SN  CG1233  Cypl  MED14  Ctr9  CG7879  CG7974  CG2021  Mfap1  CG13807  Asciz  CG15011  CG11586  CG11583  CG15014  CG11342  Prpk  CG4611  CG13293  CG10274  CG9948  CTCF  Pop4  ldbr  CG7504  ERR  MED24  Cpsf5  CG3434  CG3335  RpL10Ab  CG5645  CG10654  Sf3a2  CG17359  CG6833  Prp31  IleRS-m  IntS9  roq  GluRS-m  Pop5  Wdr92  MED11  CG6841  CG6839  CG14100  Prp3  Mtr3  CG11399  CG11456  CG12975  Tsr1  barc  MED1  Rpb8  Nopp140  CG14450  CG11109  Suv3  mRpL44  Rev7  MED27  CG1239  CG2100  Hpr1  CG1965  Tailor  CG10050  ArgRS-m  Pbp95  CG10903  Ada2b  mRpL1  CG7483  CG9684  CG8159  ranshi  Kdm2  beag  RnpS1  CG9386  CG16790  CG8478  mtTFB2  Rrp46  CG6345  CG4820  CG6689  CG14701  Dtd  Exd2  CG14710  CG6808  CG18476  CG5641  CG8461  Hexim  Rrp6  CG3817  CG6654  CG4338  CG6276  Trax  Rbf2  CG10185  Fer2  pad  CG10324  CG5292  Arp5  MED17  CG8064  CG11447  CG4854  trem  CG4936  Regnase-1  Pus1  RpI12  CG13850  Pfdn5  CG6937  HP1c  EloA  wda  CG10214  tst  GatB  Spps  CG13609  CG5728  Rpb10  Ets96B  Ude  PQBP1  CG11858  CG4730  CG14544  CG3368  bigmax  NSD  CG1646  CG1647  Slu7  RpS8  ZIPIC  Jasper  CG1542  CG1750  PNPase  MED21  MTF-1  MED22  CG16903  e(y)2b  tai  key  CG18853  btz  Wdr33  CG30020  CG30105  Brca2  Tsen15  Slimp  Rpb7  CG31224  CG31365  CG31368  CG31388  CG31643  AspRS-m  Tsen2  Ada1-1  Ada1-2  CG31922  CG32409  CG32856  CG33213  pps  CG34183  CG34195  CG34205  CG34376  nub  del  l(2)37Cg  pea  e(y)3  AGO2  mnb  CG42360  Uxt  E(var)3-9  rhea  CG3281  Larp7  GatA  cuff  Cpsf73  LSm1  LSm7  BHD  Alh  zuc  SREBP  Mat89Ba  ymp  l(2)34Fd  SmD2  scaf6  vnd  l(2)gd1  Ire1  Myc  Sap130  mbf1  cnc  vret  dar1  mld  ebi  tgo  ab  Hr4  Lst8  Snp  Atf-2  CrebB  Sf3a1  rump  rgr  l(2)10685  THG  Tcs3  sbb"
1.96939973280276e-09,53,103,2.51287953165339,"Mitochondrial translation "," http://amigo.geneontology.org/amigo/term/GO:0032543"," mRpL4  mRpL47  mRpL16  bonsai  mRpL18  mRpL50  mRpL30  mRpS25  mRpL10  mRpL48  mRpS2  mRpL24  mRpL28  mRpL51  CG6094  mRF1  mEFTu2  mRpL42  mIF3  mRpS16  mRpL41  mRpS28  mRpS29  mRpL43  TyrRS-m  mRpL23  CG10075  mRpL2  mRpL39  mRpS31  IleRS-m  mRpL15  Suv3  mRpL44  ArgRS-m  mRpS9  mRpL1  Exd2  mRpL11  mRpL9  mRpS33  mRpL35  GatB  mRpS24  mRpS22  mRpS18C  mRpL32  CG12848  mRpS21  mRpL34  mRpS23  GatA  mRpS34"
5.37574564856651e-08,59,129,2.23354818105275,"TRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006399"," CG2034  CG4045  ProRS-m  GlnRS  CysRS  l(1)G0020  Adat1  AlaRS-m  wuho  mldr  Rrp45  CG14231  CG14618  Elp3  Nfs1  CG6388  CG10189  CysRS-m  Rrp42  AsnRS-m  CG6550  CG10927  CG9752  CG3045  CG17807  TyrRS-m  CG15014  Prpk  CG4611  Pop4  CG3434  IleRS-m  GluRS-m  Pop5  CG12975  Suv3  CG2100  CG10050  ArgRS-m  CG9386  CG6345  CG14701  Dtd  Rrp6  CG5292  Pus1  GatB  CG14544  CG3368  CG1750  CG18853  Tsen15  Slimp  AspRS-m  Tsen2  CG34195  GatA  THG  Tcs3"
1.26159896730996e-07,69,164,2.05465195944094,"Nucleic acid phosphodiester bond hydrolysis "," http://amigo.geneontology.org/amigo/term/GO:0090305"," DNApol-zeta  DNApol-theta  Xpac  piwi  RNaseX25  Ddx1  mre11  Rad9  Fen1  CG6171  CstF64  Cpsf100  Drep4  Ercc1  mldr  CG2972  Rrp45  Rai1  CG13690  CG3165  Rat1  CG12375  Pld3  Nbr  Not3  CG3358  mms4  EndoG  Rrp42  CG8414  Dcr-2  DCP1  Tudor-SN  Pop4  ldbr  CG5645  CG6833  Pop5  CG6839  Tsr1  mRpL44  Snm1  CG16790  Exd2  CG8461  Rrp6  Trax  WRNexo  trem  Regnase-1  CG3308  RpI12  CG10214  Ude  PNPase  mus81  Tsen15  Tsen2  CG32409  AGO2  DNApol-alpha180  CG42360  cuff  Cpsf73  zuc  Ire1  DNApol-delta  Gen  Snp"
6.45980546359059e-07,51,111,2.24377973479097,"RNA modification "," http://amigo.geneontology.org/amigo/term/GO:0009451"," vir  CG2034  CG4045  aft  l(1)G0020  nito  Adat1  AlaRS-m  wuho  CG14231  CG14618  Elp3  Mettl14  Nfs1  CG6388  CG10341  CG10189  CG7637  CG6550  CG10927  CG9752  CG3045  CG17807  Samtor  CG13807  CG15014  CG11342  CG3434  CG14100  CG11399  CG12975  Nopp140  CG11109  CG1239  CG10903  CG9386  mtTFB2  CG6345  CG14701  CG4338  CG5292  CG11447  Pus1  CG14544  CG3368  CG1750  CG18853  CG34195  l(2)10685  THG  Tcs3"
6.85818789602942e-07,42,84,2.44176029962547,"TRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0008033"," CG2034  CG4045  l(1)G0020  Adat1  AlaRS-m  wuho  mldr  CG14231  CG14618  Elp3  Nfs1  CG6388  CG10189  CG6550  CG10927  CG9752  CG3045  CG17807  CG15014  Prpk  CG4611  Pop4  CG3434  Pop5  CG12975  Suv3  CG2100  CG10050  CG9386  CG6345  CG14701  CG5292  Pus1  CG14544  CG3368  CG1750  CG18853  Tsen15  Tsen2  CG34195  THG  Tcs3"
