"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00470553130605462,42,696,2.07062159709619,"Germ cell development "," http://amigo.geneontology.org/amigo/term/GO:0007281"," BicD  exu  dup  otu  smo  sn  spn-A  Tm1  porin  drk  mdy  brat  Cds  lark  Med  twin  Dp  pgc  mip130  E2f2  Sfmbt  oys  Ctr9  Pex10  aux  jagn  Lkb1  Prtl99C  park  Pax  endos  Not1  sra  poly  Cyt-c-d  Vrp1  elav  clos  Gprk2  mfr  CG46338  SRPK"
0.00470553130605462,47,823,1.95956065741511,"Cellular process involved in reproduction in multicellular organism "," http://amigo.geneontology.org/amigo/term/GO:0022412"," BicD  exu  dup  mei-S332  ncd  otu  smo  sn  spn-A  Tm1  porin  drk  mdy  brat  Arf79F  Cds  lark  Med  twin  Dp  pgc  mip130  E2f2  Sfmbt  oys  Ctr9  Pex10  aux  jagn  Lkb1  Prtl99C  CycG  park  Pax  endos  Not1  sra  poly  Cyt-c-d  Vrp1  elav  clos  Gprk2  Hmgcr  mfr  CG46338  SRPK"
0.00470553130605462,8,34,8.07368421052632,"Dicarboxylic acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0043648"," Gad1  Nmdmc  Nc73EF  T3dh  CG9674  Gabat  P5CDh2  Fum1"
0.00470553130605462,42,676,2.13188259109312,"Regulation of cellular component organization "," http://amigo.geneontology.org/amigo/term/GO:0051128"," BicD  Eno  fog  ncd  neur  Tm1  drk  ewg  brat  Arf79F  Med  pgc  Rpt6  nudC  trio  Flo1  Syx4  Torsin  Rtca  Tip60  dgt4  kirre  Miga  Slik  Asciz  CG8336  Syn1  Rpt3R  Lkb1  Ccm3  dnd  Miro  spas  park  Pax  Fsn  sals  endos  Snoo  Vrp1  Mob2  Gprk2"
0.00636035502657237,49,890,1.88915138971023,"Gamete generation "," http://amigo.geneontology.org/amigo/term/GO:0007276"," BicD  exu  dup  mei-S332  ncd  otu  smo  sn  spn-A  Tm1  porin  drk  mdy  brat  Arf79F  Cds  lark  Med  twin  Dp  pgc  mip130  E2f2  Sfmbt  oys  Ctr9  Pex10  CG8336  aux  jagn  Lkb1  Prtl99C  CycG  park  Pax  Cka  endos  Not1  sra  poly  Cyt-c-d  Vrp1  elav  clos  Gprk2  Hmgcr  mfr  CG46338  SRPK"
0.00901323519960545,53,1021,1.78119232950152,"Sexual reproduction "," http://amigo.geneontology.org/amigo/term/GO:0019953"," BicD  exu  dup  mei-S332  ncd  otu  smo  sn  spn-A  Tm1  porin  drk  mdy  brat  Arf79F  Cds  lark  Med  twin  Dp  pgc  Nlp  mip130  E2f2  Sfmbt  oys  ppk29  Ctr9  Pex10  CG8336  aux  jagn  Lkb1  Prtl99C  Nph  CycG  park  Pax  Cka  endos  Not1  sra  poly  Cyt-c-d  Vrp1  elav  clos  Gprk2  Hmgcr  mfr  Pal1  CG46338  SRPK"
0.00901323519960545,53,1021,1.78119232950152,"Multi-organism reproductive process "," http://amigo.geneontology.org/amigo/term/GO:0044703"," BicD  exu  dup  mei-S332  ncd  otu  smo  sn  spn-A  Tm1  porin  drk  mdy  brat  Arf79F  Cds  lark  Med  twin  Dp  pgc  Nlp  mip130  E2f2  Sfmbt  oys  ppk29  Ctr9  Pex10  CG8336  aux  jagn  Lkb1  Prtl99C  Nph  CycG  park  Pax  Cka  endos  Not1  sra  poly  Cyt-c-d  Vrp1  elav  clos  Gprk2  Hmgcr  mfr  Pal1  CG46338  SRPK"
0.00901323519960545,53,1022,1.77944947986404,"Multi-organism process "," http://amigo.geneontology.org/amigo/term/GO:0051704"," BicD  exu  dup  mei-S332  ncd  otu  smo  sn  spn-A  Tm1  porin  drk  mdy  brat  Arf79F  Cds  lark  Med  twin  Dp  pgc  Nlp  mip130  E2f2  Sfmbt  oys  ppk29  Ctr9  Pex10  CG8336  aux  jagn  Lkb1  Prtl99C  Nph  CycG  park  Pax  Cka  endos  Not1  sra  poly  Cyt-c-d  Vrp1  elav  clos  Gprk2  Hmgcr  mfr  Pal1  CG46338  SRPK"
0.0146375951824206,5,15,11.4377192982456,"Glutamate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006536"," Gad1  T3dh  CG9674  Gabat  P5CDh2"
0.0191341878277723,79,1783,1.52032499926204,"Positive regulation of biological process "," http://amigo.geneontology.org/amigo/term/GO:0048518"," BicD  ca  swm  neur  otu  shn  smo  snk  HmgD  drk  ewg  Itpr  HmgZ  Arf79F  Cds  lark  Zyx  Med  twin  Dp  imd  Diap2  pgc  Rpt6  Idgf2  nudC  eIF3h  Cad96Ca  mip130  trio  Sirt1  MED6  E2f2  Flo1  Torsin  Tip60  tyf  Dp1  Kap3  Uba2  CG11617  Tspo  senju  Sgt  Slik  Ctr9  CG12099  Asciz  CG8336  SCCRO4  Cks85A  hyx  Rpt3R  Lkb1  omd  Ccm3  dnd  CCAP  spas  CycG  park  Fsn  Cka  ave  sals  Not1  Snoo  poly  p  Cyt-c-d  apolpp  Vrp1  Pgk  Rrp40  ctrip  rempA  Gprk2  Hmgcr  Oseg1"
