"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.22023212078396e-05,8,8,8.09875776397516,"Phospholipase A1 activity "," http://amigo.geneontology.org/amigo/term/GO:0008970"," PAPLA1  CG6296  CG6295  CG17192  CG17191  CG6283  CG6277  CG6271"
0.0479298630309916,7,12,4.72427536231884,"Guanylate cyclase activity "," http://amigo.geneontology.org/amigo/term/GO:0004383"," Gycbeta100B  CG10738  Gyc88E  CG31183  CG33958  CG34357  CG42637"
0.0479298630309916,58,295,1.59229813664596,"Serine-type peptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0008236"," ru  Fur1  rho  Ser8  stet  MP1  CG4793  CG18478  CG18477  CG1632  rho-4  CG8952  CG9676  sphe  CG9673  CG9672  CG11912  CG11911  SPH93  CG18563  CG13527  CG9897  CG16998  CG3088  CG8329  CG18179  CG18180  CG4914  CG14088  CG7142  CG3734  CG18493  CG3739  Spase22-23  CG11664  CG30082  CG30286  CG30287  CG31199  CG31200  CG31780  CG31827  CG32271  CG32277  sphinx2  sphinx1  CG32523  CG32808  CG33159  CG33160  CG33465  CG33226  CG34409  ome  CG30283  CG43110  CG43742  CG45002"
0.0479298630309916,58,295,1.59229813664596,"Serine hydrolase activity "," http://amigo.geneontology.org/amigo/term/GO:0017171"," ru  Fur1  rho  Ser8  stet  MP1  CG4793  CG18478  CG18477  CG1632  rho-4  CG8952  CG9676  sphe  CG9673  CG9672  CG11912  CG11911  SPH93  CG18563  CG13527  CG9897  CG16998  CG3088  CG8329  CG18179  CG18180  CG4914  CG14088  CG7142  CG3734  CG18493  CG3739  Spase22-23  CG11664  CG30082  CG30286  CG30287  CG31199  CG31200  CG31780  CG31827  CG32271  CG32277  sphinx2  sphinx1  CG32523  CG32808  CG33159  CG33160  CG33465  CG33226  CG34409  ome  CG30283  CG43110  CG43742  CG45002"
0.0811173704002979,5,7,5.78482697426797,"3 ,5 -cyclic-nucleotide phosphodiesterase activity "," http://amigo.geneontology.org/amigo/term/GO:0004114"," dnc  Pde6  Pde9  Pka-R1  Pde1c"
0.0811173704002979,53,273,1.57228630582668,"Serine-type endopeptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0004252"," ru  Fur1  rho  Ser8  stet  MP1  CG4793  CG18478  CG18477  CG1632  rho-4  CG8952  CG9676  sphe  CG9673  CG9672  CG11912  CG11911  SPH93  CG18563  CG13527  CG9897  CG16998  CG3088  CG8329  CG18179  CG18180  CG4914  CG14088  CG7142  Spase22-23  CG11664  CG30082  CG30286  CG30287  CG31199  CG31200  CG31780  CG31827  CG32271  CG32277  sphinx2  sphinx1  CG32523  CG32808  CG33159  CG33160  CG33465  CG33226  CG34409  CG30283  CG43110  CG43742"
0.0986319614505986,16,55,2.35600225861095,"Peptide receptor activity "," http://amigo.geneontology.org/amigo/term/GO:0001653"," RYa-R  mth  CCHa2-R  CG13229  Dh44-R2  CG10738  SIFaR  CG30340  CG31183  CNMaR  CG33958  CG34357  Lgr4  Octbeta3R  CCKLR-17D1  CG42637"
0.0986319614505986,18,66,2.20875211744777,"Flavin adenine dinucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0050660"," Nos  CG4199  CG12539  CG9522  CG9521  CG9519  CG9518  CG9514  CG9512  fiz  CG12398  Eo  CG9503  CG3645  Coq6  CG9547  CG17544  ADPS"
0.103138479603631,5,8,5.06172360248447,"Cyclic-nucleotide phosphodiesterase activity "," http://amigo.geneontology.org/amigo/term/GO:0004112"," dnc  Pde6  Pde9  Pka-R1  Pde1c"
0.103138479603631,9,23,3.16907912503376,"Metallocarboxypeptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0004181"," CG3097  CG3108  CG4678  CG8945  CG4017  CG17633  CG31019  CG42264  Nna1"
0.103138479603631,4,5,6.47900621118012,"3 ,5 -cyclic-GMP phosphodiesterase activity "," http://amigo.geneontology.org/amigo/term/GO:0047555"," Pde6  Pde9  Pka-R1  Pde1c"
