"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00725283659562302,105,555,1.53219741480611,"Behavior "," http://amigo.geneontology.org/amigo/term/GO:0007610"," arr  dnc  EcR  kay  Acp95EF  Poxn  pum  Sh  sm  Egfr  w  y  bs  5-HT1A  Syn  Plc21C  rho  ogre  CanA1  Tbh  cue  Obp69a  Acp36DE  Dh44  Cdk5  Rac2  cher  Acp63F  Drip  Acp62F  btv  aay  Acp32CD  inc  moody  drpr  Hug  Tob  Lk  CenG1A  hiw  CG5541  fipi  meng  Obp59a  Tat  Prps  Or83a  Tk  hdly  SIFaR  Root  Ets96B  lectin-46Cb  lectin-46Ca  dpr1  Gr68a  MCU  Ilp5  Ilp4  Ilp3  Tdc2  Trim9  Rbfox1  shep  be  CheB42a  ppk25  Nmdar2  Dop2R  shakB  natalisin  NaCP60E  amn  Vrp1  rig  mnb  CCKLR-17D1  Pka-R1  Tdc1  2mit  Ank2  Ptpmeg  Shab  Src64B  norpA  SERCA  dysc  Gr39a  Rgk1  Pde1c  Nrg  Neto  mbl  rad  Bx  lov  kis  unc-104  Acp33A  Tmc  S6k  Phm  sbb  gry"
0.00725283659562302,10,16,5.06172360248447,"CGMP metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046068"," Gycbeta100B  CG10738  Pde6  Gyc88E  CG31183  CG33958  CG34357  Pde9  CG42637  Pde1c"
0.0180382382138155,32,121,2.14182023510087,"Mating behavior "," http://amigo.geneontology.org/amigo/term/GO:0007617"," dnc  Poxn  Sh  w  y  5-HT1A  Syn  Tbh  Obp69a  Acp36DE  Rac2  btv  Acp32CD  fipi  hdly  SIFaR  lectin-46Cb  lectin-46Ca  Gr68a  Ilp5  Ilp3  shep  CheB42a  ppk25  natalisin  amn  Gr39a  Pde1c  Nrg  mbl  lov  Acp33A"
0.0180382382138155,34,132,2.08604366647845,"Reproductive behavior "," http://amigo.geneontology.org/amigo/term/GO:0019098"," dnc  Poxn  Sh  w  y  5-HT1A  Syn  Tbh  Obp69a  Acp36DE  Rac2  Drip  btv  Acp32CD  fipi  hdly  SIFaR  lectin-46Cb  lectin-46Ca  Gr68a  Ilp5  Ilp3  Tdc2  shep  CheB42a  ppk25  natalisin  amn  Gr39a  Pde1c  Nrg  mbl  lov  Acp33A"
0.0271772738329679,13,31,3.39625325586055,"Cyclic nucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009187"," dnc  Ac76E  Gycbeta100B  CG10738  Pde6  Gyc88E  CG31183  CG33958  CG34357  Pde9  CG42637  CG43373  Pde1c"
0.0282066641279092,30,115,2.11271941668917,"Memory "," http://amigo.geneontology.org/amigo/term/GO:0007613"," arr  dnc  EcR  pum  w  bs  5-HT1A  Syn  CanA1  Tbh  cher  Tob  CenG1A  hiw  CG5541  meng  MCU  Rbfox1  be  Nmdar2  Dop2R  amn  2mit  Ank2  Src64B  Rgk1  rad  kis  Phm  gry"
0.0321254088535311,23,80,2.32839285714286,"Neuromuscular synaptic transmission "," http://amigo.geneontology.org/amigo/term/GO:0007274"," ChAT  tkv  Ten-m  Plc21C  Dcp-1  wit  Nadsyn  hiw  CG5541  Syp  cpx  be  Rim  Pka-R1  Dys  Ank2  Rbp  SERCA  nonC  dysc  Neto  Ten-a  cv-c"
0.0321254088535311,34,139,1.98099110773493,"Mating "," http://amigo.geneontology.org/amigo/term/GO:0007618"," dnc  Poxn  Sh  w  y  5-HT1A  Syn  Tbh  Obp69a  Acp36DE  Rac2  Acp62F  btv  Acp32CD  fipi  hdly  SIFaR  lectin-46Cb  lectin-46Ca  Gr68a  Ilp5  Ilp3  shep  CheB42a  ppk25  lobo  natalisin  amn  Gr39a  Pde1c  Nrg  mbl  lov  Acp33A"
0.0715423099431611,21,74,2.29829612220917,"Motor neuron axon guidance "," http://amigo.geneontology.org/amigo/term/GO:0008045"," Lar  spz  Ten-m  Wnt4  Cdk5  Rac2  cher  NetB  ko  caps  beat-Ic  beat-Ib  CG6867  Sulf1  beat-IIIb  Mp  CG42637  haf  dally  Nrg  Ten-a"
0.0749139429072973,7,12,4.72427536231884,"CGMP biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0006182"," Gycbeta100B  CG10738  Gyc88E  CG31183  CG33958  CG34357  CG42637"
0.104965535120294,68,366,1.50468723483691,"Cell junction organization "," http://amigo.geneontology.org/amigo/term/GO:0034330"," Lar  Galphao  kay  pum  tkv  nullo  Ten-m  Fur1  Syn  gig  Rab3  Nos  Cdk5  Rac2  caps  wit  Tsp2A  moody  drpr  kirre  hiw  CG15449  C1GalTA  PICK1  Dyb  Liprin-gamma  Strip  Ssk  cmpy  Syn1  Syp  atl  Vav  dpr1  Prosap  dpr6  cpx  bchs  mesh  dpr10  DIP-alpha  dpr11  dpr3  Frq2  Nlg4  CG34353  shakB  mnb  CCKLR-17D1  DIP-epsilon  Ca-beta  Dys  Atg1  bou  Ank2  dpr2  Rbp  Src64B  nonC  dysc  Fife  Nrg  Neto  kis  btsz  Ten-a  unc-104  S6k"
0.104965535120294,114,679,1.35973252591041,"System process "," http://amigo.geneontology.org/amigo/term/GO:0003008"," bru1  arr  Arr2  dnc  EcR  Galphao  Grd  ninaA  pum  Rh4  ru  Sh  sina  Tm1  Egfr  w  bs  5-HT1A  aos  Syn  trpl  CanA1  Tbh  Obp69a  Nos  Dhc36C  Calx  cher  Drip  nompA  btv  GluClalpha  kirre  Tob  CenG1A  CheA7a  hiw  CG5541  nAChRbeta3  meng  MRP  Or45a  Obp47b  Sans  Obp59a  Or59b  Or59c  Snmp2  Obp73a  Or83a  Or85a  Tk  subdued  Or94a  Or94b  Root  Ets96B  Or98a  Ir100a  dpr1  Prosap  dpr6  Gr94a  Gr68a  Gr47a  MCU  Obp51a  Gr77a  dpr10  Rbfox1  be  Gr9a  dpr11  CheB42a  Nmdar2  dpr3  Dop2R  Ufm1  NaCP60E  p  stops  amn  mnb  Pka-R1  Snmp1  wtrw  Mp  2mit  Atg1  Ubr3  CheB74a  rdgA  pdm3  Ank2  dpr2  f  Shab  Src64B  norpA  axo  SERCA  Nha2  Stacl  dysc  Gr39a  Rgk1  mbl  rad  Bx  Fhos  kis  Tmc  Phm  gry"
0.105176986006495,34,155,1.77650170306552,"Learning or memory "," http://amigo.geneontology.org/amigo/term/GO:0007611"," arr  dnc  EcR  pum  Sh  Egfr  w  bs  5-HT1A  Syn  CanA1  Tbh  cher  Tob  CenG1A  hiw  CG5541  meng  MCU  Rbfox1  be  Nmdar2  Dop2R  amn  mnb  Pka-R1  2mit  Ank2  Src64B  Rgk1  rad  kis  Phm  gry"
0.105176986006495,7,13,4.36086956521739,"Anesthesia-resistant memory "," http://amigo.geneontology.org/amigo/term/GO:0007615"," dnc  5-HT1A  MCU  Dop2R  amn  Rgk1  rad"
0.105176986006495,9,21,3.47089618456078,"Positive regulation of BMP signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0030513"," lili  lqf  lbk  cmpy  cbt  magu  dally  cv-d  ttv"
0.105176986006495,13,39,2.69958592132505,"Ecdysteroid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0045455"," Eip75B  CG12539  CG9522  CG9521  CG9519  CG9518  CG9514  CG9512  fiz  CG12398  Eo  CG9503  eIF4EHP"
0.105176986006495,100,585,1.38440303657695,"Nervous system process "," http://amigo.geneontology.org/amigo/term/GO:0050877"," arr  Arr2  dnc  EcR  Galphao  Grd  ninaA  pum  Rh4  Sh  sina  Egfr  w  bs  5-HT1A  aos  Syn  trpl  CanA1  Tbh  Obp69a  Dhc36C  Calx  cher  nompA  btv  GluClalpha  Tob  CenG1A  CheA7a  hiw  CG5541  nAChRbeta3  meng  Or45a  Obp47b  Sans  Obp59a  Or59b  Or59c  Snmp2  Obp73a  Or83a  Or85a  Tk  subdued  Or94a  Or94b  Root  Ets96B  Or98a  Ir100a  dpr1  Prosap  dpr6  Gr94a  Gr68a  Gr47a  MCU  Obp51a  Gr77a  dpr10  Rbfox1  be  Gr9a  dpr11  CheB42a  Nmdar2  dpr3  Dop2R  Ufm1  NaCP60E  p  stops  amn  mnb  Pka-R1  Snmp1  wtrw  2mit  Ubr3  CheB74a  rdgA  pdm3  Ank2  dpr2  f  Src64B  norpA  axo  Stacl  dysc  Gr39a  Rgk1  mbl  rad  kis  Tmc  Phm  gry"
0.105176986006495,6,10,4.85925465838509,"Regulation of calcium ion transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:1901019"," CG4587  Rgk3  Ca-beta  SERCA  Stacl  Rgk1"
0.105176986006495,5,7,5.78482697426797,"Regulation of voltage-gated calcium channel activity "," http://amigo.geneontology.org/amigo/term/GO:1901385"," CG4587  Rgk3  Ca-beta  Stacl  Rgk1"
0.105176986006495,55,287,1.55202674919385,"Enzyme linked receptor protein signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007167"," Lar  Raf  pum  sina  tkv  Egfr  aos  rho  gig  scw  CanA1  Pi3K68D  ksr  wit  brk  lili  lqf  Smurf  hiw  Graf  DENR  CG10702  ths  lbk  CG10738  cmpy  srl  p53  Vav  Sulf1  cbt  Ilp6  Ilp5  Ilp4  Ilp3  Wsck  CG31183  CG31832  PVRAP  Ddr  CG33958  CG32335  CG34357  alph  clos  CG42637  Ptpmeg  magu  Src64B  dally  spg  cv-d  ttv  Ptp61F  S6k"
0.112398428420941,34,156,1.76511387163561,"Cognition "," http://amigo.geneontology.org/amigo/term/GO:0050890"," arr  dnc  EcR  pum  Sh  Egfr  w  bs  5-HT1A  Syn  CanA1  Tbh  cher  Tob  CenG1A  hiw  CG5541  meng  MCU  Rbfox1  be  Nmdar2  Dop2R  amn  mnb  Pka-R1  2mit  Ank2  Src64B  Rgk1  rad  kis  Phm  gry"
0.117806525305687,7,14,4.04937888198758,"CGMP-mediated signaling "," http://amigo.geneontology.org/amigo/term/GO:0019934"," Gycbeta100B  CG10738  Gyc88E  CG31183  CG34357  Pde9  CG42637"
0.123282030362132,11,31,2.87375275495893,"Cyclic-nucleotide-mediated signaling "," http://amigo.geneontology.org/amigo/term/GO:0019935"," dnc  Gycbeta100B  CG10738  Gyc88E  CG31183  CG34357  amn  CG42260  Pde9  Pka-R1  CG42637"
0.123282030362132,56,298,1.5219142106799,"Synapse organization "," http://amigo.geneontology.org/amigo/term/GO:0050808"," Lar  Galphao  kay  pum  tkv  Ten-m  Fur1  Syn  gig  Rab3  Nos  Cdk5  caps  wit  drpr  hiw  C1GalTA  PICK1  Dyb  Liprin-gamma  Strip  cmpy  Syn1  Syp  atl  dpr1  Prosap  dpr6  cpx  bchs  dpr10  DIP-alpha  dpr11  dpr3  Frq2  Nlg4  CG34353  mnb  CCKLR-17D1  DIP-epsilon  Ca-beta  Dys  Atg1  Ank2  dpr2  Rbp  Src64B  nonC  dysc  Fife  Nrg  Neto  kis  Ten-a  unc-104  S6k"
0.123282030362132,8,18,3.59944789510007,"Medium-term memory "," http://amigo.geneontology.org/amigo/term/GO:0072375"," dnc  CanA1  CenG1A  meng  MCU  Nmdar2  amn  Rgk1"
0.136997347500336,19,73,2.1078958563771,"Courtship behavior "," http://amigo.geneontology.org/amigo/term/GO:0007619"," dnc  Poxn  Sh  w  y  5-HT1A  Syn  Tbh  Obp69a  btv  fipi  Gr68a  shep  CheB42a  ppk25  amn  Gr39a  Nrg  lov"
0.136997347500336,4,5,6.47900621118012,"Regulation of striated muscle tissue development "," http://amigo.geneontology.org/amigo/term/GO:0016202"," rst  twi  kirre  hbs"
0.136997347500336,16,57,2.27333551269478,"BMP signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0030509"," tkv  scw  wit  brk  lili  lqf  Smurf  hiw  lbk  cmpy  cbt  CG42637  magu  dally  cv-d  ttv"
0.136997347500336,16,57,2.27333551269478,"Cellular response to BMP stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071773"," tkv  scw  wit  brk  lili  lqf  Smurf  hiw  lbk  cmpy  cbt  CG42637  magu  dally  cv-d  ttv"
0.136997347500336,4,5,6.47900621118012,"Regulation of muscle tissue development "," http://amigo.geneontology.org/amigo/term/GO:1901861"," rst  twi  kirre  hbs"
0.136997347500336,6,11,4.41750423489554,"Regulation of calcium ion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:1903169"," CG4587  Rgk3  Ca-beta  SERCA  Stacl  Rgk1"
0.139321713417175,5,8,5.06172360248447,"Receptor guanylyl cyclase signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007168"," CG10738  CG31183  CG33958  CG34357  CG42637"
0.157692898410897,16,58,2.23414007282073,"Response to BMP "," http://amigo.geneontology.org/amigo/term/GO:0071772"," tkv  scw  wit  brk  lili  lqf  Smurf  hiw  lbk  cmpy  cbt  CG42637  magu  dally  cv-d  ttv"
0.159422918150401,59,325,1.47023602484472,"Axonogenesis "," http://amigo.geneontology.org/amigo/term/GO:0007409"," brm  Lar  dnc  Fas3  kay  Kr  pk  Sh  sm  spz  Ten-m  rho  Wnt4  Cdk5  Rac2  cher  CadN  NetB  ko  caps  RhoGEF2  beat-Ic  beat-Ib  Dlic  CG6867  Liprin-gamma  Strip  RhoGEF64C  atl  Ythdf  Vav  Sulf1  Trim9  LRP1  beat-IIIb  dpr11  CG34353  jing  comm3  kuz  Mp  CG42637  haf  pdm3  Ank2  Ptpmeg  Src64B  Acsl  sick  dally  dysc  Nrg  CG44153  ttv  kis  Ten-a  Ptp61F  S6k  sbb"
0.163128953655573,9,24,3.03703416149068,"Cyclic purine nucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0052652"," Ac76E  Gycbeta100B  CG10738  Gyc88E  CG31183  CG33958  CG34357  CG42637  CG43373"
0.163128953655573,284,1968,1.16872317325658,"Cell communication "," http://amigo.geneontology.org/amigo/term/GO:0007154"," arr  Arr2  ChAT  Lar  dnc  EcR  eg  Eip75B  Galphao  Grd  kay  CG5504  Acp95EF  nec  ninaA  numb  Raf  pk  pum  Rh4  RanGAP  Sh  sina  spz  Syb  tkv  Egfr  twi  5-HT1A  fwd  Ten-m  aos  Syn  Plc21C  rho  ogre  RYa-R  Ac76E  Hnf4  gig  Rab3  scw  trpl  CanA1  Tbh  pll  Wnt4  Dcp-1  Alg3  Acp36DE  fng  Nos  Dh44  Cdk5  Gycbeta100B  Calx  Rac2  Pi3K68D  ksr  CadN  mth  RhoGEF2  Acp32CD  zpg  wit  Hs2st  brk  GluClalpha  moody  CG4313  Rad9  CkIIbeta2  CG4325  lili  nito  Hug  Lk  lqf  miple2  Smurf  hbs  disp  mAChR-C  Dok  Corp  RabX2  CG1924  Nadsyn  hiw  CG5541  Rab3-GEF  Graf  sphe  Rcp  DENR  RhoGAP15B  CG7536  RhoGAP19D  nAChRbeta3  Mnn1  atilla  PICK1  CG10702  CG10481  CCHa2-R  azot  Nup44A  Or45a  CG13229  ths  Dyb  Dh44-R2  lbk  Atg7  Lrt  Liprin-gamma  CG13526  Or59b  Or59c  mthl9  mthl10  Strip  RhoGEF64C  CG8641  Cdc6  CG10738  CG17026  CG17029  CG17028  CG17027  Adgf-A  cmpy  srl  Or83a  CG12147  CG14669  Or85a  PGRP-LB  mthl5  Tk  timeout  Pde6  Gyc88E  Syp  Grik  SIFaR  Or94a  Or94b  p53  Cow  Ets96B  Npl4  CG6036  Tusp  Or98a  Vav  Sulf1  CG13375  boi  Buffy  Prosap  schlank  CG18666  Gr94a  Gr68a  Gr47a  cpx  cbt  Ilp6  Ilp5  Ilp4  Ilp3  Gr77a  RacGAP84C  Wsck  Takl1  mthl13  CG30281  CG30340  CG30378  CG31183  Trim9  CG31832  CG32176  Ccn  sphinx2  sphinx1  PVRAP  Usp10  CG32568  be  Rab9Fb  Rab9Fa  Rab9E  X11Lbeta  CG32683  Gr9a  Snx27  CG32944  CG33288  Nmdar2  Dop2R  Ddr  Rim  CNMaR  CG33958  CG32335  Frq2  Nlg4  CG34357  shakB  Rgk3  CG34402  NaCP60E  Lgr4  htk  alph  stops  amn  Octbeta3R  CG42260  mnb  Pde9  CCKLR-17D1  Pka-R1  Ca-beta  kuz  Dys  Snmp1  GABA-B-R1  Ziz  Mp  Tango9  Atg1  Ubr3  clos  Sytbeta  inaE  grp  CG42637  rdgA  CG42674  pdm3  Ank2  Ptpmeg  magu  Rbp  Sarm  Shab  Src64B  norpA  axo  SERCA  5-HT1B  Acsl  CG43373  dally  nonC  Stacl  dysc  Flo2  spg  CG43795  SNF4Agamma  rdx  Gr39a  Fife  Rgk1  Pde1c  CG44085  CG44153  cv-d  Inx3  Neto  rad  ttv  Ten-a  unc-104  Acp33A  Ptp61F  S6k  sbb  cv-c  Camta"
