"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.25064688271597e-06,414,1867,1.30888994259034,"RNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003723","AT1G01040 AT1G01320 AT1G01760 AT1G01860 AT1G05460 AT1G06450 AT1G06560 AT1G06680 AT1G07210 AT1G08840 AT1G09760 AT1G09800 AT1G10490 AT1G10580 AT1G10910 AT1G11480 AT1G12780 AT1G13190 AT1G13690 AT1G13930 AT1G14790 AT1G15250 AT1G15480 AT1G15690 AT1G15810 AT1G15820 AT1G15870 AT1G16720 AT1G16740 AT1G16800 AT1G17370 AT1G17440 AT1G17640 AT1G17760 AT1G17980 AT1G18540 AT1G18630 AT1G19120 AT1G20920 AT1G22660 AT1G23290 AT1G23935 AT1G26630 AT1G27090 AT1G27890 AT1G27960 AT1G28260 AT1G29930 AT1G31790 AT1G33470 AT1G33680 AT1G35730 AT1G44780 AT1G44910 AT1G44920 AT1G48110 AT1G48195 AT1G48350 AT1G48570 AT1G48650 AT1G48830 AT1G48920 AT1G48970 AT1G49970 AT1G50250 AT1G51580 AT1G52325 AT1G53120 AT1G54310 AT1G54680 AT1G54780 AT1G55490 AT1G55870 AT1G56110 AT1G59760 AT1G60650 AT1G61580 AT1G62850 AT1G63180 AT1G66260 AT1G67430 AT1G67440 AT1G67950 AT1G70770 AT1G71260 AT1G71460 AT1G71490 AT1G71720 AT1G71770 AT1G71800 AT1G72370 AT1G72660 AT1G73230 AT1G75780 AT1G76050 AT1G76460 AT1G76860 AT1G78910 AT1G79040 AT1G79270 AT1G79850 AT1G79880 AT1G80270 AT1G80650 AT1G80660 AT1G80750 AT2G01130 AT2G02740 AT2G02750 AT2G03270 AT2G03640 AT2G04270 AT2G05210 AT2G05220 AT2G06990 AT2G17510 AT2G17975 AT2G18400 AT2G21350 AT2G21530 AT2G23380 AT2G24060 AT2G24350 AT2G25850 AT2G26280 AT2G26920 AT2G27610 AT2G27900 AT2G28380 AT2G29190 AT2G29550 AT2G29760 AT2G30780 AT2G31890 AT2G31920 AT2G32415 AT2G33450 AT2G33845 AT2G34420 AT2G34570 AT2G34750 AT2G34780 AT2G35410 AT2G36580 AT2G36620 AT2G36660 AT2G37340 AT2G38560 AT2G38610 AT2G39120 AT2G39730 AT2G39795 AT2G39820 AT2G40430 AT2G40590 AT2G40720 AT2G41500 AT2G41600 AT2G42270 AT2G42520 AT2G42680 AT2G43310 AT2G43410 AT2G43640 AT2G44065 AT2G44070 AT2G44860 AT2G44880 AT2G45730 AT2G45810 AT2G46280 AT2G46610 AT2G47330 AT2G47990 AT3G01150 AT3G01160 AT3G01790 AT3G01920 AT3G02200 AT3G03340 AT3G03920 AT3G04820 AT3G06950 AT3G07590 AT3G08000 AT3G08010 AT3G09160 AT3G09440 AT3G09650 AT3G09680 AT3G10360 AT3G10820 AT3G12080 AT3G12640 AT3G12780 AT3G12860 AT3G12990 AT3G13230 AT3G13450 AT3G13470 AT3G13770 AT3G14100 AT3G14420 AT3G15190 AT3G15460 AT3G15605 AT3G17170 AT3G17390 AT3G18740 AT3G20230 AT3G20250 AT3G20430 AT3G21100 AT3G21300 AT3G22270 AT3G23070 AT3G25150 AT3G25470 AT3G25920 AT3G26400 AT3G27690 AT3G27700 AT3G27730 AT3G27750 AT3G32940 AT3G43920 AT3G45020 AT3G45630 AT3G46610 AT3G46960 AT3G47470 AT3G48930 AT3G49470 AT3G50100 AT3G52210 AT3G52260 AT3G52380 AT3G53110 AT3G53500 AT3G55470 AT3G55605 AT3G56510 AT3G56940 AT3G58140 AT3G58510 AT3G58570 AT3G58580 AT3G59040 AT3G59980 AT3G60500 AT3G61620 AT3G62030 AT3G62310 AT3G63140 AT3G63490 AT4G00660 AT4G00830 AT4G01290 AT4G02230 AT4G02840 AT4G02890 AT4G03120 AT4G05410 AT4G09980 AT4G10070 AT4G10110 AT4G10760 AT4G11970 AT4G12640 AT4G13860 AT4G14510 AT4G14520 AT4G14790 AT4G15520 AT4G16200 AT4G16680 AT4G16720 AT4G17390 AT4G17520 AT4G17610 AT4G18460 AT4G18465 AT4G19000 AT4G20030 AT4G20330 AT4G20770 AT4G20890 AT4G21180 AT4G21300 AT4G21670 AT4G21770 AT4G23620 AT4G24880 AT4G25500 AT4G25880 AT4G26230 AT4G26480 AT4G27440 AT4G27500 AT4G28080 AT4G28750 AT4G29010 AT4G29410 AT4G31010 AT4G31070 AT4G31150 AT4G31210 AT4G31230 AT4G31850 AT4G32175 AT4G32450 AT4G33010 AT4G35850 AT4G36130 AT4G36960 AT4G38020 AT4G39040 AT4G40000 AT5G02050 AT5G02770 AT5G02830 AT5G02960 AT5G03480 AT5G03580 AT5G03940 AT5G04140 AT5G05470 AT5G05720 AT5G05990 AT5G06310 AT5G06320 AT5G08490 AT5G08695 AT5G09920 AT5G09930 AT5G10690 AT5G10800 AT5G11200 AT5G11350 AT5G11900 AT5G12110 AT5G12120 AT5G13130 AT5G13510 AT5G13770 AT5G13780 AT5G14460 AT5G14670 AT5G15390 AT5G16130 AT5G16840 AT5G16850 AT5G18110 AT5G18410 AT5G19210 AT5G19350 AT5G19485 AT5G19510 AT5G20250 AT5G22060 AT5G23080 AT5G24490 AT5G24840 AT5G25060 AT5G25080 AT5G25520 AT5G27640 AT5G27850 AT5G35400 AT5G35680 AT5G37640 AT5G37720 AT5G38600 AT5G38895 AT5G39980 AT5G40420 AT5G42270 AT5G42310 AT5G42820 AT5G42980 AT5G44500 AT5G47210 AT5G47680 AT5G48870 AT5G49030 AT5G50250 AT5G51130 AT5G51140 AT5G51280 AT5G51980 AT5G52850 AT5G53330 AT5G54600 AT5G54920 AT5G56120 AT5G56130 AT5G58040 AT5G58130 AT5G58620 AT5G60980 AT5G60990 AT5G61020 AT5G61030 AT5G61930 AT5G62670 AT5G63650 AT5G64200 AT5G64270 AT5G65540 AT5G65900 AT5G66180 AT5G66190 AT5G67240 AT5G67510"
0.00023948566325928,109,407,1.58080825877436,"Transferase activity, transferring one-carbon groups "," http://amigo.geneontology.org/amigo/term/GO:0016741","AT1G01860 AT1G04900 AT1G06560 AT1G08125 AT1G09610 AT1G13790 AT1G14030 AT1G22800 AT1G24480 AT1G24610 AT1G24735 AT1G31220 AT1G31850 AT1G33030 AT1G45231 AT1G47330 AT1G50000 AT1G53250 AT1G54310 AT1G60230 AT1G64600 AT1G64970 AT1G66520 AT1G71690 AT1G73100 AT1G75330 AT1G76790 AT1G77300 AT1G77530 AT1G78140 AT2G22740 AT2G23380 AT2G23740 AT2G30920 AT2G39750 AT2G41040 AT2G43320 AT2G45730 AT2G45990 AT2G46110 AT3G05100 AT3G05390 AT3G10200 AT3G11480 AT3G12270 AT3G17310 AT3G20740 AT3G21300 AT3G21820 AT3G23480 AT3G25470 AT3G26410 AT3G26850 AT3G27180 AT3G27230 AT3G44840 AT3G48330 AT3G49720 AT3G51290 AT3G52210 AT3G55080 AT3G60910 AT3G63410 AT4G00750 AT4G02405 AT4G09980 AT4G10760 AT4G15520 AT4G17360 AT4G17610 AT4G20400 AT4G24805 AT4G25080 AT4G26240 AT4G28020 AT4G29510 AT4G29590 AT4G31120 AT4G33110 AT4G38020 AT4G40000 AT5G01230 AT5G03190 AT5G06050 AT5G08540 AT5G10605 AT5G10620 AT5G10830 AT5G13660 AT5G13960 AT5G14430 AT5G15390 AT5G18150 AT5G24840 AT5G40850 AT5G42760 AT5G43990 AT5G47435 AT5G47680 AT5G49020 AT5G49810 AT5G50240 AT5G51130 AT5G53430 AT5G53920 AT5G58375 AT5G64030 AT5G65860 AT5G66180"
0.000664260835828838,103,390,1.55890526972665,"Methyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0008168","AT1G01860 AT1G04900 AT1G06560 AT1G08125 AT1G09610 AT1G13790 AT1G14030 AT1G22800 AT1G24480 AT1G24610 AT1G24735 AT1G31850 AT1G33030 AT1G45231 AT1G47330 AT1G50000 AT1G53250 AT1G54310 AT1G60230 AT1G64600 AT1G64970 AT1G71690 AT1G73100 AT1G76790 AT1G77300 AT1G77530 AT1G78140 AT2G22740 AT2G23380 AT2G23740 AT2G30920 AT2G39750 AT2G41040 AT2G43320 AT2G45730 AT2G45990 AT3G05100 AT3G05390 AT3G10200 AT3G11480 AT3G12270 AT3G17310 AT3G20740 AT3G21300 AT3G21820 AT3G23480 AT3G25470 AT3G26410 AT3G26850 AT3G27180 AT3G27230 AT3G44840 AT3G48330 AT3G49720 AT3G51290 AT3G52210 AT3G55080 AT3G60910 AT3G63410 AT4G00750 AT4G02405 AT4G09980 AT4G10760 AT4G15520 AT4G17610 AT4G20400 AT4G24805 AT4G25080 AT4G26240 AT4G28020 AT4G29510 AT4G29590 AT4G31120 AT4G33110 AT4G38020 AT4G40000 AT5G01230 AT5G03190 AT5G06050 AT5G08540 AT5G10605 AT5G10620 AT5G10830 AT5G13660 AT5G13960 AT5G14430 AT5G15390 AT5G18150 AT5G24840 AT5G40850 AT5G42760 AT5G43990 AT5G47680 AT5G49020 AT5G49810 AT5G50240 AT5G51130 AT5G53430 AT5G53920 AT5G58375 AT5G64030 AT5G65860 AT5G66180"
0.00104260292616917,82,298,1.62421940854429,"Isomerase activity "," http://amigo.geneontology.org/amigo/term/GO:0016853","AT1G03055 AT1G09780 AT1G09800 AT1G11530 AT1G12780 AT1G15020 AT1G15410 AT1G18870 AT1G20050 AT1G22170 AT1G30620 AT1G35620 AT1G53500 AT1G56085 AT1G60460 AT1G63180 AT1G63990 AT1G69370 AT1G76050 AT1G78050 AT1G78500 AT1G78570 AT1G78910 AT1G78970 AT2G01270 AT2G01290 AT2G02390 AT2G04400 AT2G22240 AT2G29960 AT2G30695 AT2G36230 AT2G45790 AT2G47320 AT2G47470 AT3G01260 AT3G01480 AT3G04820 AT3G04880 AT3G06950 AT3G08900 AT3G10060 AT3G10230 AT3G12340 AT3G15520 AT3G16110 AT3G19220 AT3G20560 AT3G22942 AT3G44600 AT3G47800 AT3G52260 AT3G53580 AT3G55520 AT3G55920 AT3G61610 AT3G62030 AT3G63400 AT4G02850 AT4G11670 AT4G12250 AT4G21770 AT4G29010 AT4G31210 AT5G02820 AT5G04120 AT5G04130 AT5G05420 AT5G05590 AT5G10170 AT5G14460 AT5G16510 AT5G17530 AT5G22620 AT5G35400 AT5G42180 AT5G48220 AT5G48370 AT5G51140 AT5G58710 AT5G62790 AT5G67530"
0.00142016676018544,178,770,1.36450893739029,"Pyrophosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0016462","AT1G01050 AT1G01910 AT1G01950 AT1G02130 AT1G05460 AT1G06400 AT1G08840 AT1G09100 AT1G10680 AT1G15690 AT1G16280 AT1G16970 AT1G17840 AT1G20060 AT1G20920 AT1G23100 AT1G24290 AT1G24510 AT1G27880 AT1G28550 AT1G30110 AT1G31860 AT1G43910 AT1G48650 AT1G50250 AT1G53750 AT1G55490 AT1G59760 AT1G64740 AT1G65410 AT1G67440 AT1G67460 AT1G67940 AT1G71010 AT1G72660 AT1G73110 AT1G73640 AT1G73980 AT1G74310 AT1G75780 AT1G75840 AT1G77470 AT1G78920 AT1G79560 AT1G79890 AT1G80660 AT2G01120 AT2G01130 AT2G01280 AT2G06990 AT2G16640 AT2G18230 AT2G23460 AT2G25530 AT2G27600 AT2G29550 AT2G30950 AT2G31970 AT2G34470 AT2G34560 AT2G39350 AT2G39730 AT2G41670 AT2G42070 AT2G42270 AT2G42520 AT2G44650 AT2G45810 AT2G46020 AT2G47330 AT3G01610 AT3G03960 AT3G05310 AT3G05740 AT3G07410 AT3G09440 AT3G09660 AT3G09900 AT3G09910 AT3G10350 AT3G10620 AT3G12020 AT3G12810 AT3G13470 AT3G14270 AT3G15060 AT3G16100 AT3G25400 AT3G26690 AT3G27730 AT3G28380 AT3G44050 AT3G46960 AT3G47060 AT3G47450 AT3G47460 AT3G47730 AT3G47950 AT3G48870 AT3G51290 AT3G53110 AT3G54870 AT3G56690 AT3G58510 AT3G58570 AT3G60160 AT3G62150 AT3G62310 AT3G63480 AT4G00660 AT4G02480 AT4G02510 AT4G05190 AT4G10650 AT4G11980 AT4G12790 AT4G13350 AT4G14675 AT4G14700 AT4G14790 AT4G16680 AT4G17160 AT4G17530 AT4G18050 AT4G18465 AT4G18480 AT4G19540 AT4G20890 AT4G21800 AT4G28070 AT4G33360 AT4G35860 AT4G35950 AT4G37270 AT4G39990 AT5G03340 AT5G03520 AT5G03530 AT5G03910 AT5G03940 AT5G08670 AT5G09650 AT5G09930 AT5G10260 AT5G11200 AT5G13130 AT5G15250 AT5G15450 AT5G16070 AT5G16930 AT5G17230 AT5G19210 AT5G20720 AT5G22010 AT5G27540 AT5G27550 AT5G40580 AT5G42270 AT5G45160 AT5G45930 AT5G45940 AT5G47200 AT5G47520 AT5G47650 AT5G49840 AT5G49910 AT5G51280 AT5G54090 AT5G54840 AT5G58240 AT5G59840 AT5G60730 AT5G60740 AT5G60860 AT5G60990 AT5G62670 AT5G65900 AT5G65960"
0.00176841025112614,179,780,1.35458273437413,"Hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides "," http://amigo.geneontology.org/amigo/term/GO:0016818","AT1G01050 AT1G01910 AT1G01950 AT1G02130 AT1G05460 AT1G06400 AT1G08840 AT1G09100 AT1G10680 AT1G15690 AT1G16280 AT1G16970 AT1G17840 AT1G20060 AT1G20920 AT1G23100 AT1G24290 AT1G24510 AT1G27880 AT1G28550 AT1G30110 AT1G31860 AT1G43910 AT1G48650 AT1G50250 AT1G53750 AT1G55490 AT1G59760 AT1G64740 AT1G65410 AT1G67440 AT1G67460 AT1G67940 AT1G71010 AT1G72660 AT1G73110 AT1G73640 AT1G73980 AT1G74310 AT1G75780 AT1G75840 AT1G77470 AT1G78920 AT1G79560 AT1G79890 AT1G80660 AT2G01120 AT2G01130 AT2G01280 AT2G06990 AT2G16640 AT2G18230 AT2G23460 AT2G25530 AT2G27600 AT2G29550 AT2G30950 AT2G31970 AT2G34470 AT2G34560 AT2G39350 AT2G39730 AT2G41670 AT2G42070 AT2G42270 AT2G42520 AT2G44650 AT2G45810 AT2G46020 AT2G47330 AT3G01610 AT3G03960 AT3G05310 AT3G05740 AT3G07410 AT3G09440 AT3G09660 AT3G09900 AT3G09910 AT3G10350 AT3G10620 AT3G12020 AT3G12810 AT3G13470 AT3G14270 AT3G15060 AT3G16100 AT3G25400 AT3G26690 AT3G27730 AT3G28380 AT3G44050 AT3G46960 AT3G47060 AT3G47450 AT3G47460 AT3G47730 AT3G47950 AT3G48870 AT3G51290 AT3G53110 AT3G54870 AT3G56690 AT3G58510 AT3G58570 AT3G60160 AT3G62150 AT3G62310 AT3G63480 AT4G00660 AT4G02480 AT4G02510 AT4G05190 AT4G10650 AT4G11980 AT4G12790 AT4G13350 AT4G14675 AT4G14700 AT4G14790 AT4G16680 AT4G17160 AT4G17530 AT4G18050 AT4G18465 AT4G18480 AT4G19540 AT4G20890 AT4G21800 AT4G28070 AT4G33360 AT4G35860 AT4G35950 AT4G37270 AT4G39990 AT5G03340 AT5G03520 AT5G03530 AT5G03910 AT5G03940 AT5G08670 AT5G09650 AT5G09930 AT5G10260 AT5G11200 AT5G13130 AT5G15250 AT5G15450 AT5G16070 AT5G16930 AT5G17230 AT5G18620 AT5G19210 AT5G20720 AT5G22010 AT5G27540 AT5G27550 AT5G40580 AT5G42270 AT5G45160 AT5G45930 AT5G45940 AT5G47200 AT5G47520 AT5G47650 AT5G49840 AT5G49910 AT5G51280 AT5G54090 AT5G54840 AT5G58240 AT5G59840 AT5G60730 AT5G60740 AT5G60860 AT5G60990 AT5G62670 AT5G65900 AT5G65960"
0.00225370199220582,179,785,1.34595481886856,"Hydrolase activity, acting on acid anhydrides "," http://amigo.geneontology.org/amigo/term/GO:0016817","AT1G01050 AT1G01910 AT1G01950 AT1G02130 AT1G05460 AT1G06400 AT1G08840 AT1G09100 AT1G10680 AT1G15690 AT1G16280 AT1G16970 AT1G17840 AT1G20060 AT1G20920 AT1G23100 AT1G24290 AT1G24510 AT1G27880 AT1G28550 AT1G30110 AT1G31860 AT1G43910 AT1G48650 AT1G50250 AT1G53750 AT1G55490 AT1G59760 AT1G64740 AT1G65410 AT1G67440 AT1G67460 AT1G67940 AT1G71010 AT1G72660 AT1G73110 AT1G73640 AT1G73980 AT1G74310 AT1G75780 AT1G75840 AT1G77470 AT1G78920 AT1G79560 AT1G79890 AT1G80660 AT2G01120 AT2G01130 AT2G01280 AT2G06990 AT2G16640 AT2G18230 AT2G23460 AT2G25530 AT2G27600 AT2G29550 AT2G30950 AT2G31970 AT2G34470 AT2G34560 AT2G39350 AT2G39730 AT2G41670 AT2G42070 AT2G42270 AT2G42520 AT2G44650 AT2G45810 AT2G46020 AT2G47330 AT3G01610 AT3G03960 AT3G05310 AT3G05740 AT3G07410 AT3G09440 AT3G09660 AT3G09900 AT3G09910 AT3G10350 AT3G10620 AT3G12020 AT3G12810 AT3G13470 AT3G14270 AT3G15060 AT3G16100 AT3G25400 AT3G26690 AT3G27730 AT3G28380 AT3G44050 AT3G46960 AT3G47060 AT3G47450 AT3G47460 AT3G47730 AT3G47950 AT3G48870 AT3G51290 AT3G53110 AT3G54870 AT3G56690 AT3G58510 AT3G58570 AT3G60160 AT3G62150 AT3G62310 AT3G63480 AT4G00660 AT4G02480 AT4G02510 AT4G05190 AT4G10650 AT4G11980 AT4G12790 AT4G13350 AT4G14675 AT4G14700 AT4G14790 AT4G16680 AT4G17160 AT4G17530 AT4G18050 AT4G18465 AT4G18480 AT4G19540 AT4G20890 AT4G21800 AT4G28070 AT4G33360 AT4G35860 AT4G35950 AT4G37270 AT4G39990 AT5G03340 AT5G03520 AT5G03530 AT5G03910 AT5G03940 AT5G08670 AT5G09650 AT5G09930 AT5G10260 AT5G11200 AT5G13130 AT5G15250 AT5G15450 AT5G16070 AT5G16930 AT5G17230 AT5G18620 AT5G19210 AT5G20720 AT5G22010 AT5G27540 AT5G27550 AT5G40580 AT5G42270 AT5G45160 AT5G45930 AT5G45940 AT5G47200 AT5G47520 AT5G47650 AT5G49840 AT5G49910 AT5G51280 AT5G54090 AT5G54840 AT5G58240 AT5G59840 AT5G60730 AT5G60740 AT5G60860 AT5G60990 AT5G62670 AT5G65900 AT5G65960"
0.00619544930306097,161,708,1.34226951190467,"Nucleoside-triphosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0017111","AT1G01910 AT1G01950 AT1G02130 AT1G05460 AT1G06400 AT1G08840 AT1G09100 AT1G10680 AT1G16280 AT1G16970 AT1G17840 AT1G20060 AT1G20920 AT1G23100 AT1G24290 AT1G24510 AT1G27880 AT1G28550 AT1G43910 AT1G48650 AT1G50250 AT1G53750 AT1G55490 AT1G59760 AT1G64740 AT1G65410 AT1G67440 AT1G67460 AT1G67940 AT1G71010 AT1G72660 AT1G73110 AT1G73640 AT1G74310 AT1G75780 AT1G75840 AT1G77470 AT1G79560 AT1G79890 AT1G80660 AT2G01120 AT2G01130 AT2G01280 AT2G06990 AT2G16640 AT2G23460 AT2G25530 AT2G27600 AT2G29550 AT2G30950 AT2G31970 AT2G34470 AT2G34560 AT2G39350 AT2G39730 AT2G41670 AT2G42270 AT2G42520 AT2G44650 AT2G45810 AT2G46020 AT2G47330 AT3G01610 AT3G03960 AT3G05310 AT3G05740 AT3G07410 AT3G09440 AT3G09660 AT3G09900 AT3G09910 AT3G10350 AT3G12020 AT3G12810 AT3G13470 AT3G14270 AT3G15060 AT3G16100 AT3G27730 AT3G28380 AT3G44050 AT3G46960 AT3G47060 AT3G47450 AT3G47460 AT3G47730 AT3G47950 AT3G48870 AT3G51290 AT3G53110 AT3G54870 AT3G56690 AT3G58510 AT3G58570 AT3G60160 AT3G62150 AT3G62310 AT3G63480 AT4G00660 AT4G02480 AT4G02510 AT4G05190 AT4G10650 AT4G12790 AT4G13350 AT4G14675 AT4G14700 AT4G14790 AT4G16680 AT4G17160 AT4G17530 AT4G18050 AT4G18465 AT4G18480 AT4G19540 AT4G20890 AT4G21800 AT4G28070 AT4G33360 AT4G35860 AT4G35950 AT4G37270 AT4G39990 AT5G03340 AT5G03520 AT5G03530 AT5G03910 AT5G03940 AT5G08670 AT5G09930 AT5G10260 AT5G11200 AT5G13130 AT5G15250 AT5G15450 AT5G16070 AT5G16930 AT5G19210 AT5G20720 AT5G22010 AT5G27540 AT5G27550 AT5G40580 AT5G42270 AT5G45160 AT5G45930 AT5G47200 AT5G47520 AT5G49840 AT5G49910 AT5G51280 AT5G54090 AT5G54840 AT5G59840 AT5G60730 AT5G60740 AT5G60860 AT5G60990 AT5G62670 AT5G65900 AT5G65960"
0.0353694239644001,29,89,1.92333572603997,"Molecular adaptor activity "," http://amigo.geneontology.org/amigo/term/GO:0060090","AT1G08480 AT1G08560 AT1G10030 AT1G10500 AT1G12470 AT1G15880 AT1G27700 AT1G60460 AT1G68660 AT3G03800 AT3G05710 AT3G09740 AT3G21200 AT3G24350 AT3G56190 AT3G56450 AT4G03330 AT4G08320 AT4G17600 AT4G17730 AT4G20410 AT4G30790 AT5G01770 AT5G05760 AT5G07880 AT5G16830 AT5G39510 AT5G46860 AT5G61210"
0.0425896889048134,27,82,1.94355582408497,"Protein-macromolecule adaptor activity "," http://amigo.geneontology.org/amigo/term/GO:0030674","AT1G08480 AT1G08560 AT1G10030 AT1G10500 AT1G12470 AT1G15880 AT1G27700 AT1G60460 AT1G68660 AT3G03800 AT3G05710 AT3G09740 AT3G21200 AT3G24350 AT3G56190 AT3G56450 AT4G03330 AT4G17600 AT4G17730 AT4G20410 AT5G01770 AT5G05760 AT5G07880 AT5G16830 AT5G39510 AT5G46860 AT5G61210"
