"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00693372261325893,6,23,10.1814092953523,"Anaphase-promoting complex "," http://amigo.geneontology.org/amigo/term/GO:0005680","AT2G04660 AT2G39090 AT4G21530 AT5G05560 AT5G13840 AT5G27945"
0.0175040966284666,6,30,7.80574712643678,"Nuclear ubiquitin ligase complex "," http://amigo.geneontology.org/amigo/term/GO:0000152","AT2G04660 AT2G39090 AT4G21530 AT5G05560 AT5G13840 AT5G27945"
0.0676878116506029,58,1482,1.52744039586145,"Organelle envelope "," http://amigo.geneontology.org/amigo/term/GO:0031967","AT1G01930 AT1G03630 AT1G14450 AT1G16790 AT1G17530 AT1G18730 AT1G24360 AT1G25380 AT1G26170 AT1G51400 AT1G55370 AT1G64510 AT1G64520 AT1G74040 AT1G75340 AT1G75350 AT1G75690 AT1G79560 AT1G80670 AT1G80680 AT2G02510 AT2G19680 AT2G33740 AT2G34460 AT2G43750 AT2G45000 AT2G45270 AT3G08960 AT3G10860 AT3G11630 AT3G13070 AT3G15110 AT3G16000 AT3G18420 AT3G45890 AT3G57785 AT3G59400 AT4G12020 AT4G16700 AT4G19100 AT4G21105 AT4G26965 AT4G28750 AT4G30010 AT4G39690 AT5G02160 AT5G06120 AT5G08040 AT5G08050 AT5G14910 AT5G15530 AT5G17670 AT5G38660 AT5G40100 AT5G43230 AT5G53860 AT5G58260 AT5G58270"
0.0676878116506029,58,1482,1.52744039586145,"Envelope "," http://amigo.geneontology.org/amigo/term/GO:0031975","AT1G01930 AT1G03630 AT1G14450 AT1G16790 AT1G17530 AT1G18730 AT1G24360 AT1G25380 AT1G26170 AT1G51400 AT1G55370 AT1G64510 AT1G64520 AT1G74040 AT1G75340 AT1G75350 AT1G75690 AT1G79560 AT1G80670 AT1G80680 AT2G02510 AT2G19680 AT2G33740 AT2G34460 AT2G43750 AT2G45000 AT2G45270 AT3G08960 AT3G10860 AT3G11630 AT3G13070 AT3G15110 AT3G16000 AT3G18420 AT3G45890 AT3G57785 AT3G59400 AT4G12020 AT4G16700 AT4G19100 AT4G21105 AT4G26965 AT4G28750 AT4G30010 AT4G39690 AT5G02160 AT5G06120 AT5G08040 AT5G08050 AT5G14910 AT5G15530 AT5G17670 AT5G38660 AT5G40100 AT5G43230 AT5G53860 AT5G58260 AT5G58270"
0.0676878116506029,39,880,1.72968260188088,"Nuclear protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140513","AT1G07950 AT1G08260 AT1G27650 AT1G31240 AT1G75340 AT1G80670 AT1G80680 AT2G04660 AT2G23380 AT2G39090 AT2G44200 AT2G45000 AT2G46200 AT2G47210 AT3G03340 AT3G06820 AT3G07530 AT3G24495 AT3G28956 AT3G45830 AT3G57080 AT3G57300 AT3G59810 AT4G02060 AT4G21530 AT4G22350 AT4G38495 AT5G05490 AT5G05560 AT5G06120 AT5G06420 AT5G13840 AT5G20170 AT5G27945 AT5G41150 AT5G42820 AT5G43230 AT5G60230 AT5G63480"
0.10840108260899,4,21,7.43404488232074,"INO80-type complex "," http://amigo.geneontology.org/amigo/term/GO:0097346","AT2G47210 AT3G45830 AT3G57300 AT4G38495"
0.119364079307372,7,73,3.74248149897654,"Proteasome complex "," http://amigo.geneontology.org/amigo/term/GO:0000502","AT1G48170 AT1G56450 AT1G64520 AT3G02200 AT3G57290 AT4G14800 AT5G45010"
0.119364079307372,6,54,4.33652618135377,"Nuclear pore "," http://amigo.geneontology.org/amigo/term/GO:0005643","AT1G75340 AT1G80670 AT1G80680 AT2G45000 AT5G06120 AT5G43230"
0.136455608583449,5,40,4.87859195402299,"ATPase complex "," http://amigo.geneontology.org/amigo/term/GO:1904949","AT1G79560 AT2G47210 AT3G45830 AT3G57300 AT4G38495"
0.14615625015822,8,101,3.09138500056902,"Nuclear chromosome "," http://amigo.geneontology.org/amigo/term/GO:0000228","AT1G08260 AT1G21610 AT1G53490 AT2G47210 AT3G45830 AT3G57300 AT4G38495 AT5G05490"
0.14615625015822,7,80,3.41501436781609,"Endopeptidase complex "," http://amigo.geneontology.org/amigo/term/GO:1905369","AT1G48170 AT1G56450 AT1G64520 AT3G02200 AT3G57290 AT4G14800 AT5G45010"
0.167503881847067,29,680,1.66446078431373,"Intracellular protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140535","AT1G08260 AT1G21600 AT1G21780 AT1G31240 AT1G48170 AT1G56450 AT1G64520 AT1G80670 AT2G04660 AT2G37680 AT2G39090 AT2G47210 AT3G02200 AT3G28956 AT3G57080 AT3G57290 AT3G58530 AT4G14800 AT4G21100 AT4G21530 AT4G31160 AT5G05560 AT5G13840 AT5G18525 AT5G27945 AT5G45010 AT5G54440 AT5G58450 AT5G67380"
0.182897534405226,12,204,2.29580797836376,"Cullin-RING ubiquitin ligase complex "," http://amigo.geneontology.org/amigo/term/GO:0031461","AT1G21780 AT1G80670 AT2G04660 AT2G39090 AT3G58530 AT4G21100 AT4G21530 AT4G31160 AT5G05560 AT5G13840 AT5G18525 AT5G27945"
