"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.06750182230739e-23,309,823,1.75587185235333,"RNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006396"," Pih1d2  Nsun5  Nhp2  Crnkl1  Rtcb  Trmt1  Supt6  Sf3a1  Prpf6  Prkra  Pih1d1  Paf1  Snrnp200  Stat3  Cwc15  Trmt10a  Emg1  Map2k1  Hnrnpa2b1  Wdr83  Bud23  Ddx39a  Osgep  Ptbp1  Mettl1  Gtpbp3  Prpf31  Zmat5  Rnmt  Rps25  Sugp1  Ccnt1  Trnt1  Nol3  Tsr3  Mtrex  Rrp7a  Ncor1  Elp5  Sart3  Dalrd3  Nop9  Xab2  Adat2  Snrpf  Hnrnph3  Snrpd3  Sf3a2  Helb  Pus10  Clk4  Pes1  Znhit3  Elac2  Dus4l  Ftsj3  Ddx5  Eftud2  Zc3h14  Prorp  Snw1  Fcf1  Nol8  Ripk1  Fars2  Riok1  Hnrnpk  Nsun2  Ptcd2  Dimt1  Ppwd1  Srek1ip1  Rtraf  Ecd  Mettl6  Dph3  Ints9  Wbp4  Mettl3  Acin1  Drosha  Brix1  Dcaf13  Pop1  Zc3h7b  Hsf1  Bop1  Zcrb1  Prkdc  Qtrt2  Dgcr8  Trmt2a  Ncbp2  Son  Scaf4  Prpf40b  Sympk  Dtwd1  Bysl  Wdr4  Srsf7  Elp2  Thoc1  Wdr46  Nelfe  Ik  Rps14  Pdcd11  Alyref  Tsr2  Rps24  Sbds  Lmntd2  Exosc7  Fastkd2  Wdr12  Ppil3  Khdrbs2  Imp4  Mrpl44  Mterf4  Cdc73  Tfb2m  Nvl  Nsun6  BC005624  Elp4  Cstf3  Cstf1  Rprd1b  Fxr1  Exosc9  Adad1  Exosc8  Adar  Larp7  Ints12  Celf3  Tgs1  Exosc3  Ncbp1  Smu1  Elp1  Psip1  Ppie  Toe1  Ebna1bp2  Mrto4  Nol9  Fastk  Ints11  Fip1l1  Tfip11  Ddx51  Mrm2  Ddx54  Ptcd1  Cpsf4  Wbp11  Ercc2  Mphosph10  Rnf40  Rrp8  Eri2  Rbm10  Pqbp1  Cstf2  Mecp2  Dkc1  Mak16  Txnl4b  Nudt21  Usb1  Dus2  Rpusd4  Pus3  Rp9  Clk3  Ybey  Dis3  Wdr3  Trmt13  Ccar2  Sf3b3  Cpsf1  Srsf2  Zfc3h1  Lsm3  Exosc4  Exosc1  Gtf2h5  Trmt5  Rsrc1  Tent4a  Cpsf7  Gcfc2  Ints6  Lsm7  Helq  Raver2  Tsen34  Prpf39  Sugp2  Rpp25l  Rnf113a1  Nop14  Ago2  Kdm1a  Tfb1m  Rbmxl1  Kin  Lsm1  Trmt6  Ints7  Wdhd1  Fdxacb1  Dhx38  Mrm3  Tsr1  Cdc40  Phrf1  Bud31  Trmt112  Srrm2  Hnrnpu  Cpeb3  Spout1  Trub2  Slc39a5  Tbl3  Ints8  Snrpd2  Rpusd1  Thoc6  Tardbp  Rrp9  Utp15  Cir1  Cpsf2  Mettl8  Safb2  Wdr55  Pde12  Zrsr1  Gemin7  Hnrnph2  Esf1  Zfp830  Hnrnpa1  Tyw3  Trpt1  Ankrd16  Zfp473  Tyw5  Ctu2  Hmx2  Snip1  Heatr1  Rps27rt  Pusl1  Mettl5  Rbm12b2  Cherp  Trmt1l  Thoc7  Cstf2t  Utp18  Tprkb  Cpsf3  Ddx17  Srsf11  Apobec4  Tyw1  Jmjd6  Mettl15  Zbtb8os  Ddx49  Rrp1b  Rpl5  Trp53  Prmt7  Pop5  Rpl35a  Nsa2  Prpf40a  Exosc5  Phf5a  Snrpa  Srpk2  Rpl7a  Rpl35  Krr1  Nup98  Prpf38a  Prpf4  Rps28  Lyar  Mfap1a  Ssb  Dazap1  Safb  Snrnp40  Lcmt2  Alkbh1  Esrp2  Ubl5  Tarbp1  Rps27  Scnm1"
1.16728525340401e-21,162,352,2.1523184262546,"NcRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0034470"," Pih1d2  Nsun5  Nhp2  Rtcb  Trmt1  Prkra  Pih1d1  Stat3  Trmt10a  Emg1  Hnrnpa2b1  Bud23  Osgep  Mettl1  Gtpbp3  Rps25  Trnt1  Tsr3  Mtrex  Rrp7a  Elp5  Dalrd3  Nop9  Adat2  Helb  Pus10  Pes1  Znhit3  Elac2  Dus4l  Ftsj3  Prorp  Fcf1  Nol8  Fars2  Riok1  Nsun2  Dimt1  Rtraf  Mettl6  Dph3  Ints9  Mettl3  Drosha  Brix1  Dcaf13  Pop1  Bop1  Prkdc  Qtrt2  Dgcr8  Dtwd1  Bysl  Wdr4  Elp2  Wdr46  Rps14  Pdcd11  Tsr2  Rps24  Sbds  Exosc7  Wdr12  Imp4  Mrpl44  Mterf4  Tfb2m  Nvl  Nsun6  Elp4  Exosc9  Exosc8  Adar  Larp7  Ints12  Exosc3  Elp1  Toe1  Ebna1bp2  Mrto4  Nol9  Ints11  Ddx51  Mrm2  Ddx54  Ptcd1  Wbp11  Ercc2  Mphosph10  Rrp8  Eri2  Mecp2  Dkc1  Mak16  Usb1  Dus2  Rpusd4  Pus3  Ybey  Dis3  Wdr3  Trmt13  Exosc4  Exosc1  Gtf2h5  Trmt5  Ints6  Helq  Tsen34  Rpp25l  Rnf113a1  Nop14  Ago2  Tfb1m  Trmt6  Ints7  Fdxacb1  Mrm3  Tsr1  Trmt112  Trub2  Tbl3  Ints8  Rpusd1  Rrp9  Utp15  Mettl8  Wdr55  Esf1  Tyw3  Trpt1  Ankrd16  Tyw5  Ctu2  Heatr1  Rps27rt  Pusl1  Mettl5  Trmt1l  Utp18  Tprkb  Ddx17  Tyw1  Mettl15  Zbtb8os  Ddx49  Rrp1b  Rpl5  Pop5  Rpl35a  Nsa2  Exosc5  Rpl7a  Rpl35  Krr1  Rps28  Lyar  Ssb  Lcmt2  Alkbh1  Tarbp1  Rps27"
8.66819659841115e-20,184,435,1.97816602570821,"NcRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0034660"," Pih1d2  Nsun5  Nhp2  Hars  Snd1  Rtcb  Trmt1  Prkra  Pih1d1  Stat3  Trmt10a  Emg1  Hnrnpa2b1  Bud23  Osgep  Mettl1  Gtpbp3  Rps25  Trnt1  Tsr3  Mtrex  Rrp7a  Elp5  Dalrd3  Hars2  Nop9  Adat2  Qrsl1  Helb  Pus10  Pes1  Znhit3  Elac2  Dus4l  Ftsj3  Prorp  Fcf1  Wars  Nol8  Fars2  Riok1  Nsun2  Dimt1  Rtraf  Mettl6  Dph3  Ints9  Mettl3  Drosha  Brix1  Dcaf13  Pop1  Bop1  Prkdc  Qtrt2  Dgcr8  Dtwd1  Bysl  Wdr4  Elp2  Wdr46  Rps14  Pdcd11  Tsr2  Rps24  Sbds  Hras  Exosc7  Wdr12  Imp4  Farsb  Mrpl44  Mterf4  Tfb2m  Nvl  Iars2  Nsun6  Dars2  Elp4  Exosc9  Exosc8  Adar  Larp7  Ints12  Rars2  Exosc3  Elp1  Toe1  Ebna1bp2  Mrto4  Yars  Nol9  Ints11  Ddx51  Gatc  Mrm2  Ddx54  Ptcd1  Mepce  Wbp11  Ercc2  Mphosph10  Ears2  Rrp8  Eri2  Mecp2  Dkc1  Mak16  Usb1  Dus2  Kars  Rpusd4  Pus3  Ybey  Dis3  Wdr3  Trmt13  Exosc4  Exosc1  Gtf2h5  Trmt5  Ints6  Helq  Tsen34  Rpp25l  Rnf113a1  Nop14  Ago2  Tfb1m  Trmt6  Ints7  Fdxacb1  Mrm3  Tsr1  Trmt112  Trub2  Mars1  Tbl3  Ints8  Rpusd1  Rrp9  Utp15  Tdrkh  Mettl8  Wdr55  Esf1  Tyw3  Trpt1  Ankrd16  Tyw5  Exd1  Ctu2  Heatr1  Rps27rt  Pusl1  Mettl5  Trmt1l  Tdrd9  Utp18  Tprkb  Ddx17  Cars2  Tyw1  Mettl15  Zbtb8os  Ddx49  Rrp1b  Rpl5  Pop5  Rpl35a  Nsa2  Exosc5  Rpl7a  Rpl35  Pstk  Krr1  Rps28  Lyar  Ssb  Sars2  Lcmt2  Alkbh1  Tarbp1  Rps27"
5.28806915053694e-18,189,466,1.89674985775798,"DNA repair "," http://amigo.geneontology.org/amigo/term/GO:0006281"," Cdc45  Rpa1  Poldip2  Foxm1  Hsf2bp  Ddb2  Chaf1a  Ercc1  Rad23a  Ruvbl2  Fancl  Msh6  Trim28  Tfpt  Gtf2h1  Pole  Rad51c  Brme1  Ubqln4  Zswim7  Msh3  Actr8  Ube2a  Brca1  Taok1  Top2b  Uchl5  Rpain  Xab2  Polr2i  Asf1a  Sirt1  Helb  Fzr1  Mpg  Mrnip  Smc6  Lig3  Polg2  Recql5  4930447C04Rik  Tdp1  Cinp  Xrcc3  Dek  Fancc  Trip13  Slf1  Xrcc4  Rad17  Polk  Ercc8  Parg  Rad1  Xrcc6  Hsf1  Prkdc  Mcm4  Rfc4  Parp9  Rfc2  Parp3  Polh  Ddb1  Fen1  Cdca5  Rad9a  Mus81  Kat5  Dclre1a  Cenpx  Mms19  Poll  Apex2  Cdk2  Nabp2  Rev1  Trip12  Fh1  Dclre1c  Ssrp1  Rad51  Mcm8  Mgme1  Actl6a  Xpa  Vcp  Mutyh  Rad54l  Park7  Mad2l2  Rfc5  Gtf2h3  Chek2  Mcm7  Xpc  Recql  Ogg1  Mbd4  Rad51ap1  Ercc2  Faap24  Bccip  Brcc3  Cetn2  Cul4a  Ggn  Wrn  Gins2  Mre11a  Sprtn  Tex12  Mlh1  Wdr48  Topbp1  Fanca  Terf2ip  Zbtb1  Fancd2  Chchd4  Atm  Gtf2h5  Smc4  Tdg  Sirt6  Helq  Parpbp  Rmi1  Supt16  Tdp2  Apex1  Parp2  Zranb3  Nudt1  Kdm1a  Zcwpw1  Kin  Dtl  Mcrs1  Wdhd1  Primpol  Iffo1  Rad9b  Eme1  Polg  Fanci  Stub1  Pclaf  Usp45  Smc1a  Wrap53  Nthl1  Shld2  Spidr  Trp53bp1  Alkbh2  Ascc1  Swi5  Palb2  Ticrr  Cyren  Paxx  Fancb  Rhno1  Dtx3l  Lig4  Gen1  Xrcc1  Babam2  Rnaseh2a  Kdm4d  Fto  Lig1  Nsd2  Mcm9  Upf1  Fbh1  Rad51b  Trp53  Nsmce2  Slx1b  Marf1  Zfyve26  Hmgb1  Eme2  Alkbh1  Pms2  Hspa1a  Fancf"
7.05625383869627e-17,283,806,1.64204693463972,"DNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006259"," Cdc45  Dnmt3l  Rpa1  Nhp2  Poldip2  Smg5  Cct3  Foxm1  Supt6  Hsf2bp  Ddb2  Stat6  Top3a  Chaf1a  Pld3  Ercc1  Dnase2a  Rad23a  Ruvbl2  Fancl  Hnrnpa2b1  Msh6  Il27ra  Trim28  Ctcf  Dnase1  Tfpt  Gtf2h1  Ctnnb1  Pole  Tinf2  Rad51c  Brme1  Ubqln4  Apobec3  Ehmt2  Zswim7  Pam16  Msh3  Endog  Gata3  Actr8  Ube2a  Brca1  Taok1  Top2b  Uchl5  Rpain  Dnase1l1  Chtf18  Psmc3ip  Xab2  Polr2i  Asf1a  Apaf1  Sirt1  Helb  Fzr1  Mpg  Mrnip  Smc6  Lig3  Polg2  Recql5  Ten1  4930447C04Rik  Tdp1  Cinp  Xrcc3  Dek  Fancc  Trip13  Slf1  Xrcc4  Rad17  Polk  Ercc8  Parg  Hmbox1  Cdadc1  Cct5  Rad1  Xrcc6  Hsf1  Prkdc  Mcm4  Top3b  Rfc4  Parp9  Donson  Rfc2  Parp3  Polh  Dusp1  Thoc1  Ddb1  Fen1  Cdca5  Rad9a  Banf1  Mus81  Kat5  Dclre1a  Cenpx  Mms19  Poll  Apex2  Cdk2  Nabp2  Cct8  Hspd1  Rev1  Trip12  Gin1  Nvl  Fh1  Dclre1c  Orc4  Niban2  Ssrp1  Rad51  Mcm8  Mgme1  Gins1  Rtf2  Actl6a  Il2  Dnase2b  Ccne2  Exosc3  Xpa  Vcp  Orc1  Mutyh  Rad54l  Park7  Nmnat1  Mad2l2  Kmt2e  Dnajc2  Dffb  Rfc5  Gtf2h3  Slc15a4  Cct6a  Chek2  Mcm7  Cct7  Xpc  Recql  Ogg1  Mbd4  Rad51ap1  Ercc2  Faap24  Eri2  Bccip  Brcc3  Cetn2  Mecp2  Dkc1  Cul4a  Ggn  Wrn  Gins2  Smpd3  Mre11a  Sprtn  Tex12  Mlh1  Wdr48  Cep63  Topbp1  Fanca  Rag2  Nudt15  Terf2ip  Zbtb1  Recql4  Fancd2  Chchd4  Atm  Exosc4  Gtf2h5  Smc4  Tdg  Sirt6  Helq  Parpbp  Rmi1  Supt16  Tdp2  Apex1  Parp2  Zranb3  Nudt1  Kdm1a  Zcwpw1  Fgf2  Kin  Dtl  Mcrs1  Wdhd1  Acd  Kdm1b  Primpol  Iffo1  Smg6  Rad9b  H1f9  Eme1  Polg  Fanci  Ciz1  Ppp1r10  Foxp3  Stub1  Hnrnpu  Alkbh4  Orc3  Pclaf  Dcaf1  Usp45  Gfer  Smc1a  Wrap53  Nthl1  Shld2  Tdrkh  Spidr  Gnl3  Trp53bp1  Alkbh2  Ascc1  Swi5  Palb2  Zfp830  Ticrr  Cyren  Iho1  Paxx  Fancb  Rhno1  Dtx3l  Lig4  Tatdn1  Gen1  Zgrf1  Xrcc1  Babam2  Rnaseh2a  Kdm4d  Tdrd9  Tprkb  Parp4  Fto  Lig1  Nsd2  Mcm9  Upf1  Fbh1  Rad51b  Trp53  Nsmce2  Slx1b  Prmt7  Marf1  Exosc5  Srpk2  Zfyve26  Hmgb1  Tcp1  Chrac1  Ccnb1ip1  Eme2  Rec114  Cntd1  Alkbh1  Pms2  Cers1  Hspa1a  Fancf  Rnf212b"
8.03617396583156e-15,124,280,2.07108453856174,"Ribosome biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0042254"," Pih1d2  Nsun5  Nhp2  Mrpl10  Pih1d1  Emg1  Bud23  Rps25  Tsr3  Mtrex  Gtf3a  Rrp7a  Nop9  Helb  Pes1  Znhit3  Nle1  Ftsj3  Fcf1  Nol8  Riok1  Mterf3  Mrpl36  Dimt1  Drosha  Brix1  Dcaf13  Bop1  Prkdc  Riox2  Bysl  Wdr46  Rps14  Pdcd11  Tsr2  Rps24  Sbds  Exosc7  Nop16  Fastkd2  Wdr12  Imp4  Mterf4  Glul  Tfb2m  Nvl  Ddx31  Nop56  Exosc9  Exosc8  Eif2a  Exosc3  Ebna1bp2  Mrto4  Gnl2  Nol9  Ddx51  Mrm2  Ddx54  Malsu1  Wbp11  Ercc2  Mphosph10  Rrp8  Eri2  LTO1  Dkc1  Cul4a  Mak16  Nip7  Urb2  Rpusd4  Dhx30  Ybey  Dis3  Wdr3  Noc4l  Exosc4  Exosc1  Gtf2h5  Helq  Mpv17l2  Nop14  Tfb1m  Fdxacb1  Mrm3  Tsr1  Efl1  Trmt112  Mybbp1a  Nup88  Tbl3  Rpusd1  Rrp9  Utp15  Dhx29  Wdr55  Rps2  Ddx28  Esf1  Mrps7  Heatr1  Rps27rt  Mettl5  Utp18  Ddx17  Mettl15  Ddx49  Abce1  Rrp1b  Rpl23a  Rpl5  Rpl3  Pop5  Rpl35a  Nsa2  Exosc5  Rpl7a  Rpl35  Krr1  Rps28  Lyar  Rbis  Rps27"
5.76316209830521e-14,159,401,1.85432957237488,"Ribonucleoprotein complex biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0022613"," Pih1d2  Nsun5  Nhp2  Mrpl10  Crnkl1  Sf3a1  Prpf6  Pih1d1  Snrnp200  Ruvbl2  Emg1  Bud23  Prpf31  Rps25  Nol3  Tsr3  Mtrex  Gtf3a  Rrp7a  Sart3  Nop9  Xab2  Snrpf  Snrpd3  Sf3a2  Helb  Pes1  Znhit3  Nle1  Ftsj3  Fcf1  Nol8  Riok1  Mterf3  Mrpl36  Dimt1  Nufip1  Drosha  Brix1  Dcaf13  Bop1  Prkdc  Riox2  Bysl  Wdr46  Rps14  Pdcd11  Tsr2  Rps24  Sbds  Exosc7  Nop16  Fastkd2  Wdr12  Imp4  Mterf4  Cdc73  Eif2d  Glul  Tfb2m  Nvl  Ddx31  Eif3m  Eif3j1  Nop56  Exosc9  Exosc8  Eif2a  Adar  Celf3  Exosc3  Ncbp1  Psip1  Ebna1bp2  Mrto4  Eif3i  Gnl2  Nol9  Ddx51  Mrm2  Ddx54  Malsu1  Wbp11  Ercc2  Mphosph10  Rrp8  Eri2  LTO1  Dkc1  Cul4a  Mak16  Nudt21  Nip7  Urb2  Rpusd4  Dhx30  Ybey  Dis3  Wdr3  Noc4l  Atm  Exosc4  Exosc1  Gtf2h5  Cpsf7  Gcfc2  Helq  Mpv17l2  Nop14  Ago2  Tfb1m  Rbmxl1  Fdxacb1  Mrm3  Tsr1  Efl1  Trmt112  Mybbp1a  Nup88  Tbl3  Snrpd2  Rpusd1  Rrp9  Utp15  Dhx29  Wdr55  Rps2  Gemin7  Ddx28  Esf1  Mrps7  Heatr1  Rps27rt  Mettl5  Eif3k  Utp18  Ddx17  Mettl15  Ddx49  Abce1  Rrp1b  Rpl23a  Rpl5  Rpl3  Prmt7  Pop5  Rpl35a  Nsa2  Exosc5  Srpk2  Rpl7a  Rpl35  Krr1  Rps28  Lyar  Eif2s2  Rbis  Ak6  Rps27"
4.93273325239323e-12,245,728,1.57387007427924,"Cellular response to DNA damage stimulus "," http://amigo.geneontology.org/amigo/term/GO:0006974"," Cdc45  Rpa1  Poldip2  Foxm1  Hsf2bp  Ddb2  Chaf1a  Stk11  Bcl2l12  Ercc1  Rad23a  Ruvbl2  Fancl  Cdip1  Ikbkg  Bid  Msh6  Trim28  Tfpt  Gtf2h1  Pole  Rad51c  Brme1  Ubqln4  Cbx5  Zswim7  Msh3  Actr8  Mtrex  Ube2a  Brca1  Taok1  Top2b  Uchl5  Rpain  Xab2  Polr2i  Asf1a  Sirt1  Helb  Fzr1  Mpg  Mrnip  Stxbp4  Smc6  Lig3  Polg2  Ddx5  Recql5  Snw1  4930447C04Rik  Tdp1  Ccnk  Cinp  Xrcc3  Dek  Fancc  Hnrnpk  Trip13  Slf1  Xrcc4  Rad17  Polk  Ercc8  Parg  Rnaseh2b  Mettl3  Rad1  Xrcc6  Hsf1  Prkdc  Mcm4  Rfc4  Parp9  Donson  Rfc2  Parp3  Polh  Phf1  Thoc1  Gnl1  Ddb1  Fen1  Cdca5  Rad9a  Mus81  Kat5  Bad  Dclre1a  Cenpx  Zdhhc16  Mms19  Poll  Apex2  Cdk2  Nabp2  Usp16  Rev1  Trip12  Fh1  Dclre1c  Mastl  Marchf7  Ssrp1  Wdr76  Rad51  Mcm8  Mgme1  Actl6a  Fxr1  Xpa  Dnaja1  Vcp  Plk3  Mutyh  Rad54l  Casp9  Park7  Mad2l2  Rfc5  Gtf2h3  Chek2  Triap1  Mcm7  Xpc  Recql  Ogg1  Mbd4  Rad51ap1  Ercc2  Faap24  Cib1  Ddias  Bccip  Brcc3  Cetn2  Psmd10  Cul4a  Ggn  Wrn  Casp3  Gins2  Mre11a  Sprtn  Dcun1d5  Tex12  Mlh1  Wdr48  Cep63  Topbp1  Fanca  Terf2ip  Zbtb1  Ccar2  Fancd2  Chchd4  Atm  Gtf2h5  Smc4  Morc2a  Tdg  Sirt6  Nek11  Helq  Parpbp  Rmi1  Brsk1  Supt16  Fbxo45  Tdp2  Apex1  Parp2  Zranb3  Macrod1  Nudt1  Topors  Kdm1a  Zcwpw1  Kin  Ints7  Dtl  Mcrs1  Wdhd1  Acd  Primpol  Iffo1  Rad9b  Eme1  Polg  Fanci  Ppp1r10  Stub1  Pclaf  Usp45  Oard1  Smc1a  Wrap53  Nthl1  Shld2  Spidr  Tlk1  Trp53bp1  Alkbh2  Ascc1  Swi5  Palb2  Zfp830  Ticrr  Cyren  Paxx  Fancb  Gigyf2  Rhno1  Dtx3l  Lig4  Gen1  Trim32  Xrcc1  Babam2  Rnaseh2a  Kdm4d  Fto  Lig1  Immp2l  Nsd2  Mcm9  Upf1  Fbh1  Rad51b  Trp53  Nsmce2  Slx1b  Marf1  Hipk2  Armt1  Zfyve26  Hmgb1  Macrod2  Htra2  Ccnd1  Eme2  Alkbh1  Pms2  Hspa1a  Fancf"
7.69021854991384e-12,305,958,1.48891019254809,"Cellular protein-containing complex assembly "," http://amigo.geneontology.org/amigo/term/GO:0034622"," Cdc45  Fer  Pih1d2  Hip1r  Oxa1l  Ube2c  Crnkl1  Rac1  Psmc3  Sf3a1  Ndufa11  Ndufb2  Prpf6  Golga2  Flii  Chaf1a  Atp5d  Pih1d1  Snrnp200  Ruvbl2  Dgkq  Ndufs3  Naa60  Nphs1  Rad51c  Rhoa  Prpf31  Arpc5  Snap47  Rps25  Taz  Brf1  Sptbn4  Ndufs2  Ndufa2  Tbp  Nol3  Sirt2  Prune1  Surf1  Ndufa1  Coa3  Rrp7a  H2bc4  Sart3  Xab2  Wasf1  Asf1a  Snrpf  Macroh2a2  Snrpd3  Sf3a2  Cyfip2  Drg1  Rtn4  Znhit3  Pfn4  Cenpo  Nle1  Psmc5  Pecam1  Ccdc103  Sptb  Evl  Cenpp  Fastkd3  Rasa1  Ndufs6  Iqgap2  Cenpk  Vdac2  Nufip1  Nefl  Brix1  Washc5  Ndufb9  Twf1  Hsf1  Bop1  Prkdc  Mcm4  Nde1  Hira  Snap29  Ndufa5  Prkn  Ndufaf7  Mlst8  Taf11  Elp2  Pfdn6  Brd2  Psmg2  Ldlrad4  Rps14  Timm21  Sdhaf2  Coro1b  Arl2  Arl3  Hdgfl3  Cenpx  Csnk1d  Bbs4  Avil  Tubgcp2  Psmd13  Dnaaf5  Higd2a  Fastkd2  Ndufs1  Ndufb3  Dnaaf6  Coa5  Bcs1l  Vil1  Cops7b  Cdc73  Eif2d  Cox20  Arpc5l  Dnm1  Psmd5  Ndufa8  Eif3m  Eif3j1  Tubgcp4  Mkks  Rad51  Usp50  Ndufaf5  Rab5if  Ndufb5  Ccdc39  Adar  Celf3  Polr1e  Tmod1  Ncbp1  Gba2  Psip1  Itgb3bp  Mrto4  Eif3i  Psmc2  Mtor  Cptp  Nsg1  Ube2k  Psmd9  Arpc1a  Arpc1b  Mcm7  Vamp1  Clec2i  Cyfip1  Tmem126b  Fchsd2  Coro1a  Stx4a  Stx1b  Arfip2  Ndufb11  Hccs  Mecp2  Psmd10  Brf2  Cog4  Nudt21  Cenpn  Dnaaf1  Taf1c  Rab3a  Cryab  Dhx30  Rangrf  Mzt1  Dnm2  Dnah8  Dnah17  Chchd4  Atm  Fhod3  Gtf2h5  Inpp5j  Unc13a  Cpsf7  Ankrd27  Gcfc2  Dnai4  Ap2b1  Tubg1  Togaram1  Rsf1  Ndufa3  Pip4p1  Cenpt  Ago2  Rbmxl1  Bag4  H2-DMa  Coa8  Aim2  Tapbpl  Fchsd1  Abitram  Baiap2l1  H1f9  Foxred1  Tbcd  Tbce  Ubn1  Tspyl4  Stub1  Odad3  Coro7  Ccdc40  Cox15  Lats1  Orc3  Akap9  Mis12  Snrpd2  Capza3  Kank3  Ccdc115  Ttc19  Dhx29  Dnal1  Atpaf2  Taf10  Camsap3  Pfn3  Rps2  Gemin7  Dmd  Ddx28  Mrps7  Ric3  Cfap100  Carmil2  Rps27rt  H2bc1  Tmem199  Bbs12  Coa6  Tubgcp6  Eif3k  4933400A11Rik  Nap1l5  Cfl1  Immp2l  Rbbp4  H2bc8  Rpl23a  Rpl5  Thra  Trp53  Rpl3  Prmt7  Gmfg  Ube2s  Dnai1  Srpk2  H2bc12  Ctnna2  Nup98  Cenpj  mt-Nd5  mt-Nd6  Numa1  Hmgb1  Rps28  Gtf2f2  Ndufaf2  H2bc21  H2bc7  H2bc11  H2bc24  H2bc23  H2bc22  Sco1  Ndufaf3  Capza1  Ndufb6  Oip5  Sdhaf1  Ap1ar  Eif2s2  Ndufaf8  Ak6  Wdr92  Arpc4  Pet100  Rps27  Sco2  Hspa1a  Cfap73  H2bc13  Ccl21a  H2bc15  H3c7  Pfn5  Ndufb1  H2bc9"
5.21761283729969e-11,91,203,2.09642595115816,"RRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006364"," Pih1d2  Nsun5  Nhp2  Pih1d1  Emg1  Bud23  Rps25  Tsr3  Mtrex  Rrp7a  Nop9  Helb  Pes1  Znhit3  Ftsj3  Fcf1  Nol8  Riok1  Dimt1  Brix1  Dcaf13  Bop1  Prkdc  Bysl  Wdr46  Rps14  Pdcd11  Tsr2  Rps24  Sbds  Exosc7  Wdr12  Imp4  Mterf4  Tfb2m  Nvl  Exosc9  Exosc8  Exosc3  Ebna1bp2  Mrto4  Nol9  Ddx51  Mrm2  Ddx54  Wbp11  Ercc2  Mphosph10  Rrp8  Eri2  Dkc1  Mak16  Rpusd4  Ybey  Dis3  Wdr3  Exosc4  Exosc1  Gtf2h5  Helq  Nop14  Tfb1m  Fdxacb1  Mrm3  Tsr1  Trmt112  Tbl3  Rpusd1  Rrp9  Utp15  Wdr55  Esf1  Heatr1  Rps27rt  Mettl5  Utp18  Ddx17  Mettl15  Ddx49  Rrp1b  Rpl5  Pop5  Rpl35a  Nsa2  Exosc5  Rpl7a  Rpl35  Krr1  Rps28  Lyar  Rps27"
