"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
8.54041576428906e-06,86,540,1.89387853965737,"Catalytic activity, acting on a nucleic acid "," http://amigo.geneontology.org/amigo/term/GO:0140640"," Nsun5  Rtcb  Ercc1  Dnase2a  Ruvbl2  Emg1  Msh6  Ddx39a  Dnase1  Trnt1  Endog  Mtrex  Top2b  Dalrd3  Chtf18  Helb  Elac2  Lig3  Polg2  Recql5  Xrcc3  Fars2  Dimt1  Mettl3  Polr3h  Trmt2a  Rfc4  Eif4a2  Rfc2  Rad9a  Mus81  Rev1  Farsb  Iars2  Dclre1c  Rad51  Polr1e  Toe1  Rad54l  Yars  Lrrc47  Ints11  Polr2b  Rfc5  Ddx54  Mcm7  Recql  Ogg1  Ercc2  Eri2  Dhx32  Dkc1  Cnot7  Polr2c  Pus3  Ybey  Trmt13  Recql4  Tdg  Apex1  Ago2  Tfb1m  Primpol  Trmt112  Edc3  Polg  Polr2j  Pcif1  Mars1  Skiv2l  Pde12  Alkbh2  Hmga1  Khnyn  Trpt1  Mettl5  Trmt1l  Ptrh1  Ddx17  Cars2  Rbbp4  Ddx49  Upf1  Pop5  Chrac1  Tarbp1"
0.000768299084025726,134,1087,1.46596190849156,"RNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003723"," Nsun5  Ilf2  Nhp2  Hbp1  Stat3  Emg1  Ddx39a  Trap1  Tpr  Ptbp1  Cnp  Carhsp1  Apobec3  Trnt1  Mtrex  Nelfcd  Gtf3a  Mtif3  Rrp7a  Dalrd3  Nop9  Mrpl24  Snrpf  Hnrnph3  Helb  Hnrnpab  Shmt1  Mif4gd  Nemf  Zc3h14  Slirp  Fars2  Dimt1  Rtraf  Mettl3  Dgcr8  Trmt2a  Ncbp2  Eif4a2  Son  Scaf4  Pcbp4  Synj2  Bysl  Thoc1  Pdcd11  Shmt2  Nudt5  Eif5b  Farsb  Mterf4  Eif2d  Iars2  Strbp  Cstf3  Myef2  Eif3j1  Nop56  Fxr1  Exosc9  Adad1  Exosc8  Adar  Ncbp1  Ppie  Toe1  Zcchc17  Yars  Yrdc  Lrrc47  Fip1l1  Kdm2b  Ddx54  Ptcd1  Igf2bp3  Cyfip1  Dhx32  Cstf2  Rbbp7  Dkc1  Cnot7  Pus3  Wdr3  Cpsf1  Cpsf7  Raver2  Apex1  Serbp1  Ago2  Tubb4b  Kdm1a  Tfb1m  Paip2  Mcrs1  Tsr1  Shfl  Edc3  Srrm2  Hnrnpu  Spout1  Rbm48  Mars1  Skiv2l  Dxo  Tsfm  Tbl3  Spen  Thoc6  Tardbp  Tdrkh  Dnd1  Mrps7  Atxn1  Khnyn  Ctu2  Heatr1  Pusl1  Cherp  Trmt1l  Cbx7  Ddx17  Pcbp2  Ddx49  Upf1  Rpl23a  Rpl5  Thra  Pop5  Exosc5  Impdh2  Krr1  Ssb  Esrp2  Tarbp1"
0.000768299084025726,112,876,1.52041220768926,"Transferase activity, transferring phosphorus-containing groups "," http://amigo.geneontology.org/amigo/term/GO:0016772"," Ckmt1  Raf1  Mapk7  Araf  Tnk1  Braf  Uck1  Stk11  Grk5  Itpkc  Dgkq  Pcyt1a  Cdk4  Trnt1  Taok1  Pgs1  Xab2  Akt3  Cdk17  Rps6kb1  Polg2  Pfkp  Ippk  Ccnh  Twf1  Polr3h  Ciita  Map3k12  Pkmyt1  Pigf  Csf1r  Ak3  Rps6kb2  Scyl1  Csnk1d  Adpgk  Dgka  Phkg1  Nudt5  Hk3  Rev1  Stk16  Stk25  Coq8a  Cdc42bpa  Nme7  Scyl3  Nek6  Pkn3  Eng  Galk2  Polr1e  Tesk1  Jak1  Plk3  Yrdc  Fastk  Rbks  Polr2b  Eif2ak1  Ephb4  Epha1  Camk1  Sbk2  Phkg2  Ilk  Cdkl5  Map3k15  Dkc1  Polr2c  Clk3  Ephb1  Ppip5k1  Cdk10  Tesk2  Ccnd3  Tkfc  Bmp2k  Mast4  Brsk1  Gnptg  Selenoo  Akap14  Sik2  Pank2  Primpol  Mpp6  Pi4kb  Ak5  Polg  Polr2j  Dcaf1  Map3k10  Cept1  Ulk4  Pklr  Pi4ka  Tlk1  Trpt1  Ctu2  Acvr2a  Mast1  Sphk2  Irak4  Erbb2  Srpk2  Vrk2  Chrac1  Gmppb  Ccnd1  Dgkd  Cerkl"
0.000768299084025726,209,1857,1.33838732129674,"Purine nucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0017076"," Gna12  Ckmt1  Raf1  Mapk7  Araf  Srr  Ube2c  Slc19a1  Tnk1  Rtcb  Rac1  Psmc3  Braf  Uck1  Stk11  Grk5  Itpkc  Kif20a  Gcdh  Ruvbl2  Dgkq  Msh6  Ddx39a  Pex1  Trap1  Cdk4  Gtpbp3  Fpgs  Ttll5  Trnt1  Actr8  Mtrex  Taok1  Top2b  Pgs1  Rab5a  Nkiras2  Acadvl  Dnah11  Dalrd3  Chtf18  Akt3  Tube1  Cdk17  Helb  Rps6kb1  Myo19  Adcy3  Lig3  Recql5  Atl1  Pfkp  Xrcc3  Ippk  Eci3  Fars2  Gfm2  Kif2a  Nkiras1  Ube2e1  Arf4  Twf1  Nubp1  Ciita  Oplah  Gtpbp8  P2rx6  Rfc4  Eif4a2  Map3k12  Rfc2  Pkmyt1  Rhoq  Gnal  Csf1r  Ak3  Rps6kb2  Scyl1  Acsl5  Csnk1d  Dgka  Phkg1  Cct8  Hadha  Hk3  Eif5b  Stk16  Tuba4a  Farsb  Stk25  Coq8a  Cdc42bpa  Nme7  Scyl3  Iars2  Nek6  Orc4  Pkn3  Galk2  Rad51  Acss2  Gss  Hcn3  Dnaja1  Vcp  Tesk1  Jak1  Plk3  Rad54l  Yars  Gnl2  Rbks  Grpel1  Guf1  Rfc5  Rhof  Ddx54  Eif2ak1  Ephb4  Mcm7  Epha1  Recql  Kras  Camk1  Ercc2  Sbk2  Sult1a1  Atp2a1  Phkg2  Ilk  Acsm3  Dhx32  Eras  Cdkl5  Map3k15  Naxd  Kifc3  Rab3a  Vps4a  Srpr  Dnaja4  Clk3  Ephb1  Atp2c1  Abcc10  Dnm2  Gtpbp6  Ppip5k1  Stard9  Recql4  Cdk10  Tesk2  Dnah17  Tkfc  Myo15b  Bmp2k  Tdg  Mast4  Acot11  Rtkn  Brsk1  Selenoo  Acss3  Tubb4b  Entpd8  Sik2  Syn1  Hhat  Pank2  Atp8a1  Tgm2  Tsr1  Pi4kb  Ube2l3  Mtg1  Ak5  Hnrnpu  Dcaf1  Mars1  Skiv2l  Map3k10  Ulk4  Pklr  Pcca  Rasl12  Tlk1  Dnah14  Palm3  Rimkla  Kif7  Acvr2a  Dnah3  Magi3  Mast1  Ddx17  Cars2  Sphk2  Ddx49  Upf1  Irak4  Ube2s  Erbb2  Srpk2  Vrk2  Myo1h  Tcp1  Gmppb  Dgkd  Myh7b"
0.000768299084025726,27,121,2.65354114051552,"SH3 domain binding "," http://amigo.geneontology.org/amigo/term/GO:0017124"," Hip1r  Sh3gl1  Ncf1  Abi3  Plscr3  Mical1  Rufy2  Tom1l1  Evl  Sh3bp5  Synj2  Sos1  Rad9a  Usp8  Casp9  Ilk  Arhgap6  Inppl1  Dnm2  Inpp5j  Dennd1a  Noxa1  Shank1  Crb3  Adam17  Abi1  Wipf3"
0.000768299084025726,101,760,1.58035703110332,"Protein domain specific binding "," http://amigo.geneontology.org/amigo/term/GO:0019904"," Oprm1  Hip1r  Srr  Chaf1a  Stk11  Sh3gl1  Ercc1  Homer3  Lbr  Ctnnb1  Card14  Nol3  Fhod1  Sqstm1  Ncf1  Cacna1d  Mafk  Abi3  Psmc3ip  Plscr3  Ap4m1  Mical1  Rufy2  Rack1  Rps6kb1  Tom1l1  Rabep1  Dvl2  Evl  Sh3bp5  Capn7  Rb1  Cxadr  Son  Synj2  Crim1  Rhoq  Sos1  Rad9a  Esrra  Ddit3  Inpp5a  Ica1l  Mitd1  Rnf2  Usp8  Ncoa3  Ccna2  Gpsm2  Oaz3  Xpa  Dnaja1  Vcp  Casp9  Stx18  Lnx1  Kras  Kctd13  Tead2  Scnn1b  Ilk  Arhgap6  Lamp1  Ist1  Map1lc3b  D230025D16Rik  Vps4a  Inppl1  Pkd1  Dnm2  Caskin1  Zxdc  Inpp5j  Tdg  Unc13a  Dennd1a  Noxa1  Arhgef4  Tgm2  Cep250  Pdzk1  Phrf1  Shank1  Stub1  Alx4  Lat2  Mrtfa  Crb3  Tmem88  Acvr2a  Ezr  Adam17  Gapdh  Thra  Abi1  Plg  Ipcef1  Vrk2  Numa1  Wipf3  Samd11"
0.000768299084025726,176,1519,1.37785122103768,"Adenyl nucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0030554"," Ckmt1  Raf1  Mapk7  Araf  Srr  Ube2c  Slc19a1  Tnk1  Psmc3  Braf  Uck1  Stk11  Grk5  Itpkc  Kif20a  Gcdh  Ruvbl2  Dgkq  Msh6  Ddx39a  Pex1  Trap1  Cdk4  Fpgs  Ttll5  Trnt1  Actr8  Mtrex  Taok1  Top2b  Pgs1  Acadvl  Dnah11  Dalrd3  Chtf18  Akt3  Cdk17  Helb  Rps6kb1  Myo19  Adcy3  Lig3  Recql5  Pfkp  Xrcc3  Ippk  Eci3  Fars2  Kif2a  Ube2e1  Twf1  Nubp1  Ciita  Oplah  P2rx6  Rfc4  Eif4a2  Map3k12  Rfc2  Pkmyt1  Csf1r  Ak3  Rps6kb2  Scyl1  Acsl5  Csnk1d  Dgka  Phkg1  Cct8  Hadha  Hk3  Stk16  Farsb  Stk25  Coq8a  Cdc42bpa  Nme7  Scyl3  Iars2  Nek6  Orc4  Pkn3  Galk2  Rad51  Acss2  Gss  Hcn3  Dnaja1  Vcp  Tesk1  Jak1  Plk3  Rad54l  Yars  Rbks  Grpel1  Rfc5  Ddx54  Eif2ak1  Ephb4  Mcm7  Epha1  Recql  Camk1  Ercc2  Sbk2  Sult1a1  Atp2a1  Phkg2  Ilk  Acsm3  Dhx32  Cdkl5  Map3k15  Naxd  Kifc3  Vps4a  Dnaja4  Clk3  Ephb1  Atp2c1  Abcc10  Ppip5k1  Stard9  Recql4  Cdk10  Tesk2  Dnah17  Tkfc  Myo15b  Bmp2k  Tdg  Mast4  Acot11  Brsk1  Selenoo  Acss3  Entpd8  Sik2  Syn1  Pank2  Atp8a1  Pi4kb  Ube2l3  Ak5  Hnrnpu  Dcaf1  Mars1  Skiv2l  Map3k10  Ulk4  Pklr  Pcca  Tlk1  Dnah14  Palm3  Rimkla  Kif7  Acvr2a  Dnah3  Magi3  Mast1  Ddx17  Cars2  Sphk2  Ddx49  Upf1  Irak4  Ube2s  Erbb2  Srpk2  Vrk2  Myo1h  Tcp1  Dgkd  Myh7b"
0.000768299084025726,210,1859,1.34334429861733,"Ribonucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0032553"," Gna12  Ckmt1  Raf1  Mapk7  Araf  Srr  Ube2c  Slc19a1  Tnk1  Rtcb  Rac1  Psmc3  Braf  Uck1  Stk11  Grk5  Itpkc  Kif20a  Gcdh  Ruvbl2  Dgkq  Msh6  Ddx39a  Pex1  Trap1  Cdk4  Gtpbp3  Fpgs  Ttll5  Trnt1  Actr8  Mtrex  Taok1  Top2b  Pgs1  Rab5a  Nkiras2  Acadvl  Dnah11  Pnpo  Dalrd3  Chtf18  Akt3  Tube1  Cdk17  Helb  Rps6kb1  Myo19  Adcy3  Lig3  Recql5  Atl1  Pfkp  Xrcc3  Ippk  Eci3  Fars2  Gfm2  Kif2a  Nkiras1  Ube2e1  Arf4  Twf1  Nubp1  Ciita  Oplah  Gtpbp8  P2rx6  Rfc4  Eif4a2  Map3k12  Rfc2  Pkmyt1  Rhoq  Gnal  Csf1r  Ak3  Rps6kb2  Scyl1  Acsl5  Csnk1d  Dgka  Phkg1  Cct8  Hadha  Hk3  Eif5b  Stk16  Tuba4a  Farsb  Stk25  Coq8a  Cdc42bpa  Nme7  Scyl3  Iars2  Nek6  Orc4  Pkn3  Galk2  Rad51  Acss2  Gss  Hcn3  Dnaja1  Vcp  Tesk1  Jak1  Plk3  Rad54l  Yars  Gnl2  Nos3  Rbks  Guf1  Rfc5  Rhof  Ddx54  Eif2ak1  Ephb4  Mcm7  Epha1  Recql  Kras  Camk1  Ercc2  Sbk2  Sult1a1  Atp2a1  Phkg2  Ilk  Acsm3  Dhx32  Eras  Cdkl5  Map3k15  Naxd  Kifc3  Rab3a  Vps4a  Srpr  Dnaja4  Clk3  Ephb1  Atp2c1  Abcc10  Dnm2  Gtpbp6  Ppip5k1  Stard9  Recql4  Cdk10  Tesk2  Dnah17  Tkfc  Myo15b  Bmp2k  Tdg  Mast4  Acot11  Rtkn  Brsk1  Selenoo  Acss3  Tubb4b  Entpd8  Sik2  Syn1  Hhat  Pank2  Atp8a1  Tgm2  Tsr1  Pi4kb  Ube2l3  Mtg1  Ak5  Hnrnpu  Dcaf1  Mars1  Skiv2l  Map3k10  Ulk4  Pklr  Pcca  Rasl12  Tlk1  Dnah14  Palm3  Rimkla  Kif7  Acvr2a  Dnah3  Magi3  Mast1  Ddx17  Cars2  Sphk2  Ddx49  Upf1  Irak4  Ube2s  Erbb2  Srpk2  Vrk2  Myo1h  Tcp1  Gmppb  Dgkd  Myh7b"
0.000768299084025726,208,1843,1.34210171468609,"Purine ribonucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0032555"," Gna12  Ckmt1  Raf1  Mapk7  Araf  Srr  Ube2c  Slc19a1  Tnk1  Rtcb  Rac1  Psmc3  Braf  Uck1  Stk11  Grk5  Itpkc  Kif20a  Gcdh  Ruvbl2  Dgkq  Msh6  Ddx39a  Pex1  Trap1  Cdk4  Gtpbp3  Fpgs  Ttll5  Trnt1  Actr8  Mtrex  Taok1  Top2b  Pgs1  Rab5a  Nkiras2  Acadvl  Dnah11  Dalrd3  Chtf18  Akt3  Tube1  Cdk17  Helb  Rps6kb1  Myo19  Adcy3  Lig3  Recql5  Atl1  Pfkp  Xrcc3  Ippk  Eci3  Fars2  Gfm2  Kif2a  Nkiras1  Ube2e1  Arf4  Twf1  Nubp1  Ciita  Oplah  Gtpbp8  P2rx6  Rfc4  Eif4a2  Map3k12  Rfc2  Pkmyt1  Rhoq  Gnal  Csf1r  Ak3  Rps6kb2  Scyl1  Acsl5  Csnk1d  Dgka  Phkg1  Cct8  Hadha  Hk3  Eif5b  Stk16  Tuba4a  Farsb  Stk25  Coq8a  Cdc42bpa  Nme7  Scyl3  Iars2  Nek6  Orc4  Pkn3  Galk2  Rad51  Acss2  Gss  Hcn3  Dnaja1  Vcp  Tesk1  Jak1  Plk3  Rad54l  Yars  Gnl2  Rbks  Guf1  Rfc5  Rhof  Ddx54  Eif2ak1  Ephb4  Mcm7  Epha1  Recql  Kras  Camk1  Ercc2  Sbk2  Sult1a1  Atp2a1  Phkg2  Ilk  Acsm3  Dhx32  Eras  Cdkl5  Map3k15  Naxd  Kifc3  Rab3a  Vps4a  Srpr  Dnaja4  Clk3  Ephb1  Atp2c1  Abcc10  Dnm2  Gtpbp6  Ppip5k1  Stard9  Recql4  Cdk10  Tesk2  Dnah17  Tkfc  Myo15b  Bmp2k  Tdg  Mast4  Acot11  Rtkn  Brsk1  Selenoo  Acss3  Tubb4b  Entpd8  Sik2  Syn1  Hhat  Pank2  Atp8a1  Tgm2  Tsr1  Pi4kb  Ube2l3  Mtg1  Ak5  Hnrnpu  Dcaf1  Mars1  Skiv2l  Map3k10  Ulk4  Pklr  Pcca  Rasl12  Tlk1  Dnah14  Palm3  Rimkla  Kif7  Acvr2a  Dnah3  Magi3  Mast1  Ddx17  Cars2  Sphk2  Ddx49  Upf1  Irak4  Ube2s  Erbb2  Srpk2  Vrk2  Myo1h  Tcp1  Gmppb  Dgkd  Myh7b"
0.000768299084025726,175,1506,1.3818487445383,"Adenyl ribonucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0032559"," Ckmt1  Raf1  Mapk7  Araf  Srr  Ube2c  Slc19a1  Tnk1  Psmc3  Braf  Uck1  Stk11  Grk5  Itpkc  Kif20a  Gcdh  Ruvbl2  Dgkq  Msh6  Ddx39a  Pex1  Trap1  Cdk4  Fpgs  Ttll5  Trnt1  Actr8  Mtrex  Taok1  Top2b  Pgs1  Acadvl  Dnah11  Dalrd3  Chtf18  Akt3  Cdk17  Helb  Rps6kb1  Myo19  Adcy3  Lig3  Recql5  Pfkp  Xrcc3  Ippk  Eci3  Fars2  Kif2a  Ube2e1  Twf1  Nubp1  Ciita  Oplah  P2rx6  Rfc4  Eif4a2  Map3k12  Rfc2  Pkmyt1  Csf1r  Ak3  Rps6kb2  Scyl1  Acsl5  Csnk1d  Dgka  Phkg1  Cct8  Hadha  Hk3  Stk16  Farsb  Stk25  Coq8a  Cdc42bpa  Nme7  Scyl3  Iars2  Nek6  Orc4  Pkn3  Galk2  Rad51  Acss2  Gss  Hcn3  Dnaja1  Vcp  Tesk1  Jak1  Plk3  Rad54l  Yars  Rbks  Rfc5  Ddx54  Eif2ak1  Ephb4  Mcm7  Epha1  Recql  Camk1  Ercc2  Sbk2  Sult1a1  Atp2a1  Phkg2  Ilk  Acsm3  Dhx32  Cdkl5  Map3k15  Naxd  Kifc3  Vps4a  Dnaja4  Clk3  Ephb1  Atp2c1  Abcc10  Ppip5k1  Stard9  Recql4  Cdk10  Tesk2  Dnah17  Tkfc  Myo15b  Bmp2k  Tdg  Mast4  Acot11  Brsk1  Selenoo  Acss3  Entpd8  Sik2  Syn1  Pank2  Atp8a1  Pi4kb  Ube2l3  Ak5  Hnrnpu  Dcaf1  Mars1  Skiv2l  Map3k10  Ulk4  Pklr  Pcca  Tlk1  Dnah14  Palm3  Rimkla  Kif7  Acvr2a  Dnah3  Magi3  Mast1  Ddx17  Cars2  Sphk2  Ddx49  Upf1  Irak4  Ube2s  Erbb2  Srpk2  Vrk2  Myo1h  Tcp1  Dgkd  Myh7b"
