"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
7.52833123828242e-27,370,1752,1.75422203765227,"Mitochondrion "," http://amigo.geneontology.org/amigo/term/GO:0005739"," Sdhd  Comt  Atp5pb  Poldip2  Hars  Mrpl10  Fkbp10  Idh3g  Bcap31  Dhrs1  Ndufa11  Mrpl2  Tmem143  Top3a  Atp5d  Irf3  Ncstn  Brd8  Fam162a  Dnaja3  Cwc15  Phb2  Dlst  Prdx2  Ndufs3  Mthfd2  Pfdn2  Acot13  Hspa1l  Mrpl49  Rad51c  Rhoa  Taz  Pdhx  Ndufs2  Timm23  Nit1  Ndufa2  Slc25a11  Cmc2  Sirt2  Rnf5  Serac1  Mrpl32  Surf1  Sqstm1  Bola1  Chdh  Ndufa1  Plgrkt  Mrps18c  Nbr1  Brca1  Coa3  Glod4  Acot8  Ctsa  Tomm34  Hars2  Styxl1  Mdh2  Fkbp8  Rmnd1  Wasf1  Qrsl1  Rtn4ip1  Sirt1  Pus10  Mdh1  Rps6kb1  Myo19  Acaca  Cox11  Acox1  Dcakd  L2hgdh  Prorp  Gstz1  Slirp  Timm9  Coq6  Aldh6a1  Isca2  Slc25a29  Xrcc3  Ripk1  Fars2  Prelid1  Mterf3  Fastkd3  Hnrnpk  Agtpbp1  Sdha  Nsun2  Ndufs6  Mrpl36  Ptcd2  Gfm2  Cert1  Dhfr  Nln  Oxsm  Glud1  Oxnad1  Mrpl57  Sucla2  Slc25a32  Rida  Eny2  Ndufb9  Mrpl13  Xpnpep3  Smdt1  Aco2  Mpv17l  Qtrt2  Mrpl40  Atp5j  Parp9  Cep89  Ndufa5  Marchf5  Prkn  Slc25a27  Mmut  Mrpl14  Ndufv3  Ndufaf7  Slc25a46  Mrpl27  Mrps18b  Rps14  Sdhaf2  Fen1  Mrpl21  Arl2  Prdx5  Bad  Sfxn2  Mrpl43  Twnk  Apex2  Atp5a1  Echs1  Sirt3  Asl  Ccdc51  Hadha  Atp5c1  Iscu  Higd2a  Idh1  Fastkd2  Ndufs1  Maip1  Hspd1  Trak2  Ndufb3  Nif3l1  Mrpl30  Coa5  Bcs1l  Pnkd  Pecr  Mrpl44  Dbi  Srgap2  Glul  Tfb2m  Fh1  Mpc2  Tatdn3  Dars2  Yme1l1  Coq4  Slc25a25  Dnm1  Crat  Mrrf  Ndufa8  Pmpca  Atg13  Pdia3  Mrps5  Ndufaf5  Mgme1  Nfs1  Ndufb5  Spata5  Etfdh  4933434E20Rik  Mrpl9  Rars2  Ncbp1  Bag1  Nudt2  Mrpl37  Mutyh  Mmachc  Akr7a5  Stpg1  Yrdc  Park7  Lias  Acad10  Triap1  Gatc  Mmab  Usp30  Ptcd1  Ndufa4  Nt5c3  Cct7  Xpc  Mrpl51  Mrps11  Mrpl46  Tmem126b  Aldoa  Mrpl48  Ears2  Lyrm1  Acsm5  Uros  Dhx32  Ndufb11  Timm17b  Fundc2  Abcd1  Vps35  Ciapin1  Coq9  Dus2  Kars  Gnpat  Rpusd4  Abhd12  Bco2  Dhx30  Nt5m  Chpf  Ybey  Mcee  Gadd45gip1  Ccs  Zbed5  Hsdl1  Chchd4  Trmt5  Atp5h  Rab24  Mrpl54  Vat1  Gtf3c4  Apex1  Noa1  Nudt1  Mrpl41  Pacrg  Tap1  Mrpl47  Coa8  Aim2  Snn  Mrm3  Fam210a  Primpol  Armc10  Cyp24a1  Mrps34  Timm8b  Atpsckmt  Wdr93  Naif1  Arid4b  Tmem135  Micu3  Oxld1  Kmo  Trub2  Cox15  Etfrf1  Ppp1r15a  1700123O20Rik  Gfer  Abhd4  Nthl1  Mrps27  Tspo  Ndufa7  Dmgdh  Chchd7  Ttc19  Dhx29  Shc1  Immp1l  Atpaf2  Tmem186  Mrpl50  Uqcrq  Tst  Mrps12  Slc25a23  Lyrm4  Mrps7  Dusp18  2810006K23Rik  Cd3eap  Timm29  Mcat  Slc25a47  Yjefn3  Zadh2  Chchd10  Bag5  Tmx2  Ankrd37  Prkca  Pusl1  Pfdn4  Atp6v1a  Aldh7a1  Ptrh1  Slc25a40  Dmac2l  Sugct  Fam72a  Nat8f1  Mettl15  Sphk2  Mrpl18  Sdhc  Abce1  Hadhb  Uqcr10  Trp53  Rpl35a  Dnajc30  Uqcrh  Ptcd3  Ethe1  mt-Nd6  mt-Cytb  Zbtb6  Romo1  Ndufaf2  Htra2  Gng5  Dap3  Sco1  Tmem256  Sars2  Atp5md  Mpst  Ptrh2  Hspe1  Ccdc58  Txnrd2  Ndufaf8  Tmem8b  Alkbh1  Apoo  Pet100  Timm10b  Cmc4  Acad11  Ak9  Hspa1a  Pigbos1  Ndufb1"
1.50372205550988e-23,254,1098,1.92153507736809,"Nuclear protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140513"," Cdc45  Dnmt3l  Rpa1  Mcm3ap  Smg5  Crnkl1  Supt6  Nr1h3  Sf3a1  Prpf6  Paf1  Med29  Snrnp200  Brd8  Ruvbl2  Cwc15  Hnrnpa2b1  Wdr83  Trim28  Ranbp1  Tpr  Tfpt  Med8  Gtf2h1  Hspa1l  Pole  Rad51c  Prpf31  Ubqln4  Zmat5  Rnmt  Cbx5  Sugp1  Ccnt1  Tbp  Msh3  Med22  Mtrex  Brca1  Dnttip1  Uchl5  Ncor1  Tada2a  Sart3  Cops3  Xab2  Polr2i  Sirt1  Anapc16  Snrpd3  Sf3a2  Pes1  Cdc27  Psmc5  Ddx5  Recql5  Ten1  Med31  Eftud2  Polr2h  Xrcc3  Hnrnpk  Xrcc4  Ercc8  Ppwd1  Cwc27  Eaf1  Bap1  Ints9  Nufip1  Wbp4  Xpo7  Acin1  Drosha  Rad1  Pop1  Eny2  Rangap1  Smc1b  Bop1  Zcrb1  Prkdc  Mcm4  Gtf2e1  Eaf2  Sympk  Nfya  Taf11  Elp2  Nelfe  Csnk2b  Hdac3  Ik  Drap1  Alyref  Anapc11  Cenpx  Gps1  Ldb1  Polr3a  Nabp2  Atp5a1  Crcp  Exosc7  Cops5  Wdr12  Ppil3  Imp4  Cops7b  Nvl  Orc4  BC005624  Anapc2  Ssrp1  Med19  Elp4  Cops2  Polr3f  Gins1  Cstf1  Tti1  Rprd1b  Exosc8  Larp7  Ints12  Polr3c  Exosc3  Pole3  Orc1  Mad2l2  Ints11  Tada2b  Polr2b  Gtf2h3  Mad1l1  Cpsf4  Phf14  Polr1d  Lrwd1  Mepce  Mcm7  Xpc  Wbp11  Med21  Faap24  Mphosph10  Anapc15  Ino80e  Rrp8  Bccip  Dhx32  Brcc3  Cetn2  Orc6  Txnl4b  Nudt21  Mau2  Mre11a  Taf1d  Trip4  Smarcc1  Mlh1  Polr2f  Dis3  Wdr3  Noc4l  Terf2ip  Sf3b3  Rpap2  Srsf2  Lsm3  Exosc4  Exosc1  Gtf2h5  Tent4a  Cpsf7  Anapc13  Lsm7  Nup37  Tsen34  Rsf1  Polr3g  Rfxank  Polr1h  Rnf113a1  Nop14  Anapc10  Taf6  Rbmxl1  Ints7  Jmjd1c  Dhx38  Acd  Smg6  Cdc40  Polr2l  Pcid2  Rad9b  Taf5l  Bud31  Supt3  Ss18l1  Rxrb  Orc3  Ints13  Mis12  Nup88  Snrpd2  Thoc6  Wrap53  Cpsf2  Pbrm1  Ubap2l  Swi5  Zfp830  Hnrnpa1  Cd3eap  Fancb  Tada3  Polr1a  Lig4  Snip1  Xrcc1  Babam2  Nup188  Thoc7  Utp18  Cpsf3  Cebpb  1700017N19Rik  Rbbp4  Brd9  Deaf1  Rad51b  Znhit1  Trp53  Slx1b  Prpf40a  Exosc5  Phf5a  Hipk2  Snrpa  Nup98  Prpf38a  Prpf4  Cdc26  Polr1c  Mfap1a  Nup62cl  Snrnp40  Ak6  Lin52  Hspa1a  Fancf"
2.67751942207256e-23,258,1129,1.89820321396938,"Chromosome "," http://amigo.geneontology.org/amigo/term/GO:0005694"," Dnmt3l  Chmp1a  Rpa1  Zfp276  Mcm3ap  Supt6  Hsf2bp  Nr1h3  Top3a  Paf1  Brd8  Ruvbl2  Emg1  Hnrnpa2b1  Trim28  Ctcf  Tpr  Tfpt  P3h4  Pole  Rad51c  Brme1  Arpc5  Ubqln4  Ncaph2  Gabpa  Cbx5  Tex14  Dmrtc2  Ehmt2  Tbp  Sirt2  Tox4  Brca1  Dnttip1  H2bc4  Uchl5  Ncor1  Tada2a  Chtf18  Sirt1  Anapc16  Nudcd2  Pes1  Ska2  Smc6  Cenpo  Ftsj3  Recql5  Ten1  4930447C04Rik  Xrcc3  Cenpp  Nol8  Hnrnpk  Trip13  Slf1  Xrcc4  Rad17  Polk  Cenpk  Parg  Ska3  Hmbox1  Nufip1  Brix1  Rad1  Mtbp  Rangap1  Smc1b  Glyr1  Hsf1  Bop1  Mcm4  Nde1  Hira  Top3b  Parp9  Parp3  Cenpq  Polh  Csnk2b  Ik  Ddb1  Fen1  Cdca5  Banf1  Cenpx  Ldb1  Cdk2  Nabp2  Cops5  Sgo2a  Ppp1r7  Fh1  Cenpl  Orc4  Ssrp1  Kif18a  Terb2  Wdr76  Nusap1  Mcm8  Gins1  Tti1  Exosc8  Ash1l  Exosc3  Pole3  Itgb3bp  Orc1  Ebna1bp2  Cdca8  Park7  Mad2l2  Dffb  Polr2b  Kntc1  Chek2  Mad1l1  Arpc1a  Lrwd1  Mcm7  Cbx3  Xpc  Recql  Rad51ap1  Mphosph10  Ino80e  Aldoa  Rnf40  Dctn5  Rrp8  Mecp2  Wrn  Orc6  Cenpn  Mau2  Mre11a  2810004N23Rik  Sprtn  Zwilch  Smarcc1  Mlh1  Topbp1  Terf2ip  Recql4  Ttc37  Fancd2  Atm  Exosc4  Kif4  Smc4  Morc2a  Sirt6  Ncapd3  Tubg1  Nup37  Parpbp  Rmi1  Rsf1  Parp2  Zranb3  Mbd5  Rbmxl1  Zcwpw1  Ints7  Dtl  Wdhd1  Jmjd1c  Acd  Kdm1b  Primpol  Ncapd2  Smg6  Rad9b  Bud31  Eme1  Ss18l1  Runx2  Ppp1r10  Orc3  Ppp1ca  Mis12  Oard1  Smc1a  Thoc6  Wrap53  Shld2  Pbrm1  Gnl3  Swi5  Zfp830  Rhno1  Cdca2  Smcr8  Polr1a  Lig4  Ccdc137  Gpatch11  H2bc1  Xrcc1  Fank1  Thoc7  Kdm4d  Cebpb  Setd3  Rbbp4  Sphk2  Brd9  H2bc8  Rrp1b  Fbh1  Rad51b  Znhit1  Trp53  Nsmce2  Slx1b  H2ac1  Exosc5  Fiz1  Nsl1  H2bc12  H2ac15  Nup98  Klhdc3  H2ac21  Numa1  Hmgb1  Tcp1  Htra2  H2bc21  H2ac20  H2bc7  H2ac6  H2ac8  H2bc11  H2ac11  H2ac12  H2bc24  H2bc23  H2bc22  H2ac22  Setdb2  Ccnb1ip1  H2ac7  H2ac13  Oip5  Cntd1  Alkbh1  Arpc4  Eef1akmt3  H2ac23  H2bc13  H2ac24  H2bc15  H3c7  H2bc9"
2.46891289194027e-20,170,662,2.13308357840431,"Ribonucleoprotein complex "," http://amigo.geneontology.org/amigo/term/GO:1990904"," Pih1d2  Smg5  Mrpl10  Crnkl1  Sf3a1  Prpf6  Mrpl2  Pih1d1  Snrnp200  Ruvbl2  Cwc15  Emg1  Hnrnpa2b1  Wdr83  Mrpl49  Phax  Prpf31  Rps18  Zmat5  Cbx5  Rps25  Sugp1  Rpl15  Mrpl32  Mtrex  Mrps18c  Brca1  Ro60  Sart3  Nop9  Xab2  Hnrnph3  Snrpd3  Sf3a2  Pes1  Rps27a  Ftsj3  Ddx5  Eftud2  Prorp  Slirp  Eif2s1  Fcf1  Riok1  Hnrnpk  Naa35  Mrpl36  Ppwd1  Cwc27  Mrpl57  Nufip1  Wbp4  Dcaf13  Pop1  Mrpl13  Hsf1  Bop1  Zcrb1  Prkdc  Mrpl40  Mrpl14  Wdr46  Mrpl27  Mrps18b  Ik  Rps14  Mrpl21  Pdcd11  Alyref  Mrpl43  Rps24  Wdr12  Ppil3  Mrpl30  Imp4  Mrpl44  Nvl  BC005624  Patl2  Mrps5  Eif2a  Larp7  Celf3  Mrpl9  Ncbp1  Mrpl37  Ebna1bp2  Mrto4  Zcchc17  Eif3i  Mepce  Wbp11  Mrpl51  Mphosph10  Mrps11  Mrpl46  Mrpl48  Dhx32  Txnl4b  Nip7  Rpl4  Gtf3c1  Wdr3  Noc4l  Sf3b3  Srsf2  Lsm3  Mrpl54  Lsm7  Rnf113a1  Nop14  Mrpl41  Rbmxl1  Lsm1  Mrpl47  Dhx38  Acd  Fau  Smg6  Cdc40  Efl1  Bud31  Mrps34  Rpl12  Cpeb3  Elavl1  Snrpd2  Wrap53  Rrp9  Mrps27  Dhx29  Mrpl50  Rps2  Hnrnph2  Mrps12  Zfp830  Hnrnpa1  Mrps7  Rpl9  2810006K23Rik  Snip1  Rbm12b2  Eif3k  Utp18  Jmjd6  Mrpl18  Rrp1b  Rpl18  Naa38  Rpl3  Rpl35a  Nsa2  Prpf40a  Phf5a  Snrpa  Rpl7a  Rpl35  Nup98  Prpf38a  Prpf4  Xpo5  Rps28  Mfap1a  Dap3  Dazap1  Srp54a  Snrnp40  Ak6  Rps27  Hspa1a"
3.73333584889438e-18,269,1296,1.72410701468356,"Catalytic complex "," http://amigo.geneontology.org/amigo/term/GO:1902494"," Sdhd  Wdr77  Dnmt3l  Kctd10  Fbxo9  Crnkl1  Sf3a1  Gmpr2  Prpf6  Prkra  Pafah1b2  Paf1  Snrnp200  Brd8  Ruvbl2  Cwc15  Ikbkg  Dlst  Hnrnpa2b1  Wdr83  Ndufs3  Tpr  Tfpt  Gtf2h1  Mettl1  P3h4  Pole  Rad51c  Prpf31  Ubqln4  Rnmt  Cbx5  Pdhx  Ccnt1  Ndufs2  Ndufa2  Tbp  Psmb1  Fbxw5  Psma2  Mtrex  Ndufa1  Tox4  Brca1  Dnttip1  Tnfaip1  Uchl5  Gid4  Derl2  Ncor1  Ctdnep1  Tada2a  Noxo1  Xab2  Polr2i  Sirt1  Anapc16  Snrpd3  Sf3a2  Smc6  Cdc27  Psmc5  Ddx5  Recql5  Med31  Eftud2  Ccdc103  Polr2h  Prorp  Erh  Ccnk  Ripk1  Riok1  Hnrnpk  Naa35  Sdha  Ndufs6  Ercc8  Ppwd1  Cwc27  Spcs1  Sucla2  Dad1  Drosha  Dcaf13  Pop1  Eny2  Ndufb9  Sharpin  Fbxl6  Atg3  Naa50  Gtf2e1  Pigp  Ndufa5  Prkn  Wdr4  Ndufv3  Spsb3  Taf11  Elp2  Hdac3  Txnl1  Ddb1  Shoc2  Anapc11  Pfkfb1  Polr3a  Cdk2  Psmd13  Crcp  Phkg1  Exosc7  Ndufs1  Ndufb3  Ppil3  Nvl  Dcaf6  Acvr1  Psmd5  Ndufa8  Anapc2  Atg13  Polr3f  Psma7  Gid8  Rpn2  Rprd1b  Ndufb5  Exosc8  Etfdh  Cks1b  Polr3c  Exosc3  Pole3  Psmc2  Cdk5  Fbxo44  Mad2l2  Tada2b  Polr2b  Glmn  Gtf2h3  Brap  Phf14  Ndufa4  Polr1d  Med21  Anapc15  Ino80e  Rnf40  Bccip  Ndufb11  Brcc3  Asb12  Psmd10  Cul4a  Dcun1d5  Psma4  Smarcc1  Atg12  Polr2f  Pfkm  Cnppd1  Dis3  Fbxl8  Sf3b3  Rpap2  Dnah8  Zfc3h1  Lsm3  Exosc4  Exosc1  Gtf2h5  Anapc13  Dnai4  Lsm7  Spcs2  Helq  Dcaf10  Tsen34  Rsf1  Polr3g  Polr1h  Tmem258  Topors  Phkb  Anapc10  Taf6  Rbmxl1  Trmt6  Ranbp10  Dtl  Jmjd1c  Dhx38  Fbxo8  Cdc40  Polr2l  Dcun1d2  Taf5l  Bud31  Gngt2  Supt3  Eme1  Ss18l1  Wdr93  Ppp1r10  Ptpa  Ppp1r3f  Fbxl5  Ankib1  Ppp1ca  Ppp1r15a  Snrpd2  Fbxo2  Lrrc29  Ppp2r2d  Ndufa7  Dcaf17  Pbrm1  Dnali1  Krtcap2  Casc1  Uqcrq  Rnf31  Dync2h1  Cd3eap  Eno4  Socs4  Fbxl13  Dcun1d3  Tada3  Smcr8  Polr1a  Ppp1r3d  Babam2  Nudcd3  Skp2  Spcs3  Rbbp4  Brd9  Sdhc  Fbh1  Naa38  Znhit1  Uqcr10  Trp53  Nsmce2  Rnf14  Exosc5  Dnai1  Ccni  Uqcrh  mt-Cytb  Cdc26  Fbxl12  Polr1c  Htra2  Duox2  Gng5  Gng3  Eme2  Snrnp40  Ak6  Psme2  Neu2  Psmb9  Ndufb1  Dynlt2a3"
2.25790284077471e-14,80,254,2.61621367096555,"Mitochondrial protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0098798"," Sdhd  Atp5pb  Mrpl10  Mrpl2  Atp5d  Phb2  Ndufs3  Mrpl49  Ndufs2  Timm23  Ndufa2  Mrpl32  Ndufa1  Mrps18c  Prorp  Timm9  Sdha  Ndufs6  Mrpl36  Mrpl57  Ndufb9  Mrpl13  Smdt1  Mrpl40  Atp5j  Ndufa5  Mrpl14  Ndufv3  Mrpl27  Mrps18b  Mrpl21  Mrpl43  Atp5a1  Hadha  Atp5c1  Ndufs1  Ndufb3  Mrpl30  Mrpl44  Ndufa8  Mrps5  Ndufb5  Etfdh  Mrpl9  Mrpl37  Ndufa4  Mrpl51  Mrps11  Mrpl46  Mrpl48  Ndufb11  Timm17b  Atp5h  Mrpl54  Mrpl41  Mrpl47  Mrps34  Wdr93  Micu3  Mrps27  Ndufa7  Immp1l  Mrpl50  Uqcrq  Mrps12  Mrps7  2810006K23Rik  Timm29  Chchd10  Mrpl18  Sdhc  Hadhb  Uqcr10  Uqcrh  Romo1  Dap3  Atp5md  Apoo  Timm10b  Ndufb1"
8.09905101786441e-12,152,692,1.8245443896069,"Intracellular protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140535"," Kctd10  Fbxo9  Trappc6a  Dbf4  Paf1  Brd8  Ruvbl2  Ikbkg  Gtf2h1  Pole  Ubqln4  Rnmt  AI597479  Akt1s1  Tbp  Psmb1  Trappc2l  Fbxw5  Psma2  Brca1  Tnfaip1  Uchl5  Gid4  Derl2  Elp5  Tada2a  Polr2i  Qrsl1  Anapc16  Cdc27  Psmc5  Recql5  Med31  Polr2h  Naa35  Xrcc4  Ercc8  Trappc13  Rnaseh2b  Dcaf13  Eny2  Sharpin  Fbxl6  Atg3  Prkdc  Naa50  Ncbp2  Gtf2e1  Prkn  Spsb3  Taf11  Elp2  Csnk2b  Txnl1  Ddb1  Aip  Anapc11  Polr3a  Psmd13  Crcp  Prkar1b  Dcaf6  Psmd5  Anapc2  Elp4  Polr3f  Psma7  Gid8  Tti1  Rprd1b  Cks1b  Lamtor2  Polr3c  Ncbp1  Pole3  Elp1  Rgp1  Psmc2  Fbxo44  Mad2l2  Tada2b  Polr2b  Glmn  Gtf2h3  Brap  Gatc  Phf14  Polr1d  Med21  Anapc15  Rnf40  Lamtor1  Brcc3  Asb12  Psmd10  Cul4a  Cnot7  Dcun1d5  Trappc4  Psma4  Polr2f  Fbxl8  Rpap2  Gtf2h5  Anapc13  Dcaf10  Polr3g  Polr1h  Topors  Anapc10  Taf6  Ranbp10  Dtl  Trappc11  Fbxo8  Sesn1  Polr2l  Dcun1d2  Taf5l  Supt3  Ptpa  Cpeb3  Fbxl5  Ankib1  Fbxo2  Lrrc29  Ppp2r2d  Dcaf17  Rnf31  Cd3eap  Fbxl13  Dcun1d3  Tada3  Trappc1  Smcr8  Polr1a  Lig4  Babam2  Rnaseh2a  Skp2  Zbtb8os  Fbh1  Naa38  Trp53  Rnf14  Cdc26  Fbxl12  Polr1c  Ak6  Psme2  Trappc2  Psmb9"
4.30485153740464e-10,235,1269,1.53823674172511,"Microtubule cytoskeleton "," http://amigo.geneontology.org/amigo/term/GO:0015630"," Cdc45  Septin1  Chmp1a  Ift20  Cct3  Ift46  Golga2  Plag1  Klc4  Ciao1  Kif20a  Ruvbl2  Map3k11  Kifc2  Ikbkg  Tbccd1  Dlst  Pard6a  Ranbp1  Tpr  Tbcb  Aamp  Acot13  Phax  Cilk1  Mplkip  Ttll5  Enkd1  Chp1  Cluap1  Sirt2  Il17rb  Brca1  Nek8  Cep95  Ncor1  Tada2a  Tube1  Reep3  Cep290  Mdh1  Nudcd2  Hmmr  Ska2  Tubd1  Smc6  Cdc27  Kif1c  Ccdc103  Ppp2r3c  Atp6v1d  Tubal3  Fam161b  Nsun2  Slf1  Atxn7  Nisch  Ska3  Hmbox1  Pibf1  Bora  Cct5  Dcaf13  Rangap1  Cby1  Hsf1  Nde1  Snap29  Ccdc116  Sncg  Cep89  E4f1  Ift140  Hdac3  Ik  Arl2  Arl3  Lrrc45  Mms19  Sbds  Cdk2  Tubgcp2  Dst  Obsl1  Sdccag8  Nme7  Mastl  Spaca9  Dnm1  Usp20  Entr1  Ssna1  Pkp4  Kif18a  Harbi1  Tubgcp4  Mkks  Haus2  Nusap1  Spef1  Cdc25b  Aurka  Spata5  Ift80  Serp1  Sass6  Tbck  Kif24  Cdca8  Kcnab2  Cdk5  Mad2l2  Zbtb49  Kntc1  Cct6a  Mad1l1  Rita1  Iqcd  Lrwd1  Cct7  Ccdc77  Ift122  Gas2  Cib1  Stx1b  Dctn5  Bccip  Pqbp1  Brcc3  Cetn2  Mecp2  Ptpn7  Wrn  Vps37a  Nudt21  Cep57  Taf1d  Dcun1d5  Trip4  Kif9  Cep63  Topbp1  Cntrob  Mzt1  Rpgrip1l  Zbtb1  Dnah8  Atm  Kif4  2700049A03Rik  Nek11  Dnai4  Tubg1  Sppl2b  Rabgap1  Haus8  Iqcg  Togaram1  Cep19  Apex1  Ccdc38  Cc2d1a  Kif15  Topors  Wdr62  Pacrg  Tacc3  Tap1  Actr1b  Ranbp10  Dtl  Ccdc92  Mphosph9  Cep44  Atf5  Saxo2  Kpna7  Dido1  Nubp2  Ubn1  Cep104  Nphp4  Lats1  Cchcr1  Ofd1  Klc3  Smc1a  Mapk1ip1  Cir1  Haus1  Dnali1  Trim46  Casc1  Bmerb1  Hepacam2  Cetn4  Tssk2  Dync2h1  C2cd3  Neurl4  Tada3  Tmem67  Hyls1  Ccdc96  Gen1  Fank1  Mllt11  Nudcd3  Parp4  Cspp1  Bbof1  Cep170  Txndc9  Trp53  Sclt1  Dnai1  Cep128  Itgb1bp1  Hspb11  Cenpj  Ccdc146  Ubr4  Numa1  Zfyve26  Tcp1  Mfap1a  Zfyve19  1700029J07Rik  Ccdc78  Eml3  Cep76  Ak6  Eef1akmt3  Hspa1a  Dynlt2a3"
1.1908673856117e-09,84,329,2.12080299710186,"Mitochondrial matrix "," http://amigo.geneontology.org/amigo/term/GO:0005759"," Poldip2  Mrpl10  Mrpl2  Top3a  Dnaja3  Dlst  Hspa1l  Mrpl49  Pdhx  Mrpl32  Mrps18c  Brca1  Mdh2  Prorp  Xrcc3  Fars2  Mrpl36  Glud1  Mrpl57  Rida  Mrpl13  Mrpl40  Mmut  Mrpl14  Mrpl27  Mrps18b  Sdhaf2  Mrpl21  Mrpl43  Twnk  Echs1  Sirt3  Hadha  Iscu  Fastkd2  Maip1  Hspd1  Mrpl30  Mrpl44  Tfb2m  Dars2  Pmpca  Mrps5  Nfs1  Etfdh  Mrpl9  Rars2  Mrpl37  Park7  Ptcd1  Mrpl51  Mrps11  Mrpl46  Mrpl48  Ears2  Acsm5  Rpusd4  Dhx30  Chpf  Trmt5  Mrpl54  Nudt1  Mrpl41  Mrpl47  Primpol  Mrps34  Trub2  Mrps27  Ndufa7  Dmgdh  Shc1  Mrpl50  Tst  Mrps12  Mrps7  2810006K23Rik  Mettl15  Mrpl18  Hadhb  Trp53  Ethe1  Dap3  Sars2  Hspe1"
1.89656586910238e-09,159,787,1.67818305774483,"Microtubule organizing center "," http://amigo.geneontology.org/amigo/term/GO:0005815"," Cdc45  Septin1  Chmp1a  Ift20  Ift46  Plag1  Ruvbl2  Map3k11  Tbccd1  Dlst  Pard6a  Ranbp1  Phax  Cilk1  Mplkip  Ttll5  Cluap1  Sirt2  Il17rb  Brca1  Nek8  Cep95  Tube1  Cep290  Mdh1  Nudcd2  Hmmr  Tubd1  Cdc27  Ppp2r3c  Atp6v1d  Slf1  Ska3  Hmbox1  Pibf1  Cct5  Dcaf13  Cby1  Hsf1  Nde1  Snap29  Ccdc116  Sncg  Cep89  Ift140  Arl2  Arl3  Lrrc45  Cdk2  Tubgcp2  Obsl1  Sdccag8  Nme7  Mastl  Spaca9  Usp20  Entr1  Ssna1  Kif18a  Harbi1  Tubgcp4  Mkks  Haus2  Cdc25b  Aurka  Ift80  Sass6  Kif24  Mad1l1  Rita1  Iqcd  Lrwd1  Ccdc77  Ift122  Cib1  Stx1b  Dctn5  Bccip  Pqbp1  Cetn2  Mecp2  Wrn  Vps37a  Nudt21  Cep57  Taf1d  Trip4  Cep63  Topbp1  Cntrob  Mzt1  Rpgrip1l  Zbtb1  2700049A03Rik  Nek11  Tubg1  Sppl2b  Rabgap1  Haus8  Togaram1  Cep19  Apex1  Ccdc38  Cc2d1a  Topors  Wdr62  Tacc3  Tap1  Actr1b  Dtl  Ccdc92  Mphosph9  Cep44  Atf5  Saxo2  Nubp2  Ubn1  Cep104  Nphp4  Lats1  Cchcr1  Ofd1  Cir1  Haus1  Hepacam2  Cetn4  Tssk2  C2cd3  Neurl4  Tmem67  Hyls1  Ccdc96  Gen1  Fank1  Mllt11  Cspp1  Bbof1  Cep170  Txndc9  Trp53  Sclt1  Dnai1  Cep128  Itgb1bp1  Hspb11  Cenpj  Ccdc146  Ubr4  Numa1  Zfyve26  Tcp1  Mfap1a  Zfyve19  1700029J07Rik  Ccdc78  Cep76  Ak6  Eef1akmt3  Hspa1a"
