"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.84534194242821e-29,223,823,2.25072258127021,"RNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006396"," Pih1d2  Crnkl1  Trmt1  Supt6  Sf3a1  Prpf6  Prkra  Pih1d1  Paf1  Snrnp200  Cwc15  Trmt10a  Emg1  Hnrnpa2b1  Wdr83  Bud23  Osgep  Mettl1  Prpf31  Zmat5  Rnmt  Rps25  Sugp1  Ccnt1  Tsr3  Mtrex  Ncor1  Elp5  Sart3  Nop9  Xab2  Adat2  Hnrnph3  Snrpd3  Sf3a2  Pus10  Clk4  Pes1  Dus4l  Ftsj3  Ddx5  Eftud2  Prorp  Fcf1  Nol8  Ripk1  Fars2  Riok1  Hnrnpk  Nsun2  Ptcd2  Ppwd1  Srek1ip1  Ecd  Mettl6  Dph3  Ints9  Wbp4  Acin1  Drosha  Brix1  Dcaf13  Pop1  Zc3h7b  Hsf1  Bop1  Zcrb1  Prkdc  Qtrt2  Trmt2a  Ncbp2  Son  Prpf40b  Sympk  Dtwd1  Wdr4  Srsf7  Elp2  Wdr46  Nelfe  Ik  Rps14  Pdcd11  Alyref  Rps24  Sbds  Exosc7  Fastkd2  Wdr12  Ppil3  Imp4  Mrpl44  Tfb2m  Nvl  Nsun6  BC005624  Elp4  Cstf1  Rprd1b  Exosc8  Larp7  Ints12  Celf3  Tgs1  Exosc3  Ncbp1  Elp1  Toe1  Ebna1bp2  Mrto4  Nol9  Ints11  Ddx51  Ddx54  Ptcd1  Cpsf4  Wbp11  Mphosph10  Rnf40  Rrp8  Eri2  Rbm10  Pqbp1  Mecp2  Txnl4b  Nudt21  Usb1  Dus2  Rpusd4  Pus3  Ybey  Dis3  Wdr3  Trmt13  Sf3b3  Srsf2  Zfc3h1  Lsm3  Exosc4  Exosc1  Gtf2h5  Trmt5  Rsrc1  Tent4a  Cpsf7  Lsm7  Helq  Tsen34  Sugp2  Rnf113a1  Nop14  Rbmxl1  Kin  Lsm1  Trmt6  Ints7  Wdhd1  Dhx38  Mrm3  Cdc40  Bud31  Trmt112  Cpeb3  Trub2  Snrpd2  Rpusd1  Thoc6  Rrp9  Utp15  Cir1  Cpsf2  Mettl8  Safb2  Gemin7  Hnrnph2  Esf1  Zfp830  Hnrnpa1  Tyw3  Trpt1  Ankrd16  Zfp473  Tyw5  Ctu2  Snip1  Pusl1  Rbm12b2  Trmt1l  Thoc7  Utp18  Tprkb  Cpsf3  Srsf11  Tyw1  Jmjd6  Mettl15  Zbtb8os  Ddx49  Rrp1b  Trp53  Prmt7  Rpl35a  Nsa2  Prpf40a  Exosc5  Phf5a  Snrpa  Rpl7a  Rpl35  Nup98  Prpf38a  Prpf4  Rps28  Lyar  Mfap1a  Dazap1  Safb  Snrnp40  Lcmt2  Alkbh1  Ubl5  Rps27  Scnm1"
3.68031597614761e-24,120,352,2.83175400181214,"NcRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0034470"," Pih1d2  Trmt1  Prkra  Pih1d1  Trmt10a  Emg1  Hnrnpa2b1  Bud23  Osgep  Mettl1  Rps25  Tsr3  Mtrex  Elp5  Nop9  Adat2  Pus10  Pes1  Dus4l  Ftsj3  Prorp  Fcf1  Nol8  Fars2  Riok1  Nsun2  Mettl6  Dph3  Ints9  Drosha  Brix1  Dcaf13  Pop1  Bop1  Prkdc  Qtrt2  Dtwd1  Wdr4  Elp2  Wdr46  Rps14  Pdcd11  Rps24  Sbds  Exosc7  Wdr12  Imp4  Mrpl44  Tfb2m  Nvl  Nsun6  Elp4  Exosc8  Larp7  Ints12  Exosc3  Elp1  Toe1  Ebna1bp2  Mrto4  Nol9  Ints11  Ddx51  Ddx54  Ptcd1  Wbp11  Mphosph10  Rrp8  Eri2  Mecp2  Usb1  Dus2  Rpusd4  Pus3  Ybey  Dis3  Wdr3  Trmt13  Exosc4  Exosc1  Gtf2h5  Trmt5  Helq  Tsen34  Rnf113a1  Nop14  Trmt6  Ints7  Mrm3  Trmt112  Trub2  Rpusd1  Rrp9  Utp15  Mettl8  Esf1  Tyw3  Trpt1  Ankrd16  Tyw5  Ctu2  Pusl1  Trmt1l  Utp18  Tprkb  Tyw1  Mettl15  Zbtb8os  Ddx49  Rrp1b  Rpl35a  Nsa2  Exosc5  Rpl7a  Rpl35  Rps28  Lyar  Lcmt2  Alkbh1  Rps27"
1.47392239008826e-22,134,435,2.55877725589033,"NcRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0034660"," Pih1d2  Hars  Trmt1  Prkra  Pih1d1  Trmt10a  Emg1  Hnrnpa2b1  Bud23  Osgep  Mettl1  Rps25  Tsr3  Mtrex  Elp5  Hars2  Nop9  Adat2  Qrsl1  Pus10  Pes1  Dus4l  Ftsj3  Prorp  Fcf1  Wars  Nol8  Fars2  Riok1  Nsun2  Mettl6  Dph3  Ints9  Drosha  Brix1  Dcaf13  Pop1  Bop1  Prkdc  Qtrt2  Dtwd1  Wdr4  Elp2  Wdr46  Rps14  Pdcd11  Rps24  Sbds  Hras  Exosc7  Wdr12  Imp4  Mrpl44  Tfb2m  Nvl  Nsun6  Dars2  Elp4  Exosc8  Larp7  Ints12  Rars2  Exosc3  Elp1  Toe1  Ebna1bp2  Mrto4  Yars  Nol9  Ints11  Ddx51  Gatc  Ddx54  Ptcd1  Mepce  Wbp11  Mphosph10  Ears2  Rrp8  Eri2  Mecp2  Usb1  Dus2  Kars  Rpusd4  Pus3  Ybey  Dis3  Wdr3  Trmt13  Exosc4  Exosc1  Gtf2h5  Trmt5  Helq  Tsen34  Rnf113a1  Nop14  Trmt6  Ints7  Mrm3  Trmt112  Trub2  Rpusd1  Rrp9  Utp15  Mettl8  Esf1  Tyw3  Trpt1  Ankrd16  Tyw5  Exd1  Ctu2  Pusl1  Trmt1l  Utp18  Tprkb  Tyw1  Mettl15  Zbtb8os  Ddx49  Rrp1b  Rpl35a  Nsa2  Exosc5  Rpl7a  Rpl35  Rps28  Lyar  Sars2  Lcmt2  Alkbh1  Rps27"
4.30899899191149e-19,133,466,2.37073310709652,"DNA repair "," http://amigo.geneontology.org/amigo/term/GO:0006281"," Cdc45  Rpa1  Poldip2  Foxm1  Hsf2bp  Ruvbl2  Trim28  Tfpt  Gtf2h1  Pole  Rad51c  Brme1  Ubqln4  Zswim7  Msh3  Brca1  Uchl5  Rpain  Xab2  Polr2i  Sirt1  Smc6  Recql5  4930447C04Rik  Tdp1  Cinp  Xrcc3  Trip13  Slf1  Xrcc4  Rad17  Polk  Ercc8  Parg  Rad1  Hsf1  Prkdc  Mcm4  Parp9  Parp3  Polh  Ddb1  Fen1  Cdca5  Dclre1a  Cenpx  Mms19  Poll  Apex2  Cdk2  Nabp2  Trip12  Fh1  Ssrp1  Mcm8  Mgme1  Mutyh  Rad54l  Park7  Mad2l2  Gtf2h3  Chek2  Mcm7  Xpc  Recql  Mbd4  Rad51ap1  Faap24  Bccip  Brcc3  Cetn2  Cul4a  Ggn  Wrn  Mre11a  Sprtn  Mlh1  Topbp1  Terf2ip  Zbtb1  Fancd2  Chchd4  Atm  Gtf2h5  Smc4  Sirt6  Helq  Parpbp  Rmi1  Tdp2  Apex1  Parp2  Zranb3  Nudt1  Zcwpw1  Kin  Dtl  Wdhd1  Primpol  Rad9b  Eme1  Usp45  Smc1a  Wrap53  Nthl1  Shld2  Ascc1  Swi5  Palb2  Fancb  Rhno1  Dtx3l  Lig4  Gen1  Xrcc1  Babam2  Rnaseh2a  Kdm4d  Fto  Lig1  Fbh1  Rad51b  Trp53  Nsmce2  Slx1b  Marf1  Zfyve26  Hmgb1  Eme2  Alkbh1  Pms2  Hspa1a  Fancf"
1.49655801795477e-17,190,806,1.9581028498883,"DNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006259"," Cdc45  Dnmt3l  Rpa1  Poldip2  Smg5  Cct3  Foxm1  Supt6  Hsf2bp  Top3a  Pld3  Ruvbl2  Hnrnpa2b1  Trim28  Ctcf  Tfpt  Gtf2h1  Pole  Rad51c  Brme1  Ubqln4  Ehmt2  Zswim7  Msh3  Brca1  Uchl5  Rpain  Dnase1l1  Chtf18  Xab2  Polr2i  Apaf1  Sirt1  Smc6  Recql5  Ten1  4930447C04Rik  Tdp1  Cinp  Xrcc3  Trip13  Slf1  Xrcc4  Rad17  Polk  Ercc8  Parg  Hmbox1  Cct5  Rad1  Hsf1  Prkdc  Mcm4  Top3b  Parp9  Parp3  Polh  Dusp1  Ddb1  Fen1  Cdca5  Banf1  Dclre1a  Cenpx  Mms19  Poll  Apex2  Cdk2  Nabp2  Hspd1  Trip12  Gin1  Nvl  Fh1  Orc4  Ssrp1  Mcm8  Mgme1  Gins1  Exosc3  Orc1  Mutyh  Rad54l  Park7  Nmnat1  Mad2l2  Dnajc2  Dffb  Gtf2h3  Slc15a4  Cct6a  Chek2  Mcm7  Cct7  Xpc  Recql  Mbd4  Rad51ap1  Faap24  Eri2  Bccip  Brcc3  Cetn2  Mecp2  Cul4a  Ggn  Wrn  Mre11a  Sprtn  Mlh1  Cep63  Topbp1  Nudt15  Terf2ip  Zbtb1  Recql4  Fancd2  Chchd4  Atm  Exosc4  Gtf2h5  Smc4  Sirt6  Helq  Parpbp  Rmi1  Tdp2  Apex1  Parp2  Zranb3  Nudt1  Zcwpw1  Kin  Dtl  Wdhd1  Acd  Kdm1b  Primpol  Smg6  Rad9b  Eme1  Ciz1  Ppp1r10  Foxp3  Alkbh4  Orc3  Usp45  Gfer  Smc1a  Wrap53  Nthl1  Shld2  Gnl3  Ascc1  Swi5  Palb2  Zfp830  Fancb  Rhno1  Dtx3l  Lig4  Tatdn1  Gen1  Zgrf1  Xrcc1  Babam2  Rnaseh2a  Kdm4d  Tprkb  Parp4  Fto  Lig1  Fbh1  Rad51b  Trp53  Nsmce2  Slx1b  Prmt7  Marf1  Exosc5  Zfyve26  Hmgb1  Tcp1  Ccnb1ip1  Eme2  Cntd1  Alkbh1  Pms2  Hspa1a  Fancf"
5.12899399155967e-14,167,728,1.90546963418641,"Cellular response to DNA damage stimulus "," http://amigo.geneontology.org/amigo/term/GO:0006974"," Cdc45  Rpa1  Poldip2  Foxm1  Hsf2bp  Bcl2l12  Ruvbl2  Ikbkg  Trim28  Tfpt  Gtf2h1  Pole  Rad51c  Brme1  Ubqln4  Cbx5  Zswim7  Msh3  Mtrex  Brca1  Uchl5  Rpain  Xab2  Polr2i  Sirt1  Stxbp4  Smc6  Ddx5  Recql5  4930447C04Rik  Tdp1  Ccnk  Cinp  Xrcc3  Hnrnpk  Trip13  Slf1  Xrcc4  Rad17  Polk  Ercc8  Parg  Rnaseh2b  Rad1  Hsf1  Prkdc  Mcm4  Parp9  Parp3  Polh  Gnl1  Ddb1  Fen1  Cdca5  Bad  Dclre1a  Cenpx  Zdhhc16  Mms19  Poll  Apex2  Cdk2  Nabp2  Trip12  Fh1  Mastl  Marchf7  Ssrp1  Wdr76  Mcm8  Mgme1  Mutyh  Rad54l  Park7  Mad2l2  Gtf2h3  Chek2  Triap1  Mcm7  Xpc  Recql  Mbd4  Rad51ap1  Faap24  Cib1  Ddias  Bccip  Brcc3  Cetn2  Psmd10  Cul4a  Ggn  Wrn  Casp3  Mre11a  Sprtn  Dcun1d5  Mlh1  Cep63  Topbp1  Terf2ip  Zbtb1  Fancd2  Chchd4  Atm  Gtf2h5  Smc4  Morc2a  Sirt6  Nek11  Helq  Parpbp  Rmi1  Fbxo45  Tdp2  Apex1  Parp2  Zranb3  Nudt1  Topors  Zcwpw1  Kin  Ints7  Dtl  Wdhd1  Acd  Primpol  Rad9b  Eme1  Ppp1r10  Usp45  Oard1  Smc1a  Wrap53  Nthl1  Shld2  Ascc1  Swi5  Palb2  Zfp830  Fancb  Rhno1  Dtx3l  Lig4  Gen1  Xrcc1  Babam2  Rnaseh2a  Kdm4d  Fto  Lig1  Fbh1  Rad51b  Trp53  Nsmce2  Slx1b  Marf1  Hipk2  Armt1  Zfyve26  Hmgb1  Htra2  Eme2  Alkbh1  Pms2  Hspa1a  Fancf"
5.59962106343732e-14,86,280,2.55127551020408,"Ribosome biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0042254"," Pih1d2  Mrpl10  Pih1d1  Emg1  Bud23  Rps25  Tsr3  Mtrex  Nop9  Pes1  Ftsj3  Fcf1  Nol8  Riok1  Mterf3  Mrpl36  Drosha  Brix1  Dcaf13  Bop1  Prkdc  Wdr46  Rps14  Pdcd11  Rps24  Sbds  Exosc7  Nop16  Fastkd2  Wdr12  Imp4  Glul  Tfb2m  Nvl  Ddx31  Exosc8  Eif2a  Exosc3  Ebna1bp2  Mrto4  Nol9  Ddx51  Ddx54  Wbp11  Mphosph10  Rrp8  Eri2  Cul4a  Nip7  Urb2  Rpusd4  Dhx30  Ybey  Dis3  Wdr3  Noc4l  Exosc4  Exosc1  Gtf2h5  Helq  Nop14  Mrm3  Efl1  Trmt112  Nup88  Rpusd1  Rrp9  Utp15  Dhx29  Rps2  Esf1  Mrps7  Utp18  Mettl15  Ddx49  Abce1  Rrp1b  Rpl3  Rpl35a  Nsa2  Exosc5  Rpl7a  Rpl35  Rps28  Lyar  Rps27"
6.95702004774704e-14,109,401,2.25787068872669,"Ribonucleoprotein complex biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0022613"," Pih1d2  Mrpl10  Crnkl1  Sf3a1  Prpf6  Pih1d1  Snrnp200  Ruvbl2  Emg1  Bud23  Prpf31  Rps25  Tsr3  Mtrex  Sart3  Nop9  Xab2  Snrpd3  Sf3a2  Pes1  Ftsj3  Fcf1  Nol8  Riok1  Mterf3  Mrpl36  Nufip1  Drosha  Brix1  Dcaf13  Bop1  Prkdc  Wdr46  Rps14  Pdcd11  Rps24  Sbds  Exosc7  Nop16  Fastkd2  Wdr12  Imp4  Glul  Tfb2m  Nvl  Ddx31  Exosc8  Eif2a  Celf3  Exosc3  Ncbp1  Ebna1bp2  Mrto4  Eif3i  Nol9  Ddx51  Ddx54  Wbp11  Mphosph10  Rrp8  Eri2  Cul4a  Nudt21  Nip7  Urb2  Rpusd4  Dhx30  Ybey  Dis3  Wdr3  Noc4l  Atm  Exosc4  Exosc1  Gtf2h5  Cpsf7  Helq  Nop14  Rbmxl1  Mrm3  Efl1  Trmt112  Nup88  Snrpd2  Rpusd1  Rrp9  Utp15  Dhx29  Rps2  Gemin7  Esf1  Mrps7  Eif3k  Utp18  Mettl15  Ddx49  Abce1  Rrp1b  Rpl3  Prmt7  Rpl35a  Nsa2  Exosc5  Rpl7a  Rpl35  Rps28  Lyar  Ak6  Rps27"
2.44423118213424e-12,55,148,3.08686697494837,"RNA modification "," http://amigo.geneontology.org/amigo/term/GO:0009451"," Trmt1  Trmt10a  Emg1  Dnajb11  Bud23  Osgep  Mettl1  Rnmt  Tsr3  Elp5  Adat2  Pus10  Dus4l  Ftsj3  Nsun2  Mettl6  Dph3  Qtrt2  Trmt2a  Dtwd1  Wdr4  Elp2  Tfb2m  Nsun6  Elp4  Larp7  Tgs1  Elp1  Mepce  Dus2  Rpusd4  Pus3  Pus7l  Trmt13  Trmt5  Bag4  Trmt6  Mrm3  Trmt112  Trub2  Rpusd1  Mettl8  Tyw3  Ankrd16  Tyw5  Ctu2  Pusl1  Trmt1l  Tprkb  Fto  Tyw1  Jmjd6  Mettl15  Lcmt2  Alkbh1"
8.57631571196228e-12,183,871,1.74521876942911,"Chromosome organization "," http://amigo.geneontology.org/amigo/term/GO:0051276"," Chmp1a  Rpa1  Mcm3ap  Smg5  Cct3  Supt6  Top3a  Mpnd  Pih1d1  Paf1  Brd8  Ruvbl2  Phb2  Hnrnpa2b1  Bud23  Trim28  Ctcf  Naa60  Tpr  Gatad1  Rad51c  Ncaph2  Tex14  Ehmt2  Msh3  H2bc4  Tada2a  Sart3  Sirt1  Smc6  Cenpo  Cdc27  Recql5  Ten1  4930447C04Rik  Xrcc3  Cenpp  Trip13  Slf1  Cenpk  Bap1  Hmbox1  Pibf1  Acin1  Cct5  Eny2  Smc1b  Prkdc  Mcm4  Naa50  Hira  Top3b  Parp3  Dusp1  Brd2  Hdac3  Ik  Psmg2  Fen1  Cdca5  Banf1  Anapc11  Cenpx  Twnk  Ldb1  Nabp2  Nudt5  Sgo2a  Ssrp1  Kif18a  Terb2  Nusap1  Mcm8  Ash1l  Chmp5  Itgb3bp  Rad54l  Cdca8  Dnajc2  Dffb  Tada2b  Kntc1  Cct6a  Mad1l1  Lrwd1  Mcm7  Cct7  Xpc  Kdm5a  Recql  Anapc15  Ino80e  Lcmt1  Rnf40  Rrp8  Brcc3  Wrn  Cenpn  Mau2  Mre11a  Hmg20a  Smarcc1  Mlh1  Cep63  Terf2ip  Zbtb1  Recql4  Fancd2  Atm  Kif4  Smc4  Morc2a  Sirt6  Ncapd3  Tubg1  Helq  Rsf1  Apex1  Zranb3  Zcwpw1  Wdhd1  Jmjd1c  Acd  Kdm1b  Ncapd2  Smg6  Pcid2  Ss18l1  Arid4b  Ppp1r10  Ubn1  Alkbh4  Lats1  Mis12  Foxa3  Smc1a  Wrap53  Pbrm1  Gnl3  Zfp830  Tssk6  Dtx3l  Lig4  H2bc1  Gen1  Xrcc1  Babam2  Kdm4d  Tprkb  Smyd1  Jmjd6  Rbbp4  Brd9  H2bc8  Fbh1  Mbtd1  Znhit1  Trp53  Nsmce2  Slx1b  H2ac1  Prmt7  Nsl1  H2bc12  Cdc26  Numa1  Hmgb1  Tcp1  H2bc21  H2bc7  H2bc11  H2bc24  H2bc23  H2bc22  Setdb2  Ccnb1ip1  Eml3  Oip5  Hspa1a  H2bc13  H2bc15  H3c7  H2bc9"
