"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0066940397670703,6,13,14.6534798534799,"G protein-coupled purinergic nucleotide receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0035589"," P2ry12  P2ry13  P2ry14  Gpr34  Gpr171  Gpr87"
0.0276028170229895,14,115,3.86512077294686,"Regulation of synapse assembly "," http://amigo.geneontology.org/amigo/term/GO:0051963"," Asic2  Lrfn1  Amigo3  Lrrn3  Lrrtm3  Lrfn4  Lrtm1  Flrt3  Lrtm2  Il1rapl2  Lrrtm1  Xlr4b  Lrrtm2  Xlr3b"
0.0276028170229895,11,73,4.78412698412698,"Positive regulation of synapse assembly "," http://amigo.geneontology.org/amigo/term/GO:0051965"," Asic2  Amigo3  Lrrn3  Lrrtm3  Lrtm1  Flrt3  Lrtm2  Lrrtm1  Xlr4b  Lrrtm2  Xlr3b"
0.0997927787607979,17,185,2.91749463749464,"Synapse assembly "," http://amigo.geneontology.org/amigo/term/GO:0007416"," Asic2  Obsl1  Lrfn1  Amigo3  Nrxn2  Lrrn3  Lrrtm3  Lrfn4  Lrtm1  Lrrc4  Flrt3  Lrtm2  Il1rapl2  Lrrtm1  Xlr4b  Lrrtm2  Xlr3b"
0.120075555264236,3,4,23.8119047619048,"Protein K33-linked deubiquitination "," http://amigo.geneontology.org/amigo/term/GO:1990168"," Zranb1  Yod1  Otud6a"
0.174550712308065,4,12,10.5830687830688,"Protein localization to ciliary membrane "," http://amigo.geneontology.org/amigo/term/GO:1903441"," Arl13b  Lztfl1  Arl13a  Efcab7"
0.174550712308065,6,30,6.34984126984127,"Excitatory synapse assembly "," http://amigo.geneontology.org/amigo/term/GO:1904861"," Lrfn1  Nrxn2  Lrfn4  Lrrc4  Lrrtm1  Lrrtm2"
0.174550712308065,23,332,2.19949321093899,"Positive regulation of cytosolic calcium ion concentration "," http://amigo.geneontology.org/amigo/term/GO:0007204"," Ptger1  F2rl2  Gsto1  Htr2b  Uts2  Ccr9  Epo  Lpar6  Cxcl10  Pln  Iapp  Trpc5  Ccr10  Dmd  Cxcr6  Gpr18  Gpr17  Cx3cr1  Prkg1  Gper1  Ccl19  Ackr4  Ccl21a"
0.174550712308065,3,5,19.0495238095238,"Protein K29-linked deubiquitination "," http://amigo.geneontology.org/amigo/term/GO:0035523"," Zranb1  Yod1  Otud6a"
0.174550712308065,4,12,10.5830687830688,"Hemoglobin biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0042541"," Alas2  Slc6a9  Eif2ak1  Epo"
0.174550712308065,6,30,6.34984126984127,"Response to corticosterone "," http://amigo.geneontology.org/amigo/term/GO:0051412"," Nefl  Hsd3b5  Hsd3b2  Gm4450  Hsd3b4  Gm10681"
0.174550712308065,25,378,2.09981523473587,"Regulation of cytosolic calcium ion concentration "," http://amigo.geneontology.org/amigo/term/GO:0051480"," Atp1a2  Cdh23  Ptger1  F2rl2  Gsto1  Htr2b  Uts2  Ccr9  Epo  Lpar6  Cxcl10  Pln  Iapp  Trpc5  Ccr10  Dmd  Cxcr6  Gpr18  Gpr17  Cx3cr1  Prkg1  Gper1  Ccl19  Ackr4  Ccl21a"
0.175849821274306,26,406,2.03320040659942,"Small GTPase mediated signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0007264"," Map2k1  Trim28  Rhobtb1  Dock2  Nf1  Rab15  F2rl2  Nisch  Rb1  Itsn1  Rgl1  Ralgps2  Dock7  Epo  Nucb1  Dock6  Lpar6  Rfxank  Rap2b  Ripor1  Ralgps1  Gpr18  Gpr17  Dock1  Sh2d3c  Arhgap26"
0.175849821274306,6,33,5.77258297258297,"Purinergic nucleotide receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0035590"," P2ry12  P2ry13  P2ry14  Gpr34  Gpr171  Gpr87"
0.175849821274306,7,45,4.93876543209877,"Response to mineralocorticoid "," http://amigo.geneontology.org/amigo/term/GO:0051385"," Nefl  Hsd3b5  Gper1  Hsd3b2  Gm4450  Hsd3b4  Gm10681"
0.178918879657995,3,6,15.8746031746032,"Negative regulation of membrane protein ectodomain proteolysis "," http://amigo.geneontology.org/amigo/term/GO:0051045"," Timp1  Timp3  Timp4"
0.186245879125138,5,23,6.90200138026225,"Postsynaptic density assembly "," http://amigo.geneontology.org/amigo/term/GO:0097107"," Lrfn1  Nrxn2  Lrfn4  Lrrtm1  Lrrtm2"
