"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.72076090830412e-20,161,1129,2.25661922167035,"Chromosome "," http://amigo.geneontology.org/amigo/term/GO:0005694"," Chmp1a  Rpa1  Nr1h3  Top3a  Paf1  Emg1  Hnrnpa2b1  Trim28  Tfpt  P3h4  Pole  Rad51c  Brme1  Arpc5  Ubqln4  Ncaph2  Cbx5  Tex14  Dmrtc2  Ehmt2  Tbp  Brca1  Dnttip1  H2bc4  Uchl5  Tada2a  Chtf18  Sirt1  Nudcd2  Ska2  Smc6  Ftsj3  Xrcc3  Cenpp  Nol8  Slf1  Polk  Parg  Ska3  Hmbox1  Nufip1  Brix1  Rad1  Smc1b  Glyr1  Hsf1  Bop1  Mcm4  Hira  Polh  Ik  Cenpx  Nabp2  Cenpl  Terb2  Wdr76  Mcm8  Gins1  Tti1  Exosc8  Pole3  Orc1  Park7  Dffb  Polr2b  Kntc1  Chek2  Mad1l1  Lrwd1  Cbx3  Xpc  Recql  Rad51ap1  Mphosph10  Rnf40  Dctn5  Wrn  Cenpn  Mau2  Sprtn  Zwilch  Mlh1  Topbp1  Terf2ip  Recql4  Ttc37  Fancd2  Atm  Smc4  Sirt6  Ncapd3  Tubg1  Nup37  Parpbp  Rsf1  Parp2  Zranb3  Rbmxl1  Zcwpw1  Ints7  Dtl  Wdhd1  Acd  Primpol  Ncapd2  Rad9b  Bud31  Ss18l1  Ppp1r10  Ppp1ca  Oard1  Smc1a  Wrap53  Shld2  Rhno1  Cdca2  Smcr8  Polr1a  Ccdc137  Gpatch11  H2bc1  Xrcc1  Kdm4d  Setd3  Rbbp4  H2bc8  Fbh1  Rad51b  Trp53  Nsmce2  H2ac1  Exosc5  Nsl1  H2bc12  H2ac15  Nup98  H2ac21  Numa1  H2bc21  H2ac20  H2bc7  H2ac6  H2ac8  H2bc11  H2ac11  H2ac12  H2bc24  H2bc23  H2bc22  H2ac22  Setdb2  Ccnb1ip1  H2ac7  H2ac13  Arpc4  H2ac23  H2bc13  H2ac24  H2bc15  H3c7  H2bc9"
7.36091750451997e-19,154,1098,2.21944675013258,"Nuclear protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140513"," Rpa1  Smg5  Nr1h3  Sf3a1  Paf1  Med29  Snrnp200  Cwc15  Hnrnpa2b1  Trim28  Tfpt  Med8  Gtf2h1  Hspa1l  Pole  Rad51c  Prpf31  Ubqln4  Zmat5  Cbx5  Sugp1  Ccnt1  Tbp  Med22  Mtrex  Brca1  Dnttip1  Uchl5  Tada2a  Sart3  Xab2  Sirt1  Cdc27  Psmc5  Ddx5  Eftud2  Xrcc3  Ercc8  Bap1  Ints9  Nufip1  Drosha  Rad1  Pop1  Smc1b  Bop1  Prkdc  Mcm4  Gtf2e1  Eaf2  Sympk  Nfya  Nelfe  Hdac3  Ik  Drap1  Alyref  Anapc11  Cenpx  Gps1  Polr3a  Nabp2  Crcp  Imp4  Cops7b  Nvl  BC005624  Anapc2  Elp4  Polr3f  Gins1  Cstf1  Tti1  Rprd1b  Exosc8  Larp7  Polr3c  Pole3  Orc1  Ints11  Tada2b  Polr2b  Mad1l1  Cpsf4  Phf14  Polr1d  Lrwd1  Mepce  Xpc  Faap24  Mphosph10  Brcc3  Cetn2  Txnl4b  Nudt21  Mau2  Trip4  Mlh1  Noc4l  Terf2ip  Lsm3  Exosc1  Gtf2h5  Lsm7  Nup37  Rsf1  Polr3g  Rfxank  Polr1h  Rnf113a1  Nop14  Anapc10  Taf6  Rbmxl1  Ints7  Dhx38  Acd  Cdc40  Polr2l  Pcid2  Rad9b  Taf5l  Bud31  Ss18l1  Rxrb  Nup88  Snrpd2  Wrap53  Hnrnpa1  Cd3eap  Fancb  Tada3  Polr1a  Snip1  Xrcc1  Babam2  Nup188  Utp18  1700017N19Rik  Rbbp4  Deaf1  Rad51b  Trp53  Exosc5  Phf5a  Nup98  Prpf38a  Prpf4  Cdc26  Mfap1a  Nup62cl  Snrnp40  Lin52  Hspa1a"
1.02843587926169e-12,193,1752,1.74320938818565,"Mitochondrion "," http://amigo.geneontology.org/amigo/term/GO:0005739"," Sdhd  Mrpl10  Fkbp10  Idh3g  Bcap31  Mrpl2  Tmem143  Top3a  Fam162a  Cwc15  Phb2  Dlst  Mthfd2  Acot13  Hspa1l  Mrpl49  Rad51c  Pdhx  Timm23  Ndufa2  Cmc2  Rnf5  Serac1  Mrpl32  Sqstm1  Bola1  Chdh  Ndufa1  Plgrkt  Nbr1  Brca1  Acot8  Styxl1  Mdh2  Rmnd1  Wasf1  Qrsl1  Rtn4ip1  Sirt1  Rps6kb1  Acaca  Cox11  L2hgdh  Timm9  Aldh6a1  Isca2  Slc25a29  Xrcc3  Fastkd3  Agtpbp1  Ptcd2  Cert1  Nln  Glud1  Mrpl57  Slc25a32  Rida  Xpnpep3  Smdt1  Aco2  Mpv17l  Mrpl40  Cep89  Ndufa5  Prkn  Slc25a27  Ndufv3  Ndufaf7  Mrps18b  Sfxn2  Asl  Hadha  Atp5c1  Iscu  Higd2a  Idh1  Fastkd2  Trak2  Ndufb3  Mrpl30  Coa5  Bcs1l  Pnkd  Pecr  Dbi  Srgap2  Tfb2m  Mpc2  Tatdn3  Dars2  Yme1l1  Crat  Ndufa8  Atg13  Mrps5  Ndufaf5  Bag1  Nudt2  Mrpl37  Mutyh  Mmachc  Akr7a5  Park7  Lias  Acad10  Triap1  Gatc  Mmab  Ptcd1  Ndufa4  Nt5c3  Xpc  Mrpl51  Tmem126b  Timm17b  Abcd1  Kars  Rpusd4  Abhd12  Chpf  Mcee  Ccs  Hsdl1  Chchd4  Trmt5  Atp5h  Gtf3c4  Apex1  Noa1  Nudt1  Mrpl41  Pacrg  Primpol  Armc10  Timm8b  Atpsckmt  Wdr93  Tmem135  Oxld1  Etfrf1  Ppp1r15a  Gfer  Abhd4  Nthl1  Mrps27  Dmgdh  Chchd7  Ttc19  Dhx29  Shc1  Immp1l  Mrpl50  Uqcrq  Tst  Mrps12  Dusp18  2810006K23Rik  Cd3eap  Slc25a47  Zadh2  Pusl1  Atp6v1a  Ptrh1  Slc25a40  Dmac2l  Fam72a  Sdhc  Abce1  Hadhb  Uqcr10  Trp53  Rpl35a  Uqcrh  Ptcd3  mt-Nd6  mt-Cytb  Zbtb6  Ndufaf2  Gng5  Sco1  Tmem256  Sars2  Atp5md  Mpst  Ptrh2  Ccdc58  Ndufaf8  Apoo  Pet100  Cmc4  Acad11  Ak9  Hspa1a"
1.02843587926169e-12,155,1296,1.8925747675418,"Catalytic complex "," http://amigo.geneontology.org/amigo/term/GO:1902494"," Sdhd  Kctd10  Fbxo9  Sf3a1  Prkra  Pafah1b2  Paf1  Snrnp200  Cwc15  Dlst  Hnrnpa2b1  Tfpt  Gtf2h1  P3h4  Pole  Rad51c  Prpf31  Ubqln4  Cbx5  Pdhx  Ccnt1  Ndufa2  Tbp  Psmb1  Psma2  Mtrex  Ndufa1  Brca1  Dnttip1  Uchl5  Tada2a  Noxo1  Xab2  Sirt1  Smc6  Cdc27  Psmc5  Ddx5  Eftud2  Ccdc103  Ccnk  Naa35  Ercc8  Dad1  Drosha  Dcaf13  Pop1  Sharpin  Fbxl6  Atg3  Naa50  Gtf2e1  Ndufa5  Prkn  Wdr4  Ndufv3  Spsb3  Hdac3  Anapc11  Polr3a  Crcp  Ndufb3  Nvl  Dcaf6  Acvr1  Ndufa8  Anapc2  Atg13  Polr3f  Psma7  Gid8  Rprd1b  Exosc8  Cks1b  Polr3c  Pole3  Psmc2  Cdk5  Fbxo44  Tada2b  Polr2b  Brap  Phf14  Ndufa4  Polr1d  Rnf40  Brcc3  Asb12  Psmd10  Cul4a  Dcun1d5  Atg12  Cnppd1  Fbxl8  Zfc3h1  Lsm3  Exosc1  Gtf2h5  Lsm7  Rsf1  Polr3g  Polr1h  Phkb  Anapc10  Taf6  Rbmxl1  Trmt6  Ranbp10  Dtl  Dhx38  Fbxo8  Cdc40  Polr2l  Dcun1d2  Taf5l  Bud31  Ss18l1  Wdr93  Ppp1r10  Ptpa  Ankib1  Ppp1ca  Ppp1r15a  Snrpd2  Fbxo2  Lrrc29  Dnali1  Casc1  Uqcrq  Rnf31  Dync2h1  Cd3eap  Socs4  Fbxl13  Tada3  Smcr8  Polr1a  Ppp1r3d  Babam2  Rbbp4  Sdhc  Fbh1  Uqcr10  Trp53  Nsmce2  Rnf14  Exosc5  Dnai1  Uqcrh  mt-Cytb  Cdc26  Duox2  Gng5  Snrnp40  Psme2"
2.3885977018394e-12,96,662,2.29477226662587,"Ribonucleoprotein complex "," http://amigo.geneontology.org/amigo/term/GO:1990904"," Smg5  Mrpl10  Sf3a1  Mrpl2  Snrnp200  Cwc15  Emg1  Hnrnpa2b1  Mrpl49  Prpf31  Zmat5  Cbx5  Sugp1  Mrpl32  Mtrex  Brca1  Ro60  Sart3  Xab2  Hnrnph3  Ftsj3  Ddx5  Eftud2  Eif2s1  Naa35  Mrpl57  Nufip1  Dcaf13  Pop1  Hsf1  Bop1  Prkdc  Mrpl40  Wdr46  Mrps18b  Ik  Pdcd11  Alyref  Rps24  Mrpl30  Imp4  Nvl  BC005624  Patl2  Mrps5  Larp7  Mrpl37  Mrto4  Zcchc17  Mepce  Mrpl51  Mphosph10  Txnl4b  Nip7  Rpl4  Gtf3c1  Noc4l  Lsm3  Lsm7  Rnf113a1  Nop14  Mrpl41  Rbmxl1  Dhx38  Acd  Fau  Cdc40  Efl1  Bud31  Snrpd2  Wrap53  Mrps27  Dhx29  Mrpl50  Rps2  Hnrnph2  Mrps12  Hnrnpa1  Rpl9  2810006K23Rik  Snip1  Eif3k  Utp18  Rpl35a  Phf5a  Rpl7a  Nup98  Prpf38a  Prpf4  Xpo5  Mfap1a  Dazap1  Srp54a  Snrnp40  Rps27  Hspa1a"
1.56778082234678e-10,33,125,4.17763291139241,"DNA packaging complex "," http://amigo.geneontology.org/amigo/term/GO:0044815"," Ncaph2  H2bc4  Slf1  Glyr1  Smc4  Ncapd3  Ncapd2  H2bc1  H2bc8  H2ac1  H2bc12  H2ac15  H2ac21  H2bc21  H2ac20  H2bc7  H2ac6  H2ac8  H2bc11  H2ac11  H2ac12  H2bc24  H2bc23  H2bc22  H2ac22  H2ac7  H2ac13  H2ac23  H2bc13  H2ac24  H2bc15  H3c7  H2bc9"
3.2421851395172e-10,102,787,2.05093448924774,"Microtubule organizing center "," http://amigo.geneontology.org/amigo/term/GO:0005815"," Chmp1a  Ift46  Plag1  Tbccd1  Dlst  Pard6a  Cilk1  Ttll5  Cluap1  Il17rb  Brca1  Nek8  Cep95  Tube1  Cep290  Nudcd2  Hmmr  Tubd1  Cdc27  Atp6v1d  Slf1  Ska3  Hmbox1  Cct5  Dcaf13  Cby1  Hsf1  Sncg  Cep89  Ift140  Arl3  Lrrc45  Obsl1  Sdccag8  Mastl  Spaca9  Usp20  Ssna1  Harbi1  Aurka  Ift80  Kif24  Mad1l1  Rita1  Iqcd  Lrwd1  Ift122  Cib1  Dctn5  Pqbp1  Cetn2  Wrn  Nudt21  Cep57  Trip4  Topbp1  Cntrob  Mzt1  Rpgrip1l  Zbtb1  2700049A03Rik  Tubg1  Sppl2b  Rabgap1  Togaram1  Cep19  Apex1  Ccdc38  Cc2d1a  Dtl  Ccdc92  Mphosph9  Cep44  Saxo2  Nubp2  Ubn1  Cep104  Lats1  Cchcr1  Hepacam2  Tssk2  Neurl4  Ccdc96  Gen1  Bbof1  Cep170  Txndc9  Trp53  Sclt1  Dnai1  Cep128  Hspb11  Cenpj  Ccdc146  Ubr4  Numa1  Zfyve26  Mfap1a  1700029J07Rik  Ccdc78  Cep76  Hspa1a"
3.57021433380916e-10,93,692,2.12668517231287,"Intracellular protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140535"," Kctd10  Fbxo9  Dbf4  Paf1  Gtf2h1  Pole  Ubqln4  AI597479  Tbp  Psmb1  Trappc2l  Psma2  Brca1  Uchl5  Tada2a  Qrsl1  Cdc27  Psmc5  Naa35  Ercc8  Trappc13  Dcaf13  Sharpin  Fbxl6  Atg3  Prkdc  Naa50  Gtf2e1  Prkn  Spsb3  Aip  Anapc11  Polr3a  Crcp  Prkar1b  Dcaf6  Anapc2  Elp4  Polr3f  Psma7  Gid8  Tti1  Rprd1b  Cks1b  Lamtor2  Polr3c  Pole3  Psmc2  Fbxo44  Tada2b  Polr2b  Brap  Gatc  Phf14  Polr1d  Rnf40  Brcc3  Asb12  Psmd10  Cul4a  Dcun1d5  Fbxl8  Gtf2h5  Polr3g  Polr1h  Anapc10  Taf6  Ranbp10  Dtl  Trappc11  Fbxo8  Sesn1  Polr2l  Dcun1d2  Taf5l  Ptpa  Ankib1  Fbxo2  Lrrc29  Rnf31  Cd3eap  Fbxl13  Tada3  Trappc1  Smcr8  Polr1a  Babam2  Zbtb8os  Fbh1  Trp53  Rnf14  Cdc26  Psme2"
4.97161229081766e-10,143,1269,1.78320291069416,"Microtubule cytoskeleton "," http://amigo.geneontology.org/amigo/term/GO:0015630"," Chmp1a  Cct3  Ift46  Plag1  Klc4  Ciao1  Tbccd1  Dlst  Pard6a  Aamp  Acot13  Cilk1  Ttll5  Chp1  Cluap1  Il17rb  Brca1  Nek8  Cep95  Tada2a  Tube1  Cep290  Nudcd2  Hmmr  Ska2  Tubd1  Smc6  Cdc27  Kif1c  Ccdc103  Atp6v1d  Tubal3  Slf1  Nisch  Ska3  Hmbox1  Bora  Cct5  Dcaf13  Cby1  Hsf1  Sncg  Cep89  E4f1  Ift140  Hdac3  Ik  Arl3  Lrrc45  Mms19  Sbds  Dst  Obsl1  Sdccag8  Mastl  Spaca9  Usp20  Ssna1  Pkp4  Harbi1  Aurka  Ift80  Kif24  Cdk5  Kntc1  Mad1l1  Rita1  Iqcd  Lrwd1  Ift122  Cib1  Dctn5  Pqbp1  Brcc3  Cetn2  Ptpn7  Wrn  Nudt21  Cep57  Dcun1d5  Trip4  Kif9  Topbp1  Cntrob  Mzt1  Rpgrip1l  Zbtb1  Atm  2700049A03Rik  Tubg1  Sppl2b  Rabgap1  Iqcg  Togaram1  Cep19  Apex1  Ccdc38  Cc2d1a  Kif15  Pacrg  Ranbp10  Dtl  Ccdc92  Mphosph9  Cep44  Saxo2  Dido1  Nubp2  Ubn1  Cep104  Lats1  Cchcr1  Klc3  Smc1a  Dnali1  Casc1  Hepacam2  Tssk2  Dync2h1  Neurl4  Tada3  Ccdc96  Gen1  Parp4  Bbof1  Cep170  Txndc9  Trp53  Sclt1  Dnai1  Cep128  Hspb11  Cenpj  Ccdc146  Ubr4  Numa1  Zfyve26  Mfap1a  1700029J07Rik  Ccdc78  Eml3  Cep76  Hspa1a"
1.16029893270542e-08,29,117,3.92227902196257,"Nucleosome "," http://amigo.geneontology.org/amigo/term/GO:0000786"," H2bc4  Slf1  Glyr1  H2bc1  H2bc8  H2ac1  H2bc12  H2ac15  H2ac21  H2bc21  H2ac20  H2bc7  H2ac6  H2ac8  H2bc11  H2ac11  H2ac12  H2bc24  H2bc23  H2bc22  H2ac22  H2ac7  H2ac13  H2ac23  H2bc13  H2ac24  H2bc15  H3c7  H2bc9"
