"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000611734860358704,246,1520,1.34279714859336,"RNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003723"," LAS1L  ELAC2  PAX6  TFB1M  MTREX  POLR2B  TPR  EIF2AK2  DDX20  WDR3  SMG6  RPL31  BUD23  HLTF  TRNT1  SART3  MKRN2  RBMS2  BAZ2A  TNRC6C  THOC1  DDX43  PUM3  DIS3  PPIE  NOA1  CPNE3  EIF2AK1  RTRAF  KDM2B  DHX32  PCBP4  SRPK1  MRPS18A  HNRNPH3  TRMT2A  DDX17  GTPBP1  KHNYN  FKBP3  SNW1  ZC3H14  PSMC1  APEX1  PABPC1L  SAMHD1  NKAP  ZC3H12B  RBBP7  ESRP2  ELOB  KNOP1  DNAJC17  EIF3J  HNRNPUL1  DNAJC2  EIF3A  GTPBP4  BCCIP  RPL28  C1QBP  LRRC59  EFTUD2  PUS3  CCDC86  EIF4G2  PRPF40B  EIF2B1  DDX55  KRR1  SRSF9  PRPF4B  CEBPZ  MRPL37  RO60  RPF1  PRDX1  POLR1G  HEATR1  YLPM1  SLIRP  ALDH6A1  FAM98A  MRPS14  TCP1  EXOSC8  PAIP2  TARDBP  TRIM25  MTIF3  GTF3A  MTERF4  RPL5  HNRNPA2B1  DDX54  TSFM  EXOSC9  ZNFX1  XPO5  CNOT1  MRPS7  MIF4GD  RALY  EIF2S2  TRAP1  DGCR8  FXR2  KRI1  RPL36  EIF3G  SHFL  C12orf65  HABP4  SYNE1  RFTN1  THOC6  MYBBP1A  MYH10  PPHLN1  GNL2  TUT4  PRPF38A  SRPK2  MTO1  MDM2  NTPCR  IGF2BP3  STXBP1  RPL35  SSB  YARS2  SNRPF  DHX38  NOL3  CLTC  SLC16A3  URB1  EIF2D  ILF2  RPL32  CISD2  RPS3A  NHP2  UTP23  A1CF  EIF3M  PDCD4  NOCT  SRFBP1  RPP38  SRP19  CARHSP1  CAST  HNRNPU  RPL30  EEF1A1  EIF4A2  EIF5B  CCAR2  SON  RAVER2  PEF1  MRPS18C  THOC7  GNL3  TASOR  APEH  OTUD4  NSA2  GFM2  PSIP1  NEMF  NUDT5  METTL3  RPL27A  HSP90B1  PPIB  MARS1  TRUB2  TSR1  SRRM2  CDC40  ZRSR2  RAMAC  PUSL1  HNRNPA3  CSDC2  GTPBP2  DCP2  NUDT4  CNP  RBM4B  RBM4  CTU2  CSTF3  TYMS  UBE2N  DALRD3  WDR6  DHFR2  SAMD4B  EDC3  NSUN7  PSTK  TDRKH  SHMT2  SRPRA  TBL3  RBM12B  SNRNP35  RPS27L  NKRF  RPS23  PTRH1  MCRS1  CPSF4L  TUBB4B  NANOS1  NOC2L  LONP1  PCBP2  RPL23A  ATXN2  POU5F1  SKIV2L  DXO  ATXN1L  NOL7  DHX16  WDR46  RPS28  RBM15B  DDX24  TAF15  MARF1  REXO4  RPS25  ACTN4  HBP1  SHMT1  CPSF1  NOP9  ZYX  EIF5A  CYFIP1  ELP5"
0.00753515211217653,30,109,2.28356641962621,"Endonuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0004519"," LAS1L  ELAC2  ERCC1  DNASE1L1  PNKP  SMG6  DIS3  KHNYN  APEX1  ZC3H12B  OGG1  ZRANB3  XRCC3  INTS11  ERN2  NEIL1  TATDN1  DCLRE1C  RPP38  TSEN2  EME1  RAG1  ENDOG  APEX2  MUS81  EDC3  EME2  DNASE1  FAN1  REXO4"
0.00865481130540137,96,524,1.52005337245347,"Catalytic activity, acting on a nucleic acid "," http://amigo.geneontology.org/amigo/term/GO:0140640"," RECQL  POLR2J  ELAC2  REV3L  ERCC1  DNASE1L1  TFB1M  MTREX  POLR2B  DDX20  SMG6  BUD23  HLTF  TRNT1  DDX43  DIS3  RAD54L  DHX32  POLR2E  TRMT2A  DDX17  POLR3H  KHNYN  APEX1  SAMHD1  ZC3H12B  POLR2C  MPG  ERCC2  PLD3  POLR2I  RECQL5  PUS3  DDX55  RFC5  OGG1  MSH6  POLR1G  ZRANB3  TRMT13  DDX54  EXOSC9  ZNFX1  CNOT1  XRCC3  INTS11  ERN2  TUT4  REV1  METTL5  YARS2  NEIL1  POLG  DHX38  PTRH2  TATDN1  TRPT1  NOCT  DCLRE1C  RPP38  TSEN2  EIF4A2  ALKBH4  RBBP4  RFC4  PRIMPOL  METTL3  RAG1  PLD4  MARS1  ENDOG  THAP9  APEX2  PUSL1  HARS1  POLH  TRMT61B  POLR1C  RAD9A  MUS81  DCP2  TRMT112  POLR2L  DALRD3  EDC3  PSTK  PTRH1  ERI2  DNASE1  SKIV2L  DXO  DHX16  GATC  DDX24  FAN1  RUVBL1"
0.0104558224061365,42,183,1.9042198668577,"Nuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0004518"," LAS1L  ELAC2  ERCC1  DNASE1L1  ASTE1  PNKP  SMG6  DIS3  KHNYN  APEX1  SAMHD1  ZC3H12B  PLD3  OGG1  ZRANB3  EXOSC9  CNOT1  XRCC3  INTS11  ERN2  NEIL1  POLG  TATDN1  NOCT  DCLRE1C  RPP38  TSEN2  EME1  RAG1  PLD4  ENDOG  APEX2  RAD9A  MUS81  DCP2  EDC3  ERI2  EME2  DNASE1  DXO  FAN1  REXO4"
0.0222647891153075,141,859,1.36189880881782,"Transferase activity, transferring phosphorus-containing groups "," http://amigo.geneontology.org/amigo/term/GO:0016772"," SCYL3  POLR2J  PDK2  CDKL5  REV3L  VRK2  PNKP  POLR2B  EIF2AK2  CAMK2B  SPHK2  PRKCZ  CAMK2A  TRNT1  MAP3K13  FGFR1  ARAF  MOK  CPNE3  EIF2AK1  ITPKC  PGS1  CCNK  GNPTG  NANS  SRPK1  JAK2  POLR2E  POLR3H  CINP  BMX  STK24  POLR2C  NME3  PDGFRL  POLR2I  GSK3A  TESK1  GALK1  PRKAR1A  MAPK10  CCND1  CMAS  PRPF4B  CERT1  NEK4  STK16  STK25  PRKD3  POLR1G  STK11  NEK9  MASTL  PIK3CA  ACVR2A  PANK2  WNK4  IPPK  PKMYT1  UCK1  RAF1  ERN2  TUT4  SRPK2  CDK4  REV1  KHK  BMP2K  GIT2  MAP3K12  POLG  MINK1  CSNK1D  ERBB2  SCYL1  NME7  PI4KB  DCAF1  SKP2  ATM  TKFC  CHEK1  TRPT1  CRIM1  PIGF  NADK2  DGKE  PHKG2  GALK2  BRAF  PSKH1  NPR2  HIPK4  PKN3  HK3  SQSTM1  PCYT1A  JAK1  SNRK  PRIMPOL  CGAS  STK17A  PHKG1  NUDT5  ILK  MAPK7  PLK1  ULK4  PBK  PKIG  MAP2K1  SIK2  POLH  ALK  POLR1C  PIK3CD  NME6  GMPPB  PLK3  CTU2  POLR2L  PSTK  MAP3K15  NME9  AATK  PCYT2  CERKL  TRRAP  NEK5  IRAK4  CDC42BPB  FICD  MAP3K3  CKMT1B  PKLR  STRADA  AKT3  STKLD1  MAP4K1  EPHA1  ADCK5"
0.0246838983362425,33,139,1.96978139362001,"Translation regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0045182"," EIF2AK2  EIF2AK1  GTPBP1  ELOB  EIF3J  EIF3A  C1QBP  EIF4G2  EIF2B1  PAIP2  MTIF3  TSFM  MIF4GD  EIF2S2  FXR2  EIF3G  C12orf65  IGF2BP3  EIF2D  EIF3M  EEF1A1  EIF4A2  EIF5B  GFM2  ZNF540  GTPBP2  TYMS  SAMD4B  SHMT2  RPS27L  NANOS1  SHMT1  EIF5A"
0.0260886417069594,16,49,2.70921077267218,"Deoxyribonuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0004536"," ERCC1  DNASE1L1  APEX1  PLD3  ZRANB3  XRCC3  TATDN1  DCLRE1C  RAG1  PLD4  ENDOG  APEX2  RAD9A  MUS81  DNASE1  FAN1"
0.0260886417069594,28,112,2.07423949782714,"Translation regulator activity, nucleic acid binding "," http://amigo.geneontology.org/amigo/term/GO:0090079"," EIF2AK1  GTPBP1  ELOB  EIF3J  EIF3A  C1QBP  EIF4G2  EIF2B1  PAIP2  MTIF3  TSFM  MIF4GD  EIF2S2  EIF3G  C12orf65  EIF2D  EIF3M  EEF1A1  EIF4A2  EIF5B  GFM2  ZNF540  GTPBP2  TYMS  SHMT2  RPS27L  SHMT1  EIF5A"
0.0295731958275957,53,267,1.64696169864926,"MRNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003729"," TPR  RBMS2  PUM3  PPIE  PCBP4  KHNYN  PABPC1L  ZC3H12B  ESRP2  EIF3A  C1QBP  EIF4G2  EXOSC8  PAIP2  TARDBP  RPL5  HNRNPA2B1  EXOSC9  XPO5  MRPS7  EIF2S2  FXR2  SHFL  MYH10  IGF2BP3  RPL35  SSB  RPS3A  UTP23  A1CF  NOCT  CARHSP1  HNRNPU  GNL3  METTL3  SRRM2  HNRNPA3  CSDC2  RBM4B  RBM4  CSTF3  TYMS  DHFR2  SAMD4B  EDC3  SHMT2  SNRNP35  NANOS1  PCBP2  DXO  MARF1  SHMT1  CPSF1"
0.0625061951515864,12,34,2.92833811457949,"Endodeoxyribonuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0004520"," ERCC1  DNASE1L1  APEX1  ZRANB3  XRCC3  TATDN1  DCLRE1C  RAG1  ENDOG  MUS81  DNASE1  FAN1"
