"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00107720407595284,160,906,1.4652464443812,"RNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006396"," LAS1L  POLR2J  GCFC2  PAF1  ELAC2  TSR3  TFB1M  MTREX  POLR2B  DDX20  WDR3  RPL31  BUD23  TRNT1  SART3  RBMS2  THOC1  DIS3  PPIE  REST  RTRAF  PCBP4  ESR1  SRPK1  HNRNPH3  POLR2E  TRMT2A  TFIP11  DDX17  ZMAT5  SNW1  ZC3H14  PABPC1L  RPRD1B  PQBP1  INTS6  POLR2C  ESRP2  ERCC2  POLR2I  HNRNPUL1  GTPBP4  RPL28  C1QBP  EFTUD2  ELP4  PUS3  PRPF40B  KRR1  SRSF9  PRPF4B  RPF1  HEATR1  NRDE2  WDR55  EXOSC8  TARDBP  MTERF4  RPL5  TRMT13  HNRNPA2B1  ECD  DDX54  EXOSC9  RALY  INTS11  DGCR8  OSGEPL1  FXR2  KRI1  RPL36  HABP4  THOC6  PRMT7  ERN2  CCNH  TUT4  PRPF38A  SRPK2  MTO1  TEX10  RPL35  METTL5  SSB  INTS12  SNRPF  DHX38  NOL3  NCOR1  TXNL4A  URB1  RPL32  NHP2  UTP23  A1CF  INTS4  TRPT1  PIH1D2  SRFBP1  RPP38  SREK1IP1  HNRNPU  TSEN2  RPL30  TSR2  CCAR2  SON  RAVER2  SCNM1  THOC7  PRMT9  NSA2  INTS8  PSIP1  PRPF18  METTL3  RPL27A  LEO1  TRUB2  TSR1  SRRM2  CDC40  MAP2K1  ZRSR2  RAMAC  PUSL1  HNRNPA3  TRMT61B  CSDC2  TRMT112  RBM4B  RBM4  CTU2  CSTF3  POLR2L  DALRD3  TBL3  RBM12B  SNRNP35  PRPF39  AHNAK2  CPSF4L  ERI2  LAGE3  PCBP2  RPL23A  CTR9  NBDY  UBA52  DHX16  WDR46  RPS28  RBM15B  ZNHIT3  REXO4  RPS25  HSF1  CPSF1  NOP9  ELP5"
0.00107720407595284,89,432,1.70932699357977,"Ribonucleoprotein complex biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0022613"," LAS1L  GCFC2  TSR3  TFB1M  MTREX  DDX20  WDR3  RPL31  BUD23  NLE1  SART3  DIS3  SRPK1  DDX17  EIF3J  ERCC2  EIF3A  GTPBP4  RPL28  NUP88  C1QBP  KRR1  SRSF9  RPF1  HEATR1  WDR55  EXOSC8  GTF3A  MTERF4  RPL5  DDX54  EXOSC9  MRPS7  EIF2S2  KRI1  RPL36  EIF3G  TRAF7  MYBBP1A  PRMT7  GNL2  SRPK2  TEX10  RPL35  METTL5  SNRPF  NOL3  TXNL4A  URB1  EIF2D  RPL32  NHP2  UTP23  EIF3M  ATM  LTO1  PIH1D2  SRFBP1  RPP38  RPL30  MALSU1  TSR2  ABCE1  NSA2  PSIP1  PRPF18  RPL27A  TSR1  ZRSR2  RAMAC  RIOX2  TRMT61B  TRMT112  RBIS  TBL3  RPS27L  PRPF39  NOC2L  ERI2  RPL23A  UBA52  WDR46  RPS28  MPV17L2  ZNHIT3  REXO4  RPS25  RUVBL1  NOP9"
0.00311100109703248,15,32,3.88919905842588,"Negative regulation of double-strand break repair "," http://amigo.geneontology.org/amigo/term/GO:2000780"," TP53BP1  RIF1  TFIP11  RECQL5  OGG1  MAD2L2  CYREN  AUNIP  CGAS  RNF169  OTUB1  FANCB  PARPBP  OTUB2  HSF1"
0.00392265318712127,35,128,2.26869945074843,"Negative regulation of DNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051053"," POLR2J  ERCC1  POLR2B  FOXP3  TP53BP1  SMG6  THOC1  RIF1  POLR2E  TFIP11  ACD  POLR2C  NBN  POLR2I  DNAJC2  RECQL5  OGG1  MSH6  MAD2L2  ZRANB3  CYREN  AUNIP  ATM  HNRNPU  CGAS  RNF169  OTUB1  DCP2  POLR2L  FANCB  PARPBP  MCRS1  OTUB2  HSF1  TINF2"
0.00451076158472124,66,313,1.74951829848679,"Ribosome biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0042254"," LAS1L  TSR3  TFB1M  MTREX  WDR3  RPL31  BUD23  NLE1  DIS3  DDX17  ERCC2  GTPBP4  RPL28  NUP88  C1QBP  KRR1  RPF1  HEATR1  WDR55  EXOSC8  GTF3A  MTERF4  RPL5  DDX54  EXOSC9  MRPS7  KRI1  RPL36  TRAF7  MYBBP1A  GNL2  TEX10  RPL35  METTL5  URB1  RPL32  NHP2  UTP23  LTO1  PIH1D2  SRFBP1  RPP38  RPL30  MALSU1  TSR2  ABCE1  NSA2  RPL27A  TSR1  RIOX2  TRMT61B  TRMT112  RBIS  TBL3  RPS27L  NOC2L  ERI2  RPL23A  UBA52  WDR46  RPS28  MPV17L2  ZNHIT3  REXO4  RPS25  NOP9"
0.00451076158472124,15,34,3.66042264322436,"Negative regulation of DNA repair "," http://amigo.geneontology.org/amigo/term/GO:0045738"," TP53BP1  RIF1  TFIP11  RECQL5  OGG1  MAD2L2  CYREN  AUNIP  CGAS  RNF169  OTUB1  FANCB  PARPBP  OTUB2  HSF1"
0.00547189479330756,148,865,1.41959512452447,"DNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006259"," POLDIP2  RECQL  POLR2J  KMT2E  REV3L  ERCC1  DNASE1L1  RTF2  GLRX2  PNKP  POLR2B  FOXP3  TP53BP1  SMG6  RAD18  BAZ2A  UBE2A  THOC1  RIF1  CDC14B  PPIE  RAD54L  POLR2E  TFIP11  TELO2  APEX1  CINP  GINS1  SAMHD1  ACD  POLR2C  SMPD3  MPG  STUB1  NBN  ERCC2  DOT1L  PLD3  POLR2I  FZR1  GSK3A  DNAJC2  BCCIP  RECQL5  FOXM1  RFC5  LOX  OGG1  WDR48  FANCL  ORC4  MSH6  MAD2L2  YLPM1  TCP1  TRIM25  PIK3CA  ZRANB3  HNRNPA2B1  CYREN  XRCC3  AUNIP  RPAIN  GINS2  PSMC3IP  PRMT7  SLF1  CCNH  RNF138  SRPK2  REV1  ACTL6A  FGF2  NEIL1  POLG  FANCI  TICRR  FANCD2  DCAF1  NHP2  TATDN1  CIZ1  ATM  CHEK1  LTO1  DCLRE1C  HNRNPU  EME1  BACH1  DONSON  ALKBH4  LRWD1  FAAP20  ABRAXAS1  RFC4  GNL3  OTUD4  PRIMPOL  CGAS  RAD21  RAG1  PLD4  RNF169  STAT6  ENDOG  CHAF1A  OTUB1  CTNNB1  THAP9  APEX2  INO80E  USP47  POLH  ESCO2  RAD9A  MUS81  DCP2  KAT5  RAG2  CCNE2  CNTD1  TYMS  POLR2L  UBE2N  RAD23A  FANCB  TDRKH  PARPBP  FANCA  MCRS1  LONP1  TRRAP  ERI2  EME2  ANKRD28  DNASE1  RNF212B  UBA52  STPG4  TFPT  SMARCB1  FAN1  OTUB2  REXO4  MRNIP  HSF1  RUVBL1  TINF2"
0.00598528242050036,257,1659,1.28530331752037,"Cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0007049"," POLDIP2  KMT2E  PAF1  PAX6  CDKL5  PKD1  TTC19  CEP68  ERCC1  RTF2  NCAPH2  OFD1  TPR  TP53BP1  PPP2R5B  CAMK2A  NLE1  TSG101  PPP1R12B  JADE1  THOC1  DNM2  RIF1  MOK  CDC14B  SMARCD3  RAD54L  TXLNG  PPP1R13B  CCNK  PCBP4  CDC23  NUP188  EFHC1  SUN2  L3MBTL2  PSMC1  APEX1  CINP  GINS1  NINL  TUBB1  RPRD1B  STAG2  RBBP7  CENPT  ACD  SMPD3  TSC2  NUBP1  RBL2  CSPP1  NBN  GML  ERCC2  DOT1L  CCDC61  FZR1  TAF6  CREB3  LZTS2  GTPBP4  BCCIP  UBE2S  TRIM37  RECQL5  NUP88  PRKAR1A  NCAPG  CCND1  ANAPC15  GLI1  FOXM1  CDK2AP1  RFC5  CDCA3  PHC1  TPD52L1  CEP72  KIF20A  SKP1  SMC4  NEK4  HTRA2  MSH6  MAD2L2  STAG1  STK11  NEK9  NRDE2  MASTL  APAF1  TARDBP  ECD  HJURP  CNOT1  XRCC3  BECN1  AUNIP  PKMYT1  TUBA4A  AKAP9  PIMREG  PSMC3IP  VPS4A  MYH10  SLF1  E2F5  CCNH  CABLES1  CLOCK  DMTF1  RINT1  SRPK2  CDK4  MDM2  USP37  BORA  SPAG8  TUBB2A  NUMA1  TUBGCP4  CGREF1  CENPO  ACTR1A  MNS1  USP8  TMOD3  FGF2  SLC39A5  FANCI  TICRR  NCOR1  TOM1L1  CLTC  CSNK1D  ANAPC11  TBCD  TXNL4A  CARM1  JTB  ARL8A  FANCD2  CCNA2  SKP2  RASA1  PHIP  BIN3  NTMT1  ATM  CHEK1  PDCD4  NCAPD3  ADAM17  CENPU  POC5  SUV39H2  HNRNPU  TBRG1  CC2D1B  EME1  BACH1  APPL1  CCAR2  EPB41  SON  DONSON  NPR2  CXCR5  ALKBH4  PSMC2  RACGAP1  SYCE2  RBBP4  ABRAXAS1  AZI2  SPDYA  RFC4  PBRM1  TASOR  SEPTIN8  RAD21  OSGIN2  METTL3  CEP295  CEP57  BRD7  TAF10  MAPK7  ZSCAN21  NDEL1  PLK1  CHAF1A  KIFC2  CTNNB1  PBK  APEX2  AVEN  UBE2E1  USP47  NUDT6  TADA3  ESCO2  TPPP  SYCE1  NME6  MTBP  PPP1CA  RAD9A  MUS81  PLK3  ZWILCH  DDIT3  DCTN2  CCNE2  TUBB6  CDC26  CNTD1  RMDN1  TYMS  PIDD1  WDR6  RAD23A  GADD45GIP1  TDRKH  WBP2NL  RPS27L  FANCA  TUBB4B  CENPP  LIN54  SIAH1  EME2  SFI1  CEP290  CCNI2  PPME1  RNF212B  UBA52  CCPG1  STRADA  SMARCB1  NDE1  CNOT3  SDCCAG8  MARF1  SPC25  MYO19  PCGF2  CENATAC  LRP6  MRNIP  LLGL1  HSF1  RUVBL1  TINF2  PSME1"
0.00598528242050036,143,835,1.42091615899057,"Organelle assembly "," http://amigo.geneontology.org/amigo/term/GO:0070925"," FARP2  CDKL5  PKD1  FUZ  TBPL1  ZPBP  OFD1  TPR  SYNE2  ATG5  WIPI1  NLE1  TSG101  DNM2  CDC14B  OGFOD1  HPS4  ATP6V1D  NINL  TUBB1  STAG2  CENPT  CCDC113  NPRL3  CLUAP1  SPG11  SPAG1  CCDC61  TESK1  LZTS2  BCCIP  TRIM37  C1QBP  B9D1  PRKAR1A  IFT20  RAB23  CEP72  RAB3GAP1  RO60  STAG1  IFT46  DYNC2I2  BBOF1  MTERF4  RPL5  CNOT1  MRPS7  TBC1D20  BECN1  ATG14  TUBA4A  VIL1  AKAP9  LAMA5  TRAF7  VPS4A  FHOD3  DZIP1  AVIL  TMOD1  NUMA1  TUBGCP4  IFT172  RAB1A  ACTR1A  FAM149B1  MNS1  TMOD3  TCHP  NCOR1  CSNK1D  WDR45B  RAB5A  TBC1D7  TRAPPC14  NOCT  SCLT1  HNRNPU  DNAAF1  SPAG17  SAXO1  VPS37A  ZDHHC12  SHANK1  RACGAP1  CCDC78  TMOD4  ABRAXAS1  LMOD3  TASOR  CEP295  CEP57  C16orf71  PLK1  CCDC103  KIFC2  TEKT1  ATG16L2  STX18  ARL13B  FEZ2  RSPH9  DCTN2  RABEP2  EDC3  EXOC3  CCDC66  ATG9B  EXOC7  CAV3  WBP2NL  RPS27L  RPS23  KIF24  CFAP73  IFT140  DNAH17  RILPL1  TUBB4B  CIBAR1  ATG7  NRAP  SFI1  RPL23A  HYLS1  CEP290  NBDY  ATXN2  TCTN1  CFAP44  BBIP1  RPS28  IRGM  MPV17L2  DNAAF4  NDE1  SDCCAG8  MYH11  SMCR8  SMURF1  FLII  CCDC39"
0.0071199761412155,59,278,1.76086518520577,"DNA recombination "," http://amigo.geneontology.org/amigo/term/GO:0006310"," RECQL  POLR2J  REV3L  ERCC1  POLR2B  FOXP3  TP53BP1  THOC1  RIF1  RAD54L  POLR2E  APEX1  SAMHD1  ACD  POLR2C  NBN  ERCC2  POLR2I  RECQL5  WDR48  MSH6  MAD2L2  ZRANB3  XRCC3  AUNIP  RPAIN  GINS2  PSMC3IP  RNF138  ACTL6A  FANCD2  DCAF1  ATM  CHEK1  DCLRE1C  EME1  CGAS  RAD21  RAG1  STAT6  ENDOG  THAP9  APEX2  INO80E  MUS81  RAG2  CNTD1  POLR2L  UBE2N  FANCB  PARPBP  MCRS1  EME2  RNF212B  TFPT  FAN1  MRNIP  RUVBL1  TINF2"
