"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.17110347756128e-05,167,1256,1.52515509001386,"Catalytic complex "," http://amigo.geneontology.org/amigo/term/GO:1902494"," DPM1  MED24  RNF14  METTL1  CUL7  PPP1R3F  PSME4  DERL2  BCS1L  EXOSC7  PAFAH1B3  PSMC5  KLHL42  TXNL1  TOX4  TBL1Y  SF3A1  POLR2F  ERH  SEL1L2  CRNKL1  RNMT  PHKB  CYB5B  FBXO31  RNF40  DECR1  SF3A2  POLR2I  ODAD1  TAF6  FBXO24  ZNHIT1  FBXL15  CUL2  ENO3  DDX5  EFTUD2  PHF12  NDUFC1  KLHL2  FOXRED1  PDHX  CDKN1B  GTF2H3  SPSB2  FBXO9  BRD8  POLR3G  CISH  SPCS1  KANSL3  AUP1  HTRA2  CNPPD1  DCAF17  WDR77  FBXO2  MAD2L2  UCHL5  FBXL5  RPN2  NDUFB3  PTPA  EXOSC8  HNRNPA2B1  DNAI1  SNRPD2  BECN1  ORMDL1  ANAPC13  DDA1  PSME3  NDUFA2  POLR3F  FBXO44  DYDC2  ZFC3H1  GNAT2  STT3A  CDK4  PIGC  SUCLA2  KAT7  DERL1  PPIL1  NDUFAF1  RTF1  DUOX1  PIK3C2G  CUL4A  DHX38  NCOR1  TP53  ANAPC11  SAE1  DCAF6  DTL  ATG3  ATG12  NDUFB11  NDUFB9  POLE3  PFKM  CWC27  GTF2E1  MED7  NSMCE2  BABAM2  CUL4B  DNAH3  NDUFS2  PSMC2  KLHL21  WDR26  YY1AP1  RCHY1  PBRM1  WDR82  NAA15  UQCRQ  CDK5  ANAPC16  LEO1  GNGT2  CCDC103  DDB1  INO80E  CHD3  DYDC1  POLR1C  ENC1  JMJD1C  CLP1  PPP1CA  MUS81  TADA2B  FBXO45  GNG5  DCTN2  ATG13  CCNE2  PAAF1  SHARPIN  PRKRA  NAA38  PRKN  UBE2L3  MORF4L1  POLR3C  ENO4  SUPT3H  EME2  PRIM1  UQCC3  PSMB8  PPP1R10  PPP1R3E  PSMB9  IKBKG  TFPT  PRPF31  DCAF11  RUVBL1  NDUFS3  CTDNEP1  DCAF15"
0.000366236465494119,181,1472,1.41045080034249,"Mitochondrion "," http://amigo.geneontology.org/amigo/term/GO:0005739"," STPG1  BAD  SARM1  LIG3  ABHD5  AGPS  PNKP  PTCD2  MRPL43  HAGH  KARS1  IDH3G  ACADVL  MRPS34  BCS1L  SLC25A40  TP73  SP140  HSP90AA1  HADHA  SLC8B1  AARS1  CRAT  HSCB  TIMM9  AMMECR1  TAZ  CYB5B  CMC2  EARS2  DECR1  GDAP1  ETHE1  DNM1  TWNK  SFXN3  GIT1  SLC25A11  MAPK10  NDUFC1  FOXRED1  PDHX  COQ5  ACSS3  MRPL51  ALDH5A1  HARS2  BRD8  MRPS27  CERT1  HEMK1  HTRA2  PECR  TRAK2  ATP5PB  APH1A  DARS2  NDUFB3  COQ6  ACAT2  MRPS2  NLN  COQ8B  CHPF  MRPS7  GTF3C4  SLC25A23  ROMO1  IRF3  BECN1  ABHD8  PNKD  MPST  TST  BCL2L2  C12orf65  ACSS2  COX4I1  ABCB7  NDUFA2  ERAL1  DAP3  SCO1  DGLUCY  SPIRE1  RSAD2  CMPK2  CARS2  SDS  USP15  ALDH1L2  SUCLA2  YME1L1  NDUFAF1  HADHB  PARP9  MMAB  TMBIM6  MAP1LC3B  PTRH2  TP53  MPC2  MRPL9  C1orf43  RPS27A  NDUFB11  NDUFB9  MRRF  SLC25A25  GLUD1  FEZ1  OXSM  QTRT2  GUF1  ATP5PF  AK9  NDUFAF6  CDC25C  NDUFS2  SQSTM1  NCSTN  WDR26  PUS10  MAIP1  AIM2  CCDC51  SLC25A46  PRIMPOL  GFM2  UQCRQ  FUNDC2  ISCA2  BAG5  IDH3A  GLYCTK  ATP5ME  BTD  PUSL1  HARS1  NAIF1  ETFDH  PTEN  MRPL13  MTX1  MICOS10  MRPL11  MRPS22  HIGD2B  ATG13  DNAJC30  FAM210A  SLC25A22  NDUFAF3  BOLA1  NSUN3  DHFR2  PTPN11  PACS2  C14orf119  FAHD1  MRPL14  COA4  PLA2G6  TXNRD2  TMEM186  MAFF  PRKN  TMLHE  YRDC  FAM72A  SLC22A4  HIBCH  GPN1  UQCC3  CEBPZOS  MRPS18B  DHFR  NFS1  SMIM20  SURF1  NDUFS3"
0.000730514958955816,29,131,2.53929921829615,"Chromosome, telomeric region "," http://amigo.geneontology.org/amigo/term/GO:0000781"," SMG6  TOX4  NBN  DOT1L  ORC4  DCLRE1B  CBX3  HNRNPA2B1  WRNIP1  THOC6  RPA1  H3-3B  TERF2  DYDC2  WRAP53  NSMCE2  THOC7  WDR82  MCM7  TERF2IP  DDB1  DYDC1  PPP1CA  CTC1  CHEK2  PPP1R10  NLRP2  RAD17  SIRT2"
0.00074743829575643,51,301,1.94352824807384,"Chromosomal region "," http://amigo.geneontology.org/amigo/term/GO:0098687"," NCAPD2  SMG6  SMC1A  TOX4  CENPT  NBN  DOT1L  NUP98  ORC4  DCLRE1B  NUP43  CENPL  CBX3  HNRNPA2B1  WRNIP1  THOC6  RPA1  H3-3B  TERF2  DYDC2  KAT7  CENPO  WRAP53  ITGB3BP  NUF2  NCAPD3  NSMCE2  ZNF276  SGO2  THOC7  WDR82  ANAPC16  CENPN  MCM7  TERF2IP  MIS12  DDB1  SEPTIN2  CENPX  DYDC1  ESCO2  MTBP  PPP1CA  ZWILCH  DCTN2  CTC1  CHEK2  PPP1R10  NLRP2  RAD17  SIRT2"
0.000773389351335918,94,678,1.59032298718842,"Intracellular protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140535"," DPM1  DBF4  MED24  RNF14  CUL7  TRAPPC3  PSME4  DERL2  PSMC5  KLHL42  TXNL1  POLR2F  SEL1L2  RNMT  FBXO31  RNF40  POLR2I  TAF6  FBXO24  FBXL15  CUL2  KLHL2  CDKN1B  GTF2H3  SPSB2  FBXO9  BRD8  POLR3G  TRAPPC13  KANSL3  AUP1  DCAF17  RAP1A  FBXO2  MAD2L2  UCHL5  FBXL5  PTPA  ANAPC13  DDA1  PSME3  POLR3F  FBXO44  KAT7  DERL1  RTF1  CUL4A  TP53  ANAPC11  DCAF6  DTL  ATG3  POLE3  XRCC4  GTF2E1  CNOT8  MED7  BABAM2  CUL4B  PSMC2  KLHL21  WDR26  RCHY1  NAA15  ANAPC16  LEO1  TRAPPC2L  DDB1  TRAPPC1  NCBP2L  POLR1C  ENC1  TADA2B  TRAPPC3L  FBXO45  PAAF1  SLC38A9  SHARPIN  NAA38  PRKN  UBE2L3  MORF4L1  POLR3C  PRKAR1B  SUPT3H  PRIM1  PSMB8  CSNK2B  PSMB9  IKBKG  DCAF11  RUVBL1  DCAF15  ELP5"
0.00128334441313644,64,421,1.74375334967605,"Mitochondrial inner membrane "," http://amigo.geneontology.org/amigo/term/GO:0005743"," MRPL43  ACADVL  MRPS34  BCS1L  SLC25A40  HADHA  SLC8B1  CRAT  TIMM9  TAZ  SFXN3  SLC25A11  NDUFC1  FOXRED1  COQ5  MRPL51  MRPS27  ATP5PB  NDUFB3  COQ6  MRPS2  COQ8B  MRPS7  SLC25A23  ROMO1  COX4I1  ABCB7  NDUFA2  ERAL1  DAP3  SCO1  RSAD2  YME1L1  NDUFAF1  HADHB  MPC2  MRPL9  NDUFB11  NDUFB9  SLC25A25  GUF1  ATP5PF  NDUFAF6  NDUFS2  MAIP1  CCDC51  UQCRQ  ATP5ME  ETFDH  MRPL13  MTX1  MICOS10  MRPL11  MRPS22  DNAJC30  SLC25A22  NDUFAF3  DHFR2  MRPL14  UQCC3  MRPS18B  SMIM20  SURF1  NDUFS3"
0.00206285681187145,94,700,1.54034140759107,"Transferase complex "," http://amigo.geneontology.org/amigo/term/GO:1990234"," DPM1  MED24  RNF14  METTL1  CUL7  DERL2  KLHL42  POLR2F  ERH  SEL1L2  RNMT  PHKB  FBXO31  RNF40  POLR2I  TAF6  FBXO24  FBXL15  CUL2  KLHL2  CDKN1B  GTF2H3  SPSB2  FBXO9  BRD8  POLR3G  CISH  KANSL3  AUP1  CNPPD1  DCAF17  WDR77  FBXO2  MAD2L2  FBXL5  RPN2  SNRPD2  BECN1  ORMDL1  ANAPC13  DDA1  POLR3F  FBXO44  DYDC2  STT3A  CDK4  PIGC  KAT7  DERL1  RTF1  PIK3C2G  CUL4A  TP53  ANAPC11  DCAF6  DTL  ATG3  ATG12  POLE3  PFKM  GTF2E1  MED7  NSMCE2  BABAM2  CUL4B  KLHL21  WDR26  RCHY1  WDR82  NAA15  CDK5  ANAPC16  LEO1  DDB1  DYDC1  POLR1C  ENC1  TADA2B  FBXO45  ATG13  CCNE2  SHARPIN  NAA38  PRKN  UBE2L3  MORF4L1  POLR3C  SUPT3H  PRIM1  IKBKG  PRPF31  DCAF11  RUVBL1  DCAF15"
0.00214804311546079,45,270,1.9117712505563,"Ubiquitin ligase complex "," http://amigo.geneontology.org/amigo/term/GO:0000151"," MED24  RNF14  CUL7  DERL2  KLHL42  SEL1L2  FBXO31  RNF40  FBXO24  FBXL15  CUL2  KLHL2  CDKN1B  SPSB2  FBXO9  AUP1  DCAF17  FBXO2  MAD2L2  FBXL5  ANAPC13  DDA1  FBXO44  DERL1  CUL4A  ANAPC11  DCAF6  DTL  ATG3  MED7  BABAM2  CUL4B  KLHL21  WDR26  RCHY1  ANAPC16  DDB1  ENC1  FBXO45  SHARPIN  PRKN  UBE2L3  IKBKG  DCAF11  DCAF15"
0.00561173580276878,62,429,1.65775968579707,"Mitochondrial matrix "," http://amigo.geneontology.org/amigo/term/GO:0005759"," MRPL43  HAGH  KARS1  IDH3G  ACADVL  MRPS34  HADHA  EARS2  DECR1  ETHE1  TWNK  PDHX  COQ5  ACSS3  MRPL51  ALDH5A1  HARS2  MRPS27  ATP5PB  DARS2  MRPS2  CHPF  MRPS7  MPST  TST  C12orf65  ACSS2  ERAL1  DAP3  DGLUCY  CARS2  ALDH1L2  SUCLA2  NDUFAF1  HADHB  MMAB  TP53  MRPL9  MRRF  GLUD1  GUF1  NDUFS2  MAIP1  PRIMPOL  GFM2  ISCA2  IDH3A  BTD  ETFDH  MRPL13  MRPL11  MRPS22  NSUN3  DHFR2  FAHD1  MRPL14  TXNRD2  TMLHE  HIBCH  MRPS18B  NFS1  NDUFS3"
0.00668121530755882,67,478,1.60780762076074,"Organelle inner membrane "," http://amigo.geneontology.org/amigo/term/GO:0019866"," MRPL43  ACADVL  MRPS34  BCS1L  SLC25A40  HADHA  SLC8B1  CRAT  TIMM9  TAZ  NUTF2  SFXN3  SLC25A11  NDUFC1  FOXRED1  COQ5  MRPL51  MRPS27  ATP5PB  NDUFB3  COQ6  MRPS2  CBX3  COQ8B  MRPS7  SLC25A23  ROMO1  COX4I1  ABCB7  NDUFA2  ERAL1  DAP3  SCO1  RSAD2  YME1L1  NDUFAF1  HADHB  MPC2  MRPL9  NDUFB11  NDUFB9  SLC25A25  GUF1  ATP5PF  NDUFAF6  NDUFS2  MAIP1  CCDC51  UQCRQ  ATP5ME  ETFDH  MRPL13  MTX1  MICOS10  MRPL11  MRPS22  DNAJC30  SLC25A22  ARL6IP6  NDUFAF3  DHFR2  MRPL14  UQCC3  MRPS18B  SMIM20  SURF1  NDUFS3"
