"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
8.82782178905213e-17,260,906,1.72055260040453,"RNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006396"," KDM1A  PAF1  RPUSD1  TSR3  UTP18  STRAP  NSUN2  METTL1  MTREX  POLR2B  PTCD2  RRP12  MRTO4  SNRNP40  RPL18  SUGP2  DDX20  WDR3  KARS1  ELP1  JMJD6  BUD23  TRNT1  EXOSC7  SNRPA  DIS3  NUFIP1  PPIE  WBP11  DIMT1  NOP14  RPL6  ESF1  PCBP4  AARS1  OSGEP  HNRNPH3  TRMT2A  SF3A1  PES1  POLR2F  ZMAT5  ALKBH1  ACIN1  CSTF1  CRNKL1  RPRD1B  METTL4  RNMT  USB1  RNF40  DTWD1  INTS9  POP1  PIH1D1  SF3A2  TRMT1  RPS16  POLR2I  DDX49  SUGP1  BUD31  LSM5  CPEB3  FTSJ3  DDX5  EFTUD2  SUPT6H  ELP4  PUS3  NUP98  PRPF40B  GTF2H3  SRSF9  IK  DROSHA  BRIX1  PPWD1  NCBP2  RRP9  SF3B6  SRSF7  RPL22  WDR77  SRSF11  EBNA1BP2  FASTKD2  CPSF3  FCF1  WBP4  EXOSC8  TRMT1L  TRMT13  HNRNPA2B1  ECD  DDX54  WDR83  METTL8  MOCS3  MPHOSPH10  RIOK1  RNF113A  SNRPD2  SYMPK  SBDS  HNRNPH2  INTS11  FXR2  SAFB2  GTPBP3  LSM7  THOC6  RRP8  PRMT7  ZFC3H1  THUMPD3  ANKRD16  PRPF38A  ELP2  PAN2  HNRNPA1  IL6  IMP4  C9orf78  PRPF4  NCBP1  RPL35  PPIL1  TGS1  CIR1  WDR12  INTS14  INTS12  TARBP2  TMBIM6  DHX38  TXNL4B  NCOR1  TP53  ZNF473  PRCC  RRNAD1  INTS7  TRMT10A  FARS2  NONO  RPL7  UTP23  PDCD11  CELF1  TRPT1  CWC15  PIH1D2  QTRT2  KIN  GEMIN6  HNRNPDL  SREK1IP1  CWC27  DPH3  TRMT44  NIFK  RNF20  SON  CELF3  WDR4  RRP1B  DEDD2  SAFB  SRSF2  SNRNP25  ELAVL4  NOL9  TYW3  TFB2M  PUS10  TYW5  HELQ  THOC7  RPL9  U2SURP  POLR2H  SLBP  UTP15  NSA2  SLU7  RP9  HNRNPK  RPUSD4  CPSF2  LARP6  RPL27A  LEO1  TRUB2  TSR1  CDC40  LCMT2  USP39  MAP2K1  METTL15  RAMAC  PUSL1  LSM3  NCBP2L  EXOSC1  MRM3  CLP1  TRMT112  CTU2  RPL4  LARP7  RSRC1  LSM1  ZBTB8OS  RPLP2  POLR2L  IMP3  DALRD3  NSUN3  RPP25  PRKRA  SAGE1  NOP10  TSEN54  YBEY  RBM10  ADAT2  SF3B3  SUPT5H  ERI2  RPL12  NOL8  DDX42  UBL5  TYW1  NELFE  METTL6  TSN  WDR46  HSPA1A  PPIL3  NSUN6  PRKDC  FDXACB1  CLK2  CT45A10  GTF2H5  TSEN34  PARN  PRPF31  REXO4  RPS25  RPL7A  HSF1  BOP1  NOP9  GTF2H1  NOC4L  ELP5  DDX51"
4.09245541312164e-15,244,865,1.69120604738029,"DNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006259"," RAD52  POLDIP2  KDM1A  RECQL  LIG3  DBF4  SPRTN  BRCA1  DNASE1L1  MRE11  PNKP  PARP3  TDP1  POLR2B  ERCC8  FOXP3  PMS1  NTHL1  TP53BP1  PSME4  UFD1  SMG6  TRIP13  SMC1A  MCM2  TIPIN  MLH1  SIRT6  POLD3  FKBP6  TP73  HSP90AA1  PALB2  PPIE  ORC1  UIMC1  ORC6  CDC45  POLR2F  ALKBH1  APEX1  CINP  GINS1  METTL4  ACD  MPG  NBN  MCM4  DOT1L  PLD3  POLR2I  LIG1  DNAJC2  RPA3  BCCIP  RAD51C  RECQL5  SUPT6H  UBE2D3  CEP164  FOXM1  RAD51AP1  GTF2H3  TDP2  MSH3  RAD1  MORC1  HEMK1  WDR48  CCT4  ORC4  MAD2L2  UCHL5  DCLRE1B  TCP1  PTK2B  COPS5  ZRANB3  POLK  SHLD2  PMS2  HNRNPA2B1  USP45  MTRR  WRNIP1  KLHDC3  RNF113A  MGME1  XRCC3  ZBTB1  CHTF18  RPAIN  CHD1L  FAAP24  RPA1  PRMT7  TERF2  PCNA  IGHMBP2  SLF1  VRTN  SPIRE1  FBH1  ORC3  HNRNPA1  PKIB  CCT7  NUDT15  IL6  KAT7  IL10  NIBAN2  ASCC1  PARP9  ZGRF1  TDG  NABP2  CUL4A  PML  FTO  WRAP53  TP53  MAEL  DTL  RPS27A  COPS7B  GIN1  CDCA5  CCT6A  NONO  CETN2  HMBOX1  TATDN1  POLE3  CIZ1  ATM  CCT5  KIN  JMY  XRCC4  DDX4  TRIP12  XPC  EME1  MMS19  TDRD9  NSMCE2  BABAM2  CUL4B  DFFA  ANKLE1  HSF2BP  LMNA  UBQLN4  ALKBH4  LRWD1  HELQ  RCHY1  DTX3L  POLR2H  BAP1  GNL3  CASP3  PRIMPOL  PTTG1  KDM1B  WRN  COPS2  RAG1  MCM7  PCLAF  TERF2IP  STAT6  TK1  DDB1  THAP9  INO80E  DFFB  APLF  CENPX  GPS1  POLH  ESCO2  TEFM  MUS81  COMMD1  NMNAT1  LIG4  RAG2  CCNE2  SPHK1  CNTD1  POLE  POLR2L  SH2B1  PARP10  RMI1  CTC1  GGN  FANCB  SLX1B  GINS3  NOP10  FANCF  RUVBL2  CHEK2  FOXL2  PARPBP  BRCC3  MORF4L1  KDM4D  ISG15  MCRS1  FANCM  SLX4  HMGB1  LONP1  XRCC6  ERI2  EME2  PRIM1  WDHD1  DCLRE1A  SMG5  OOEP  TSN  DNASE1  ZSWIM7  MDC1  PPP1R10  EHMT2  PRKDC  GTF2H5  PARN  TFPT  UHRF1  RAD17  REXO4  TOP3A  HSF1  H2AW  RUVBL1  GTF2H1  BRME1"
4.09245541312164e-15,165,513,1.92836563378672,"DNA repair "," http://amigo.geneontology.org/amigo/term/GO:0006281"," RAD52  POLDIP2  KDM1A  RECQL  LIG3  SPRTN  BRCA1  MRE11  PNKP  PARP3  TDP1  POLR2B  ERCC8  PMS1  NTHL1  TP53BP1  PSME4  UFD1  TRIP13  SMC1A  MCM2  MLH1  SIRT6  POLD3  TP73  PALB2  PPIE  UIMC1  CDC45  POLR2F  ALKBH1  APEX1  CINP  ACD  MPG  NBN  MCM4  DOT1L  POLR2I  LIG1  RPA3  BCCIP  RAD51C  RECQL5  UBE2D3  CEP164  FOXM1  RAD51AP1  GTF2H3  TDP2  MSH3  RAD1  WDR48  MAD2L2  UCHL5  DCLRE1B  COPS5  ZRANB3  POLK  SHLD2  PMS2  USP45  WRNIP1  RNF113A  MGME1  XRCC3  ZBTB1  RPAIN  CHD1L  FAAP24  RPA1  TERF2  PCNA  IGHMBP2  SLF1  SPIRE1  FBH1  KAT7  ASCC1  PARP9  TDG  NABP2  CUL4A  PML  FTO  WRAP53  TP53  DTL  RPS27A  COPS7B  CDCA5  NONO  CETN2  ATM  KIN  JMY  XRCC4  TRIP12  XPC  EME1  MMS19  NSMCE2  BABAM2  CUL4B  ANKLE1  HSF2BP  UBQLN4  HELQ  RCHY1  DTX3L  POLR2H  BAP1  PRIMPOL  PTTG1  WRN  COPS2  MCM7  PCLAF  TERF2IP  DDB1  INO80E  APLF  CENPX  GPS1  POLH  ESCO2  MUS81  COMMD1  LIG4  POLE  POLR2L  PARP10  RMI1  GGN  FANCB  SLX1B  FANCF  RUVBL2  CHEK2  PARPBP  BRCC3  MORF4L1  KDM4D  ISG15  MCRS1  FANCM  SLX4  HMGB1  XRCC6  EME2  WDHD1  DCLRE1A  OOEP  ZSWIM7  MDC1  PRKDC  GTF2H5  TFPT  UHRF1  RAD17  HSF1  H2AW  RUVBL1  GTF2H1  BRME1"
4.09245541312164e-15,160,491,1.95371537642676,"NcRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0034660"," RPUSD1  TSR3  UTP18  NSUN2  METTL1  MTREX  RRP12  MRTO4  RPL18  WDR3  KARS1  ELP1  BUD23  TRNT1  EXOSC7  FKBP6  DIS3  WBP11  DIMT1  NOP14  RPL6  ESF1  AARS1  OSGEP  PES1  ALKBH1  METTL4  USB1  EARS2  DTWD1  INTS9  POP1  PIH1D1  TRMT1  RPS16  DDX49  AIMP2  FTSJ3  SEPSECS  ELP4  PUS3  HARS2  DROSHA  BRIX1  RRP9  RPL22  EBNA1BP2  DARS2  FCF1  EXOSC8  TRMT1L  TRMT13  HNRNPA2B1  DDX54  METTL8  MOCS3  MPHOSPH10  XPO5  RIOK1  RNF113A  SBDS  INTS11  GTPBP3  QRSL1  RRP8  THUMPD3  ANKRD16  YARS1  ELP2  CARS2  IL6  IMP4  RPL35  WDR12  INTS14  INTS12  TARBP2  WARS1  MAEL  RRNAD1  INTS7  TRMT10A  FARS2  RARS2  RPL7  UTP23  PDCD11  TRPT1  PIH1D2  QTRT2  DDX4  DPH3  TRMT44  NIFK  TDRD9  WDR4  RRP1B  DEDD2  NOL9  TYW3  TFB2M  PUS10  TYW5  HELQ  RPL9  AIMP1  UTP15  NSA2  RPUSD4  RPL27A  MARS1  TSR1  LCMT2  METTL15  PUSL1  HARS1  EXOSC1  MRM3  CLP1  TRMT112  CTU2  RPL4  LARP7  ZBTB8OS  RPLP2  IMP3  DALRD3  NSUN3  RPP25  EXD1  PSTK  PRKRA  SAGE1  NOP10  TSEN54  YBEY  ADAT2  ERI2  RPL12  NOL8  TYW1  METTL6  WDR46  NSUN6  PRKDC  FDXACB1  GATC  CT45A10  GTF2H5  TSEN34  PARN  HRAS  REXO4  RPS25  RPL7A  BOP1  NOP9  NOC4L  ELP5  DDX51"
2.86688726972884e-14,250,907,1.65255348991445,"Chromosome organization "," http://amigo.geneontology.org/amigo/term/GO:0051276"," KDM1A  RECQL  PAF1  MPND  ZNF207  NCAPD2  MBTD1  TACC3  MRE11  NCAPH2  BRD9  CENPQ  ARID4A  PNKP  PARP3  TPR  RSF1  ERCC8  FOXP3  ARID4B  HMG20B  STAG3  PSME4  SMG6  JMJD6  BUD23  TRIP13  SMC1A  MCM2  KDM5A  MLH1  SIRT6  POLD3  HSP90AA1  NDC80  PIBF1  CHMP5  UIMC1  ANAPC5  NUDC  KIF4A  KLHL22  ACIN1  APEX1  METTL4  CENPT  ACD  RNF40  RAB11A  NBN  MCM4  PIH1D1  DOT1L  DNAJC2  RPA3  ZNHIT1  TWNK  RAD51C  RECQL5  SUPT6H  NCAPG  GTF2H3  HCFC2  BRD8  IK  MSH3  KANSL3  CCT4  WRAP73  PHF13  ASH1L  MAD2L2  NSL1  DCLRE1B  UBN1  CENPL  TCP1  ENY2  COPS5  TEX14  NAA50  KIF18A  ZRANB3  NAA60  CBX3  HNRNPA2B1  CENPK  NFE2  WRNIP1  H2BC11  MAD2L1BP  XRCC3  PCID2  BECN1  ZBTB1  CHTF18  PSMG2  FOXA1  MAU2  CHMP1A  TUBG1  CHD1L  RRP8  RPA1  H3-3B  PRMT7  TERF2  PCNA  IGHMBP2  SLF1  MORC2  PPHLN1  FBH1  CDCA8  HNRNPA1  PKIB  CCT7  SETDB2  KAT7  NUMA1  CENPO  TDG  NABP2  SETD1B  CUL4A  HMG20A  PML  NCOR1  WRAP53  TP53  ANAPC11  P3H4  ITGB3BP  MAEL  NUF2  RPS27A  COPS7B  G3BP1  H2BC1  CDCA5  CCT6A  CETN2  HMBOX1  POLE3  ATM  EML3  HIRIP3  CCT5  NCAPD3  XPC  RNF20  ATAD2  NSMCE2  BABAM2  CUL4B  MCM3AP  SAFB  LMNA  ALKBH4  LRWD1  PRKAA2  RBBP4  HELQ  SGO2  DTX3L  BAP1  GNL3  PBRM1  H2AC1  PTTG1  CHMP4C  KDM1B  WRN  NUDT5  GFI1B  COPS2  RAG1  CENPN  MCM7  TERF2IP  MIS12  DDB1  ING5  INO80E  DFFB  CENPX  GPS1  CHD3  FOXA3  ESCO2  HDAC3  JMJD1C  HCFC1  TADA2B  LIG4  RAG2  DCTN2  CCNE2  BANF1  CDC26  RMDN1  PARP10  CTC1  H2BC4  SLX1B  NOP10  RUVBL2  SS18L1  KNTC1  H2BC21  H2BC13  BRCC3  MORF4L1  KDM4D  NAP1L3  TSPYL4  MCRS1  FANCM  CENPP  SLX4  FAM47E  HMGB1  SYCP2  XRCC6  MCMBP  H2BC12  PRIM1  HMGN5  DCLRE1A  SMG5  BAG6  CSNK2B  PPP1R10  H2BC15  BRD2  EHMT2  PRKDC  GTF2H5  H2BC14  H2BC17  PARN  H2BC9  UHRF1  H3C10  SIRT2  TOP3A  H2AW  RUVBL1  H2BU1  GTF2H1"
9.65218622795923e-14,136,408,1.99848802046988,"NcRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0034470"," RPUSD1  TSR3  UTP18  NSUN2  METTL1  MTREX  RRP12  MRTO4  RPL18  WDR3  KARS1  ELP1  BUD23  TRNT1  EXOSC7  DIS3  WBP11  DIMT1  NOP14  RPL6  ESF1  AARS1  OSGEP  PES1  ALKBH1  USB1  DTWD1  INTS9  POP1  PIH1D1  TRMT1  RPS16  DDX49  FTSJ3  ELP4  PUS3  DROSHA  BRIX1  RRP9  RPL22  EBNA1BP2  FCF1  EXOSC8  TRMT1L  TRMT13  HNRNPA2B1  DDX54  METTL8  MOCS3  MPHOSPH10  RIOK1  RNF113A  SBDS  INTS11  GTPBP3  RRP8  THUMPD3  ANKRD16  ELP2  IL6  IMP4  RPL35  WDR12  INTS14  INTS12  TARBP2  RRNAD1  INTS7  TRMT10A  FARS2  RPL7  UTP23  PDCD11  TRPT1  PIH1D2  QTRT2  DPH3  TRMT44  NIFK  WDR4  RRP1B  NOL9  TYW3  TFB2M  PUS10  TYW5  HELQ  RPL9  UTP15  NSA2  RPUSD4  RPL27A  TSR1  LCMT2  METTL15  PUSL1  EXOSC1  MRM3  CLP1  TRMT112  CTU2  RPL4  LARP7  ZBTB8OS  RPLP2  IMP3  DALRD3  NSUN3  RPP25  PRKRA  SAGE1  NOP10  TSEN54  YBEY  ADAT2  ERI2  RPL12  NOL8  TYW1  METTL6  WDR46  NSUN6  PRKDC  FDXACB1  CT45A10  GTF2H5  TSEN34  PARN  REXO4  RPS25  RPL7A  BOP1  NOP9  NOC4L  ELP5  DDX51"
7.37320685715495e-13,221,796,1.66456979594413,"Cellular response to DNA damage stimulus "," http://amigo.geneontology.org/amigo/term/GO:0006974"," RAD52  POLDIP2  KDM1A  RECQL  LIG3  SPRTN  BRCA1  MRE11  MTREX  PNKP  PARP3  TDP1  POLR2B  ERCC8  HIPK2  PMS1  NTHL1  TP53BP1  PSME4  UFD1  TRIP13  SMC1A  MCM2  TIPIN  MLH1  SIRT6  POLD3  TP73  PALB2  PPIE  DNAJA1  UIMC1  CCNK  PCBP4  CDC45  CBX5  POLR2F  ALKBH1  APEX1  CINP  PSMD10  ACD  MPG  FBXO31  NBN  MCM4  DOT1L  POLR2I  LIG1  RPA3  BCCIP  RAD51C  RECQL5  DDX5  UBE2D3  CEP164  FOXM1  RAD51AP1  CDKN1B  GTF2H3  TDP2  MSH3  RAD1  NEK11  WDR48  HTRA2  MAD2L2  UCHL5  DCLRE1B  MASTL  COPS5  ZRANB3  POLK  SHLD2  PMS2  CBX3  USP45  WRNIP1  OARD1  RNF113A  MGME1  XRCC3  BCL2L12  IRF3  ZBTB1  RPAIN  FXR2  BCL2L2  CHD1L  FAAP24  RPA1  TERF2  PCNA  IGHMBP2  CASP9  SLF1  MORC2  SPIRE1  FBH1  KAT7  NEK1  ASCC1  PARP9  TDG  NABP2  CUL4A  PML  FTO  WRAP53  TP53  MAEL  DTL  INTS7  RPS27A  COPS7B  CNOT9  ARMT1  CDCA5  NONO  CETN2  POLE3  ATM  KIN  JMY  XRCC4  TRIP12  XPC  EME1  MMS19  CNOT8  NSMCE2  BABAM2  CUL4B  CDC25C  CNOT11  ANKLE1  WDR4  HSF2BP  C9orf116  UBQLN4  HELQ  RCHY1  DTX3L  POLR2H  BAP1  CASP3  PRIMPOL  PTTG1  HNRNPK  WRN  COPS2  STXBP4  MCM7  PCLAF  TERF2IP  DDB1  INO80E  APLF  CENPX  GPS1  POLH  TRIAP1  ZDHHC16  ESCO2  MACROD2  MUS81  COMMD1  FBXO45  LIG4  TRAF6  DDIT3  POLE  PIDD1  POLR2L  PARP10  RMI1  CTC1  GGN  PTPN11  FANCB  SLX1B  CEP63  FANCF  RUVBL2  CHEK2  PARPBP  BRCC3  MORF4L1  PLK5  KDM4D  ISG15  MCRS1  FANCM  SPRED3  SLX4  HMGB1  XRCC6  EME2  WDHD1  CNOT7  DCLRE1A  OOEP  ZSWIM7  MDC1  GNL1  BAG6  PPP1R10  PRKDC  IKBKG  GTF2H5  TFPT  UHRF1  RAD17  ZBTB4  HSF1  H2AW  RUVBL1  CIDEB  GTF2H1  BRME1  MCTS1"
2.59520494640586e-10,93,266,2.0961584876357,"Nucleic acid phosphodiester bond hydrolysis "," http://amigo.geneontology.org/amigo/term/GO:0090305"," ANGEL1  DNASE1L1  MRE11  ASTE1  PNKP  TDP1  NTHL1  SMG6  EXOSC7  POLD3  DIS3  NOP14  KHNYN  APEX1  ZC3H12B  USB1  POP1  PLD3  POLR2I  RPA3  GTF2H3  TDP2  DROSHA  RAD1  NCBP2  DCLRE1B  CPSF3  EXOSC8  ZRANB3  POLK  PMS2  MGME1  INTS11  CHD1L  RPA1  RIDA  PCNA  FBH1  PAN2  IL6  NCBP1  CUL4A  ISG20L2  RPS27A  G3BP1  LACTB2  UTP23  TATDN1  ENPP3  XPC  EME1  CNOT8  CUL4B  DFFA  ANKLE1  NOL9  CASP3  WRN  CPSF2  RAG1  TSR1  DDB1  DFFB  APLF  EXOSC1  MUS81  NMNAT1  POLE  RPP25  EXD1  HARBI1  SLX1B  YBEY  FOXL2  EXD3  FANCM  HMGB1  ERI2  EME2  CNOT7  DCLRE1A  TATDN3  TSN  DNASE1  DXO  GTF2H5  DCP1A  TSEN34  PARN  REXO4  DCP1B  NOP9  GTF2H1"
7.92705019546395e-10,383,1659,1.38412461453881,"Cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0007049"," POLDIP2  LIG3  DBF4  PAF1  PSMB1  ZNF207  NCAPD2  TTC19  ANLN  BRCA1  TACC3  YAF2  MRE11  NCAPH2  CENPQ  NSUN2  PARP3  CUL7  OFD1  TPR  MTA3  INTS13  HIPK2  HMG20B  STAG3  TP53BP1  RHOA  PRR11  PSME4  PPP2R5B  MAPK6  PTPN3  TRIP13  SMC1A  HMMR  MCM2  TUBE1  TIPIN  NUP37  WDR62  MLH1  POLD3  FKBP6  TP73  DUSP13  HSP90AA1  NDC80  STRADB  PIBF1  ABCB1  ORC1  CHMP5  PSMC5  KLHL42  DYNLL1  ANAPC5  CCNK  PCBP4  NUDC  KIF4A  PHGDH  CDC45  CBX5  NUP188  RANBP1  KLHL22  PES1  ERH  APEX1  CINP  GINS1  PSMA7  CDC25B  RPRD1B  PSMD10  CENPT  ACD  PARD6A  TSC2  FBXO31  RAB11A  CSPP1  TRIM35  NBN  MCM4  DOT1L  CDC37  LIG1  TAF6  RPA3  URGCP  CREB3  FBXL15  BCCIP  CUL2  GIT1  RAD51C  TUBD1  RPS6KB1  RECQL5  RNF167  NUP88  NCAPG  CEP164  NUP98  KRT18  FOXM1  RAD51AP1  CDKN1B  CDCA3  NR2E1  CCND3  KIF20A  IK  MSH3  RAD1  CSNK1A1  KLHL18  NEK11  ACVR1  HTRA2  CNPPD1  WRAP73  PHF13  MAD2L2  NSL1  DCLRE1B  PTPA  CNTRL  NUP43  CENPL  MASTL  APAF1  COPS5  TEX14  NAA50  KIF18A  CBX3  ECD  CDKN2C  CENPK  OPTN  INHA  OBSL1  MAD2L1BP  KLHDC3  CEP250  XRCC3  PCID2  SBDS  BECN1  FBXL12  CHTF18  PPAT  PSMG2  ANAPC13  PSMA1  FOXA1  MAU2  CHMP1A  HAUS8  TUBG1  PSME3  RPA1  RIDA  TERF2  PCNA  ZBED3  SLF1  SPIRE1  CDCA8  ORC3  CDK4  FBXL8  USP37  APPL2  BORA  NUDT15  SETDB2  IL10  TUBB2B  NUMA1  NEK1  BTG4  TUBGCP4  CENPO  KIF11  ARL3  WDR12  ASCL1  NABP2  CUL4A  BBS4  PML  SEPTIN12  TXNL4B  NCOR1  TP53  ANAPC11  P3H4  DMRTC2  ITGB3BP  MAEL  NUF2  PRCC  DTL  INTS7  RPS27A  PKP4  CNOT9  SKP2  CDCA5  CETN2  GAS2  NPAT  ATM  EML3  CDC123  EPS8  NCAPD3  HAUS1  DDX4  XPC  EME1  CNOT8  TDRD9  NSMCE2  SASS6  APPL1  BABAM2  CUL4B  CDC25C  CNOT11  FBXW5  SON  RSPH1  HSF2BP  PCNT  LMNA  ALKBH4  PSMC2  SRSF2  KLHL21  RBBP4  YY1AP1  SGO2  TPRA1  BAP1  PBRM1  CEP44  CASP3  PTTG1  CHMP4C  CDK5  WASHC5  WRN  REEP3  SKA3  ENTR1  TSC1  GFI1B  CEP57  ZFYVE19  STXBP4  ANAPC16  CENPN  MAPK7  MCM7  PCLAF  TERF2IP  GOLGA2  TP53I13  TUBA1A  TUBA1C  KIFC2  MIS12  DDB1  C2CD3  MPLKIP  SEPTIN2  ZBTB49  USP39  ATF5  CENPX  CHD3  CNTROB  TRIAP1  NUDT6  DCDC1  ESCO2  HDAC3  PTEN  MTBP  PPP1CA  HCFC1  MUS81  CFL1  CKS1B  MAP3K11  SNX33  STAT5B  LIG4  ZWILCH  DDIT3  DCTN2  CCNE2  BANF1  TOM1L2  SSNA1  SPHK1  ANAPC2  CDC26  CNTD1  RMDN1  POLE  PIDD1  SH2B1  GAK  RMI1  CTC1  EXD1  PTPN11  GINS3  SKA2  CEP63  CHEK2  KNTC1  CDCA2  BRCC3  LMLN  PSMD13  UBE2L3  PLK5  SEPTIN10  FANCM  CENPP  SLX4  SYCP2  INCA1  MCMBP  EME2  PRIM1  SFI1  WDHD1  CCDC69  C6orf89  CEP290  TOGARAM1  CNOT7  KIAA0753  DCLRE1A  OOEP  MZT1  LIN52  PPME1  MDC1  DHFR  BAG6  PSMB8  CSNK2B  PPP1R10  TUBB  HSPA1A  EHMT2  PSMB9  CCPG1  SMIM22  NDE1  UHRF1  SDCCAG8  RAD17  MARF1  KIF15  KLLN  SIRT2  TOP3A  HSF1  RUVBL1  BOP1  GTF2H1  BRME1  MCTS1  CTDNEP1"
1.5309725291916e-09,130,432,1.80419057403531,"Ribonucleoprotein complex biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0022613"," RPUSD1  TSR3  UTP18  STRAP  MTREX  RRP12  MRTO4  RPL18  DDX20  WDR3  DHX29  BUD23  EXOSC7  HSP90AA1  DIS3  NUFIP1  WBP11  EIF3I  DIMT1  NOP14  RPL6  ESF1  SF3A1  PES1  EIF3L  CRNKL1  EIF3E  PIH1D1  SF3A2  RPS16  DDX49  EIF3B  NUP88  FTSJ3  SRSF9  DROSHA  BRIX1  RRP9  RPL22  WDR77  EBNA1BP2  FASTKD2  FCF1  EXOSC8  MRPS2  DDX54  MPHOSPH10  RIOK1  MRPS7  DDX31  SNRPD2  SBDS  RRP8  ERAL1  PRMT7  NIP7  URB2  IMP4  NCBP1  RPL35  TGS1  WDR12  TARBP2  CUL4A  EFL1  RRNAD1  ISG20L2  RPL7  EIF3H  UTP23  PDCD11  CELF1  ATM  PIH1D2  GEMIN6  NIFK  MTERF3  CUL4B  MRPL10  CELF3  RRP1B  NOL9  TFB2M  HELQ  RPL9  UTP15  NSA2  SLU7  RPUSD4  TSC1  RPL27A  TSR1  USP39  NMD3  METTL15  RAMAC  EXOSC1  MRPL36  MRM3  PTEN  CLP1  TRMT112  RPL4  RBIS  RPLP2  IMP3  NSUN3  RPP25  NOP10  YBEY  RUVBL2  ERI2  RPL12  NOL8  WDR46  PRKDC  FDXACB1  GTF2H5  PRPF31  REXO4  RPS25  RPL7A  EIF3K  RUVBL1  PAK1IP1  BOP1  NOP9  NOC4L  MCTS1  DDX51"
