"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.40927930390751e-12,199,1520,1.73314056037629,"RNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003723"," KDM1A  ZNF207  UTP18  BRCA1  STRAP  NSUN2  MTREX  POLR2B  TPR  R3HDM1  RRP12  MRTO4  SNRNP40  RPL18  WDR3  DHX29  ELP1  JMJD6  TRNT1  TNS1  DIS3  NUFIP1  PPIE  NOA1  WBP11  CPNE3  NOP14  ESF1  PEBP1  DHX32  FKBP3  ALKBH1  APEX1  CSTF1  DIDO1  ZC3H12B  ZNF106  POP1  EIF3E  RPS16  DDX49  SUGP1  PDAP1  LSM5  SEC61B  SEC23IP  CPEB3  BCCIP  SEPSECS  DDX25  PUS3  PRPF40B  RSRC2  RAD51AP1  SRSF9  MRPL18  DROSHA  ZNF346  NCBP2  RRP9  SF3B6  EIF2B4  IFIH1  UNC50  CCT4  CEBPZ  SRSF7  PNO1  SRSF11  POLR1G  CPSF3  SLIRP  ALDH6A1  TCP1  WBP4  ZCCHC17  DDX54  MPHOSPH10  XPO5  HNRNPH2  RBM48  PSMA1  KIF1C  PUS7L  ELOF1  BST2  RRP8  PTCD3  RIDA  DMGDH  EIF2S1  PPHLN1  PRPF38A  HNRNPA1  EIF4E2  IMP4  STXBP1  PRPF4  NCBP1  RPL35  ZGRF1  TARBP2  SETD1B  EFL1  NOSIP  TRMT10A  CISD2  FARS2  RARS2  MDH2  CCT6A  LACTB2  PDCD11  CWC15  CCT5  KIN  ATP5F1A  HNRNPDL  ELOC  NIFK  RNF20  ADK  TDRD9  MRPL10  GPBP1L1  NDUFV3  RRP1B  ELAVL4  NOL9  FUBP1  TFB2M  DHX57  MRPS18C  RPL9  U2SURP  SLBP  SLU7  RP9  HNRNPK  RPUSD4  ATP5F1C  CPSF2  RPL27A  TRUB2  TSR1  CDC40  RAMAC  LSM3  EXOSC1  TCEA2  MRM3  TEFM  GTPBP2  PURG  CTU2  LARP7  EIF1AD  C11orf68  EIF4E1B  UBE2O  RPP25  EXD1  SAMD4B  PSTK  NOP10  MRPL54  CCDC137  MCRS1  SF3B3  HMGB1  SUPT5H  LONP1  XRCC6  RPL12  NOL8  HMGN5  CNOT7  DZIP3  SMG5  NELFE  TSN  SKIV2L  PRR3  WDR46  PATL2  HSPA1A  NSUN6  MEX3A  DDX24  PARN  MARF1  RPS25  RPL7A  EIF3K  EEF1B2  BOP1  NOP9  NOC4L  DDX51"
2.33692198252363e-11,91,524,2.29897581717028,"Catalytic activity, acting on a nucleic acid "," http://amigo.geneontology.org/amigo/term/GO:0140640"," RECQL  ANGEL1  MRE11  NSUN2  MTREX  TDP1  POLR2B  NTHL1  DHX29  POLR1A  JMJD6  TRNT1  MCM2  POLD3  DIS3  DHX32  ALKBH1  APEX1  METTL4  ZC3H12B  MPG  DTWD1  POP1  LIG1  DDX49  RAD51C  RECQL5  DDX25  PUS3  TDP2  DROSHA  IFIH1  POLR1G  CPSF3  ZRANB3  TRMT13  DDX54  MGME1  XRCC3  INTS11  QRSL1  RIDA  PCNA  FBH1  PAN2  TGS1  ZGRF1  TDG  TRMT10A  FARS2  RARS2  LACTB2  TDRD9  WDR4  ALKBH4  RBBP4  TFB2M  DHX57  HELQ  POLR2H  SLU7  WRN  RAG1  LCMT2  METTL15  APLF  POLH  MRM3  TRMT112  POLE  POLR2L  RPP25  PSTK  YBEY  RUVBL2  POLR1D  FANCM  SLX4  XRCC6  CNOT7  DCLRE1A  TSN  DNASE1  SKIV2L  NSUN6  GATC  DDX24  TSEN34  PARN  TOP3A  DDX51"
2.41949220944072e-07,40,183,2.89356471073615,"Nuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0004518"," ANGEL1  MRE11  TDP1  NTHL1  DIS3  ALKBH1  APEX1  ZC3H12B  POP1  RAD51C  TDP2  DROSHA  CPSF3  ZRANB3  PMS2  MGME1  XRCC3  INTS11  RIDA  PAN2  ZGRF1  LACTB2  ENPP3  WRN  RAG1  APLF  POLE  RPP25  EXD1  YBEY  EXD3  FANCM  SLX4  CNOT7  DCLRE1A  TATDN3  TSN  DNASE1  TSEN34  PARN"
2.41949220944072e-07,60,344,2.30896370086358,"Catalytic activity, acting on RNA "," http://amigo.geneontology.org/amigo/term/GO:0140098"," ANGEL1  NSUN2  MTREX  POLR2B  DHX29  POLR1A  JMJD6  TRNT1  DIS3  DHX32  ALKBH1  APEX1  METTL4  ZC3H12B  DTWD1  POP1  DDX49  DDX25  PUS3  TDP2  DROSHA  IFIH1  POLR1G  CPSF3  TRMT13  DDX54  INTS11  QRSL1  RIDA  PAN2  TGS1  TRMT10A  FARS2  RARS2  LACTB2  TDRD9  WDR4  TFB2M  DHX57  POLR2H  SLU7  LCMT2  METTL15  MRM3  TRMT112  POLR2L  RPP25  PSTK  YBEY  POLR1D  FANCM  CNOT7  TSN  SKIV2L  NSUN6  GATC  DDX24  TSEN34  PARN  DDX51"
0.000103119912372317,25,109,3.03625196138025,"Endonuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0004519"," MRE11  NTHL1  DIS3  ALKBH1  APEX1  ZC3H12B  POP1  RAD51C  DROSHA  CPSF3  ZRANB3  PMS2  XRCC3  INTS11  RIDA  ZGRF1  LACTB2  RAG1  APLF  RPP25  YBEY  SLX4  TSN  DNASE1  TSEN34"
0.000159775140134293,36,199,2.39482466260424,"Catalytic activity, acting on DNA "," http://amigo.geneontology.org/amigo/term/GO:0140097"," RECQL  MRE11  TDP1  NTHL1  MCM2  POLD3  ALKBH1  APEX1  METTL4  MPG  LIG1  RAD51C  RECQL5  TDP2  ZRANB3  MGME1  XRCC3  PCNA  FBH1  ZGRF1  TDG  ALKBH4  RBBP4  HELQ  WRN  RAG1  APLF  POLH  POLE  RUVBL2  FANCM  SLX4  XRCC6  DCLRE1A  DNASE1  TOP3A"
0.00322765786949968,22,109,2.67190172601462,"Single-stranded DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003697"," RAD52  RECQL  TDP1  MCM2  MLH1  WBP11  CDC45  RAD51AP1  TDP2  ZRANB3  PMS2  FBH1  HNRNPA1  NABP2  HNRNPDL  XPC  FUBP1  POLR2H  HMGB1  LONP1  TSN  TOP3A"
0.00525583510408328,17,75,3.00062660503338,"Exonuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0004527"," ANGEL1  MRE11  TDP1  DIS3  APEX1  CPSF3  MGME1  PAN2  ENPP3  WRN  APLF  POLE  EXD1  EXD3  CNOT7  DCLRE1A  PARN"
0.00679772219058918,13,49,3.51213798308229,"Deoxyribonuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0004536"," MRE11  APEX1  RAD51C  ZRANB3  MGME1  XRCC3  ZGRF1  RAG1  APLF  POLE  SLX4  DCLRE1A  DNASE1"
0.0106714515846717,7,16,5.79165061633282,"3 -5  DNA helicase activity "," http://amigo.geneontology.org/amigo/term/GO:0043138"," RECQL  MCM2  RECQL5  FBH1  HELQ  WRN  FANCM"
0.0145429147670986,14,61,3.03824294627295,"Damaged DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003684"," BRCA1  NTHL1  TP53BP1  APEX1  MPG  PCNA  TDG  XPC  WRN  POLH  KDM4D  HMGB1  XRCC6  DCLRE1A"
0.0145429147670986,10,34,3.89354663282879,"Endodeoxyribonuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0004520"," MRE11  APEX1  RAD51C  ZRANB3  XRCC3  ZGRF1  RAG1  APLF  SLX4  DNASE1"
0.0145429147670986,4,5,10.5904468412943,"Four-way junction helicase activity "," http://amigo.geneontology.org/amigo/term/GO:0009378"," RECQL  RECQL5  WRN  FANCM"
0.0163926690496979,24,144,2.20634309193631,"Helicase activity "," http://amigo.geneontology.org/amigo/term/GO:0004386"," RECQL  MRE11  MTREX  DHX29  MCM2  DHX32  DDX49  RECQL5  DDX25  IFIH1  ZRANB3  DDX54  FBH1  ZGRF1  TDRD9  DHX57  HELQ  WRN  RUVBL2  FANCM  XRCC6  SKIV2L  DDX24  DDX51"
0.0163926690496979,43,323,1.7623421601225,"ATP hydrolysis activity "," http://amigo.geneontology.org/amigo/term/GO:0016887"," RECQL  MTREX  DHX29  TRIP13  MCM2  MLH1  ORC1  DHX32  MYO9B  ABCD1  DDX49  RECQL5  DDX25  PIKFYVE  IFIH1  CCT4  C10orf88  TCP1  PMS2  DDX54  ATP7B  ATP13A4  PEX1  MORC2  FBH1  CCT7  SPATA5  CCT6A  CCT5  TDRD9  ATAD2  DHX57  HELQ  WRN  ATP5F1C  RUVBL2  FANCM  LONP1  SPG7  HSPA1L  HSPA1A  DDX24  DDX51"
0.0254245120443872,12,51,3.11483730626303,"3 -5  exonuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0008408"," ANGEL1  MRE11  DIS3  APEX1  PAN2  WRN  APLF  POLE  EXD1  EXD3  CNOT7  PARN"
0.0349427681669079,12,53,2.99729627583801,"Endoribonuclease activity "," http://amigo.geneontology.org/amigo/term/GO:0004521"," APEX1  ZC3H12B  POP1  DROSHA  CPSF3  INTS11  RIDA  LACTB2  RPP25  YBEY  TSN  TSEN34"
0.043231485723034,10,41,3.22879476868729,"NAD(P)H dehydrogenase (quinone) activity "," http://amigo.geneontology.org/amigo/term/GO:0003955"," NDUFA8  NDUFA1  NDUFS6  NDUFV3  NDUFAF2  NDUFB1  NDOR1  MT-ND6  NDUFA3  NDUFS1"
0.043231485723034,23,148,2.05726585599467,"Isomerase activity "," http://amigo.geneontology.org/amigo/term/GO:0016853"," ERP44  IDI1  FKBP6  PPIE  FKBP3  FKBP14  PUS3  DSE  PPWD1  EHHADH  FKBP15  MCEE  PUS7L  FKBP10  ENOPH1  MMUT  RPIA  RPUSD4  TMX3  TRUB2  PGAM1  THAP4  TOP3A"
0.043231485723034,5,11,6.01729934164449,"Mismatched DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0030983"," MLH1  PMS2  PCNA  TDG  XPC"
0.043231485723034,9,34,3.50419196954591,"Telomeric DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0042162"," TP53BP1  APEX1  ACD  HNRNPA1  NABP2  HMBOX1  WRN  XRCC6  SMG5"
