"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.41240801925482e-14,143,906,2.08945074269465,"RNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006396"," KDM1A  PAF1  TSR3  UTP18  STRAP  NSUN2  MTREX  POLR2B  RRP12  MRTO4  SNRNP40  RPL18  WDR3  ELP1  JMJD6  TRNT1  DIS3  NUFIP1  PPIE  WBP11  NOP14  ESF1  OSGEP  ZMAT5  ALKBH1  CSTF1  RPRD1B  METTL4  DTWD1  INTS9  POP1  RPS16  DDX49  SUGP1  BUD31  LSM5  CPEB3  ELP4  PUS3  PRPF40B  SRSF9  DROSHA  PPWD1  NCBP2  RRP9  SF3B6  SRSF7  SRSF11  CPSF3  WBP4  TRMT13  DDX54  WDR83  MPHOSPH10  RIOK1  RNF113A  SYMPK  HNRNPH2  INTS11  GTPBP3  RRP8  ANKRD16  PRPF38A  ELP2  PAN2  HNRNPA1  IMP4  PRPF4  NCBP1  RPL35  TGS1  INTS14  TARBP2  TRMT10A  FARS2  PDCD11  CWC15  KIN  GEMIN6  HNRNPDL  DPH3  NIFK  RNF20  WDR4  RRP1B  DEDD2  SNRNP25  ELAVL4  NOL9  TFB2M  HELQ  RPL9  U2SURP  POLR2H  SLBP  SLU7  RP9  HNRNPK  RPUSD4  CPSF2  RPL27A  TRUB2  TSR1  CDC40  LCMT2  MAP2K1  METTL15  RAMAC  LSM3  EXOSC1  MRM3  TRMT112  CTU2  LARP7  ZBTB8OS  RPLP2  POLR2L  RPP25  NOP10  TSEN54  YBEY  ADAT2  SF3B3  SUPT5H  RPL12  NOL8  UBL5  NELFE  TSN  WDR46  HSPA1A  NSUN6  GTF2H5  TSEN34  PARN  RPS25  RPL7A  HSF1  BOP1  NOP9  GTF2H1  NOC4L  DDX51"
7.13806122882119e-14,94,491,2.53437373493295,"NcRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0034660"," TSR3  UTP18  NSUN2  MTREX  RRP12  MRTO4  RPL18  WDR3  ELP1  TRNT1  FKBP6  DIS3  WBP11  NOP14  ESF1  OSGEP  ALKBH1  METTL4  DTWD1  INTS9  POP1  RPS16  DDX49  AIMP2  SEPSECS  ELP4  PUS3  DROSHA  RRP9  TRMT13  DDX54  MPHOSPH10  XPO5  RIOK1  RNF113A  INTS11  GTPBP3  QRSL1  RRP8  ANKRD16  ELP2  IMP4  RPL35  INTS14  TARBP2  MAEL  TRMT10A  FARS2  RARS2  PDCD11  DPH3  NIFK  TDRD9  WDR4  RRP1B  DEDD2  NOL9  TFB2M  HELQ  RPL9  RPUSD4  RPL27A  TSR1  LCMT2  METTL15  EXOSC1  MRM3  TRMT112  CTU2  LARP7  ZBTB8OS  RPLP2  RPP25  EXD1  PSTK  NOP10  TSEN54  YBEY  ADAT2  RPL12  NOL8  WDR46  NSUN6  GATC  GTF2H5  TSEN34  PARN  HRAS  RPS25  RPL7A  BOP1  NOP9  NOC4L  DDX51"
3.1037607157083e-12,80,408,2.59569775521919,"NcRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0034470"," TSR3  UTP18  NSUN2  MTREX  RRP12  MRTO4  RPL18  WDR3  ELP1  TRNT1  DIS3  WBP11  NOP14  ESF1  OSGEP  ALKBH1  DTWD1  INTS9  POP1  RPS16  DDX49  ELP4  PUS3  DROSHA  RRP9  TRMT13  DDX54  MPHOSPH10  RIOK1  RNF113A  INTS11  GTPBP3  RRP8  ANKRD16  ELP2  IMP4  RPL35  INTS14  TARBP2  TRMT10A  FARS2  PDCD11  DPH3  NIFK  WDR4  RRP1B  NOL9  TFB2M  HELQ  RPL9  RPUSD4  RPL27A  TSR1  LCMT2  METTL15  EXOSC1  MRM3  TRMT112  CTU2  LARP7  ZBTB8OS  RPLP2  RPP25  NOP10  TSEN54  YBEY  ADAT2  RPL12  NOL8  WDR46  NSUN6  GTF2H5  TSEN34  PARN  RPS25  RPL7A  BOP1  NOP9  NOC4L  DDX51"
5.47630281861943e-12,136,907,1.98497901104744,"Chromosome organization "," http://amigo.geneontology.org/amigo/term/GO:0051276"," KDM1A  RECQL  PAF1  MPND  ZNF207  MBTD1  TACC3  MRE11  NCAPH2  BRD9  CENPQ  ARID4A  PARP3  TPR  RSF1  ERCC8  ARID4B  STAG3  JMJD6  TRIP13  MCM2  MLH1  SIRT6  POLD3  NDC80  PIBF1  CHMP5  UIMC1  ANAPC5  KLHL22  APEX1  METTL4  ACD  RAD51C  RECQL5  NCAPG  HCFC2  CCT4  ASH1L  NSL1  TCP1  ENY2  TEX14  NAA50  KIF18A  ZRANB3  NAA60  CENPK  NFE2  H2BC11  MAD2L1BP  XRCC3  MAU2  RRP8  PCNA  SLF1  MORC2  PPHLN1  FBH1  CDCA8  HNRNPA1  PKIB  CCT7  SETDB2  TDG  NABP2  SETD1B  HMG20A  PML  P3H4  MAEL  H2BC1  CDCA5  CCT6A  CETN2  HMBOX1  ATM  CCT5  XPC  RNF20  ATAD2  MCM3AP  LMNA  ALKBH4  LRWD1  RBBP4  HELQ  BAP1  H2AC1  PTTG1  KDM1B  WRN  RAG1  ING5  FOXA3  HDAC3  HCFC1  BANF1  CDC26  RMDN1  H2BC4  NOP10  RUVBL2  SS18L1  KNTC1  H2BC21  H2BC13  BRCC3  KDM4D  NAP1L3  TSPYL4  MCRS1  FANCM  CENPP  SLX4  HMGB1  SYCP2  XRCC6  MCMBP  H2BC12  HMGN5  DCLRE1A  SMG5  H2BC15  EHMT2  GTF2H5  H2BC14  H2BC17  PARN  H2BC9  UHRF1  H3C10  TOP3A  H2AW  H2BU1  GTF2H1"
8.34672862903863e-11,128,865,1.9589265833608,"DNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006259"," RAD52  POLDIP2  KDM1A  RECQL  BRCA1  MRE11  PARP3  TDP1  POLR2B  ERCC8  NTHL1  TP53BP1  UFD1  TRIP13  MCM2  TIPIN  MLH1  SIRT6  POLD3  FKBP6  PALB2  PPIE  ORC1  UIMC1  ORC6  CDC45  ALKBH1  APEX1  GINS1  METTL4  ACD  MPG  LIG1  BCCIP  RAD51C  RECQL5  UBE2D3  FOXM1  RAD51AP1  TDP2  MORC1  CCT4  TCP1  PTK2B  ZRANB3  PMS2  MTRR  RNF113A  MGME1  XRCC3  FAAP24  PCNA  SLF1  FBH1  ORC3  HNRNPA1  PKIB  CCT7  NIBAN2  ZGRF1  TDG  NABP2  PML  MAEL  CDCA5  CCT6A  CETN2  HMBOX1  ATM  CCT5  KIN  JMY  XPC  MMS19  TDRD9  HSF2BP  LMNA  UBQLN4  ALKBH4  LRWD1  HELQ  POLR2H  BAP1  PTTG1  KDM1B  WRN  RAG1  PCLAF  TK1  APLF  POLH  TEFM  COMMD1  CNTD1  POLE  POLR2L  SH2B1  RMI1  GGN  FANCB  GINS3  NOP10  RUVBL2  FOXL2  PARPBP  BRCC3  KDM4D  ISG15  MCRS1  FANCM  SLX4  HMGB1  LONP1  XRCC6  WDHD1  DCLRE1A  SMG5  TSN  DNASE1  ZSWIM7  EHMT2  GTF2H5  PARN  UHRF1  TOP3A  HSF1  H2AW  GTF2H1"
5.67827258030491e-10,87,513,2.24505086547905,"DNA repair "," http://amigo.geneontology.org/amigo/term/GO:0006281"," RAD52  POLDIP2  KDM1A  RECQL  BRCA1  MRE11  PARP3  TDP1  POLR2B  ERCC8  NTHL1  TP53BP1  UFD1  TRIP13  MCM2  MLH1  SIRT6  POLD3  PALB2  PPIE  UIMC1  CDC45  ALKBH1  APEX1  ACD  MPG  LIG1  BCCIP  RAD51C  RECQL5  UBE2D3  FOXM1  RAD51AP1  TDP2  ZRANB3  PMS2  RNF113A  MGME1  XRCC3  FAAP24  PCNA  SLF1  FBH1  TDG  NABP2  PML  CDCA5  CETN2  ATM  KIN  JMY  XPC  MMS19  HSF2BP  UBQLN4  HELQ  POLR2H  BAP1  PTTG1  WRN  PCLAF  APLF  POLH  COMMD1  POLE  POLR2L  RMI1  GGN  FANCB  RUVBL2  PARPBP  BRCC3  KDM4D  ISG15  MCRS1  FANCM  SLX4  HMGB1  XRCC6  WDHD1  DCLRE1A  ZSWIM7  GTF2H5  UHRF1  HSF1  H2AW  GTF2H1"
2.94821378537376e-07,48,241,2.63662576961684,"Double-strand break repair "," http://amigo.geneontology.org/amigo/term/GO:0006302"," RAD52  KDM1A  RECQL  BRCA1  MRE11  PARP3  TDP1  ERCC8  TP53BP1  TRIP13  MCM2  MLH1  SIRT6  PALB2  UIMC1  CDC45  RAD51C  RECQL5  FOXM1  RAD51AP1  TDP2  XRCC3  SLF1  FBH1  NABP2  PML  CDCA5  ATM  MMS19  HSF2BP  UBQLN4  HELQ  BAP1  WRN  APLF  RMI1  GGN  FANCB  PARPBP  BRCC3  KDM4D  FANCM  SLX4  HMGB1  XRCC6  DCLRE1A  ZSWIM7  HSF1"
2.94821378537376e-07,50,256,2.58555831086287,"RRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0016072"," TSR3  UTP18  MTREX  RRP12  MRTO4  RPL18  WDR3  DIS3  WBP11  NOP14  ESF1  RPS16  DDX49  DROSHA  RRP9  DDX54  MPHOSPH10  RIOK1  RRP8  IMP4  RPL35  PDCD11  NIFK  RRP1B  DEDD2  NOL9  TFB2M  HELQ  RPL9  RPUSD4  RPL27A  TSR1  METTL15  EXOSC1  MRM3  TRMT112  RPLP2  RPP25  NOP10  YBEY  RPL12  NOL8  WDR46  GTF2H5  RPS25  RPL7A  BOP1  NOP9  NOC4L  DDX51"
2.94821378537376e-07,57,313,2.41076465636492,"Ribosome biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0042254"," TSR3  UTP18  MTREX  RRP12  MRTO4  RPL18  WDR3  DHX29  DIS3  WBP11  NOP14  ESF1  RPS16  DDX49  DROSHA  RRP9  DDX54  MPHOSPH10  RIOK1  RRP8  URB2  IMP4  RPL35  EFL1  PDCD11  NIFK  MTERF3  MRPL10  RRP1B  NOL9  TFB2M  HELQ  RPL9  RPUSD4  RPL27A  TSR1  METTL15  EXOSC1  MRPL36  MRM3  TRMT112  RBIS  RPLP2  RPP25  NOP10  YBEY  RPL12  NOL8  WDR46  GTF2H5  RPS25  RPL7A  PAK1IP1  BOP1  NOP9  NOC4L  DDX51"
3.12084053954947e-07,51,266,2.53812400801696,"Nucleic acid phosphodiester bond hydrolysis "," http://amigo.geneontology.org/amigo/term/GO:0090305"," ANGEL1  MRE11  TDP1  NTHL1  POLD3  DIS3  NOP14  APEX1  ZC3H12B  POP1  TDP2  DROSHA  NCBP2  CPSF3  ZRANB3  PMS2  MGME1  INTS11  RIDA  PCNA  FBH1  PAN2  NCBP1  LACTB2  ENPP3  XPC  NOL9  WRN  CPSF2  RAG1  TSR1  APLF  EXOSC1  POLE  RPP25  EXD1  YBEY  FOXL2  EXD3  FANCM  HMGB1  CNOT7  DCLRE1A  TATDN3  TSN  DNASE1  GTF2H5  TSEN34  PARN  NOP9  GTF2H1"
