ENSG00000186092	ENSMUSG00000051951	FBgn0002121	AT1G01010	
ENSG00000284733	ENSMUSG00000025900	FBgn0031209	AT1G01020	
ENSG00000284662	ENSMUSG00000025902	FBgn0051973	AT1G01030	
ENSG00000187634	ENSMUSG00000033845	FBgn0067779	AT1G01040	
ENSG00000188976	ENSMUSG00000033813	FBgn0031213	AT1G01050	
ENSG00000187961	ENSMUSG00000002459	FBgn0031214	AT1G01060	
ENSG00000187583	ENSMUSG00000033793	FBgn0002931	AT1G01070	
ENSG00000187642	ENSMUSG00000025905	FBgn0031216	AT1G01080	
ENSG00000188290	ENSMUSG00000033774	FBgn0031217	AT1G01090	
ENSG00000187608	ENSMUSG00000025907	FBgn0026787	AT1G01100	
ENSG00000188157	ENSMUSG00000087247	FBgn0005278	AT1G01110	
ENSG00000237330	ENSMUSG00000033740	FBgn0031228	AT1G01120	
ENSG00000131591	ENSMUSG00000051285	FBgn0031219	AT1G01130	
ENSG00000162571	ENSMUSG00000025909	FBgn0031220	AT1G01140	
ENSG00000186891	ENSMUSG00000061024	FBgn0025683	AT1G01150	
ENSG00000186827	ENSMUSG00000025911	FBgn0051974	AT1G01160	
ENSG00000078808	ENSMUSG00000067879	FBgn0259818	AT1G01170	
ENSG00000176022	ENSMUSG00000025912	FBgn0031227	AT1G01180	
ENSG00000184163	ENSMUSG00000045210	FBgn0031229	AT1G01190	
ENSG00000160087	ENSMUSG00000025915	FBgn0053635	AT1G01200	
ENSG00000162572	ENSMUSG00000046101	FBgn0016977	AT1G01210	
ENSG00000131584	ENSMUSG00000099032	FBgn0031231	AT1G01220	
ENSG00000169972	ENSMUSG00000025916	FBgn0031232	AT1G01225	
ENSG00000127054	ENSMUSG00000025917	FBgn0031233	AT1G01230	
ENSG00000224051	ENSMUSG00000056763	FBgn0266557	AT1G01240	
ENSG00000169962	ENSMUSG00000067851	FBgn0031235	AT1G01250	
ENSG00000107404	ENSMUSG00000042501	FBgn0283652	AT1G01260	
ENSG00000162576	ENSMUSG00000048960	FBgn0031238	AT1G01280	
ENSG00000175756	ENSMUSG00000057715	FBgn0031240	AT1G01290	
ENSG00000221978	ENSMUSG00000016918	FBgn0086912	AT1G01300	
ENSG00000242485	ENSMUSG00000025938	FBgn0086856	AT1G01305	
ENSG00000235098	ENSMUSG00000042414	FBgn0086855	AT1G01310	
ENSG00000205116	ENSMUSG00000005886	FBgn0003444	AT1G01320	
ENSG00000179403	ENSMUSG00000025935	FBgn0031244	AT1G01335	
ENSG00000215915	ENSMUSG00000025937	FBgn0031245	AT1G01340	
ENSG00000160072	ENSMUSG00000067813	FBgn0031247	AT1G01350	
ENSG00000197785	ENSMUSG00000025932	FBgn0017457	AT1G01355	
ENSG00000205090	ENSMUSG00000025930	FBgn0024352	AT1G01360	
ENSG00000160075	ENSMUSG00000032769	FBgn0020622	AT1G01370	
ENSG00000228594	ENSMUSG00000092083	FBgn0004611	AT1G01380	
ENSG00000197530	ENSMUSG00000025925	FBgn0031248	AT1G01390	
ENSG00000189409	ENSMUSG00000032719	FBgn0031249	AT1G01400	
ENSG00000248333	ENSMUSG00000067795	FBgn0264086	AT1G01410	
ENSG00000189339	ENSMUSG00000043716	FBgn0051921	AT1G01420	
ENSG00000008130	ENSMUSG00000025921	FBgn0031250	AT1G01430	
ENSG00000078369	ENSMUSG00000025920	FBgn0000061	AT1G01440	
ENSG00000169885	ENSMUSG00000025939	FBgn0031251	AT1G01450	
ENSG00000178821	ENSMUSG00000079658	FBgn0003278	AT1G01453	
ENSG00000142609	ENSMUSG00000025940	FBgn0264855	AT1G01460	
ENSG00000187730	ENSMUSG00000025779	FBgn0263933	AT1G01470	
ENSG00000067606	ENSMUSG00000042686	FBgn0031252	AT1G01480	
ENSG00000162585	ENSMUSG00000025777	FBgn0002593	AT1G01490	
ENSG00000157933	ENSMUSG00000067780	FBgn0031253	AT1G01500	
ENSG00000116151	ENSMUSG00000025776	FBgn0031254	AT1G01510	
ENSG00000157916	ENSMUSG00000025774	FBgn0031255	AT1G01520	
ENSG00000157911	ENSMUSG00000073735	FBgn0004583	AT1G01530	
ENSG00000149527	ENSMUSG00000067773	FBgn0015924	AT1G01540	
ENSG00000157881	ENSMUSG00000042596	FBgn0031256	AT1G01550	
ENSG00000197921	ENSMUSG00000025927	FBgn0031257	AT1G01560	
ENSG00000157873	ENSMUSG00000043760	FBgn0031258	AT1G01570	
ENSG00000157870	ENSMUSG00000025929	FBgn0027592	AT1G01580	
ENSG00000142606	ENSMUSG00000041872	FBgn0003963	AT1G01590	
ENSG00000215912	ENSMUSG00000041859	FBgn0043364	AT1G01600	
ENSG00000169717	ENSMUSG00000025931	FBgn0010602	AT1G01610	
ENSG00000142611	ENSMUSG00000041809	FBgn0031260	AT1G01620	
ENSG00000130762	ENSMUSG00000041779	FBgn0005660	AT1G01630	
ENSG00000162591	ENSMUSG00000025933	FBgn0031261	AT1G01640	
ENSG00000158109	ENSMUSG00000025934	FBgn0260933	AT1G01650	
ENSG00000116213	ENSMUSG00000067750	FBgn0031263	AT1G01660	
ENSG00000078900	ENSMUSG00000041722	FBgn0031264	AT1G01670	
ENSG00000162592	ENSMUSG00000085079	FBgn0031265	AT1G01680	
ENSG00000235169	ENSMUSG00000028033	FBgn0021874	AT1G01690	
ENSG00000130764	ENSMUSG00000041670	FBgn0031266	AT1G01695	
ENSG00000116198	ENSMUSG00000026158	FBgn0031267	AT1G01700	
ENSG00000169598	ENSMUSG00000026156	FBgn0031268	AT1G01710	
ENSG00000198912	ENSMUSG00000026155	FBgn0013323	AT1G01715	
ENSG00000196581	ENSMUSG00000026154	FBgn0023489	AT1G01720	
ENSG00000131697	ENSMUSG00000026153	FBgn0010323	AT1G01725	
ENSG00000069424	ENSMUSG00000026147	FBgn0031270	AT1G01730	
ENSG00000116254	ENSMUSG00000026141	FBgn0040106	AT1G01740	
ENSG00000116251	ENSMUSG00000073725	FBgn0040107	AT1G01750	
ENSG00000158286	ENSMUSG00000033569	FBgn0031273	AT1G01760	
ENSG00000116237	ENSMUSG00000073722	FBgn0284247	AT1G01770	
ENSG00000173673	ENSMUSG00000048874	FBgn0011244	AT1G01780	
ENSG00000158292	ENSMUSG00000086727	FBgn0026438	AT1G01790	
ENSG00000097021	ENSMUSG00000050217	FBgn0031275	AT1G01800	
ENSG00000069812	ENSMUSG00000026063	FBgn0031276	AT1G01810	
ENSG00000187017	ENSMUSG00000026058	FBgn0040725	AT1G01820	
ENSG00000215788	ENSMUSG00000091318	FBgn0031277	AT1G01830	
ENSG00000171680	ENSMUSG00000026134	FBgn0041250	AT1G01840	
ENSG00000162408	ENSMUSG00000004768	FBgn0031279	AT1G01860	
ENSG00000173662	ENSMUSG00000042215	FBgn0000442	AT1G01880	
ENSG00000204859	ENSMUSG00000042197	FBgn0051658	AT1G01900	
ENSG00000162413	ENSMUSG00000042182	FBgn0086130	AT1G01910	
ENSG00000116273	ENSMUSG00000026131	FBgn0031281	AT1G01920	
ENSG00000041988	ENSMUSG00000042111	FBgn0031282	AT1G01930	
ENSG00000007923	ENSMUSG00000026127	FBgn0031283	AT1G01940	
ENSG00000171735	ENSMUSG00000026126	FBgn0031284	AT1G01950	
ENSG00000049245	ENSMUSG00000026125	FBgn0015621	AT1G01960	
ENSG00000049246	ENSMUSG00000026124	FBgn0031285	AT1G01970	
ENSG00000049247	ENSMUSG00000037529	FBgn0031286	AT1G01980	
ENSG00000049249	ENSMUSG00000045174	FBgn0010583	AT1G01990	
ENSG00000116288	ENSMUSG00000037509	FBgn0020304	AT1G02000	
ENSG00000116285	ENSMUSG00000037503	FBgn0031287	AT1G02020	
ENSG00000162426	ENSMUSG00000026123	FBgn0020545	AT1G02030	
ENSG00000142599	ENSMUSG00000045216	FBgn0031288	AT1G02040	
ENSG00000074800	ENSMUSG00000037470	FBgn0031289	AT1G02050	
ENSG00000131686	ENSMUSG00000047180	FBgn0029095	AT1G02060	
ENSG00000197241	ENSMUSG00000037447	FBgn0020305	AT1G02065	
ENSG00000142583	ENSMUSG00000010453	FBgn0053526	AT1G02067	
ENSG00000180758	ENSMUSG00000037432	FBgn0031292	AT1G02070	
ENSG00000049239	ENSMUSG00000001143	FBgn0002936	AT1G02080	
ENSG00000171621	ENSMUSG00000037408	FBgn0002563	AT1G02090	
ENSG00000171612	ENSMUSG00000001138	FBgn0046113	AT1G02100	
ENSG00000188807	ENSMUSG00000079610	FBgn0028481	AT1G02110	
ENSG00000171608	ENSMUSG00000026121	FBgn0031294	AT1G02120	
ENSG00000171603	ENSMUSG00000046337	FBgn0031296	AT1G02130	
ENSG00000178585	ENSMUSG00000061518	FBgn0003310	AT1G02140	
ENSG00000162441	ENSMUSG00000037351	FBgn0015905	AT1G02145	
ENSG00000173614	ENSMUSG00000102416	FBgn0031298	AT1G02150	
ENSG00000162444	ENSMUSG00000026117	FBgn0031299	AT1G02160	
ENSG00000130939	ENSMUSG00000026116	FBgn0261938	AT1G02170	
ENSG00000054523	ENSMUSG00000050122	FBgn0031301	AT1G02180	
ENSG00000142657	ENSMUSG00000026114	FBgn0031302	AT1G02190	
ENSG00000160049	ENSMUSG00000026113	FBgn0016926	AT1G02205	
ENSG00000142655	ENSMUSG00000026112	FBgn0031304	AT1G02210	
ENSG00000130940	ENSMUSG00000026111	FBgn0031305	AT1G02220	
ENSG00000175262	ENSMUSG00000026110	FBgn0031306	AT1G02230	
ENSG00000120948	ENSMUSG00000026090	FBgn0031307	AT1G02250	
ENSG00000009724	ENSMUSG00000060771	FBgn0283525	AT1G02260	
ENSG00000116649	ENSMUSG00000037216	FBgn0031309	AT1G02270	
ENSG00000171824	ENSMUSG00000026088	FBgn0031310	AT1G02280	
ENSG00000198793	ENSMUSG00000026087	FBgn0261458	AT1G02290	
ENSG00000171819	ENSMUSG00000061584	FBgn0031312	AT1G02300	
ENSG00000120942	ENSMUSG00000026085	FBgn0031313	AT1G02305	
ENSG00000204624	ENSMUSG00000058407	FBgn0031314	AT1G02310	
ENSG00000116661	ENSMUSG00000026083	FBgn0031315	AT1G02320	
ENSG00000132879	ENSMUSG00000026082	FBgn0024314	AT1G02330	
ENSG00000116670	ENSMUSG00000037138	FBgn0051922	AT1G02335	
ENSG00000116663	ENSMUSG00000048814	FBgn0031317	AT1G02340	
ENSG00000162490	ENSMUSG00000026080	FBgn0031318	AT1G02350	
ENSG00000177674	ENSMUSG00000067604	FBgn0031319	AT1G02360	
ENSG00000215910	ENSMUSG00000026078	FBgn0031320	AT1G02370	
ENSG00000177000	ENSMUSG00000026077	FBgn0031321	AT1G02380	
ENSG00000011021	ENSMUSG00000073702	FBgn0031322	AT1G02390	
ENSG00000175206	ENSMUSG00000003134	FBgn0031323	AT1G02400	
ENSG00000120937	ENSMUSG00000003135	FBgn0263080	AT1G02405	
ENSG00000116685	ENSMUSG00000048234	FBgn0263081	AT1G02410	
ENSG00000083444	ENSMUSG00000050967	FBgn0040723	AT1G02420	
ENSG00000116688	ENSMUSG00000057173	FBgn0031324	AT1G02430	
ENSG00000116691	ENSMUSG00000026074	FBgn0259229	AT1G02440	
ENSG00000120949	ENSMUSG00000026073	FBgn0031327	AT1G02450	
ENSG00000028137	ENSMUSG00000026072	FBgn0041097	AT1G02460	
ENSG00000048707	ENSMUSG00000070942	FBgn0011294	AT1G02470	
ENSG00000162496	ENSMUSG00000026069	FBgn0031331	AT1G02475	
ENSG00000204518	ENSMUSG00000026070	FBgn0053923	AT1G02490	
ENSG00000188984	ENSMUSG00000026068	FBgn0053922	AT1G02500	
ENSG00000157330	ENSMUSG00000026065	FBgn0026141	AT1G02510	
ENSG00000116726	ENSMUSG00000026062	FBgn0031332	AT1G02520	
ENSG00000116721	ENSMUSG00000041945	FBgn0031333	AT1G02530	
ENSG00000239810	ENSMUSG00000079588	FBgn0051924	AT1G02540	
ENSG00000179172	ENSMUSG00000060679	FBgn0031335	AT1G02550	
ENSG00000120952	ENSMUSG00000041907	FBgn0051659	AT1G02560	
ENSG00000243073	ENSMUSG00000070939	FBgn0053126	AT1G02570	
ENSG00000187545	ENSMUSG00000010290	FBgn0031337	AT1G02575	
ENSG00000204510	ENSMUSG00000008136	FBgn0002543	AT1G02580	
ENSG00000232423	ENSMUSG00000066877	FBgn0263320	AT1G02590	
ENSG00000274764	ENSMUSG00000026051	FBgn0263321	AT1G02610	
ENSG00000277058	ENSMUSG00000057363	FBgn0051928	AT1G02620	
ENSG00000229571	ENSMUSG00000041763	FBgn0053128	AT1G02630	
ENSG00000275774	ENSMUSG00000047343	FBgn0051926	AT1G02640	
ENSG00000280267	ENSMUSG00000026049	FBgn0051661	AT1G02650	
ENSG00000179412	ENSMUSG00000026047	FBgn0031343	AT1G02660	
ENSG00000204505	ENSMUSG00000041684	FBgn0031344	AT1G02670	
ENSG00000279169	ENSMUSG00000026048	FBgn0031345	AT1G02680	
ENSG00000279804	ENSMUSG00000046828	FBgn0001174	AT1G02690	
ENSG00000270601	ENSMUSG00000056870	FBgn0026398	AT1G02700	
ENSG00000182330	ENSMUSG00000026043	FBgn0026397	AT1G02705	
ENSG00000237700	ENSMUSG00000026042	FBgn0261509	AT1G02710	
ENSG00000204501	ENSMUSG00000025995	FBgn0031347	AT1G02720	
ENSG00000204481	ENSMUSG00000025993	FBgn0051935	AT1G02730	
ENSG00000204480	ENSMUSG00000041144	FBgn0031351	AT1G02740	
ENSG00000204479	ENSMUSG00000101337	FBgn0021906	AT1G02750	
ENSG00000204478	ENSMUSG00000025986	FBgn0086758	AT1G02770	
ENSG00000162494	ENSMUSG00000026109	FBgn0011570	AT1G02780	
ENSG00000162493	ENSMUSG00000045954	FBgn0031356	AT1G02790	
ENSG00000116731	ENSMUSG00000026107	FBgn0031357	AT1G02800	
ENSG00000189337	ENSMUSG00000018417	FBgn0086698	AT1G02810	
ENSG00000171729	ENSMUSG00000062939	FBgn0031359	AT1G02813	
ENSG00000142621	ENSMUSG00000026104	FBgn0000579	AT1G02816	
ENSG00000142634	ENSMUSG00000026103	FBgn0260648	AT1G02820	
ENSG00000162438	ENSMUSG00000002881	FBgn0031360	AT1G02830	
ENSG00000142615	ENSMUSG00000043015	FBgn0031361	AT1G02840	
ENSG00000215704	ENSMUSG00000041439	FBgn0264494	AT1G02850	
ENSG00000132906	ENSMUSG00000026102	FBgn0027597	AT1G02860	
ENSG00000116138	ENSMUSG00000041426	FBgn0031364	AT1G02870	
ENSG00000116771	ENSMUSG00000043629	FBgn0041249	AT1G02880	
ENSG00000197312	ENSMUSG00000026100	FBgn0031365	AT1G02890	
ENSG00000116786	ENSMUSG00000060715	FBgn0045497	AT1G02900	
ENSG00000162461	ENSMUSG00000026098	FBgn0045498	AT1G02910	
ENSG00000162460	ENSMUSG00000026096	FBgn0265138	AT1G02920	
ENSG00000162458	ENSMUSG00000096141	FBgn0045500	AT1G02930	
ENSG00000233954	ENSMUSG00000026094	FBgn0045501	AT1G02940	
ENSG00000065526	ENSMUSG00000042807	FBgn0051933	AT1G02950	
ENSG00000116809	ENSMUSG00000025983	FBgn0051664	AT1G02960	
ENSG00000183888	ENSMUSG00000041303	FBgn0031367	AT1G02965	
ENSG00000173641	ENSMUSG00000073678	FBgn0051665	AT1G02970	
ENSG00000186510	ENSMUSG00000052331	FBgn0051663	AT1G02980	
ENSG00000184908	ENSMUSG00000025982	FBgn0031372	AT1G02990	
ENSG00000185519	ENSMUSG00000025981	FBgn0031373	AT1G03000	
ENSG00000142627	ENSMUSG00000025980	FBgn0031374	AT1G03010	
ENSG00000142632	ENSMUSG00000073676	FBgn0040719	AT1G03020	
ENSG00000132881	ENSMUSG00000025979	FBgn0053673	AT1G03030	
ENSG00000037637	ENSMUSG00000025978	FBgn0031375	AT1G03040	
ENSG00000055070	ENSMUSG00000046994	FBgn0267972	AT1G03050	
ENSG00000187144	ENSMUSG00000025977	FBgn0031377	AT1G03055	
ENSG00000157191	ENSMUSG00000038349	FBgn0031378	AT1G03060	
ENSG00000219481	ENSMUSG00000045336	FBgn0031379	AT1G03070	
ENSG00000058453	ENSMUSG00000038331	FBgn0001125	AT1G03080	
ENSG00000117122	ENSMUSG00000038323	FBgn0031381	AT1G03090	
ENSG00000159363	ENSMUSG00000048495	FBgn0043539	AT1G03100	
ENSG00000117118	ENSMUSG00000025971	FBgn0053543	AT1G03103	
ENSG00000117115	ENSMUSG00000038305	FBgn0040718	AT1G03106	
ENSG00000142623	ENSMUSG00000054770	FBgn0040717	AT1G03110	
ENSG00000142619	ENSMUSG00000026039	FBgn0031384	AT1G03120	
ENSG00000159339	ENSMUSG00000063558	FBgn0259192	AT1G03130	
ENSG00000276747	ENSMUSG00000064294	FBgn0259230	AT1G03140	
ENSG00000179051	ENSMUSG00000038242	FBgn0003557	AT1G03150	
ENSG00000074964	ENSMUSG00000079554	FBgn0028952	AT1G03160	
ENSG00000117148	ENSMUSG00000051223	FBgn0026396	AT1G03165	
ENSG00000117154	ENSMUSG00000026034	FBgn0053516	AT1G03170	
ENSG00000179023	ENSMUSG00000026035	FBgn0031388	AT1G03180	
ENSG00000009709	ENSMUSG00000026036	FBgn0031389	AT1G03190	
ENSG00000179002	ENSMUSG00000026037	FBgn0004507	AT1G03200	
ENSG00000159423	ENSMUSG00000038174	FBgn0031390	AT1G03210	
ENSG00000169991	ENSMUSG00000026032	FBgn0031391	AT1G03220	
ENSG00000127481	ENSMUSG00000047528	FBgn0027509	AT1G03230	
ENSG00000127463	ENSMUSG00000026031	FBgn0031392	AT1G03240	
ENSG00000053372	ENSMUSG00000026029	FBgn0031393	AT1G03250	
ENSG00000162482	ENSMUSG00000026028	FBgn0000097	AT1G03260	
