"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.57494426563104e-17,88,466,2.98829249741946,"DNA repair "," http://amigo.geneontology.org/amigo/term/GO:0006281"," Rpa1  Foxm1  Trim28  Tfpt  Gtf2h1  Pole  Rad51c  Brme1  Ubqln4  Zswim7  Brca1  Uchl5  Rpain  Xab2  Sirt1  Smc6  Tdp1  Cinp  Xrcc3  Slf1  Polk  Ercc8  Parg  Rad1  Hsf1  Prkdc  Mcm4  Polh  Cenpx  Mms19  Poll  Nabp2  Mcm8  Mutyh  Rad54l  Park7  Chek2  Xpc  Recql  Mbd4  Rad51ap1  Faap24  Brcc3  Cetn2  Cul4a  Wrn  Sprtn  Mlh1  Topbp1  Terf2ip  Zbtb1  Fancd2  Chchd4  Atm  Gtf2h5  Smc4  Sirt6  Parpbp  Tdp2  Apex1  Parp2  Zranb3  Nudt1  Zcwpw1  Kin  Dtl  Wdhd1  Primpol  Rad9b  Smc1a  Wrap53  Nthl1  Shld2  Palb2  Fancb  Rhno1  Gen1  Xrcc1  Babam2  Kdm4d  Fto  Fbh1  Rad51b  Trp53  Nsmce2  Zfyve26  Pms2  Hspa1a"
5.60410609551235e-14,109,728,2.36930770969537,"Cellular response to DNA damage stimulus "," http://amigo.geneontology.org/amigo/term/GO:0006974"," Rpa1  Foxm1  Trim28  Tfpt  Gtf2h1  Pole  Rad51c  Brme1  Ubqln4  Cbx5  Zswim7  Mtrex  Brca1  Uchl5  Rpain  Xab2  Sirt1  Stxbp4  Smc6  Ddx5  Tdp1  Ccnk  Cinp  Xrcc3  Slf1  Polk  Ercc8  Parg  Rad1  Hsf1  Prkdc  Mcm4  Polh  Cenpx  Zdhhc16  Mms19  Poll  Nabp2  Mastl  Marchf7  Wdr76  Mcm8  Mutyh  Rad54l  Park7  Chek2  Triap1  Xpc  Recql  Mbd4  Rad51ap1  Faap24  Cib1  Ddias  Brcc3  Cetn2  Psmd10  Cul4a  Wrn  Casp3  Sprtn  Dcun1d5  Mlh1  Topbp1  Terf2ip  Zbtb1  Fancd2  Chchd4  Atm  Gtf2h5  Smc4  Sirt6  Parpbp  Fbxo45  Tdp2  Apex1  Parp2  Zranb3  Nudt1  Zcwpw1  Kin  Ints7  Dtl  Wdhd1  Acd  Primpol  Rad9b  Ppp1r10  Oard1  Smc1a  Wrap53  Nthl1  Shld2  Palb2  Fancb  Rhno1  Gen1  Xrcc1  Babam2  Kdm4d  Fto  Fbh1  Rad51b  Trp53  Nsmce2  Armt1  Zfyve26  Pms2  Hspa1a"
8.54579152475837e-13,115,823,2.21118130642755,"RNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006396"," Sf3a1  Prkra  Paf1  Snrnp200  Cwc15  Emg1  Hnrnpa2b1  Osgep  Prpf31  Zmat5  Sugp1  Ccnt1  Tsr3  Mtrex  Sart3  Xab2  Hnrnph3  Dus4l  Ftsj3  Ddx5  Eftud2  Nol8  Ptcd2  Ecd  Ints9  Drosha  Brix1  Dcaf13  Pop1  Hsf1  Bop1  Prkdc  Son  Sympk  Dtwd1  Wdr4  Srsf7  Wdr46  Nelfe  Ik  Pdcd11  Alyref  Rps24  Sbds  Fastkd2  Imp4  Tfb2m  Nvl  BC005624  Elp4  Cstf1  Rprd1b  Exosc8  Larp7  Toe1  Mrto4  Nol9  Ints11  Ddx51  Ddx54  Ptcd1  Cpsf4  Mphosph10  Rnf40  Pqbp1  Txnl4b  Nudt21  Usb1  Rpusd4  Pus3  Zfc3h1  Lsm3  Exosc1  Gtf2h5  Trmt5  Lsm7  Rnf113a1  Nop14  Rbmxl1  Kin  Trmt6  Ints7  Wdhd1  Dhx38  Cdc40  Bud31  Snrpd2  Rpusd1  Utp15  Safb2  Hnrnph2  Esf1  Hnrnpa1  Ankrd16  Ctu2  Snip1  Pusl1  Trmt1l  Utp18  Tyw1  Zbtb8os  Trp53  Rpl35a  Exosc5  Phf5a  Rpl7a  Nup98  Prpf38a  Prpf4  Mfap1a  Dazap1  Safb  Snrnp40  Rps27  Scnm1"
6.03993258603166e-12,111,806,2.17928628639633,"DNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006259"," Rpa1  Smg5  Cct3  Foxm1  Top3a  Hnrnpa2b1  Trim28  Tfpt  Gtf2h1  Pole  Rad51c  Brme1  Ubqln4  Ehmt2  Zswim7  Brca1  Uchl5  Rpain  Chtf18  Xab2  Apaf1  Sirt1  Smc6  Tdp1  Cinp  Xrcc3  Slf1  Polk  Ercc8  Parg  Hmbox1  Cct5  Rad1  Hsf1  Prkdc  Mcm4  Polh  Cenpx  Mms19  Poll  Nabp2  Nvl  Mcm8  Gins1  Orc1  Mutyh  Rad54l  Park7  Dnajc2  Dffb  Chek2  Xpc  Recql  Mbd4  Rad51ap1  Faap24  Brcc3  Cetn2  Cul4a  Wrn  Sprtn  Mlh1  Topbp1  Terf2ip  Zbtb1  Recql4  Fancd2  Chchd4  Atm  Gtf2h5  Smc4  Sirt6  Parpbp  Tdp2  Apex1  Parp2  Zranb3  Nudt1  Zcwpw1  Kin  Dtl  Wdhd1  Acd  Primpol  Rad9b  Ppp1r10  Alkbh4  Gfer  Smc1a  Wrap53  Nthl1  Shld2  Palb2  Fancb  Rhno1  Gen1  Zgrf1  Xrcc1  Babam2  Kdm4d  Parp4  Fto  Fbh1  Rad51b  Trp53  Nsmce2  Exosc5  Zfyve26  Ccnb1ip1  Pms2  Hspa1a"
4.01713248005691e-10,112,871,2.03482102631923,"Chromosome organization "," http://amigo.geneontology.org/amigo/term/GO:0051276"," Chmp1a  Rpa1  Smg5  Cct3  Top3a  Mpnd  Paf1  Phb2  Hnrnpa2b1  Trim28  Rad51c  Ncaph2  Tex14  Ehmt2  H2bc4  Tada2a  Sart3  Sirt1  Smc6  Cdc27  Xrcc3  Cenpp  Slf1  Bap1  Hmbox1  Cct5  Smc1b  Prkdc  Mcm4  Naa50  Hira  Hdac3  Ik  Psmg2  Anapc11  Cenpx  Nabp2  Terb2  Mcm8  Chmp5  Rad54l  Dnajc2  Dffb  Tada2b  Kntc1  Mad1l1  Lrwd1  Xpc  Recql  Rnf40  Brcc3  Wrn  Cenpn  Mau2  Hmg20a  Mlh1  Terf2ip  Zbtb1  Recql4  Fancd2  Atm  Smc4  Sirt6  Ncapd3  Tubg1  Rsf1  Apex1  Zranb3  Zcwpw1  Wdhd1  Acd  Ncapd2  Pcid2  Ss18l1  Ppp1r10  Ubn1  Alkbh4  Lats1  Foxa3  Smc1a  Wrap53  H2bc1  Gen1  Xrcc1  Babam2  Kdm4d  Smyd1  Rbbp4  H2bc8  Fbh1  Mbtd1  Trp53  Nsmce2  H2ac1  Nsl1  H2bc12  Cdc26  Numa1  H2bc21  H2bc7  H2bc11  H2bc24  H2bc23  H2bc22  Setdb2  Ccnb1ip1  Eml3  Hspa1a  H2bc13  H2bc15  H3c7  H2bc9"
1.18078834370748e-09,69,435,2.51007202095155,"NcRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0034660"," Prkra  Emg1  Hnrnpa2b1  Osgep  Tsr3  Mtrex  Qrsl1  Dus4l  Ftsj3  Nol8  Ints9  Drosha  Brix1  Dcaf13  Pop1  Bop1  Prkdc  Dtwd1  Wdr4  Wdr46  Pdcd11  Rps24  Sbds  Hras  Imp4  Tfb2m  Nvl  Dars2  Elp4  Exosc8  Larp7  Toe1  Mrto4  Yars  Nol9  Ints11  Ddx51  Gatc  Ddx54  Ptcd1  Mepce  Mphosph10  Usb1  Kars  Rpusd4  Pus3  Exosc1  Gtf2h5  Trmt5  Rnf113a1  Nop14  Trmt6  Ints7  Rpusd1  Utp15  Esf1  Ankrd16  Exd1  Ctu2  Pusl1  Trmt1l  Utp18  Tyw1  Zbtb8os  Rpl35a  Exosc5  Rpl7a  Sars2  Rps27"
1.38995472327675e-09,60,352,2.69733529919448,"NcRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0034470"," Prkra  Emg1  Hnrnpa2b1  Osgep  Tsr3  Mtrex  Dus4l  Ftsj3  Nol8  Ints9  Drosha  Brix1  Dcaf13  Pop1  Bop1  Prkdc  Dtwd1  Wdr4  Wdr46  Pdcd11  Rps24  Sbds  Imp4  Tfb2m  Nvl  Elp4  Exosc8  Larp7  Toe1  Mrto4  Nol9  Ints11  Ddx51  Ddx54  Ptcd1  Mphosph10  Usb1  Rpusd4  Pus3  Exosc1  Gtf2h5  Trmt5  Rnf113a1  Nop14  Trmt6  Ints7  Rpusd1  Utp15  Esf1  Ankrd16  Ctu2  Pusl1  Trmt1l  Utp18  Tyw1  Zbtb8os  Rpl35a  Exosc5  Rpl7a  Rps27"
2.00502967034411e-09,46,231,3.15117266699545,"Double-strand break repair "," http://amigo.geneontology.org/amigo/term/GO:0006302"," Rpa1  Foxm1  Rad51c  Brme1  Ubqln4  Zswim7  Brca1  Smc6  Tdp1  Xrcc3  Slf1  Ercc8  Hsf1  Prkdc  Mcm4  Mms19  Poll  Nabp2  Mcm8  Rad54l  Chek2  Recql  Rad51ap1  Brcc3  Wrn  Mlh1  Terf2ip  Fancd2  Atm  Sirt6  Parpbp  Tdp2  Parp2  Zcwpw1  Wrap53  Shld2  Palb2  Gen1  Xrcc1  Babam2  Kdm4d  Fbh1  Rad51b  Trp53  Nsmce2  Zfyve26"
4.68493989493097e-08,31,129,3.80275488175841,"Recombinational repair "," http://amigo.geneontology.org/amigo/term/GO:0000725"," Rpa1  Rad51c  Ubqln4  Zswim7  Brca1  Smc6  Xrcc3  Mcm4  Mms19  Poll  Nabp2  Mcm8  Rad54l  Recql  Rad51ap1  Wrn  Terf2ip  Atm  Sirt6  Parpbp  Wrap53  Shld2  Palb2  Rhno1  Gen1  Xrcc1  Kdm4d  Fbh1  Rad51b  Nsmce2  Zfyve26"
1.23239373480706e-07,30,127,3.73803946974983,"Double-strand break repair via homologous recombination "," http://amigo.geneontology.org/amigo/term/GO:0000724"," Rpa1  Rad51c  Ubqln4  Zswim7  Brca1  Smc6  Xrcc3  Mcm4  Mms19  Poll  Nabp2  Mcm8  Rad54l  Recql  Rad51ap1  Wrn  Terf2ip  Atm  Sirt6  Parpbp  Wrap53  Shld2  Palb2  Gen1  Xrcc1  Kdm4d  Fbh1  Rad51b  Nsmce2  Zfyve26"
