ensembl_id,gene_age,gene_Interval
ENSPTRG00000008418,1578,1496-1660
ENSPTRG00000008395,1714,1660-1768
ENSPTRG00000008151,950,948-952
ENSPTRG00000052108,18,16-20
ENSPTRG00000008150,55,43-67
ENSPTRG00000052724,55,43-67
ENSPTRG00000048483,4,3-7
ENSPTRG00000008149,950,948-952
ENSPTRG00000015423,950,948-952
ENSPTRG00000044456,18,16-20
ENSPTRG00000016106,70,67-74
ENSPTRG00000031202,86,82-90
ENSPTRG00000044929,424,413-435
ENSPTRG00000044049,424,413-435
ENSPTRG00000042912,18,16-20
ENSPTRG00000031204,36,29-43
ENSPTRG00000050915,1,0-3
ENSPTRG00000008140,36,29-43
ENSPTRG00000008139,424,413-435
ENSPTRG00000040466,55,43-67
ENSPTRG00000042180,18,16-20
ENSPTRG00000049213,1,0-3
ENSPTRG00000043308,78,74-82
ENSPTRG00000008134,424,413-435
ENSPTRG00000044894,18,16-20
ENSPTRG00000022224,18,16-20
ENSPTRG00000008142,18,16-20
ENSPTRG00000008173,645,615-676
ENSPTRG00000008169,1,0-3
ENSPTRG00000008221,1714,1660-1768
ENSPTRG00000008220,680,676-684
ENSPTRG00000031180,645,615-676
ENSPTRG00000004553,645,615-676
ENSPTRG00000001903,645,615-676
ENSPTRG00000046747,680,676-684
ENSPTRG00000004549,1578,1496-1660
ENSPTRG00000042530,645,615-676
ENSPTRG00000008400,645,615-676
ENSPTRG00000008403,645,615-676
ENSPTRG00000008401,544,473-615
ENSPTRG00000008414,544,473-615
ENSPTRG00000008658,454,435-473
ENSPTRG00000008415,454,435-473
ENSPTRG00000004555,1714,1660-1768
ENSPTRG00000045233,1934,1768-2101
ENSPTRG00000004557,1934,1768-2101
ENSPTRG00000052358,987,952-1023
ENSPTRG00000014497,987,952-1023
ENSPTRG00000014036,544,473-615
ENSPTRG00000043011,>4290,>4290
ENSPTRG00000050395,>4290,>4290
ENSPTRG00000045493,>4290,>4290
ENSPTRG00000011893,>4290,>4290
ENSPTRG00000014040,>4290,>4290
ENSPTRG00000028383,1578,1496-1660
ENSPTRG00000044303,987,952-1023
ENSPTRG00000019776,987,952-1023
ENSPTRG00000050750,645,615-676
ENSPTRG00000045097,645,615-676
ENSPTRG00000046004,1,0-3
ENSPTRG00000019775,645,615-676
ENSPTRG00000019728,645,615-676
ENSPTRG00000004816,1488,1480-1496
ENSPTRG00000004815,886,824-948
ENSPTRG00000023838,168,159-177
ENSPTRG00000005268,950,948-952
ENSPTRG00000004545,950,948-952
ENSPTRG00000004543,645,615-676
ENSPTRG00000045040,544,473-615
ENSPTRG00000014507,544,473-615
ENSPTRG00000014044,950,948-952
ENSPTRG00000019758,>4290,>4290
ENSPTRG00000019760,>4290,>4290
ENSPTRG00000008250,645,615-676
ENSPTRG00000008249,645,615-676
ENSPTRG00000050740,>4290,>4290
ENSPTRG00000043495,>4290,>4290
ENSPTRG00000008248,>4290,>4290
ENSPTRG00000008244,1714,1660-1768
ENSPTRG00000007421,1714,1660-1768
ENSPTRG00000008445,1578,1496-1660
ENSPTRG00000052125,1578,1496-1660
ENSPTRG00000008446,645,615-676
ENSPTRG00000008447,645,615-676
ENSPTRG00000050505,886,824-948
ENSPTRG00000008449,886,824-948
