ensembl_id,gene_age,gene_Interval
AT5G27020,3,0-7
AT3G51210,3,0-7
AT3G09032,3,0-7
AT5G28420,3,0-7
AT1G76930,3,0-7
AT4G15885,3,0-7
AT1G70895,3,0-7
AT5G64450,3,0-7
AT2G05580,3,0-7
AT2G19365,3,0-7
AT2G04830,3,0-7
AT5G02660,3,0-7
AT1G59690,3,0-7
ATCG00590,3,0-7
AT5G04790,3,0-7
AT5G24352,3,0-7
AT3G19055,3,0-7
AT5G55680,3,0-7
AT4G04985,3,0-7
AT3G56390,3,0-7
AT1G53635,3,0-7
AT2G07795,3,0-7
AT3G28770,3,0-7
AT4G02040,3,0-7
AT1G34290,3,0-7
AT5G19710,3,0-7
AT5G39640,3,0-7
AT4G28005,3,0-7
AT2G07787,3,0-7
AT4G11000,3,0-7
AT1G02705,3,0-7
AT3G24463,3,0-7
AT2G16575,3,0-7
AT2G14288,3,0-7
AT5G60810,3,0-7
AT1G27490,3,0-7
AT4G39750,3,0-7
AT3G58630,3,0-7
AT5G58570,3,0-7
AT1G19790,3,0-7
AT4G10820,3,0-7
AT3G03847,3,0-7
AT5G53592,3,0-7
AT4G08760,3,0-7
AT3G58420,3,0-7
AT4G04632,3,0-7
AT2G24410,3,0-7
AT1G52270,3,0-7
AT5G17950,3,0-7
AT4G23450,3,0-7
AT4G37409,3,0-7
AT1G19040,3,0-7
AT4G39060,3,0-7
ATCG00220,3,0-7
AT3G52070,3,0-7
AT5G52130,3,0-7
AT2G10553,3,0-7
AT4G15075,3,0-7
AT2G07627,3,0-7
AT5G40153,3,0-7
AT4G24070,3,0-7
AT4G12600,3,0-7
AT1G75785,3,0-7
AT1G60200,3,0-7
AT1G24545,3,0-7
AT4G09784,3,0-7
AT4G22870,3,0-7
AT3G43840,3,0-7
AT4G08267,3,0-7
AT3G48620,3,0-7
AT1G74620,3,0-7
AT4G00163,3,0-7
AT5G32670,3,0-7
AT1G29580,3,0-7
ATCG00760,3,0-7
AT3G09510,3,0-7
AT4G34139,3,0-7
AT3G30235,3,0-7
AT1G70620,3,0-7
ATMG00300,3,0-7
AT3G30805,3,0-7
AT1G47695,3,0-7
AT2G10975,3,0-7
AT3G43490,3,0-7
AT3G59460,3,0-7
AT3G30370,3,0-7
AT1G23610,3,0-7
ATMG01330,3,0-7
AT2G07628,3,0-7
AT1G55673,3,0-7
AT1G77150,3,0-7
AT5G10680,3,0-7
AT4G08097,3,0-7
AT3G32200,3,0-7
AT5G57567,3,0-7
AT4G08380,3,0-7
AT4G20947,3,0-7
AT3G44980,3,0-7
AT2G20597,3,0-7
AT1G59723,3,0-7
AT1G62570,1934,1768-2101
AT4G01720,846,532-1160
AT3G62130,1328,1160-1496
AT5G26600,1328,1160-1496
AT1G02120,1578,1496-1660
AT4G17540,1578,1496-1660
AT4G18020,846,532-1160
AT2G44520,1934,1768-2101
AT4G36620,58,26-91
AT2G18380,58,26-91
AT4G10650,306,181-431
AT5G46700,482,431-532
AT2G35210,>4290,>4290
AT2G26890,1714,1660-1768
AT1G48350,1714,1660-1768
