ensembl_id,gene_age,gene_Interval
ENSSSCG00000035930,244,177-312
ENSSSCG00000050439,244,177-312
ENSSSCG00000046254,132,105-159
ENSSSCG00000035328,132,105-159
ENSSSCG00000034535,132,105-159
ENSSSCG00000047298,132,105-159
ENSSSCG00000040367,132,105-159
ENSSSCG00000034712,132,105-159
ENSSSCG00000040630,132,105-159
ENSSSCG00000031907,132,105-159
ENSSSCG00000035010,244,177-312
ENSSSCG00000040016,332,312-352
ENSSSCG00000032701,244,177-312
ENSSSCG00000046294,244,177-312
ENSSSCG00000040223,132,105-159
ENSSSCG00000031328,132,105-159
ENSSSCG00000044869,93,89-96
ENSSSCG00000036693,84,79-89
ENSSSCG00000037700,101,96-105
ENSSSCG00000047093,101,96-105
ENSSSCG00000041229,101,96-105
ENSSSCG00000043381,101,96-105
ENSSSCG00000036863,101,96-105
ENSSSCG00000008544,101,96-105
ENSSSCG00000032625,63,62-64
ENSSSCG00000047831,168,159-177
ENSSSCG00000042907,168,159-177
ENSSSCG00000043082,168,159-177
ENSSSCG00000048858,168,159-177
ENSSSCG00000048077,168,159-177
ENSSSCG00000034641,168,159-177
ENSSSCG00000040695,168,159-177
ENSSSCG00000043932,168,159-177
ENSSSCG00000040091,93,89-96
ENSSSCG00000039259,332,312-352
ENSSSCG00000017577,332,312-352
ENSSSCG00000017324,332,312-352
ENSSSCG00000028962,332,312-352
ENSSSCG00000034141,332,312-352
ENSSSCG00000001456,168,159-177
ENSSSCG00000036417,63,62-64
ENSSSCG00000015293,84,79-89
ENSSSCG00000034174,132,105-159
ENSSSCG00000012047,132,105-159
ENSSSCG00000040865,544,473-615
ENSSSCG00000040118,544,473-615
ENSSSCG00000023824,132,105-159
ENSSSCG00000023132,101,96-105
ENSSSCG00000031950,101,96-105
ENSSSCG00000029064,31,0-62
ENSSSCG00000046091,31,0-62
ENSSSCG00000040232,71,64-78
ENSSSCG00000032880,71,64-78
ENSSSCG00000022686,168,159-177
ENSSSCG00000014600,168,159-177
ENSSSCG00000009399,71,64-78
ENSSSCG00000050611,332,312-352
ENSSSCG00000039529,332,312-352
ENSSSCG00000044386,332,312-352
ENSSSCG00000036687,332,312-352
ENSSSCG00000033081,332,312-352
ENSSSCG00000051111,332,312-352
ENSSSCG00000034067,332,312-352
ENSSSCG00000032130,332,312-352
ENSSSCG00000031845,332,312-352
ENSSSCG00000013992,680,676-684
ENSSSCG00000033851,71,64-78
ENSSSCG00000040716,71,64-78
ENSSSCG00000032064,84,79-89
ENSSSCG00000039436,84,79-89
ENSSSCG00000031438,84,79-89
ENSSSCG00000038937,84,79-89
ENSSSCG00000033859,84,79-89
ENSSSCG00000038078,84,79-89
ENSSSCG00000048196,332,312-352
ENSSSCG00000002601,168,159-177
ENSSSCG00000040844,168,159-177
ENSSSCG00000036630,84,79-89
ENSSSCG00000046174,168,159-177
ENSSSCG00000037675,168,159-177
ENSSSCG00000033784,168,159-177
ENSSSCG00000051475,132,105-159
ENSSSCG00000046513,132,105-159
ENSSSCG00000031178,78,78-79
ENSSSCG00000021225,332,312-352
ENSSSCG00000041862,168,159-177
ENSSSCG00000037368,454,435-473
ENSSSCG00000014855,132,105-159
ENSSSCG00000033089,132,105-159
ENSSSCG00000006062,382,352-413
ENSSSCG00000035155,244,177-312
ENSSSCG00000032567,244,177-312
ENSSSCG00000050941,244,177-312
ENSSSCG00000041730,244,177-312
ENSSSCG00000045240,244,177-312
ENSSSCG00000043499,132,105-159
ENSSSCG00000044994,78,78-79
ENSSSCG00000051385,78,78-79
ENSSSCG00000043208,78,78-79
ENSSSCG00000046911,78,78-79
ENSSSCG00000041146,382,352-413
ENSSSCG00000051689,382,352-413
ENSSSCG00000024275,71,64-78
ENSSSCG00000005869,78,78-79
ENSSSCG00000012514,132,105-159
ENSSSCG00000050519,71,64-78
ENSSSCG00000041982,71,64-78
ENSSSCG00000047083,244,177-312
ENSSSCG00000041836,78,78-79
ENSSSCG00000045257,78,78-79
ENSSSCG00000035508,78,78-79
ENSSSCG00000048024,78,78-79
ENSSSCG00000033085,78,78-79
ENSSSCG00000004836,244,177-312
ENSSSCG00000031945,78,78-79
ENSSSCG00000002623,332,312-352
ENSSSCG00000049886,84,79-89
ENSSSCG00000012303,71,64-78
ENSSSCG00000046524,132,105-159
ENSSSCG00000031749,244,177-312
ENSSSCG00000040004,244,177-312
ENSSSCG00000044529,244,177-312
ENSSSCG00000051753,244,177-312
ENSSSCG00000032425,244,177-312
ENSSSCG00000039432,244,177-312
ENSSSCG00000040473,244,177-312
ENSSSCG00000048187,78,78-79
ENSSSCG00000013952,78,78-79
ENSSSCG00000043875,84,79-89
ENSSSCG00000004187,132,105-159
ENSSSCG00000039911,132,105-159
ENSSSCG00000051569,132,105-159
ENSSSCG00000047674,93,89-96
ENSSSCG00000045633,93,89-96
ENSSSCG00000039163,93,89-96
ENSSSCG00000040005,93,89-96
ENSSSCG00000036463,93,89-96
ENSSSCG00000000353,93,89-96
ENSSSCG00000037296,93,89-96
ENSSSCG00000039552,93,89-96
ENSSSCG00000033458,93,89-96
ENSSSCG00000033517,84,79-89
ENSSSCG00000041091,84,79-89
ENSSSCG00000044498,71,64-78
ENSSSCG00000034912,71,64-78
ENSSSCG00000040065,168,159-177
ENSSSCG00000035925,78,78-79
ENSSSCG00000047557,84,79-89
ENSSSCG00000035556,84,79-89
ENSSSCG00000033309,382,352-413
ENSSSCG00000041786,168,159-177
ENSSSCG00000048467,168,159-177
ENSSSCG00000034687,168,159-177
ENSSSCG00000037357,168,159-177
ENSSSCG00000044099,132,105-159
ENSSSCG00000049588,132,105-159
ENSSSCG00000046310,132,105-159
ENSSSCG00000032756,78,78-79
ENSSSCG00000046560,78,78-79
ENSSSCG00000045427,78,78-79
ENSSSCG00000050822,78,78-79
ENSSSCG00000032148,78,78-79
ENSSSCG00000045026,78,78-79
ENSSSCG00000033492,78,78-79
ENSSSCG00000007216,71,64-78
ENSSSCG00000035905,71,64-78
ENSSSCG00000035713,84,79-89
ENSSSCG00000035466,78,78-79
ENSSSCG00000030464,78,78-79
ENSSSCG00000035975,78,78-79
ENSSSCG00000034797,132,105-159
ENSSSCG00000001304,132,105-159
ENSSSCG00000036072,132,105-159
ENSSSCG00000040853,132,105-159
ENSSSCG00000038894,132,105-159
ENSSSCG00000046279,132,105-159
ENSSSCG00000002589,168,159-177
ENSSSCG00000034176,168,159-177
ENSSSCG00000037018,168,159-177
ENSSSCG00000012517,168,159-177
ENSSSCG00000004183,332,312-352
ENSSSCG00000033099,332,312-352
ENSSSCG00000031934,332,312-352
ENSSSCG00000036680,332,312-352
