1	1697	472	152	48	178	36	0
10	396	102	40	7	40	6	0
11	348	81	22	8	33	9	0
12	1013	408	125	70	99	46	0
13	1341	420	120	47	149	55	0
14	1172	393	125	58	120	38	0
15	819	227	54	26	96	21	0
16	379	96	23	18	37	7	0
17	603	159	46	23	61	17	0
18	392	104	24	14	39	14	0
2	1842	529	146	84	173	61	0
3	1243	420	153	49	121	36	0
4	1034	285	87	53	69	38	0
5	1018	300	111	55	63	27	0
6	1925	593	180	82	186	82	0
7	1207	413	117	70	97	41	0
8	702	198	62	23	74	17	0
9	1116	309	80	41	128	25	0
MT	13	7	2	0	0	5	0
X	832	182	31	20	98	17	0
Y	82	6	0	2	2	2	0
