ensembl_id,gene_age,gene_Interval
ENSXETG00000007126,>4290,>4290
ENSXETG00000020793,>4290,>4290
ENSXETG00000018978,1292,1105-1480
ENSXETG00000001043,1292,1105-1480
ENSXETG00000020592,>4290,>4290
ENSXETG00000018949,1714,1660-1768
ENSXETG00000015746,454,435-473
ENSXETG00000010872,454,435-473
ENSXETG00000001540,454,435-473
ENSXETG00000014965,1578,1496-1660
ENSXETG00000014910,886,824-948
ENSXETG00000014858,886,824-948
ENSXETG00000005566,>4290,>4290
ENSXETG00000018421,645,615-676
ENSXETG00000018537,645,615-676
ENSXETG00000010059,645,615-676
ENSXETG00000017849,645,615-676
ENSXETG00000005344,645,615-676
ENSXETG00000018550,645,615-676
ENSXETG00000020314,544,473-615
ENSXETG00000020508,544,473-615
ENSXETG00000020520,680,676-684
ENSXETG00000018674,645,615-676
ENSXETG00000013433,680,676-684
ENSXETG00000012918,645,615-676
ENSXETG00000012925,645,615-676
ENSXETG00000010582,1578,1496-1660
ENSXETG00000010643,645,615-676
ENSXETG00000012491,544,473-615
ENSXETG00000012477,950,948-952
ENSXETG00000012472,810,797-824
ENSXETG00000016882,>4290,>4290
ENSXETG00000015544,544,473-615
ENSXETG00000015711,544,473-615
ENSXETG00000015897,645,615-676
ENSXETG00000016555,>4290,>4290
ENSXETG00000019592,950,948-952
ENSXETG00000020933,544,473-615
ENSXETG00000020228,645,615-676
ENSXETG00000018733,950,948-952
ENSXETG00000019712,950,948-952
ENSXETG00000017982,810,797-824
ENSXETG00000002054,1714,1660-1768
ENSXETG00000017610,1714,1660-1768
ENSXETG00000019709,1714,1660-1768
ENSXETG00000016874,645,615-676
ENSXETG00000016824,544,473-615
ENSXETG00000016820,544,473-615
ENSXETG00000017164,544,473-615
ENSXETG00000018693,680,676-684
ENSXETG00000017724,1934,1768-2101
ENSXETG00000012034,1934,1768-2101
ENSXETG00000018947,1578,1496-1660
ENSXETG00000017641,544,473-615
ENSXETG00000020755,544,473-615
ENSXETG00000020389,1714,1660-1768
ENSXETG00000019565,680,676-684
ENSXETG00000012913,1578,1496-1660
ENSXETG00000012806,1578,1496-1660
ENSXETG00000012690,1578,1496-1660
ENSXETG00000012670,645,615-676
ENSXETG00000012661,645,615-676
ENSXETG00000019224,886,824-948
ENSXETG00000019196,1714,1660-1768
ENSXETG00000019173,1714,1660-1768
ENSXETG00000018533,424,413-435
ENSXETG00000019460,950,948-952
ENSXETG00000017010,950,948-952
ENSXETG00000017725,1578,1496-1660
ENSXETG00000013244,645,615-676
ENSXETG00000013239,645,615-676
ENSXETG00000013251,645,615-676
ENSXETG00000013256,680,676-684
ENSXETG00000012515,950,948-952
ENSXETG00000010294,645,615-676
ENSXETG00000010321,645,615-676
ENSXETG00000014042,645,615-676
ENSXETG00000017763,645,615-676
ENSXETG00000014304,810,797-824
ENSXETG00000015346,987,952-1023
ENSXETG00000012557,645,615-676
ENSXETG00000012604,1934,1768-2101
ENSXETG00000012760,1934,1768-2101
ENSXETG00000012852,987,952-1023
ENSXETG00000012893,987,952-1023
ENSXETG00000012909,1714,1660-1768
ENSXETG00000012912,1714,1660-1768
ENSXETG00000001129,1714,1660-1768
ENSXETG00000015439,1714,1660-1768
ENSXETG00000013521,1714,1660-1768
ENSXETG00000018280,645,615-676
ENSXETG00000021290,645,615-676
ENSXETG00000019655,645,615-676
ENSXETG00000004894,645,615-676
ENSXETG00000014159,544,473-615
ENSXETG00000007043,544,473-615
ENSXETG00000001095,1578,1496-1660
ENSXETG00000004226,544,473-615
ENSXETG00000003697,645,615-676
ENSXETG00000003636,645,615-676
ENSXETG00000007438,645,615-676
ENSXETG00000007570,645,615-676
ENSXETG00000001872,645,615-676
ENSXETG00000016249,176,0-352
ENSXETG00000011907,176,0-352
ENSXETG00000007005,176,0-352
ENSXETG00000008047,176,0-352
ENSXETG00000013652,176,0-352
ENSXETG00000014372,176,0-352
ENSXETG00000014350,176,0-352
ENSXETG00000014391,176,0-352
ENSXETG00000016413,176,0-352
ENSXETG00000016471,454,435-473
ENSXETG00000015080,454,435-473
ENSXETG00000016149,454,435-473
ENSXETG00000016026,454,435-473
ENSXETG00000016034,454,435-473
ENSXETG00000016080,454,435-473
ENSXETG00000016137,454,435-473
ENSXETG00000016120,454,435-473
ENSXETG00000016051,454,435-473
ENSXETG00000015089,454,435-473
ENSXETG00000016245,454,435-473
ENSXETG00000016127,454,435-473
ENSXETG00000016159,454,435-473
ENSXETG00000016224,454,435-473
ENSXETG00000015967,454,435-473
ENSXETG00000015996,454,435-473
ENSXETG00000016074,454,435-473
ENSXETG00000016106,454,435-473
ENSXETG00000016060,454,435-473
ENSXETG00000016070,454,435-473
ENSXETG00000016003,454,435-473
ENSXETG00000015958,454,435-473
ENSXETG00000015987,454,435-473
ENSXETG00000015069,454,435-473
ENSXETG00000016021,454,435-473
ENSXETG00000015983,454,435-473
ENSXETG00000016498,454,435-473
ENSXETG00000016526,454,435-473
ENSXETG00000019330,176,0-352
ENSXETG00000017689,176,0-352
ENSXETG00000015343,176,0-352
ENSXETG00000020753,645,615-676
ENSXETG00000009806,645,615-676
ENSXETG00000019815,454,435-473
ENSXETG00000017632,454,435-473
ENSXETG00000020514,454,435-473
ENSXETG00000010575,454,435-473
ENSXETG00000010808,454,435-473
ENSXETG00000010093,454,435-473
ENSXETG00000012436,454,435-473
ENSXETG00000003038,454,435-473
ENSXETG00000004819,382,352-413
ENSXETG00000019880,176,0-352
ENSXETG00000017187,176,0-352
ENSXETG00000007441,176,0-352
ENSXETG00000004910,176,0-352
ENSXETG00000003261,176,0-352
ENSXETG00000003095,176,0-352
ENSXETG00000018666,176,0-352
ENSXETG00000012288,176,0-352
ENSXETG00000004568,176,0-352
ENSXETG00000001503,176,0-352
ENSXETG00000016152,176,0-352
ENSXETG00000013750,176,0-352
ENSXETG00000013643,176,0-352
ENSXETG00000013786,454,435-473
ENSXETG00000013791,454,435-473
ENSXETG00000013797,454,435-473
ENSXETG00000013801,454,435-473
ENSXETG00000013805,454,435-473
ENSXETG00000016544,454,435-473
ENSXETG00000016660,176,0-352
ENSXETG00000002889,176,0-352
ENSXETG00000002914,176,0-352
ENSXETG00000014402,680,676-684
ENSXETG00000014437,680,676-684
ENSXETG00000008913,680,676-684
ENSXETG00000009480,680,676-684
ENSXETG00000016569,176,0-352
ENSXETG00000009138,176,0-352
ENSXETG00000003325,176,0-352
ENSXETG00000000356,176,0-352
ENSXETG00000002470,454,435-473
ENSXETG00000002395,454,435-473
ENSXETG00000020042,176,0-352
ENSXETG00000020040,176,0-352
ENSXETG00000011016,424,413-435
ENSXETG00000011474,424,413-435
ENSXETG00000002090,424,413-435
ENSXETG00000002756,176,0-352
ENSXETG00000002750,176,0-352
ENSXETG00000013726,176,0-352
ENSXETG00000005028,176,0-352
ENSXETG00000013733,176,0-352
ENSXETG00000013744,454,435-473
ENSXETG00000005609,382,352-413
ENSXETG00000005506,382,352-413
ENSXETG00000005534,382,352-413
ENSXETG00000004992,382,352-413
ENSXETG00000013150,382,352-413
ENSXETG00000011359,382,352-413
ENSXETG00000008269,382,352-413
ENSXETG00000017719,176,0-352
ENSXETG00000005673,176,0-352
ENSXETG00000001831,176,0-352
ENSXETG00000002430,176,0-352
ENSXETG00000010193,176,0-352
ENSXETG00000020124,987,952-1023
ENSXETG00000018715,424,413-435
ENSXETG00000019011,680,676-684
ENSXETG00000020567,680,676-684
ENSXETG00000001128,176,0-352
ENSXETG00000017834,176,0-352
ENSXETG00000016368,176,0-352
ENSXETG00000002405,176,0-352
ENSXETG00000018586,176,0-352
ENSXETG00000014762,176,0-352
ENSXETG00000004369,176,0-352
ENSXETG00000015995,176,0-352
ENSXETG00000014727,176,0-352
ENSXETG00000017478,176,0-352
ENSXETG00000002825,176,0-352
ENSXETG00000004828,176,0-352
ENSXETG00000011013,176,0-352
ENSXETG00000002907,176,0-352
ENSXETG00000009200,176,0-352
ENSXETG00000014496,176,0-352
ENSXETG00000015907,176,0-352
ENSXETG00000014525,176,0-352
ENSXETG00000016267,176,0-352
ENSXETG00000014506,176,0-352
ENSXETG00000009163,176,0-352
ENSXETG00000015965,176,0-352
ENSXETG00000015804,176,0-352
ENSXETG00000015534,176,0-352
ENSXETG00000016740,176,0-352
ENSXETG00000003463,176,0-352
ENSXETG00000020500,176,0-352
ENSXETG00000019859,382,352-413
ENSXETG00000010035,424,413-435
ENSXETG00000010021,176,0-352
ENSXETG00000006677,176,0-352
ENSXETG00000001794,176,0-352
ENSXETG00000001827,176,0-352
ENSXETG00000011342,680,676-684
ENSXETG00000001244,680,676-684
ENSXETG00000008103,680,676-684
ENSXETG00000001887,886,824-948
ENSXETG00000009903,176,0-352
ENSXETG00000012128,176,0-352
ENSXETG00000001565,176,0-352
ENSXETG00000016199,176,0-352
ENSXETG00000001505,176,0-352
ENSXETG00000000041,176,0-352
ENSXETG00000014033,176,0-352
ENSXETG00000013649,176,0-352
ENSXETG00000001119,176,0-352
ENSXETG00000018431,382,352-413
ENSXETG00000016842,382,352-413
ENSXETG00000014106,382,352-413
ENSXETG00000009328,382,352-413
ENSXETG00000009461,382,352-413
ENSXETG00000000028,382,352-413
ENSXETG00000020096,454,435-473
ENSXETG00000019389,454,435-473
ENSXETG00000017154,454,435-473
ENSXETG00000004335,176,0-352
ENSXETG00000020518,176,0-352
ENSXETG00000012577,176,0-352
ENSXETG00000017104,176,0-352
ENSXETG00000010447,544,473-615
ENSXETG00000000779,544,473-615
ENSXETG00000002488,544,473-615
ENSXETG00000010149,176,0-352
ENSXETG00000020055,176,0-352
ENSXETG00000021392,176,0-352
ENSXETG00000021273,176,0-352
ENSXETG00000021069,176,0-352
ENSXETG00000021340,176,0-352
ENSXETG00000021137,176,0-352
ENSXETG00000021256,176,0-352
ENSXETG00000020704,176,0-352
ENSXETG00000017082,544,473-615
ENSXETG00000019720,544,473-615
ENSXETG00000008545,544,473-615
ENSXETG00000006738,382,352-413
ENSXETG00000018356,382,352-413
ENSXETG00000006655,382,352-413
ENSXETG00000006745,382,352-413
ENSXETG00000006769,382,352-413
ENSXETG00000006670,382,352-413
ENSXETG00000017932,382,352-413
ENSXETG00000012001,382,352-413
ENSXETG00000006682,382,352-413
ENSXETG00000006166,382,352-413
ENSXETG00000012014,382,352-413
ENSXETG00000014594,382,352-413
ENSXETG00000006464,382,352-413
ENSXETG00000000899,950,948-952
ENSXETG00000011516,987,952-1023
ENSXETG00000011426,1292,1105-1480
ENSXETG00000002227,950,948-952
ENSXETG00000002215,950,948-952
ENSXETG00000017122,987,952-1023
ENSXETG00000007580,454,435-473
ENSXETG00000020368,886,824-948
ENSXETG00000020082,886,824-948
ENSXETG00000017139,886,824-948
ENSXETG00000001627,680,676-684
ENSXETG00000008012,950,948-952
ENSXETG00000008015,950,948-952
ENSXETG00000014677,1578,1496-1660
ENSXETG00000015739,1578,1496-1660
ENSXETG00000015854,544,473-615
ENSXETG00000016358,810,797-824
ENSXETG00000003057,810,797-824
ENSXETG00000009397,>4290,>4290
ENSXETG00000019100,987,952-1023
ENSXETG00000017000,645,615-676
ENSXETG00000015795,987,952-1023
ENSXETG00000004665,987,952-1023
ENSXETG00000004852,987,952-1023
ENSXETG00000014097,1578,1496-1660
ENSXETG00000011026,987,952-1023
ENSXETG00000005816,645,615-676
ENSXETG00000018119,176,0-352
ENSXETG00000018802,645,615-676
ENSXETG00000006833,645,615-676
ENSXETG00000006837,544,473-615
ENSXETG00000006845,645,615-676
ENSXETG00000011136,950,948-952
ENSXETG00000011758,645,615-676
ENSXETG00000011619,987,952-1023
ENSXETG00000013813,987,952-1023
ENSXETG00000013753,987,952-1023
ENSXETG00000013735,645,615-676
ENSXETG00000013714,645,615-676
ENSXETG00000014001,>4290,>4290
ENSXETG00000021235,680,676-684
ENSXETG00000014062,680,676-684
ENSXETG00000018894,1934,1768-2101
ENSXETG00000008953,645,615-676
ENSXETG00000008873,>4290,>4290
ENSXETG00000008858,>4290,>4290
ENSXETG00000012809,424,413-435
ENSXETG00000010985,680,676-684
ENSXETG00000010781,680,676-684
ENSXETG00000016576,950,948-952
ENSXETG00000011043,454,435-473
