ensembl_id,gene_age,gene_Interval
ENSDARG00000103011,680,676-684
ENSDARG00000059349,987,952-1023
ENSDARG00000058448,987,952-1023
ENSDARG00000030687,987,952-1023
ENSDARG00000020191,645,615-676
ENSDARG00000015240,645,615-676
ENSDARG00000012949,987,952-1023
ENSDARG00000079977,645,615-676
ENSDARG00000016918,645,615-676
ENSDARG00000056650,645,615-676
ENSDARG00000056638,645,615-676
ENSDARG00000056624,544,473-615
ENSDARG00000056620,645,615-676
ENSDARG00000101073,645,615-676
ENSDARG00000103929,645,615-676
ENSDARG00000102746,645,615-676
ENSDARG00000061138,544,473-615
ENSDARG00000100105,645,615-676
ENSDARG00000100288,645,615-676
ENSDARG00000071095,645,615-676
ENSDARG00000007421,987,952-1023
ENSDARG00000006093,544,473-615
ENSDARG00000004160,1578,1496-1660
ENSDARG00000102127,1578,1496-1660
ENSDARG00000042826,544,473-615
ENSDARG00000042827,645,615-676
ENSDARG00000054154,>4290,>4290
ENSDARG00000104906,>4290,>4290
ENSDARG00000098856,291,267-315
ENSDARG00000071298,645,615-676
ENSDARG00000004627,544,473-615
ENSDARG00000055349,950,948-952
ENSDARG00000027129,950,948-952
ENSDARG00000009387,987,952-1023
ENSDARG00000005645,454,435-473
ENSDARG00000079474,544,473-615
ENSDARG00000077039,544,473-615
ENSDARG00000023174,886,824-948
ENSDARG00000101024,886,824-948
ENSDARG00000104353,>4290,>4290
ENSDARG00000003287,1714,1660-1768
ENSDARG00000057688,987,952-1023
ENSDARG00000074921,950,948-952
ENSDARG00000011941,987,952-1023
ENSDARG00000016311,987,952-1023
ENSDARG00000044528,645,615-676
ENSDARG00000023878,1064,1023-1105
ENSDARG00000063133,987,952-1023
ENSDARG00000079296,645,615-676
ENSDARG00000079420,248,230-267
ENSDARG00000020187,1714,1660-1768
ENSDARG00000062687,987,952-1023
ENSDARG00000101077,291,267-315
ENSDARG00000026369,1292,1105-1480
ENSDARG00000037199,1292,1105-1480
ENSDARG00000014321,187,153-222
ENSDARG00000113367,645,615-676
ENSDARG00000042520,645,615-676
ENSDARG00000040678,645,615-676
ENSDARG00000053315,680,676-684
ENSDARG00000018765,950,948-952
ENSDARG00000090389,950,948-952
ENSDARG00000090581,950,948-952
ENSDARG00000060280,987,952-1023
ENSDARG00000086103,987,952-1023
ENSDARG00000005870,1064,1023-1105
ENSDARG00000005359,1934,1768-2101
ENSDARG00000041503,1934,1768-2101
ENSDARG00000041505,645,615-676
ENSDARG00000023188,1714,1660-1768
ENSDARG00000068596,1714,1660-1768
ENSDARG00000058207,645,615-676
ENSDARG00000014875,645,615-676
ENSDARG00000041735,544,473-615
ENSDARG00000076914,544,473-615
ENSDARG00000006314,987,952-1023
ENSDARG00000070057,987,952-1023
ENSDARG00000055136,680,676-684
ENSDARG00000061265,680,676-684
ENSDARG00000078654,680,676-684
ENSDARG00000059746,645,615-676
ENSDARG00000073801,645,615-676
ENSDARG00000011510,1934,1768-2101
ENSDARG00000037539,411,386-435
ENSDARG00000020241,411,386-435
ENSDARG00000035074,987,952-1023
ENSDARG00000043467,987,952-1023
ENSDARG00000075333,>4290,>4290
ENSDARG00000055759,987,952-1023
ENSDARG00000029783,645,615-676
ENSDARG00000052379,645,615-676
ENSDARG00000074244,886,824-948
ENSDARG00000056084,645,615-676
ENSDARG00000017986,1578,1496-1660
ENSDARG00000035819,1292,1105-1480
ENSDARG00000016239,1292,1105-1480
ENSDARG00000059534,248,230-267
ENSDARG00000012818,>4290,>4290
ENSDARG00000059529,680,676-684
ENSDARG00000073723,454,435-473
ENSDARG00000095184,454,435-473
ENSDARG00000091602,886,824-948
ENSDARG00000086305,76,0-153
ENSDARG00000077745,350,315-386
ENSDARG00000012194,248,230-267
ENSDARG00000098428,544,473-615
ENSDARG00000004680,76,0-153
ENSDARG00000098843,76,0-153
ENSDARG00000105522,76,0-153
ENSDARG00000067781,76,0-153
ENSDARG00000071036,544,473-615
ENSDARG00000108467,544,473-615
ENSDARG00000071024,544,473-615
ENSDARG00000092252,544,473-615
ENSDARG00000105477,544,473-615
ENSDARG00000102899,76,0-153
ENSDARG00000114516,76,0-153
ENSDARG00000103823,76,0-153
ENSDARG00000101367,76,0-153
ENSDARG00000104358,76,0-153
ENSDARG00000068926,226,222-230
ENSDARG00000073716,226,222-230
ENSDARG00000113027,76,0-153
ENSDARG00000087293,226,222-230
ENSDARG00000086130,226,222-230
ENSDARG00000104916,226,222-230
ENSDARG00000104890,226,222-230
ENSDARG00000103265,226,222-230
ENSDARG00000098527,226,222-230
ENSDARG00000099318,226,222-230
ENSDARG00000093761,226,222-230
ENSDARG00000099006,226,222-230
ENSDARG00000078234,226,222-230
ENSDARG00000100311,226,222-230
ENSDARG00000099046,226,222-230
ENSDARG00000104341,226,222-230
ENSDARG00000099597,226,222-230
ENSDARG00000102225,226,222-230
ENSDARG00000102737,226,222-230
ENSDARG00000101948,226,222-230
ENSDARG00000102853,226,222-230
ENSDARG00000077220,226,222-230
ENSDARG00000090947,226,222-230
ENSDARG00000115299,226,222-230
ENSDARG00000102616,226,222-230
ENSDARG00000098928,226,222-230
ENSDARG00000101757,226,222-230
ENSDARG00000102595,226,222-230
ENSDARG00000100865,226,222-230
ENSDARG00000090193,226,222-230
ENSDARG00000095200,226,222-230
ENSDARG00000113510,226,222-230
ENSDARG00000098585,226,222-230
ENSDARG00000101450,226,222-230
ENSDARG00000068749,226,222-230
ENSDARG00000104968,226,222-230
ENSDARG00000098177,226,222-230
ENSDARG00000098077,226,222-230
ENSDARG00000098279,226,222-230
ENSDARG00000091561,226,222-230
ENSDARG00000113527,226,222-230
ENSDARG00000101653,226,222-230
ENSDARG00000098879,226,222-230
ENSDARG00000099963,226,222-230
ENSDARG00000075476,226,222-230
ENSDARG00000099643,226,222-230
ENSDARG00000098610,226,222-230
ENSDARG00000101272,226,222-230
ENSDARG00000113896,226,222-230
ENSDARG00000101274,226,222-230
ENSDARG00000100219,226,222-230
ENSDARG00000102358,226,222-230
ENSDARG00000104266,226,222-230
ENSDARG00000100099,226,222-230
ENSDARG00000087251,226,222-230
ENSDARG00000098677,226,222-230
ENSDARG00000091026,226,222-230
ENSDARG00000095696,226,222-230
ENSDARG00000099910,226,222-230
ENSDARG00000113826,226,222-230
ENSDARG00000103584,226,222-230
ENSDARG00000099711,226,222-230
ENSDARG00000103081,226,222-230
ENSDARG00000074546,226,222-230
ENSDARG00000077068,226,222-230
ENSDARG00000098390,226,222-230
ENSDARG00000113431,226,222-230
ENSDARG00000093402,226,222-230
ENSDARG00000114577,226,222-230
ENSDARG00000095013,226,222-230
ENSDARG00000089304,226,222-230
ENSDARG00000102638,226,222-230
ENSDARG00000103281,226,222-230
ENSDARG00000101389,226,222-230
ENSDARG00000095275,226,222-230
ENSDARG00000110290,226,222-230
ENSDARG00000100460,226,222-230
ENSDARG00000102215,226,222-230
ENSDARG00000089296,226,222-230
ENSDARG00000116367,226,222-230
ENSDARG00000016934,886,824-948
ENSDARG00000006413,1934,1768-2101
ENSDARG00000060452,645,615-676
ENSDARG00000045036,645,615-676
ENSDARG00000045038,950,948-952
ENSDARG00000060457,645,615-676
ENSDARG00000060253,886,824-948
ENSDARG00000086645,886,824-948
ENSDARG00000034309,1934,1768-2101
ENSDARG00000086484,1934,1768-2101
ENSDARG00000071709,248,230-267
ENSDARG00000074156,645,615-676
ENSDARG00000035809,645,615-676
ENSDARG00000034989,454,435-473
ENSDARG00000099525,454,435-473
ENSDARG00000114508,454,435-473
ENSDARG00000109510,1578,1496-1660
ENSDARG00000020371,645,615-676
ENSDARG00000107441,544,473-615
ENSDARG00000100585,544,473-615
ENSDARG00000088967,987,952-1023
ENSDARG00000059079,987,952-1023
ENSDARG00000104255,1064,1023-1105
ENSDARG00000009214,1064,1023-1105
ENSDARG00000088143,987,952-1023
ENSDARG00000076334,987,952-1023
ENSDARG00000099900,987,952-1023
ENSDARG00000077207,544,473-615
ENSDARG00000087059,544,473-615
ENSDARG00000098738,291,267-315
ENSDARG00000100678,350,315-386
ENSDARG00000099954,987,952-1023
ENSDARG00000078417,645,615-676
ENSDARG00000045268,454,435-473
ENSDARG00000076776,987,952-1023
ENSDARG00000075931,987,952-1023
ENSDARG00000111362,291,267-315
ENSDARG00000077582,291,267-315
ENSDARG00000110151,291,267-315
ENSDARG00000013721,645,615-676
ENSDARG00000031616,411,386-435
ENSDARG00000012234,1064,1023-1105
ENSDARG00000077297,645,615-676
ENSDARG00000045075,645,615-676
ENSDARG00000045074,645,615-676
ENSDARG00000061255,645,615-676
ENSDARG00000061259,645,615-676
ENSDARG00000007891,886,824-948
ENSDARG00000018303,987,952-1023
ENSDARG00000054707,>4290,>4290
ENSDARG00000025555,645,615-676
ENSDARG00000038991,>4290,>4290
ENSDARG00000038990,645,615-676
ENSDARG00000005134,411,386-435
ENSDARG00000045087,886,824-948
ENSDARG00000036863,544,473-615
ENSDARG00000088794,187,153-222
ENSDARG00000020876,544,473-615
ENSDARG00000061473,544,473-615
ENSDARG00000004473,987,952-1023
ENSDARG00000012981,454,435-473
ENSDARG00000045091,454,435-473
ENSDARG00000017612,454,435-473
ENSDARG00000029308,544,473-615
ENSDARG00000045092,544,473-615
ENSDARG00000054442,950,948-952
ENSDARG00000052522,1578,1496-1660
ENSDARG00000001498,680,676-684
ENSDARG00000054033,680,676-684
ENSDARG00000054030,645,615-676
ENSDARG00000026513,248,230-267
ENSDARG00000054023,544,473-615
ENSDARG00000052515,950,948-952
ENSDARG00000058076,950,948-952
ENSDARG00000090223,987,952-1023
ENSDARG00000053979,1934,1768-2101
ENSDARG00000059658,645,615-676
ENSDARG00000074688,454,435-473
ENSDARG00000005236,1934,1768-2101
ENSDARG00000052518,454,435-473
ENSDARG00000104549,454,435-473
ENSDARG00000053520,454,435-473
ENSDARG00000010953,1488,1480-1496
ENSDARG00000061201,886,824-948
ENSDARG00000061197,886,824-948
ENSDARG00000045071,950,948-952
ENSDARG00000033446,>4290,>4290
ENSDARG00000030472,950,948-952
ENSDARG00000025875,645,615-676
ENSDARG00000013079,>4290,>4290
ENSDARG00000057644,645,615-676
ENSDARG00000076702,1714,1660-1768
ENSDARG00000012632,1934,1768-2101
ENSDARG00000039605,>4290,>4290
ENSDARG00000109574,76,0-153
ENSDARG00000104759,76,0-153
ENSDARG00000116661,76,0-153
ENSDARG00000094491,76,0-153
ENSDARG00000111051,76,0-153
ENSDARG00000093579,76,0-153
ENSDARG00000098347,248,230-267
ENSDARG00000110879,248,230-267
ENSDARG00000093487,248,230-267
ENSDARG00000002097,248,230-267
ENSDARG00000038392,248,230-267
ENSDARG00000110635,248,230-267
ENSDARG00000117023,248,230-267
ENSDARG00000099042,248,230-267
ENSDARG00000007349,645,615-676
ENSDARG00000035290,645,615-676
ENSDARG00000015072,680,676-684
ENSDARG00000060127,645,615-676
ENSDARG00000033635,544,473-615
ENSDARG00000013730,248,230-267
ENSDARG00000029692,1292,1105-1480
ENSDARG00000053021,291,267-315
ENSDARG00000027552,680,676-684
ENSDARG00000087258,248,230-267
ENSDARG00000002016,1578,1496-1660
ENSDARG00000086906,1578,1496-1660
ENSDARG00000102387,987,952-1023
ENSDARG00000013058,987,952-1023
ENSDARG00000059424,987,952-1023
ENSDARG00000059729,544,473-615
ENSDARG00000017391,291,267-315
ENSDARG00000095288,645,615-676
ENSDARG00000058389,645,615-676
ENSDARG00000078890,987,952-1023
ENSDARG00000019549,>4290,>4290
ENSDARG00000076376,>4290,>4290
ENSDARG00000054741,544,473-615
ENSDARG00000060526,544,473-615
ENSDARG00000088753,544,473-615
ENSDARG00000035377,680,676-684
ENSDARG00000054683,645,615-676
ENSDARG00000104118,645,615-676
ENSDARG00000017703,1292,1105-1480
ENSDARG00000020009,645,615-676
ENSDARG00000052731,187,153-222
ENSDARG00000054606,187,153-222
ENSDARG00000054619,680,676-684
ENSDARG00000009196,544,473-615
ENSDARG00000054597,950,948-952
ENSDARG00000010331,645,615-676
ENSDARG00000016536,987,952-1023
ENSDARG00000035540,645,615-676
ENSDARG00000099624,645,615-676
ENSDARG00000104149,1714,1660-1768
ENSDARG00000100436,680,676-684
ENSDARG00000099449,1714,1660-1768
ENSDARG00000062307,950,948-952
ENSDARG00000057032,>4290,>4290
ENSDARG00000057027,454,435-473
ENSDARG00000006604,680,676-684
ENSDARG00000105741,350,315-386
ENSDARG00000094819,350,315-386
ENSDARG00000105757,350,315-386
ENSDARG00000105735,350,315-386
ENSDARG00000105817,350,315-386
ENSDARG00000056911,350,315-386
ENSDARG00000105751,350,315-386
ENSDARG00000105798,350,315-386
ENSDARG00000105768,350,315-386
ENSDARG00000094913,350,315-386
ENSDARG00000009771,350,315-386
ENSDARG00000091209,454,435-473
