ensembl_id,gene_age,gene_Interval
ENSTNIG00000018473,680,676-684
ENSTNIG00000018472,680,676-684
ENSTNIG00000018471,680,676-684
ENSTNIG00000018470,454,435-473
ENSTNIG00000018469,454,435-473
ENSTNIG00000018468,680,676-684
ENSTNIG00000018467,680,676-684
ENSTNIG00000018466,350,315-386
ENSTNIG00000018465,454,435-473
ENSTNIG00000018464,680,676-684
ENSTNIG00000017864,680,676-684
ENSTNIG00000018463,680,676-684
ENSTNIG00000018462,680,676-684
ENSTNIG00000018461,680,676-684
ENSTNIG00000018460,680,676-684
ENSTNIG00000018459,645,615-676
ENSTNIG00000018457,680,676-684
ENSTNIG00000018456,645,615-676
ENSTNIG00000018455,645,615-676
ENSTNIG00000018454,680,676-684
ENSTNIG00000018453,680,676-684
ENSTNIG00000018451,645,615-676
ENSTNIG00000018449,645,615-676
ENSTNIG00000018448,454,435-473
ENSTNIG00000018447,680,676-684
ENSTNIG00000000658,680,676-684
ENSTNIG00000018446,454,435-473
ENSTNIG00000018445,680,676-684
ENSTNIG00000018444,454,435-473
ENSTNIG00000018443,291,267-315
ENSTNIG00000018442,680,676-684
ENSTNIG00000018441,680,676-684
ENSTNIG00000018440,680,676-684
ENSTNIG00000018439,680,676-684
ENSTNIG00000018438,680,676-684
ENSTNIG00000018437,680,676-684
ENSTNIG00000018436,645,615-676
ENSTNIG00000018435,680,676-684
ENSTNIG00000018434,680,676-684
ENSTNIG00000018433,680,676-684
ENSTNIG00000018432,680,676-684
ENSTNIG00000018431,680,676-684
ENSTNIG00000018430,645,615-676
ENSTNIG00000018429,680,676-684
ENSTNIG00000018428,680,676-684
ENSTNIG00000001781,645,615-676
ENSTNIG00000000494,454,435-473
ENSTNIG00000001780,645,615-676
ENSTNIG00000001769,645,615-676
ENSTNIG00000001768,680,676-684
ENSTNIG00000018427,680,676-684
ENSTNIG00000018426,645,615-676
ENSTNIG00000018425,291,267-315
ENSTNIG00000018424,680,676-684
ENSTNIG00000018423,680,676-684
ENSTNIG00000002463,544,473-615
ENSTNIG00000018422,680,676-684
ENSTNIG00000018421,645,615-676
ENSTNIG00000018420,645,615-676
ENSTNIG00000018418,680,676-684
ENSTNIG00000018417,645,615-676
ENSTNIG00000018416,645,615-676
ENSTNIG00000001068,645,615-676
ENSTNIG00000018415,680,676-684
ENSTNIG00000018414,645,615-676
ENSTNIG00000000102,645,615-676
ENSTNIG00000018413,645,615-676
ENSTNIG00000018411,680,676-684
ENSTNIG00000018410,680,676-684
ENSTNIG00000018409,645,615-676
ENSTNIG00000018408,680,676-684
ENSTNIG00000018407,680,676-684
ENSTNIG00000018406,680,676-684
ENSTNIG00000018405,544,473-615
ENSTNIG00000018404,544,473-615
ENSTNIG00000001379,680,676-684
ENSTNIG00000018403,680,676-684
ENSTNIG00000018402,680,676-684
ENSTNIG00000018401,680,676-684
ENSTNIG00000018400,454,435-473
ENSTNIG00000018399,680,676-684
ENSTNIG00000018398,248,230-267
ENSTNIG00000018397,680,676-684
ENSTNIG00000018396,680,676-684
ENSTNIG00000018394,454,435-473
ENSTNIG00000018393,645,615-676
ENSTNIG00000019549,544,473-615
ENSTNIG00000018392,645,615-676
ENSTNIG00000018391,680,676-684
ENSTNIG00000018390,454,435-473
ENSTNIG00000018389,645,615-676
ENSTNIG00000018388,680,676-684
ENSTNIG00000018387,645,615-676
ENSTNIG00000018386,544,473-615
ENSTNIG00000018385,680,676-684
ENSTNIG00000018384,645,615-676
ENSTNIG00000017346,645,615-676
ENSTNIG00000018383,680,676-684
ENSTNIG00000018382,680,676-684
ENSTNIG00000001653,680,676-684
ENSTNIG00000018381,680,676-684
ENSTNIG00000018380,680,676-684
ENSTNIG00000018379,680,676-684
ENSTNIG00000018378,680,676-684
ENSTNIG00000018377,680,676-684
ENSTNIG00000018376,680,676-684
ENSTNIG00000018375,680,676-684
ENSTNIG00000018374,680,676-684
ENSTNIG00000018373,680,676-684
ENSTNIG00000018372,680,676-684
ENSTNIG00000001687,645,615-676
ENSTNIG00000018371,645,615-676
ENSTNIG00000001132,645,615-676
ENSTNIG00000000942,645,615-676
ENSTNIG00000000029,645,615-676
ENSTNIG00000018370,645,615-676
ENSTNIG00000018369,645,615-676
ENSTNIG00000018368,645,615-676
ENSTNIG00000018367,291,267-315
ENSTNIG00000000845,680,676-684
ENSTNIG00000018366,645,615-676
ENSTNIG00000018365,138,128-148
ENSTNIG00000000454,645,615-676
ENSTNIG00000018364,680,676-684
ENSTNIG00000018363,291,267-315
ENSTNIG00000018362,680,676-684
ENSTNIG00000018361,645,615-676
ENSTNIG00000018360,680,676-684
ENSTNIG00000018359,680,676-684
ENSTNIG00000018355,680,676-684
ENSTNIG00000018354,350,315-386
ENSTNIG00000000239,350,315-386
ENSTNIG00000018352,645,615-676
ENSTNIG00000018353,645,615-676
ENSTNIG00000018351,680,676-684
