ensembl_id,gene_age,gene_Interval
ENSRNOG00000058275,10,0-21
ENSRNOG00000009570,454,435-473
ENSRNOG00000061213,454,435-473
ENSRNOG00000018651,645,615-676
ENSRNOG00000018417,645,615-676
ENSRNOG00000018400,645,615-676
ENSRNOG00000013727,645,615-676
ENSRNOG00000012058,544,473-615
ENSRNOG00000000979,544,473-615
ENSRNOG00000014869,544,473-615
ENSRNOG00000014183,50,45-55
ENSRNOG00000046420,544,473-615
ENSRNOG00000025539,544,473-615
ENSRNOG00000032137,645,615-676
ENSRNOG00000022273,645,615-676
ENSRNOG00000012036,645,615-676
ENSRNOG00000052087,680,676-684
ENSRNOG00000012735,680,676-684
ENSRNOG00000012810,680,676-684
ENSRNOG00000001035,680,676-684
ENSRNOG00000001339,680,676-684
ENSRNOG00000001342,680,676-684
ENSRNOG00000001255,680,676-684
ENSRNOG00000008470,680,676-684
ENSRNOG00000001243,680,676-684
ENSRNOG00000001238,680,676-684
ENSRNOG00000033658,680,676-684
ENSRNOG00000026653,645,615-676
ENSRNOG00000026661,645,615-676
ENSRNOG00000001061,680,676-684
ENSRNOG00000001080,680,676-684
ENSRNOG00000059474,680,676-684
ENSRNOG00000001351,544,473-615
ENSRNOG00000061231,680,676-684
ENSRNOG00000011713,680,676-684
ENSRNOG00000010930,680,676-684
ENSRNOG00000011548,680,676-684
ENSRNOG00000011617,680,676-684
ENSRNOG00000004280,680,676-684
ENSRNOG00000010706,680,676-684
ENSRNOG00000019645,680,676-684
ENSRNOG00000008786,680,676-684
ENSRNOG00000009040,645,615-676
ENSRNOG00000046950,680,676-684
ENSRNOG00000009437,680,676-684
ENSRNOG00000027032,544,473-615
ENSRNOG00000018859,544,473-615
ENSRNOG00000019000,544,473-615
ENSRNOG00000053045,680,676-684
ENSRNOG00000059799,680,676-684
ENSRNOG00000000702,680,676-684
ENSRNOG00000003304,168,159-177
ENSRNOG00000024631,544,473-615
ENSRNOG00000000695,645,615-676
ENSRNOG00000054962,680,676-684
ENSRNOG00000000693,680,676-684
ENSRNOG00000028556,544,473-615
ENSRNOG00000028584,544,473-615
ENSRNOG00000000692,544,473-615
ENSRNOG00000037446,544,473-615
ENSRNOG00000045621,645,615-676
ENSRNOG00000001161,645,615-676
ENSRNOG00000001204,544,473-615
ENSRNOG00000001192,680,676-684
ENSRNOG00000001195,680,676-684
ENSRNOG00000049604,680,676-684
ENSRNOG00000049426,680,676-684
ENSRNOG00000047219,680,676-684
ENSRNOG00000047896,645,615-676
ENSRNOG00000000691,544,473-615
ENSRNOG00000000658,680,676-684
ENSRNOG00000037449,680,676-684
ENSRNOG00000037456,645,615-676
ENSRNOG00000004515,645,615-676
ENSRNOG00000001870,645,615-676
ENSRNOG00000031521,645,615-676
ENSRNOG00000030889,645,615-676
ENSRNOG00000037957,680,676-684
ENSRNOG00000001397,680,676-684
ENSRNOG00000001385,680,676-684
ENSRNOG00000020000,680,676-684
ENSRNOG00000019624,680,676-684
ENSRNOG00000004501,680,676-684
ENSRNOG00000001383,680,676-684
ENSRNOG00000059344,645,615-676
ENSRNOG00000038365,454,435-473
ENSRNOG00000016423,544,473-615
ENSRNOG00000015501,544,473-615
ENSRNOG00000000662,544,473-615
ENSRNOG00000000663,680,676-684
ENSRNOG00000008456,680,676-684
ENSRNOG00000008716,10,0-21
ENSRNOG00000057945,10,0-21
ENSRNOG00000034242,680,676-684
ENSRNOG00000052894,680,676-684
ENSRNOG00000012988,645,615-676
ENSRNOG00000012692,680,676-684
ENSRNOG00000048190,680,676-684
ENSRNOG00000047387,680,676-684
ENSRNOG00000055229,680,676-684
ENSRNOG00000016208,680,676-684
ENSRNOG00000018510,680,676-684
ENSRNOG00000024039,680,676-684
ENSRNOG00000023837,680,676-684
ENSRNOG00000023803,645,615-676
ENSRNOG00000012099,680,676-684
ENSRNOG00000018615,680,676-684
ENSRNOG00000013596,645,615-676
ENSRNOG00000009466,680,676-684
ENSRNOG00000060626,680,676-684
ENSRNOG00000025377,680,676-684
ENSRNOG00000025406,680,676-684
ENSRNOG00000016213,645,615-676
ENSRNOG00000016686,680,676-684
ENSRNOG00000029212,645,615-676
ENSRNOG00000033064,645,615-676
ENSRNOG00000030237,645,615-676
ENSRNOG00000029185,680,676-684
ENSRNOG00000031656,680,676-684
ENSRNOG00000032414,680,676-684
ENSRNOG00000060514,680,676-684
ENSRNOG00000009324,680,676-684
ENSRNOG00000010409,680,676-684
ENSRNOG00000009797,645,615-676
ENSRNOG00000014795,680,676-684
ENSRNOG00000013844,680,676-684
ENSRNOG00000045639,680,676-684
ENSRNOG00000040297,680,676-684
ENSRNOG00000026937,680,676-684
ENSRNOG00000045649,645,615-676
ENSRNOG00000016306,680,676-684
ENSRNOG00000016298,680,676-684
ENSRNOG00000016252,645,615-676
ENSRNOG00000018067,680,676-684
ENSRNOG00000011826,454,435-473
ENSRNOG00000039559,680,676-684
ENSRNOG00000014215,680,676-684
ENSRNOG00000027770,680,676-684
ENSRNOG00000012782,645,615-676
ENSRNOG00000012514,680,676-684
ENSRNOG00000027161,680,676-684
ENSRNOG00000018282,680,676-684
ENSRNOG00000018986,680,676-684
ENSRNOG00000016321,544,473-615
ENSRNOG00000015495,544,473-615
ENSRNOG00000015477,332,312-352
ENSRNOG00000017373,645,615-676
ENSRNOG00000017828,645,615-676
ENSRNOG00000018023,680,676-684
ENSRNOG00000053061,680,676-684
ENSRNOG00000026447,680,676-684
ENSRNOG00000015417,680,676-684
ENSRNOG00000018507,645,615-676
ENSRNOG00000007532,645,615-676
ENSRNOG00000049749,680,676-684
ENSRNOG00000005059,680,676-684
ENSRNOG00000012674,680,676-684
ENSRNOG00000012991,645,615-676
ENSRNOG00000008543,680,676-684
ENSRNOG00000008829,680,676-684
ENSRNOG00000018147,454,435-473
ENSRNOG00000010028,454,435-473
ENSRNOG00000049071,645,615-676
ENSRNOG00000010555,645,615-676
ENSRNOG00000018040,645,615-676
ENSRNOG00000014617,645,615-676
ENSRNOG00000027489,645,615-676
ENSRNOG00000032590,680,676-684
ENSRNOG00000001388,680,676-684
ENSRNOG00000001352,645,615-676
ENSRNOG00000056889,680,676-684
ENSRNOG00000009522,680,676-684
ENSRNOG00000021263,680,676-684
ENSRNOG00000001211,680,676-684
ENSRNOG00000022727,680,676-684
ENSRNOG00000046991,680,676-684
ENSRNOG00000012638,680,676-684
ENSRNOG00000012157,680,676-684
ENSRNOG00000051262,645,615-676
ENSRNOG00000015685,645,615-676
ENSRNOG00000013413,680,676-684
ENSRNOG00000013053,680,676-684
ENSRNOG00000012872,680,676-684
ENSRNOG00000042560,680,676-684
ENSRNOG00000015375,680,676-684
ENSRNOG00000015052,680,676-684
ENSRNOG00000038102,680,676-684
ENSRNOG00000014098,680,676-684
ENSRNOG00000003689,680,676-684
ENSRNOG00000049955,680,676-684
ENSRNOG00000011341,680,676-684
ENSRNOG00000017581,680,676-684
ENSRNOG00000001874,680,676-684
ENSRNOG00000024905,680,676-684
ENSRNOG00000005218,680,676-684
ENSRNOG00000001338,680,676-684
ENSRNOG00000001880,680,676-684
ENSRNOG00000001374,680,676-684
ENSRNOG00000050848,680,676-684
ENSRNOG00000017925,680,676-684
ENSRNOG00000017019,680,676-684
ENSRNOG00000032700,544,473-615
ENSRNOG00000016678,544,473-615
ENSRNOG00000008761,50,45-55
ENSRNOG00000005780,544,473-615
ENSRNOG00000018145,680,676-684
ENSRNOG00000024846,544,473-615
ENSRNOG00000024786,544,473-615
ENSRNOG00000000962,645,615-676
ENSRNOG00000000961,645,615-676
ENSRNOG00000008447,645,615-676
ENSRNOG00000000934,645,615-676
ENSRNOG00000000936,680,676-684
ENSRNOG00000023536,680,676-684
ENSRNOG00000037483,645,615-676
ENSRNOG00000001004,645,615-676
ENSRNOG00000001011,645,615-676
ENSRNOG00000021691,680,676-684
ENSRNOG00000016939,680,676-684
ENSRNOG00000011323,544,473-615
ENSRNOG00000023995,645,615-676
ENSRNOG00000012951,680,676-684
ENSRNOG00000001878,645,615-676
ENSRNOG00000001237,645,615-676
ENSRNOG00000024703,680,676-684
ENSRNOG00000001316,680,676-684
ENSRNOG00000061004,544,473-615
ENSRNOG00000021725,544,473-615
ENSRNOG00000000661,544,473-615
ENSRNOG00000019851,168,159-177
ENSRNOG00000001506,544,473-615
ENSRNOG00000055454,132,105-159
ENSRNOG00000054136,645,615-676
ENSRNOG00000048025,645,615-676
ENSRNOG00000005076,680,676-684
ENSRNOG00000003786,645,615-676
ENSRNOG00000003715,544,473-615
ENSRNOG00000003526,645,615-676
ENSRNOG00000008978,680,676-684
ENSRNOG00000004581,680,676-684
ENSRNOG00000004409,544,473-615
ENSRNOG00000004009,680,676-684
ENSRNOG00000003984,680,676-684
ENSRNOG00000003875,680,676-684
ENSRNOG00000000728,680,676-684
ENSRNOG00000002536,645,615-676
ENSRNOG00000002563,645,615-676
ENSRNOG00000002585,680,676-684
ENSRNOG00000000164,680,676-684
ENSRNOG00000007059,680,676-684
ENSRNOG00000028085,680,676-684
ENSRNOG00000028899,645,615-676
ENSRNOG00000046156,645,615-676
ENSRNOG00000053813,168,159-177
