ensembl_id,gene_age,gene_Interval
WBGene00000028,120,60-181
WBGene00004158,120,60-181
WBGene00005532,120,60-181
WBGene00010632,120,60-181
WBGene00007097,120,60-181
WBGene00007104,950,948-952
WBGene00005268,39,19-60
WBGene00044020,39,19-60
WBGene00014108,39,19-60
WBGene00014107,120,60-181
WBGene00007427,120,60-181
WBGene00007426,120,60-181
WBGene00007423,120,60-181
WBGene00013484,120,60-181
WBGene00007431,120,60-181
WBGene00008101,120,60-181
WBGene00012456,120,60-181
WBGene00011592,120,60-181
WBGene00011284,120,60-181
WBGene00011285,120,60-181
WBGene00011286,120,60-181
WBGene00004150,120,60-181
WBGene00011796,120,60-181
WBGene00001711,492,241-743
WBGene00011307,886,824-948
WBGene00005113,120,60-181
WBGene00011309,120,60-181
WBGene00001109,120,60-181
WBGene00012339,120,60-181
WBGene00007910,120,60-181
WBGene00008891,120,60-181
WBGene00007153,120,60-181
WBGene00001874,120,60-181
WBGene00011649,120,60-181
WBGene00045488,120,60-181
WBGene00010188,120,60-181
WBGene00006605,120,60-181
WBGene00015625,120,60-181
WBGene00015624,120,60-181
WBGene00022850,120,60-181
WBGene00020166,492,241-743
WBGene00001597,492,241-743
WBGene00005134,120,60-181
WBGene00015089,120,60-181
WBGene00044615,120,60-181
WBGene00005136,120,60-181
WBGene00005135,120,60-181
WBGene00017128,120,60-181
WBGene00016276,120,60-181
WBGene00016277,120,60-181
WBGene00016273,120,60-181
WBGene00018475,120,60-181
WBGene00018476,120,60-181
WBGene00015568,120,60-181
WBGene00005133,120,60-181
WBGene00019290,120,60-181
WBGene00005132,120,60-181
WBGene00017021,120,60-181
WBGene00023416,120,60-181
WBGene00022888,120,60-181
WBGene00022893,120,60-181
WBGene00022891,120,60-181
WBGene00022886,120,60-181
WBGene00019940,120,60-181
WBGene00019939,492,241-743
WBGene00019943,492,241-743
WBGene00017545,492,241-743
WBGene00017549,492,241-743
WBGene00015208,120,60-181
WBGene00005149,120,60-181
WBGene00015061,120,60-181
WBGene00022248,120,60-181
WBGene00043067,120,60-181
WBGene00022254,120,60-181
WBGene00045250,120,60-181
WBGene00003237,120,60-181
WBGene00004783,120,60-181
WBGene00005740,120,60-181
WBGene00005737,492,241-743
WBGene00005744,492,241-743
WBGene00005743,492,241-743
WBGene00003754,492,241-743
WBGene00044306,120,60-181
WBGene00044307,120,60-181
WBGene00011618,120,60-181
WBGene00007725,120,60-181
WBGene00016758,120,60-181
WBGene00016755,120,60-181
WBGene00021809,120,60-181
WBGene00017100,120,60-181
WBGene00019260,120,60-181
WBGene00017102,120,60-181
WBGene00017839,39,19-60
WBGene00045455,39,19-60
WBGene00044663,39,19-60
WBGene00015701,39,19-60
WBGene00019750,39,19-60
WBGene00016721,39,19-60
WBGene00016722,39,19-60
WBGene00019156,39,19-60
WBGene00004902,987,952-1023
WBGene00004900,987,952-1023
WBGene00003387,987,952-1023
WBGene00004901,987,952-1023
WBGene00004904,987,952-1023
WBGene00004906,987,952-1023
WBGene00012787,987,952-1023
WBGene00004908,987,952-1023
WBGene00011872,987,952-1023
WBGene00013683,886,824-948
WBGene00003926,>4290,>4290
WBGene00015940,950,948-952
WBGene00009930,810,797-824
WBGene00017122,810,797-824
WBGene00006496,987,952-1023
WBGene00012894,1488,1480-1496
WBGene00007396,987,952-1023
WBGene00002000,987,952-1023
WBGene00015943,987,952-1023
WBGene00018997,9,0-19
WBGene00002244,>4290,>4290
WBGene00013441,>4290,>4290
WBGene00018966,1488,1480-1496
WBGene00018964,1488,1480-1496
WBGene00020646,886,824-948
WBGene00009812,1714,1660-1768
WBGene00022774,1488,1480-1496
WBGene00016508,1488,1480-1496
WBGene00007210,1488,1480-1496
WBGene00020320,950,948-952
WBGene00017352,950,948-952
WBGene00020209,950,948-952
WBGene00013239,950,948-952
WBGene00019893,1488,1480-1496
WBGene00016375,>4290,>4290
WBGene00006756,775,753-797
WBGene00000172,810,797-824
WBGene00004188,810,797-824
WBGene00003475,1488,1480-1496
WBGene00017924,1488,1480-1496
WBGene00019060,1714,1660-1768
WBGene00015478,>4290,>4290
WBGene00003214,>4290,>4290
WBGene00007859,>4290,>4290
WBGene00015021,>4290,>4290
WBGene00001439,>4290,>4290
WBGene00022852,>4290,>4290
WBGene00021816,987,952-1023
WBGene00006931,987,952-1023
WBGene00002175,987,952-1023
WBGene00001516,1064,1023-1105
WBGene00001515,492,241-743
WBGene00019883,1292,1105-1480
WBGene00001411,987,952-1023
WBGene00016415,987,952-1023
WBGene00004471,>4290,>4290
WBGene00010097,>4290,>4290
WBGene00019402,>4290,>4290
WBGene00022200,>4290,>4290
WBGene00013803,1292,1105-1480
WBGene00011128,>4290,>4290
WBGene00022727,>4290,>4290
WBGene00044061,1488,1480-1496
WBGene00013541,950,948-952
WBGene00002280,950,948-952
WBGene00003412,987,952-1023
WBGene00003409,987,952-1023
WBGene00003414,987,952-1023
WBGene00003408,987,952-1023
WBGene00009092,987,952-1023
WBGene00006764,810,797-824
WBGene00006584,810,797-824
WBGene00006585,810,797-824
WBGene00006586,810,797-824
WBGene00016740,810,797-824
WBGene00003001,987,952-1023
WBGene00007175,1292,1105-1480
WBGene00000761,1292,1105-1480
WBGene00009865,950,948-952
WBGene00011587,950,948-952
WBGene00012776,950,948-952
WBGene00002217,1714,1660-1768
WBGene00007963,886,824-948
WBGene00019438,886,824-948
WBGene00014697,886,824-948
WBGene00007967,886,824-948
WBGene00007964,886,824-948
WBGene00000105,886,824-948
WBGene00000106,886,824-948
WBGene00004088,>4290,>4290
WBGene00005022,>4290,>4290
WBGene00015116,>4290,>4290
WBGene00001352,>4290,>4290
WBGene00006755,>4290,>4290
WBGene00044025,>4290,>4290
WBGene00010721,>4290,>4290
WBGene00012692,>4290,>4290
WBGene00007386,987,952-1023
WBGene00003224,987,952-1023
WBGene00006486,886,824-948
WBGene00009710,9,0-19
WBGene00008631,9,0-19
WBGene00045510,9,0-19
WBGene00044184,9,0-19
