Gene stable ID,Gene name,Drosophila melanogaster gene stable ID,Drosophila melanogaster gene name,Last common ancestor with Drosophila melanogaster,Drosophila melanogaster homology type,%id. target Drosophila melanogaster gene identical to query gene,%id. query gene identical to target Drosophila melanogaster gene,"Drosophila melanogaster orthology confidence [0 low, 1 high]"
ENSMUSG00000064341,mt-Nd1,FBgn0013679,mt:ND1,Bilateria,ortholog_one2one,48.1132,49.0385,0
ENSMUSG00000064345,mt-Nd2,FBgn0013680,mt:ND2,Bilateria,ortholog_one2one,33.913,34.3109,1
ENSMUSG00000064351,mt-Co1,FBgn0013674,mt:CoI,Bilateria,ortholog_one2one,75.4864,75.9296,1
ENSMUSG00000064354,mt-Co2,FBgn0013675,mt:CoII,Bilateria,ortholog_one2one,57.7093,57.4561,1
ENSMUSG00000064357,mt-Atp6,FBgn0013672,mt:ATPase6,Bilateria,ortholog_one2one,34.0708,34.375,1
ENSMUSG00000064358,mt-Co3,FBgn0013676,mt:CoIII,Bilateria,ortholog_one2one,65.9004,65.6489,1
ENSMUSG00000064360,mt-Nd3,FBgn0013681,mt:ND3,Bilateria,ortholog_one2one,37.3913,36.7521,1
ENSMUSG00000064363,mt-Nd4,FBgn0262952,mt:ND4,Bilateria,ortholog_one2one,41.6122,42.8251,1
ENSMUSG00000064367,mt-Nd5,FBgn0013684,mt:ND5,Bilateria,ortholog_one2one,32.29,34.2657,1
ENSMUSG00000064370,mt-Cytb,FBgn0013678,mt:Cyt-b,Bilateria,ortholog_one2one,65.6168,66.1376,1
ENSMUSG00000095041,,FBgn0026576,Pisd,Bilateria,ortholog_one2many,23.2877,7.60626,0
ENSMUSG00000056673,Kdm5d,FBgn0031759,lid,Opisthokonta,ortholog_many2many,40.6977,34.2764,0
ENSMUSG00000069049,Eif2s3y,FBgn0263740,eIF2gamma,Opisthokonta,ortholog_many2many,80.7203,80.2105,0
ENSMUSG00000069049,Eif2s3y,FBgn0033184,mEFTu2,Opisthokonta,ortholog_many2many,15.4661,16.0088,0
ENSMUSG00000068457,Uty,FBgn0260749,Utx,Opisthokonta,ortholog_one2many,43.3168,46.2148,0
ENSMUSG00000069036,Sry,FBgn0039938,Sox102F,Bilateria,ortholog_many2many,11.8987,7.60518,0
ENSMUSG00000069036,Sry,FBgn0024288,Sox100B,Bilateria,ortholog_many2many,11.1392,8.31758,0
ENSMUSG00000069036,Sry,FBgn0005613,Sox15,Bilateria,ortholog_many2many,13.9241,7.01531,0
ENSMUSG00000069036,Sry,FBgn0005612,Sox14,Bilateria,ortholog_many2many,12.1519,7.17489,0
ENSMUSG00000069036,Sry,FBgn0036411,Sox21a,Bilateria,ortholog_many2many,13.4177,13.0221,0
ENSMUSG00000073563,Csnk1g3,FBgn0031441,CG9962,Opisthokonta,ortholog_many2many,27.2321,38.2445,0
ENSMUSG00000052713,Zfp608,FBgn0285917,sbb,Bilateria,ortholog_one2many,26.5387,17.2103,0
ENSMUSG00000001700,Gramd3,FBgn0085423,GramD1B,Opisthokonta,ortholog_one2many,23.5955,8.40672,0
ENSMUSG00000053644,Aldh7a1,FBgn0036857,Aldh7A1,Bilateria,ortholog_one2one,52.6902,52.5926,1
ENSMUSG00000008301,Phax,FBgn0033380,Phax,Bilateria,ortholog_one2one,28.0519,23.8411,0
ENSMUSG00000061808,Ttr,FBgn0050016,CG30016,Bilateria,ortholog_one2many,18.3673,23.8938,0
ENSMUSG00000033382,Trappc8,FBgn0260655,l(3)76BDm,Bilateria,ortholog_one2one,27.8358,30.326,1
ENSMUSG00000020601,Trib2,FBgn0028978,trbl,Bilateria,ortholog_one2many,36.4431,25.8264,1
ENSMUSG00000035181,Heatr5a,FBgn0037541,CG2747,Bilateria,ortholog_one2many,46.1727,43.3241,1
ENSMUSG00000024597,Slc12a2,FBgn0032689,CG10413,Opisthokonta,ortholog_many2many,17.9934,23.0606,0
ENSMUSG00000024597,Slc12a2,FBgn0261794,kcc,Opisthokonta,ortholog_many2many,22.0564,24.6982,0
ENSMUSG00000024597,Slc12a2,FBgn0036279,Ncc69,Opisthokonta,ortholog_many2many,45.7711,45.7332,0
ENSMUSG00000060739,Nsa2,FBgn0025366,Ip259,Bilateria,ortholog_one2one,75,75.2896,1
ENSMUSG00000038212,Mfsd14b,FBgn0037003,CG18281,Opisthokonta,ortholog_many2many,31.5582,29.5203,0
ENSMUSG00000038212,Mfsd14b,FBgn0037004,CG17637,Opisthokonta,ortholog_many2many,30.3748,30.5556,0
ENSMUSG00000038212,Mfsd14b,FBgn0037005,CG5078,Opisthokonta,ortholog_many2many,42.0118,47.651,0
