Gene stable ID,Gene name,Drosophila melanogaster gene stable ID,Drosophila melanogaster gene name,Last common ancestor with Drosophila melanogaster,Drosophila melanogaster homology type,%id. target Drosophila melanogaster gene identical to query gene,%id. query gene identical to target Drosophila melanogaster gene,"Drosophila melanogaster orthology confidence [0 low, 1 high]"
ENSG00000198888,MT-ND1,FBgn0013679,mt:ND1,Bilateria,ortholog_one2one,48.1132,49.0385,0
ENSG00000198763,MT-ND2,FBgn0013680,mt:ND2,Bilateria,ortholog_one2one,34.0058,34.6041,1
ENSG00000198804,MT-CO1,FBgn0013674,mt:CoI,Bilateria,ortholog_one2one,75.0487,75.3425,1
ENSG00000198712,MT-CO2,FBgn0013675,mt:CoII,Bilateria,ortholog_one2one,56.3877,56.1404,1
ENSG00000198899,MT-ATP6,FBgn0013672,mt:ATPase6,Bilateria,ortholog_one2one,36.2832,36.6071,1
ENSG00000198938,MT-CO3,FBgn0013676,mt:CoIII,Bilateria,ortholog_one2one,64.751,64.5038,1
ENSG00000198840,MT-ND3,FBgn0013681,mt:ND3,Bilateria,ortholog_one2one,37.3913,36.7521,1
ENSG00000198886,MT-ND4,FBgn0262952,mt:ND4,Bilateria,ortholog_one2one,42.2658,43.4978,1
ENSG00000198786,MT-ND5,FBgn0013684,mt:ND5,Bilateria,ortholog_one2one,32.67,34.4406,1
ENSG00000198727,MT-CYB,FBgn0013678,mt:Cyt-b,Bilateria,ortholog_one2one,60.2632,60.582,1
ENSG00000277196,,FBgn0003423,slgA,Bilateria,ortholog_one2many,47.6667,41.9971,1
ENSG00000278817,,FBgn0001099,gdl,Bilateria,ortholog_one2many,13.1818,14.9485,0
ENSG00000274847,MAFIP,FBgn0028902,Tektin-A,Bilateria,ortholog_one2many,22.4806,4.95726,0
ENSG00000273748,,FBgn0036964,FRG1,Bilateria,ortholog_one2many,35.7724,16.7939,0
ENSG00000276345,,FBgn0035335,mRpL23,Bilateria,ortholog_one2many,41.1765,42,1
ENSG00000198692,EIF1AY,FBgn0026250,eIF1A,Bilateria,ortholog_one2many,79.1667,77.027,1
ENSG00000236424,TSPY10,FBgn0015268,Nap1,Opisthokonta,ortholog_many2many,15.5844,12.973,0
ENSG00000236424,TSPY10,FBgn0040345,CG3708,Opisthokonta,ortholog_many2many,12.987,11.0497,0
ENSG00000236424,TSPY10,FBgn0267366,mil,Opisthokonta,ortholog_many2many,12.6623,13.7809,0
ENSG00000236424,TSPY10,FBgn0014879,Set,Opisthokonta,ortholog_many2many,22.4026,25.6506,0
ENSG00000258992,TSPY1,FBgn0015268,Nap1,Opisthokonta,ortholog_many2many,15.5844,12.973,0
ENSG00000258992,TSPY1,FBgn0040345,CG3708,Opisthokonta,ortholog_many2many,12.987,11.0497,0
ENSG00000258992,TSPY1,FBgn0267366,mil,Opisthokonta,ortholog_many2many,12.3377,13.4276,0
ENSG00000258992,TSPY1,FBgn0014879,Set,Opisthokonta,ortholog_many2many,22.0779,25.2788,0
ENSG00000169953,HSFY2,FBgn0001222,Hsf,Opisthokonta,ortholog_one2many,13.217,7.23056,0
ENSG00000012817,KDM5D,FBgn0031759,lid,Opisthokonta,ortholog_many2many,41.0656,34.3852,0
ENSG00000172468,HSFY1,FBgn0001222,Hsf,Opisthokonta,ortholog_one2many,13.217,7.23056,0
ENSG00000176679,TGIF2LY,FBgn0000611,exd,Bilateria,ortholog_many2many,15.1351,7.44681,0
ENSG00000176679,TGIF2LY,FBgn0033749,achi,Bilateria,ortholog_many2many,27.027,9.00901,0
ENSG00000176679,TGIF2LY,FBgn0033748,vis,Bilateria,ortholog_many2many,27.027,9.54198,0
ENSG00000176679,TGIF2LY,FBgn0001235,hth,Bilateria,ortholog_many2many,20,7.59754,0
ENSG00000182415,CDY2A,FBgn0033761,CG8778,Opisthokonta,ortholog_many2many,10.536,19.0635,0
ENSG00000205916,DAZ4,FBgn0011206,bol,Bilateria,ortholog_one2many,6.639,20.6009,0
ENSG00000129873,CDY2B,FBgn0033761,CG8778,Opisthokonta,ortholog_many2many,10.536,19.0635,0
ENSG00000184895,SRY,FBgn0039938,Sox102F,Bilateria,ortholog_many2many,22.549,7.44337,0
ENSG00000184895,SRY,FBgn0024288,Sox100B,Bilateria,ortholog_many2many,21.5686,8.31758,0
ENSG00000184895,SRY,FBgn0005613,Sox15,Bilateria,ortholog_many2many,26.4706,6.88775,0
ENSG00000184895,SRY,FBgn0005612,Sox14,Bilateria,ortholog_many2many,21.5686,6.57698,0
ENSG00000184895,SRY,FBgn0036411,Sox21a,Bilateria,ortholog_many2many,27.451,13.7592,0
ENSG00000129824,RPS4Y1,FBgn0011284,RpS4,Bilateria,ortholog_one2many,73.0038,73.5632,1
ENSG00000183878,UTY,FBgn0260749,Utx,Opisthokonta,ortholog_one2many,37.9501,48.2394,0
ENSG00000187191,DAZ3,FBgn0011206,bol,Bilateria,ortholog_one2many,10.9589,20.6009,0
ENSG00000188120,DAZ1,FBgn0011206,bol,Bilateria,ortholog_one2many,6.45161,20.6009,0
ENSG00000092377,TBL1Y,FBgn0263933,ebi,Bilateria,ortholog_one2many,72.2222,53.8571,1
ENSG00000205944,DAZ2,FBgn0011206,bol,Bilateria,ortholog_one2many,7.49235,21.03,0
ENSG00000168757,TSPY2,FBgn0015268,Nap1,Opisthokonta,ortholog_many2many,15.5844,12.973,0
ENSG00000168757,TSPY2,FBgn0040345,CG3708,Opisthokonta,ortholog_many2many,12.987,11.0497,0
ENSG00000168757,TSPY2,FBgn0267366,mil,Opisthokonta,ortholog_many2many,12.6623,13.7809,0
ENSG00000168757,TSPY2,FBgn0014879,Set,Opisthokonta,ortholog_many2many,22.4026,25.6506,0
ENSG00000229549,TSPY8,FBgn0015268,Nap1,Opisthokonta,ortholog_many2many,15.5844,12.973,0
ENSG00000229549,TSPY8,FBgn0040345,CG3708,Opisthokonta,ortholog_many2many,12.987,11.0497,0
ENSG00000229549,TSPY8,FBgn0267366,mil,Opisthokonta,ortholog_many2many,12.6623,13.7809,0
ENSG00000229549,TSPY8,FBgn0014879,Set,Opisthokonta,ortholog_many2many,22.4026,25.6506,0
